,Unnamed: 0,Source,Date,Program Name,Time,Duration,Has Transcript,Transcript,Unavailable link,Unavailable reason,video_link
0,0,BBC1 London,7-aug-2015,BBC News,00:40,320 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0A7705E0?bcast=116191979,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0A7705E0-BBC-News-2015-08-07T234000Z-BBC1-London.mp4/index.m3u8
1,2,BBC1 London,7-aug-2015,BBC London News,13:30,15 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0A7714D1?bcast=116194446,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0A7714D1-BBC-London-News-2015-08-07T123000Z-BBC1-London.mp4/index.m3u8
2,4,BBC1 London,7-aug-2015,BBC London News,18:30,30 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0A7714CE?bcast=116195117,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0A7714CE-BBC-London-News-2015-08-07T173000Z-BBC1-London.mp4/index.m3u8
3,6,BBC1 London,7-aug-2015,BBC London News,22:25,10 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0A7714CB?bcast=116195617,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0A7714CB-BBC-London-News-2015-08-07T212500Z-BBC1-London.mp4/index.m3u8
4,7,BBC1 London,6-aug-2015,BBC News,00:45,315 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0A77059E?bcast=116263261,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0A77059E-BBC-News-2015-08-06T234500Z-BBC1-London.mp4/index.m3u8
5,9,BBC1 London,6-aug-2015,BBC London News,13:30,15 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0A7714BD?bcast=116188894,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0A7714BD-BBC-London-News-2015-08-06T123000Z-BBC1-London.mp4/index.m3u8
6,11,BBC1 London,6-aug-2015,BBC London News,18:30,30 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0A7714BA?bcast=116189542,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0A7714BA-BBC-London-News-2015-08-06T173000Z-BBC1-London.mp4/index.m3u8
7,13,BBC1 London,6-aug-2015,BBC London News,22:25,10 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0A7714B7?bcast=116190065,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0A7714B7-BBC-London-News-2015-08-06T212500Z-BBC1-London.mp4/index.m3u8
8,14,BBC1 London,4-aug-2015,BBC News,00:10,350 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0A770500?bcast=116171904,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0A770500-BBC-News-2015-08-04T231000Z-BBC1-London.mp4/index.m3u8
9,16,BBC1 London,4-aug-2015,BBC London News,13:30,15 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0A771495?bcast=116174421,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0A771495-BBC-London-News-2015-08-04T123000Z-BBC1-London.mp4/index.m3u8
10,18,BBC1 London,4-aug-2015,BBC London News,18:30,30 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0A771492?bcast=116175091,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0A771492-BBC-London-News-2015-08-04T173000Z-BBC1-London.mp4/index.m3u8
11,20,BBC1 London,4-aug-2015,BBC London News,22:25,10 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0A77148F?bcast=116175618,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0A77148F-BBC-London-News-2015-08-04T212500Z-BBC1-London.mp4/index.m3u8
12,21,BBC1 London,3-aug-2015,BBC News,00:20,340 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0A6C7F33?bcast=116164181,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0A6C7F33-BBC-News-2015-08-03T232000Z-BBC1-London.mp4/index.m3u8
13,22,BBC1 London,3-aug-2015,BBC News at One,13:00,30 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0A770521?bcast=116166508,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0A770521-BBC-News-at-One-2015-08-03T120000Z-BBC1-London.mp4/index.m3u8
14,23,BBC1 London,3-aug-2015,BBC London News,13:30,15 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0A771481?bcast=116166623,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0A771481-BBC-London-News-2015-08-03T123000Z-BBC1-London.mp4/index.m3u8
15,27,BBC1 London,3-aug-2015,BBC London News,22:25,10 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0A77147A?bcast=116167818,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0A77147A-BBC-London-News-2015-08-03T212500Z-BBC1-London.mp4/index.m3u8
16,28,BBC1 London,14-aug-2015,BBC News,00:40,320 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0A7B77DB?bcast=116239949,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0A7B77DB-BBC-News-2015-08-14T234000Z-BBC1-London.mp4/index.m3u8
17,29,BBC1 London,14-aug-2015,BBC News at One,13:00,30 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0A7B7838?bcast=116242378,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0A7B7838-BBC-News-at-One-2015-08-14T120000Z-BBC1-London.mp4/index.m3u8
