,Unnamed: 0,Source,Date,Program Name,Time,Duration,Has Transcript,Transcript,Unavailable link,Unavailable reason,video_link
0,0,BBC1 London,3-jan-2015,BBC News,02:15,225 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0846E8B2?bcast=114812530,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0846E8B2-BBC-News-2015-01-03T011500Z-BBC1-London.mp4/index.m3u8
1,2,BBC1 London,3-jan-2015,BBC Weekend News,17:20,10 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0846F6A5?bcast=114815099,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0846F6A5-BBC-Weekend-News-2015-01-03T162000Z-BBC1-London.mp4/index.m3u8
2,3,BBC1 London,3-jan-2015,BBC London News,17:30,5 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0846F7B7?bcast=114815103,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0846F7B7-BBC-London-News-2015-01-03T163000Z-BBC1-London.mp4/index.m3u8
3,5,BBC1 London,7-jan-2015,Joins BBC News,01:45,255 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/084DE7CF?bcast=114833894,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/084DE7CF-Joins-BBC-News-2015-01-07T004500Z-BBC1-London.mp4/index.m3u8
4,7,BBC1 London,7-jan-2015,BBC London News,13:30,15 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/084DF155?bcast=114836234,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/084DF155-BBC-London-News-2015-01-07T123000Z-BBC1-London.mp4/index.m3u8
5,9,BBC1 London,7-jan-2015,BBC London News,18:30,30 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/084DF152?bcast=114836917,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/084DF152-BBC-London-News-2015-01-07T173000Z-BBC1-London.mp4/index.m3u8
6,12,BBC1 London,2-jan-2015,BBC News,02:40,200 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0846E86F?bcast=114805350,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0846E86F-BBC-News-2015-01-02T014000Z-BBC1-London.mp4/index.m3u8
7,14,BBC1 London,2-jan-2015,BBC London News,13:30,15 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0846F016?bcast=114807410,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0846F016-BBC-London-News-2015-01-02T123000Z-BBC1-London.mp4/index.m3u8
8,16,BBC1 London,2-jan-2015,BBC London News,18:30,30 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0846F013?bcast=114808072,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0846F013-BBC-London-News-2015-01-02T173000Z-BBC1-London.mp4/index.m3u8
9,19,BBC1 London,5-jan-2015,BBC News,01:20,280 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0846F6C8?bcast=114822029,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0846F6C8-BBC-News-2015-01-05T002000Z-BBC1-London.mp4/index.m3u8
