,Unnamed: 0,Source,Date,Program Name,Time,Duration,Has Transcript,Transcript,Unavailable link,Unavailable reason,video_link
0,0,BBC1 London,5-jul-2015,BBC News,01:35,265 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0A3F5A8F?bcast=116048151,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0A3F5A8F-BBC-News-2015-07-05T003500Z-BBC1-London.mp4/index.m3u8
1,2,BBC1 London,5-jul-2015,BBC London News,18:50,10 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0A3F7961?bcast=115970325,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0A3F7961-BBC-London-News-2015-07-05T175000Z-BBC1-London.mp4/index.m3u8
2,4,BBC1 London,5-jul-2015,BBC London News,22:40,10 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0A3F795E?bcast=115973778,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0A3F795E-BBC-London-News-2015-07-05T214000Z-BBC1-London.mp4/index.m3u8
3,5,BBC1 London,7-jul-2015,BBC News,00:30,330 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0A4D8BF8?bcast=115981442,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0A4D8BF8-BBC-News-2015-07-07T233000Z-BBC1-London.mp4/index.m3u8
4,6,BBC1 London,7-jul-2015,BBC News at One,13:00,30 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0A4D8C73?bcast=115983944,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0A4D8C73-BBC-News-at-One-2015-07-07T120000Z-BBC1-London.mp4/index.m3u8
5,7,BBC1 London,7-jul-2015,BBC London News,13:30,15 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0A4D9273?bcast=115984054,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0A4D9273-BBC-London-News-2015-07-07T123000Z-BBC1-London.mp4/index.m3u8
6,9,BBC1 London,7-jul-2015,BBC London News,18:30,30 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0A4D9270?bcast=115984705,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0A4D9270-BBC-London-News-2015-07-07T173000Z-BBC1-London.mp4/index.m3u8
7,11,BBC1 London,7-jul-2015,BBC London News,22:30,10 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0A4D926D?bcast=116065846,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0A4D926D-BBC-London-News-2015-07-07T213000Z-BBC1-London.mp4/index.m3u8
8,12,BBC1 London,6-jul-2015,BBC News,00:40,320 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0A3F5AF2?bcast=115974077,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0A3F5AF2-BBC-News-2015-07-06T234000Z-BBC1-London.mp4/index.m3u8
9,13,BBC1 London,6-jul-2015,BBC News at One,13:00,30 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0A4D8C1F?bcast=115976418,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0A4D8C1F-BBC-News-at-One-2015-07-06T120000Z-BBC1-London.mp4/index.m3u8
