,Unnamed: 0,Source,Date,Program Name,Time,Duration,Has Transcript,Transcript,Unavailable link,Unavailable reason,video_link
0,25,BBC1 London,6-oct-2015,BBC News,00:15,345 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0AFDE95B?bcast=116665405,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0AFDE95B-BBC-News-2015-10-06T231500Z-BBC1-London.mp4/index.m3u8
1,32,BBC1 London,7-oct-2015,BBC News,00:40,320 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0AFDE9AA?bcast=116595300,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0AFDE9AA-BBC-News-2015-10-07T234000Z-BBC1-London.mp4/index.m3u8
2,46,BBC1 London,11-oct-2015,BBC News,01:10,290 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0AFDEAE4?bcast=116627109,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0AFDEAE4-BBC-News-2015-10-11T001000Z-BBC1-London.mp4/index.m3u8
3,103,BBC1 London,19-oct-2015,BBC News,00:20,340 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0B0F8699?bcast=116678826,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0B0F8699-BBC-News-2015-10-19T232000Z-BBC1-London.mp4/index.m3u8
4,123,BBC1 London,22-oct-2015,BBC News,00:15,345 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0B215E37?bcast=116770612,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0B215E37-BBC-News-2015-10-22T231500Z-BBC1-London.mp4/index.m3u8
5,151,BBC1 London,25-oct-2015,BBC News,00:55,305 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0B215F1E?bcast=116712660,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0B215F1E-BBC-News-2015-10-25T235500Z-BBC1-London.mp4/index.m3u8
6,162,BBC1 London,28-oct-2015,BBC News,00:50,310 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0B338387?bcast=116732956,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0B338387-BBC-News-2015-10-28T235000Z-BBC1-London.mp4/index.m3u8
7,175,BBC1 London,26-oct-2015,BBC London News,22:30,10 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0B33E7E0?bcast=116804035,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0B33E7E0-BBC-London-News-2015-10-26T213000Z-BBC1-London.mp4/index.m3u8
8,176,BBC1 London,29-oct-2015,BBC News,00:05,355 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0B33844D?bcast=116740462,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0B33844D-BBC-News-2015-10-29T230500Z-BBC1-London.mp4/index.m3u8
9,183,BBC1 London,31-oct-2015,BBC News,02:20,220 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0B3385AD?bcast=116811899,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0B3385AD-BBC-News-2015-10-31T012000Z-BBC1-London.mp4/index.m3u8
