,Unnamed: 0,Source,Date,Program Name,Time,Duration,Has Transcript,Transcript,Unavailable link,Unavailable reason,video_link
0,3,BBC News 24,18-apr-2016,BBC News at Six,18:00,30 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C55E405?bcast=121472259,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C55E405-BBC-News-at-Six-2016-04-18T170000Z-BBC-News-24.mp4/index.m3u8
1,5,BBC News 24,18-apr-2016,BBC News at Ten,22:00,30 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C55E3F9?bcast=121472810,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C55E3F9-BBC-News-at-Ten-2016-04-18T210000Z-BBC-News-24.mp4/index.m3u8
2,12,BBC1 London,21-apr-2016,BBC News at Ten,22:10,30 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C55E4CE?bcast=121495072,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C55E4CE-BBC-News-at-Ten-2016-04-21T211000Z-BBC1-London.mp4/index.m3u8
3,15,BBC1 London,24-apr-2016,BBC Weekend News,13:30,10 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C55E58C?bcast=121517304,Problem processing the broadcast.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C55E58C-BBC-Weekend-News-2016-04-24T123000Z-BBC1-London.mp4/index.m3u8
4,17,BBC1 London,24-apr-2016,BBC London News,18:50,10 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C55FA14?bcast=121513366,Problem processing the broadcast.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C55FA14-BBC-London-News-2016-04-24T175000Z-BBC1-London.mp4/index.m3u8
5,19,BBC1 London,24-apr-2016,BBC London News,22:20,10 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C55FA11?bcast=121513821,Problem processing the broadcast.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C55FA11-BBC-London-News-2016-04-24T212000Z-BBC1-London.mp4/index.m3u8
6,30,BBC1 London,27-apr-2016,BBC News at Six,18:00,30 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C669FA5?bcast=121535839,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C669FA5-BBC-News-at-Six-2016-04-27T170000Z-BBC1-London.mp4/index.m3u8
7,40,BBC1 London,4-apr-2016,BBC News at One,13:00,30 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C394B21?bcast=121376339,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C394B21-BBC-News-at-One-2016-04-04T120000Z-BBC1-London.mp4/index.m3u8
8,42,BBC News 24,4-apr-2016,BBC News at Six,18:00,30 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C394B1A?bcast=121377104,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C394B1A-BBC-News-at-Six-2016-04-04T170000Z-BBC-News-24.mp4/index.m3u8
9,51,BBC1 London,8-apr-2016,BBC News at Ten,22:00,25 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C43F031?bcast=121403790,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C43F031-BBC-News-at-Ten-2016-04-08T210000Z-BBC1-London.mp4/index.m3u8
10,53,BBC1 London,12-apr-2016,Joins BBC News,00:25,335 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C504DB3?bcast=121482767,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C504DB3-Joins-BBC-News-2016-04-12T232500Z-BBC1-London.mp4/index.m3u8
11,54,BBC1 London,12-apr-2016,BBC News at One,13:00,30 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C504E37?bcast=121430011,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C504E37-BBC-News-at-One-2016-04-12T120000Z-BBC1-London.mp4/index.m3u8
12,58,BBC News 24,12-apr-2016,BBC News at Ten,22:00,30 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C504E21?bcast=121431378,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C504E21-BBC-News-at-Ten-2016-04-12T210000Z-BBC-News-24.mp4/index.m3u8
13,59,BBC1 London,12-apr-2016,BBC London News,22:30,15 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C508010?bcast=121431461,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C508010-BBC-London-News-2016-04-12T213000Z-BBC1-London.mp4/index.m3u8
14,61,BBC1 London,7-apr-2016,BBC News at One,13:00,30 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C43EFBC?bcast=121396673,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C43EFBC-BBC-News-at-One-2016-04-07T120000Z-BBC1-London.mp4/index.m3u8
15,63,BBC News 24,7-apr-2016,BBC News at Six,18:00,30 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C43EFA7?bcast=121397443,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C43EFA7-BBC-News-at-Six-2016-04-07T170000Z-BBC-News-24.mp4/index.m3u8
16,64,BBC1 London,7-apr-2016,BBC London News,18:30,30 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C441B01?bcast=121397550,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C441B01-BBC-London-News-2016-04-07T173000Z-BBC1-London.mp4/index.m3u8
17,65,BBC News 24,7-apr-2016,BBC News at Ten,22:00,30 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C43EF96?bcast=121398024,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C43EF96-BBC-News-at-Ten-2016-04-07T210000Z-BBC-News-24.mp4/index.m3u8
18,73,BBC1 London,19-apr-2016,BBC London News,22:30,15 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C55F9BF?bcast=121480881,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C55F9BF-BBC-London-News-2016-04-19T213000Z-BBC1-London.mp4/index.m3u8
19,77,BBC News 24,13-apr-2016,BBC News at Six,18:00,30 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C504E7D?bcast=121438769,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C504E7D-BBC-News-at-Six-2016-04-13T170000Z-BBC-News-24.mp4/index.m3u8
20,79,BBC News 24,13-apr-2016,BBC News at Ten,22:00,30 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C504E71?bcast=121439365,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C504E71-BBC-News-at-Ten-2016-04-13T210000Z-BBC-News-24.mp4/index.m3u8
21,80,BBC1 London,13-apr-2016,BBC London News,22:30,15 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C508026?bcast=121439449,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C508026-BBC-London-News-2016-04-13T213000Z-BBC1-London.mp4/index.m3u8
22,84,BBC News 24,22-apr-2016,BBC News at Six,18:00,30 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C55E51E?bcast=121499910,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C55E51E-BBC-News-at-Six-2016-04-22T170000Z-BBC-News-24.mp4/index.m3u8
23,86,BBC1 London,22-apr-2016,BBC News at Ten,22:00,30 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C55E515?bcast=121569934,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C55E515-BBC-News-at-Ten-2016-04-22T210000Z-BBC1-London.mp4/index.m3u8
24,87,BBC1 London,22-apr-2016,BBC London News,22:30,10 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C55F9FB?bcast=121569938,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C55F9FB-BBC-London-News-2016-04-22T213000Z-BBC1-London.mp4/index.m3u8
25,88,BBC1 London,28-apr-2016,Joins BBC News,04:50,70 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C669F8D?bcast=121540204,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C669F8D-Joins-BBC-News-2016-04-28T035000Z-BBC1-London.mp4/index.m3u8
26,91,BBC News 24,28-apr-2016,BBC News at Six,18:00,30 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C669FEE?bcast=121542655,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C669FEE-BBC-News-at-Six-2016-04-28T170000Z-BBC-News-24.mp4/index.m3u8
27,93,BBC News 24,28-apr-2016,BBC News at Ten,22:00,30 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C669FE0?bcast=121543254,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C669FE0-BBC-News-at-Ten-2016-04-28T210000Z-BBC-News-24.mp4/index.m3u8
28,94,BBC1 London,28-apr-2016,BBC London News,22:30,15 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C66A891?bcast=121543339,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C66A891-BBC-London-News-2016-04-28T213000Z-BBC1-London.mp4/index.m3u8
29,96,BBC1 London,1-apr-2016,BBC News at One,13:00,30 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C391522?bcast=121353413,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C391522-BBC-News-at-One-2016-04-01T120000Z-BBC1-London.mp4/index.m3u8
