,Unnamed: 0,Source,Date,Program Name,Time,Duration,Has Transcript,Transcript,Unavailable link,Unavailable reason,video_link
0,5,BBC News 24,11-feb-2016,BBC News at Ten,22:00,30 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0BEFBABE?bcast=121038097,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0BEFBABE-BBC-News-at-Ten-2016-02-11T210000Z-BBC-News-24.mp4/index.m3u8
1,35,BBC1 London,29-feb-2016,Joins BBC News,01:00,300 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C039173?bcast=121147517,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C039173-Joins-BBC-News-2016-02-29T000000Z-BBC1-London.mp4/index.m3u8
2,54,BBC News 24,2-feb-2016,BBC News at Ten,22:00,30 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0BE5F748?bcast=120977299,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0BE5F748-BBC-News-at-Ten-2016-02-02T210000Z-BBC-News-24.mp4/index.m3u8
3,56,BBC1 London,9-feb-2016,Joins BBC News,00:15,345 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0BEFB9DE?bcast=121019485,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0BEFB9DE-Joins-BBC-News-2016-02-09T231500Z-BBC1-London.mp4/index.m3u8
4,95,BBC1 London,1-feb-2016,BBC London News,18:30,30 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0BE6024B?bcast=120970703,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0BE6024B-BBC-London-News-2016-02-01T173000Z-BBC1-London.mp4/index.m3u8
5,99,BBC1 London,7-feb-2016,BBC Weekend News,13:00,15 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0BE5F897?bcast=121008119,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0BE5F897-BBC-Weekend-News-2016-02-07T120000Z-BBC1-London.mp4/index.m3u8
6,100,BBC1 London,7-feb-2016,BBC Weekend News,18:35,15 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0BE5F894?bcast=121008889,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0BE5F894-BBC-Weekend-News-2016-02-07T173500Z-BBC1-London.mp4/index.m3u8
7,128,BBC News 24,8-feb-2016,BBC News at Six,18:00,30 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0BEFB9F8?bcast=121014904,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0BEFB9F8-BBC-News-at-Six-2016-02-08T170000Z-BBC-News-24.mp4/index.m3u8
8,139,BBC1 London,28-feb-2016,Joins BBC News,01:20,280 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C039140?bcast=121141239,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C039140-Joins-BBC-News-2016-02-28T002000Z-BBC1-London.mp4/index.m3u8
9,146,BBC1 London,27-feb-2016,BBC Weekend News,12:00,10 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C039153?bcast=121136392,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C039153-BBC-Weekend-News-2016-02-27T110000Z-BBC1-London.mp4/index.m3u8
10,157,BBC1 London,5-feb-2016,BBC News at One,13:00,30 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0BE5F828?bcast=120995419,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0BE5F828-BBC-News-at-One-2016-02-05T120000Z-BBC1-London.mp4/index.m3u8
11,159,BBC News 24,5-feb-2016,BBC News at Six,18:00,30 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0BE5F822?bcast=120996094,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0BE5F822-BBC-News-at-Six-2016-02-05T170000Z-BBC-News-24.mp4/index.m3u8
12,173,BBC1 London,14-feb-2016,Joins BBC News,01:45,255 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0BEFBB56?bcast=121064048,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0BEFBB56-Joins-BBC-News-2016-02-14T004500Z-BBC1-London.mp4/index.m3u8
