,Unnamed: 0,Source,Date,Program Name,Time,Duration,Has Transcript,Transcript,Unavailable link,Unavailable reason,video_link
0,0,BBC1 London,1-jun-2016,Joins BBC News,00:35,325 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C9ACB76?bcast=121770577,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C9ACB76-Joins-BBC-News-2016-06-01T233500Z-BBC1-London.mp4/index.m3u8
1,10,BBC News 24,6-jun-2016,BBC News at Six,18:00,30 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C9AD15F?bcast=121806879,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C9AD15F-BBC-News-at-Six-2016-06-06T170000Z-BBC-News-24.mp4/index.m3u8
2,12,BBC1 London,14-jun-2016,Joins BBC News,00:25,335 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0CB1719D?bcast=121929232,Problem processing the broadcast.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0CB1719D-Joins-BBC-News-2016-06-14T232500Z-BBC1-London.mp4/index.m3u8
3,21,BBC1 London,21-jun-2016,Joins BBC News,00:30,330 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0CC205B8?bcast=121937040,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0CC205B8-Joins-BBC-News-2016-06-21T233000Z-BBC1-London.mp4/index.m3u8
4,26,BBC1 London,18-jun-2016,BBC Weekend News,12:00,10 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0CB17396?bcast=121887323,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0CB17396-BBC-Weekend-News-2016-06-18T110000Z-BBC1-London.mp4/index.m3u8
5,27,BBC1 London,18-jun-2016,BBC Weekend News,19:00,20 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0CB17393?bcast=121896128,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0CB17393-BBC-Weekend-News-2016-06-18T180000Z-BBC1-London.mp4/index.m3u8
6,30,BBC1 London,24-jun-2016,BBC News Special,14:00,90 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0CC4BAA3?bcast=122026270,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0CC4BAA3-BBC-News-Special-2016-06-24T130000Z-BBC1-London.mp4/index.m3u8
7,32,BBC1 London,24-jun-2016,BBC News at Ten,22:00,55 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0CC19016?bcast=122026326,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0CC19016-BBC-News-at-Ten-2016-06-24T210000Z-BBC1-London.mp4/index.m3u8
8,40,BBC1 London,27-jun-2016,Joins BBC News,01:15,285 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0CC190A8?bcast=122039217,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0CC190A8-Joins-BBC-News-2016-06-27T001500Z-BBC1-London.mp4/index.m3u8
9,44,BBC1 London,29-jun-2016,Joins BBC News,00:45,315 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0CCCAB55?bcast=122051875,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0CCCAB55-Joins-BBC-News-2016-06-29T234500Z-BBC1-London.mp4/index.m3u8
