,Unnamed: 0,Source,Date,Program Name,Time,Duration,Has Transcript,Transcript,Unavailable link,Unavailable reason,video_link
0,7,BBC1 London,10-mar-2016,Joins BBC News,01:30,270 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C177D9A?bcast=121213294,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C177D9A-Joins-BBC-News-2016-03-10T003000Z-BBC1-London.mp4/index.m3u8
1,34,BBC1 London,21-mar-2016,BBC London News,22:30,15 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C268EDF?bcast=121284340,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C268EDF-BBC-London-News-2016-03-21T213000Z-BBC1-London.mp4/index.m3u8
2,38,BBC News 24,24-mar-2016,BBC News at Six,18:00,30 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C2684D3?bcast=121305676,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C2684D3-BBC-News-at-Six-2016-03-24T170000Z-BBC-News-24.mp4/index.m3u8
3,73,BBC1 London,16-mar-2016,BBC News at Six,18:00,30 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C20F09B?bcast=121253470,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C20F09B-BBC-News-at-Six-2016-03-16T170000Z-BBC1-London.mp4/index.m3u8
4,83,BBC1 London,22-mar-2016,BBC News at Ten,22:00,40 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C268430?bcast=121367372,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C268430-BBC-News-at-Ten-2016-03-22T210000Z-BBC1-London.mp4/index.m3u8
5,111,BBC News 24,30-mar-2016,BBC News at Ten,22:00,30 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C3910FF?bcast=121343051,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C3910FF-BBC-News-at-Ten-2016-03-30T210000Z-BBC-News-24.mp4/index.m3u8
6,120,BBC1 London,13-mar-2016,Joins BBC News,01:20,280 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C177E70?bcast=121230284,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C177E70-Joins-BBC-News-2016-03-13T002000Z-BBC1-London.mp4/index.m3u8
7,126,BBC1 London,19-mar-2016,Joins BBC News,03:05,175 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C20F110?bcast=121350720,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C20F110-Joins-BBC-News-2016-03-19T020500Z-BBC1-London.mp4/index.m3u8
8,127,BBC1 London,19-mar-2016,BBC Weekend News,12:00,10 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C20F166?bcast=121269516,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C20F166-BBC-Weekend-News-2016-03-19T110000Z-BBC1-London.mp4/index.m3u8
9,130,BBC1 London,19-mar-2016,BBC News,22:10,20 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C20F15D?bcast=121270909,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C20F15D-BBC-News-2016-03-19T211000Z-BBC1-London.mp4/index.m3u8
10,152,BBC1 London,20-mar-2016,BBC Weekend News,18:15,20 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C20F193?bcast=121280233,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C20F193-BBC-Weekend-News-2016-03-20T171500Z-BBC1-London.mp4/index.m3u8
11,201,BBC1 London,15-mar-2016,BBC News at One,13:00,30 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C20F05B?bcast=121246355,Program has an empty transcript field.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C20F05B-BBC-News-at-One-2016-03-15T120000Z-BBC1-London.mp4/index.m3u8
12,203,BBC1 London,15-mar-2016,BBC News at Six,18:00,30 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C20F053?bcast=121247078,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C20F053-BBC-News-at-Six-2016-03-15T170000Z-BBC1-London.mp4/index.m3u8
13,205,BBC1 London,15-mar-2016,BBC News at Ten,22:00,30 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C20F045?bcast=121247615,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C20F045-BBC-News-at-Ten-2016-03-15T210000Z-BBC1-London.mp4/index.m3u8
