,Unnamed: 0,Source,Date,Program Name,Time,Duration,Has Transcript,Transcript,Unavailable link,Unavailable reason,video_link
0,17,BBC News 24,6-may-2016,BBC News at Six,18:00,30 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C70F654?bcast=121596040,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C70F654-BBC-News-at-Six-2016-05-06T170000Z-BBC-News-24.mp4/index.m3u8
1,19,BBC News 24,6-may-2016,BBC News at Ten,22:00,30 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C70F646?bcast=121596641,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C70F646-BBC-News-at-Ten-2016-05-06T210000Z-BBC-News-24.mp4/index.m3u8
2,24,BBC News 24,5-may-2016,BBC News at Six,18:00,30 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C70F5FC?bcast=121590571,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C70F5FC-BBC-News-at-Six-2016-05-05T170000Z-BBC-News-24.mp4/index.m3u8
3,25,BBC1 London,5-may-2016,BBC London News,18:30,30 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C710D52?bcast=121590676,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C710D52-BBC-London-News-2016-05-05T173000Z-BBC1-London.mp4/index.m3u8
4,35,BBC1 London,7-may-2016,Joins BBC News,01:30,270 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C70F638?bcast=121674607,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C70F638-Joins-BBC-News-2016-05-07T003000Z-BBC1-London.mp4/index.m3u8
5,45,BBC News 24,9-may-2016,BBC News at Ten,22:00,30 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C70F6FE?bcast=121616389,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C70F6FE-BBC-News-at-Ten-2016-05-09T210000Z-BBC-News-24.mp4/index.m3u8
6,52,BBC News 24,10-may-2016,BBC News at Ten,22:00,30 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C7B8536?bcast=121623808,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C7B8536-BBC-News-at-Ten-2016-05-10T210000Z-BBC-News-24.mp4/index.m3u8
7,74,BBC1 London,1-may-2016,BBC Weekend News,18:30,20 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C66A0FE?bcast=121560637,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C66A0FE-BBC-Weekend-News-2016-05-01T173000Z-BBC1-London.mp4/index.m3u8
8,95,BBC News 24,3-may-2016,BBC News at Six,18:00,30 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C70F529?bcast=121576359,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C70F529-BBC-News-at-Six-2016-05-03T170000Z-BBC-News-24.mp4/index.m3u8
9,97,BBC News 24,3-may-2016,BBC News at Ten,22:00,30 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C70F51B?bcast=121576960,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C70F51B-BBC-News-at-Ten-2016-05-03T210000Z-BBC-News-24.mp4/index.m3u8
10,102,BBC1 London,2-may-2016,BBC News at Six,18:00,15 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C70F4CD?bcast=121568030,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C70F4CD-BBC-News-at-Six-2016-05-02T170000Z-BBC1-London.mp4/index.m3u8
11,130,BBC1 London,24-may-2016,Joins BBC News,00:20,340 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C8A6820?bcast=121722594,Program has an empty transcript field.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C8A6820-Joins-BBC-News-2016-05-24T232000Z-BBC1-London.mp4/index.m3u8
12,134,BBC1 London,25-may-2016,Joins BBC News,00:50,310 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C8A6882?bcast=121728311,Program has an empty transcript field.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C8A6882-Joins-BBC-News-2016-05-25T235000Z-BBC1-London.mp4/index.m3u8
13,136,BBC1 London,25-may-2016,BBC News at Six,18:00,30 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C8A68FA?bcast=121731641,Problem processing the broadcast.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C8A68FA-BBC-News-at-Six-2016-05-25T170000Z-BBC1-London.mp4/index.m3u8
14,138,BBC1 London,26-may-2016,Joins BBC News,01:30,270 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C8A68D6?bcast=121734063,Program has an empty transcript field.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C8A68D6-Joins-BBC-News-2016-05-26T003000Z-BBC1-London.mp4/index.m3u8
15,142,BBC1 London,19-may-2016,Joins BBC News,00:50,310 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C834B14?bcast=121683912,Program has an empty transcript field.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C834B14-Joins-BBC-News-2016-05-19T235000Z-BBC1-London.mp4/index.m3u8
16,147,BBC1 London,19-may-2016,BBC News at Ten,22:00,30 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C834B6E?bcast=121687855,Problem processing the broadcast.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C834B6E-BBC-News-at-Ten-2016-05-19T210000Z-BBC1-London.mp4/index.m3u8
17,149,BBC1 London,21-may-2016,Joins BBC News,01:45,255 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C834BAE?bcast=121775717,Program has an empty transcript field.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C834BAE-Joins-BBC-News-2016-05-21T004500Z-BBC1-London.mp4/index.m3u8
18,153,BBC1 London,23-may-2016,Joins BBC News,00:45,315 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0C834C34?bcast=121721206,Program has an empty transcript field.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0C834C34-Joins-BBC-News-2016-05-23T234500Z-BBC1-London.mp4/index.m3u8
