datadate,year,tic,conm,cik,conml
31dec2015,2015,"BCR","BARD (C.R.) INC","0000009892","Bard (C.R.) Inc"
31dec2016,2016,"OKSB","SOUTHWEST BANCORP INC","0000914374","Southwest Bancorp Inc"
31dec2003,2003,"NEWCQ","NEW CENTURY FINANCIAL CORP","0001287286","New Century Financial Corp"
31dec2004,2004,"GTMAY","GRUPO TMM S.A.B","0001163560","Grupo Tmm S.A.B."
31dec2006,2006,"PEG3","PSEG POWER LLC","0001158659","PSEG Power LLC"
31dec2011,2011,"GA","GIANT INTERACTIVE GROUP -ADR","0001415016","Giant Interactive Group Inc"
31dec2011,2011,"PPL2","PPL ELECTRIC UTILITIES CORP","0000317187","PPL Electric Utilities Corp"
31dec2002,2002,"BOBJY","BUSINESS OBJECTS SA","0000928753","Business Objects SA"
31dec2005,2005,"HAN","HANSON PLC","0001265725","Hanson PLC"
31dec2010,2010,"UMC","UNITED MICROELECTRONICS CORP","0001033767","United Microelectronics Corp"
31dec2005,2005,"DRYS","DRYSHIPS INC","0001308858","DryShips Inc"
31jan2012,2011,"6027B","SSI INVESTMENTS II LTD","0001501919","SSI Investments II Ltd"
30jun2013,2013,"AMRK","A-MARK PRECIOUS METALS INC","0001591588","A-Mark Precious Metals Inc"
31dec2011,2011,"ALU","ALCATEL-LUCENT","0000886125","Alcatel-Lucent"
31dec2005,2005,"PFGC","PERFORMANCE FOOD GROUP CO","0001618673","Performance Food Group Co"
31dec2009,2009,"CENX","CENTURY ALUMINUM CO","0000949157","Century Aluminum Co"
31dec2001,2001,"PD.1","PHELPS DODGE CORP","0000078066","Phelps Dodge Corp"
30jun2016,2016,"CMPR","CIMPRESS PLC","0001262976","Cimpress PLC"
31dec2014,2014,"STJ","ST JUDE MEDICAL INC","0000203077","St. Jude Medical Inc."
31dec2006,2006,"PNC","PNC FINANCIAL SVCS GROUP INC","0000713676","The PNC Financial Services Group Inc"
31dec2006,2006,"ACR","ACRES COMMERCIAL REALTY CORP","0001332551","ACRES Commercial Realty Corp"
31aug2009,2009,"0123A","UNITED REFINING CO","0000101462","United Refining Co"
31dec2005,2005,"CL","COLGATE-PALMOLIVE CO","0000021665","Colgate-Palmolive Co"
31dec2008,2008,"ELN","ELAN CORP PLC","0000737572","Elan Corp PLC"
31dec2014,2014,"ALKS","ALKERMES PLC","0001520262","Alkermes Plc"
31dec2013,2013,"YNDX","YANDEX N.V.","0001513845","Yandex NV"
31dec2007,2007,"QMAR.1","QUINTANA MARITIME LTD","0001325098","Quintana Maritime Ltd"
30jun2001,2001,"TFCFA","TWENTY-FIRST CENTURY FOX INC","0001308161","Twenty-First Century Fox Inc"
30nov2001,2001,"VOXX","VOXX INTERNATIONAL CORP","0000807707","VOXX International Corp"
31dec2010,2010,"L","LOEWS CORP","0000060086","Loews Corp"
31dec2005,2005,"BCH","BANCO DE CHILE","0001161125","Banco De Chile"
31mar2003,2002,"LAVA","MAGMA DESIGN AUTOMATION INC","0001065034","Magma Design Automation Inc"
31dec2001,2001,"CBD","COMPANHIA BRASILEIRA DE DIST","0001038572","Companhia Brasileira De Distribuicao"
31dec2010,2010,"FNF","FIDELITY NATL FINL FNF GROUP","0001331875","Fidelity National Financial Inc FNF Group"
31dec2009,2009,"WMB","WILLIAMS COS INC","0000107263","Williams Cos Inc. (The)"
31dec2004,2004,"UIS","UNISYS CORP","0000746838","Unisys Corp"
31dec2001,2001,"WNC","WABASH NATIONAL CORP","0000879526","Wabash National Corp"
31dec2004,2004,"MYG.1","MAYTAG CORP","0000063541","Maytag Corp"
31dec2004,2004,"LEND.1","ACCREDITED HOME LENDERS HLDG","0001174735","Accredited Home Lenders Holding Co."
31dec2014,2014,"DHR","DANAHER CORP","0000313616","Danaher Corp"
31dec2002,2002,"CZGE.CM","GENZYME CORP-CONSOLIDATED","","Genzyme Corp-Consolidated"
30sep2016,2016,"FFIV","F5 NETWORKS INC","0001048695","F5 Networks Inc"
31dec2001,2001,"AVP","AVON PRODUCTS","0000008868","Avon Products Inc."
31may2002,2001,"PALM","PALM INC","0001100389","Palm Inc"
31dec2002,2002,"HGKGY","POWER ASSETS HOLDINGS LTD","0000946432","Power Assets Holdings Ltd"
31dec2014,2014,"WB","WEIBO CORP","0001595761","Weibo Corp"
29feb2012,2011,"RAD","RITE AID CORP","0000084129","Rite Aid Corp."
31dec2014,2014,"WAL","WESTERN ALLIANCE BANCORP","0001212545","Western Alliance Bancorporation"
31dec2010,2010,"ED","CONSOLIDATED EDISON INC","0001047862","Consolidated Edison Inc."
31dec2016,2016,"CSIQ","CANADIAN SOLAR INC","0001375877","Canadian Solar Inc"
31dec2013,2013,"ROC","ROCKWOOD HOLDINGS INC","0001315695","Rockwood Holdings Inc"
31dec2003,2003,"THG","HANOVER INSURANCE GROUP INC","0000944695","Hanover Insurance Group Inc (The)"
31dec2010,2010,"UOVEY","UNITED OVERSEAS BANK LTD","0000867530","United Overseas Bank Ltd"
31aug2016,2016,"SCHN","SCHNITZER STEEL INDS  -CL A","0000912603","Schnitzer Steel Industries Inc"
31dec2008,2008,"COF","CAPITAL ONE FINANCIAL CORP","0000927628","Capital One Financial Corp."
31dec2007,2007,"TS","TENARIS SA","0001190723","Tenaris SA, Luxembourg"
31dec2003,2003,"POG.3","PATINA OIL & GAS CORP","0001006264","Patina Oil & Gas Corp"
31dec2007,2007,"AEG","AEGON NV","0000769218","Aegon NV"
31dec2012,2012,"SO2","GEORGIA POWER","0000041091","Georgia Power Co"
31dec2003,2003,"ING","ING GROEP NV","0001039765","ING Groep NV"
31dec2002,2002,"MMP","MAGELLAN MIDSTREAM PRTNRS LP","0001126975","Magellan Midstream Partners LP"
31dec2014,2014,"WIBC","WILSHIRE BANCORP INC","0001285224","Wilshire Bancorp Inc"
31dec2016,2016,"ICAGY","INTL CONSOL AIRLINES GROUP","0000809023","International Consolidated Airlines Group SA"
31dec2003,2003,"CHK","CHESAPEAKE ENERGY CORP","0000895126","Chesapeake Energy Corp"
31dec2005,2005,"TCF","TCF FINANCIAL CORP","0000019612","TCF Financial Corp"
31dec2005,2005,"OMF","ONEMAIN HOLDINGS INC","0001584207","OneMain Holdings Inc"
31jan2015,2014,"MENT","MENTOR GRAPHICS CORP","0000701811","Mentor Graphics Corp"
31dec2016,2016,"STMP","STAMPS.COM INC","0001082923","Stamps.com Inc"
31dec2015,2015,"PEAK","HEALTHPEAK PROPERTIES INC","0000765880","Healthpeak Properties Inc"
31dec2002,2002,"HAL","HALLIBURTON CO","0000045012","Halliburton Co"
31dec2001,2001,"CVOVQ","CENVEO INC","0000920321","Cenveo Inc."
31dec2014,2014,"CMA","COMERICA INC","0000028412","Comerica Inc"
30sep2005,2005,"SNRR.1","SUNTERRA CORP","0001016577","Sunterra Corp"
31jul2006,2006,"INTU","INTUIT INC","0000896878","Intuit Inc."
31dec2012,2012,"UHS","UNIVERSAL HEALTH SVCS INC","0000352915","Universal Health Services Inc."
31dec2010,2010,"MMM","3M CO","0000066740","3M Co"
31dec2004,2004,"BAC2","MERRILL LYNCH & CO INC","0000065100","Merrill Lynch & Co Inc"
30jun2003,2003,"FBRWY","FOSTER'S GROUP LTD","0000824811","Foster'S Group Ltd"
31dec2004,2004,"EHC","ENCOMPASS HEALTH CORP","0000785161","Encompass Health Corp"
31dec2009,2009,"BBAR","BANCO BBVA ARGENTINA SA","0000913059","Banco BBVA Argentina SA"
31dec2001,2001,"WWY","WRIGLEY (WM) JR CO","0000108601","Wm. Wrigley Jr. Co"
31dec2016,2016,"USNA","USANA HEALTH SCIENCES INC","0000896264","USANA Health Sciences Inc"
31dec2016,2016,"CMG","CHIPOTLE MEXICAN GRILL INC","0001058090","Chipotle Mexican Grill Inc"
31dec2015,2015,"0141A","HEXION INC","0000013239","Hexion Inc"
