cik,conml,year,href
3370,IKON Office Solutions Inc.,2008,https://www.sec.gov/Archives/edgar/data/0000003370/000129993308005163/htm_29787.htm
3370,IKON Office Solutions Inc.,2008,https://www.sec.gov/Archives/edgar/data/0000003370/000089322008002504/w66777exv99w3.htm
3370,IKON Office Solutions Inc.,2008,https://www.sec.gov/Archives/edgar/data/0000003370/000129993308005163/exhibit1.htm
3370,IKON Office Solutions Inc.,2008,https://www.sec.gov/Archives/edgar/data/0000003370/000089322008002504/w66777exv99w4.htm
3370,IKON Office Solutions Inc.,2008,https://www.sec.gov/Archives/edgar/data/0000003370/000089322008002504/w66777e8vk.htm
3370,IKON Office Solutions Inc.,2008,https://www.sec.gov/Archives/edgar/data/0000003370/000089322008002504/w66777exv99w2.htm
3370,IKON Office Solutions Inc.,2008,https://www.sec.gov/Archives/edgar/data/0000003370/000089322008002725/w71134e8vk.htm
3370,IKON Office Solutions Inc.,2008,https://www.sec.gov/Archives/edgar/data/0000003370/000089322008002504/w66777exv99w1.htm
3952,Allied Defense Group Inc. (The),2009,https://www.sec.gov/Archives/edgar/data/0000003952/000095012310003123/c94759exv99w1.htm
3952,Allied Defense Group Inc. (The),2009,https://www.sec.gov/Archives/edgar/data/0000003952/000095012310060752/c02852e8vk.htm
3952,Allied Defense Group Inc. (The),2009,https://www.sec.gov/Archives/edgar/data/0000003952/000095012310003123/c94759exv4w1.htm
3952,Allied Defense Group Inc. (The),2009,https://www.sec.gov/Archives/edgar/data/0000003952/000095012310060752/c02852exv2w1.htm
3952,Allied Defense Group Inc. (The),2009,https://www.sec.gov/Archives/edgar/data/0000003952/000095012310003123/c94759e8vk.htm
3982,Allis-Chalmers Energy Inc,2010,https://www.sec.gov/Archives/edgar/data/0000003982/000134100411000615/ex3-1.htm
3982,Allis-Chalmers Energy Inc,2010,https://www.sec.gov/Archives/edgar/data/0000003982/000134100411000615/form8-k.htm
3982,Allis-Chalmers Energy Inc,2010,https://www.sec.gov/Archives/edgar/data/0000003982/000114420411003959/v208954_8k.htm
