datadate,year,tic,conm,cik,conml,matched
31dec2003,2003,4165A,ACF INDUSTRIES INC,910627.0,ACF Industries Inc,0
30sep2010,2010,ADCT.1,ADC TELECOMMUNICATIONS INC,61478.0,ADC Telecommunications Inc.,0
31dec2001,2001,AFAP,AFA PROTECTIVE SYSTEMS INC,2668.0,AFA Protective Systems Inc,0
30jun2008,2008,IWKS,AFP IMAGING CORP,319126.0,AFP Imaging Corp,0
31dec2007,2007,ALO.2,ALPHARMA INC  -CL A,730469.0,Alpharma Inc.,1
31mar2002,2001,AMCM.,AM COMMUNICATIONS INC,318580.0,AM Communication Inc.,0
31mar2004,2003,AEN.2,AMC ENTERTAINMENT INC -OLD,,AMC Entertainment Inc -Old,0
31dec2006,2006,4267A,ANR PIPELINE CO,65695.0,ANR Pipeline Co,1
30jun2006,2006,ARXX,AEROFLEX INC,2601.0,Aeroflex Inc,0
30apr2011,2010,SERV.1,SERVIDYNE INC,1923.0,Servidyne Inc,0
31dec2009,2009,WDDD,WORLDS INC,1961.0,Worlds Inc,0
31dec2001,2001,AK,ACKERLEY GROUP INC,319120.0,Ackerley Group Inc,0
31dec2014,2014,ACMTA,ACMAT CORP  -CL A,2062.0,ACMAT Corp,0
31dec2002,2002,2675B,ACE HARDWARE CORP,2024.0,Ace Hardware Corp,1
31dec2008,2008,AHIXD,ALUF HOLDINGS INC,747435.0,Aluf Holdings Inc,0
31mar2008,2007,ATVI.1,ACTIVISION INC,,Activision Inc.,0
31dec2002,2002,AERS.,AERO SYSTEMS ENGINEERING INC,2589.0,Aero Systems Engineering Inc,0
31dec2004,2004,MCIP,MCI INC,723527.0,MCI Inc,0
30sep2005,2005,BFTC,B-FAST CORP,350200.0,B-Fast Corp,0
31jan2013,2012,AIM.1,AEROSONIC CORP,109471.0,Aerosonic Corp,0
31jan2008,2007,IDAI.,IDNA INC,1004981.0,iDNA Inc,0
30jun2002,2002,1900B,AGWAY INC,2852.0,Agway Inc,1
31dec2002,2002,ABF,AIRBORNE INC,3000.0,Airborne Inc.,0
30sep2010,2010,ACV.1,ALBERTO-CULVER CO,1368457.0,Alberto-Culver Co,1
31jan2006,2005,ABS.1,ALBERTSON'S INC,3333.0,Albertson's Inc.,1
31dec2006,2006,AL.1,ALCAN INC,4285.0,Alcan Inc.,1
31may2003,2002,ALCD.,ALCIDE CORP,708484.0,Alcide Corp,0
30sep2008,2008,IKN,IKON OFFICE SOLUTIONS,3370.0,IKON Office Solutions Inc.,1
31dec2005,2005,CGYNQ,CAPCO ENERGY INC,354767.0,Capco Energy Inc,0
31jul2012,2012,ACEL.,TAMIR BIOTHECHNOLOGY INC,708717.0,Tamir Biotechnology Inc,0
31dec2010,2010,AYE,ALLEGHENY ENERGY INC,3673.0,Allegheny Energy Inc.,1
31dec2002,2002,ALN.2,ALLEN TELECOM INC,3721.0,Allen Telecom Inc.,0
31dec2004,2004,AORGB,ALLEN ORGAN CO  -CL B,3753.0,Allen Organ Company,0
31dec2010,2010,ALY,ALLIS-CHALMERS ENERGY INC,3982.0,Allis-Chalmers Energy Inc,0
31dec2006,2006,AT.2,ALLTEL CORP,65873.0,ALLTEL Corp,1
31mar2002,2001,SCHR.1,SCHERER HEALTHCARE INC,703598.0,Scherer Healthcare Inc,0
31dec2012,2012,APNI,ALPINE GROUP INC,4164.0,Alpine Group Inc,1
31dec2002,2002,AT2,ALLTEL PENNSYLVANIA INC,65899.0,Alltel Pennsylvania Inc,0
31dec2015,2015,AA.3,ALCOA INC,,Alcoa Inc,0
31mar2006,2005,SNTO,SENTO CORP,4317.0,Sento Corp,0
