date,program,link,transcript
2014-07-05,Queen Names UK's Newest And Biggest Warship,https://web.archive.org/https://web.archive.org//web/20140705015538/http://news.sky.com/story/1294717/queen-names-uks-newest-and-biggest-warship,"By Alistair Bunkall, Defence Correspondent The Queen has named the UK's new aircraft carrier, marking a major milestone in the history of the Royal Navy. 
	At 65,000 tons, HMS Queen Elizabeth is the biggest and most powerful warship ever built in the UK. 
	The naming ceremony, in Scotland, was attended by the Duke of Edinburgh, the Prime Minister, the Opposition leader, the leader of the SNP and heads of military. 
	About 3,500 people involved in the design and building of the carrier also watched the celebrations. 
	Before naming the ship the Queen said: ""Lord Mountbatten told my father on becoming king that 'there's no more fitting preparation to be king than to be trained in the Royal Navy'. 
	""My own personal associations ... remind me that that reputation for excellence continues to this day. 
	""In sponsoring this new aircraft carrier I believe that Queen Elizabeth, as flagship for the Royal Navy, will be a source of inspiration and pride for us all."" 
	The Queen then smashed a bottle of Islay malt whisky, rather than the traditional champagne, on the ship's hull, reflecting the role Scotland has played in its construction. 
	Earlier, Aircraft Carrier Alliance managing director Ian Booth, who oversaw the construction of the ship, said: ""This is a historic occasion for our country and a proud moment for more than 10,000 people across the UK who have worked together to deliver HMS Queen Elizabeth. 
	Defence Secretary Philip Hammond said: ""HMS Queen Elizabeth is the largest ship that the Royal Navy has ever had and is a true demonstration of the UK at its best. 
	Eventually, F-35B Lightning II Joint Strike Fighter planes will fly off the carrier, although the Government is yet to announce the order of the first tranche of planes. 
	Confirmation of that order is expected within weeks. 
	The F-35 is the world's first fifth-generation fighter jet. The 'B' variant ordered by the UK Government can land vertically and take off on a short runway like its predecessor, the Harrier jump jet. 
	But it means that, for its first two years of service, HMS Queen Elizabeth will sail with only helicopters onboard. 
	A decision on the future of a second carrier, HMS Prince of Wales, has been delayed until 2016, although the Government is expected to keep it as part of the fleet rather than sell it off. 
	Together, the two carriers will cost £6.2bn to build. 
	Later this month, the new carrier will be floated for the first time before she embarks on sea trials for a few years and finally enters service."
2014-07-05,PM Orders Probe Into Paedophile Dossier,https://web.archive.org/https://web.archive.org//web/20140705015538/http://news.sky.com/story/1295317/pm-orders-probe-into-paedophile-dossier,"By Anushka Asthana, Sky News Political Correspondent The Prime Minister has ordered an investigation into what happened to a dossier containing explosive allegations about paedophile activity by powerful and famous figures in the 1980s. 
	David Cameron said he wants Mark Sedwill, the permanent secretary to the Home Office, to do ""everything he can"" to get to the truth. 
	The Government has been under pressure to act after claims that a list of names of suspected child abusers, including high-profile men in the establishment, was passed by the MP Geoffrey Dickens to the then-home secretary. 
	Lord Brittan admitted he received the dossier and passed it on to officials - but no action was ever taken. 
	""I quite understand people's concerns about these events that were referred to over 30 years ago,"" Mr Cameron said. 
	""And that is why I've asked the permanent secretary at the Home Office to do everything he can to find answers to all of these questions and make sure we can reassure people about these events."" 
	Mr Cameron warned that nothing must be done to ""prejudice or prevent proper action by the police"" but urged anyone with information of ""criminal wrongdoing"" to come forward. 
	The move comes after an investigation by the Home Office in 2013 into what happened - which was not fully published - concluded that the ""credible"" parts of the dossier were passed on to prosecutors while other parts were ""not retained or destroyed"".  
	Mr Dickens' son, Barry, said he was dismayed by the lack of action over the files which his father had warned would ""blow everything apart"". He told Sky News that he wanted to see the Prime Minister take action. 
	Many of the questions focused on the Elm Guest House in Barnes, southwest London, where there have been allegations that senior members of the establishment abused children. 
	One figure who was said to go there was the former Lib Dem MP, Cyril Smith, about whom allegations of serial child abuse have emerged since his death in 2010. 
	One 16-year-old claimed he was abused by Smith at the Barnes institution. The allegations were contained in a book co-authored by Labour MP Simon Danscuk. 
	Barry Dickens told Sky News that an investigation by Mr Sedwill was inadequate. 
	""I’m not convinced the Home Office can investigate its own failings,"" he said. 
	Many are now calling for a full public inquiry into the allegations, although the Prime Minister and others have warned that it was right for the police to take the lead. 
	Labour MP Simon Danczuk, who has investigated claims of abuse by Smith, said: ""The Prime Minister knows that there is a growing sense of public anger about allegations of historic abuse involving senior politicians and his statement today represents little more than a damage limitation exercise. It doesn't go far enough. 
	""The public has lost confidence in these kind of official reviews, which usually result in a whitewash. The only way to get to the bottom of this is a thorough public inquiry."""
2014-07-05,Paediatrician Accused Of Sex Attacks On Boys,https://web.archive.org/https://web.archive.org//web/20140705015538/http://news.sky.com/story/1294967/paediatrician-accused-of-sex-attacks-on-boys,"By Emma Birchley, East of England Correspondent A paediatric doctor has appeared in court accused of sex offences against cancer patients as young as 11. 
	Dr Myles Bradbury, 41, who worked as a paediatric haematologist at Addenbrooke's Hospital, Cambridge, is accused of four counts of sexual assault and a further four of engaging in sexual activity with boys. 
	The boys were aged between 11 and 15. 
	Cambridge Magistrates' Court also heard that Bradbury, of Herringswell, Suffolk, was found with 16,629 indecent still images of children and 20 indecent videos. 
	Delia Matthews, prosecuting, said: ""He was in a position of trust as he was a doctor of these children who were cancer patients. They were very vulnerable."" 
	She added he could face up to seven years in prison. 
	The offences are said to have taken place between December 2011 and December 2013. 
	Bradbury is also facing charges of making indecent images of a child and one act of voyeurism, where it is alleged he secretly filmed somebody engaged in a sex act. 
	Magistrate Stephanie Bishop said: ""On what we have heard it would be inappropriate for these charges ... to be dealt with in the magistrates court."" 
	Wearing a dark blue suit, white shirt and tie, Bradbury spoke only to confirm his name, date of birth and address. 
	He did not indicate any likely plea and was bailed to appear before Cambridge Crown Court on July 11. 
	Cambridge University Hospitals NHS Trust, which runs Addenbrooke's Hospital, has set up a helpline to be used ""if parents, patients or former patients have any concerns"". 
	The Trust added it was working closely with the NSPCC. 
	The helpline, on 0800 389 8625, can be reached between 8am and 9pm on weekdays and 9am to 5pm at weekends."
2014-07-05,Boxer Amir Khan Arrested Over Assaults,https://web.archive.org/https://web.archive.org//web/20140705015538/http://news.sky.com/story/1295346/boxer-amir-khan-arrested-over-assaults,"Former boxing world champion Amir Khan has been arrested on suspicion of two assaults in Bolton. 
	Khan, 27, was held after two teenagers were attacked in the early hours of Friday. 
	A Greater Manchester Police spokesman said: ""Just before 1.30am on Friday, police were called following reports of an assault in Bolton. 
	""Officers attended Russell Street and discovered two 19-year-old men had been assaulted. Their injuries are not serious. 
	""A 27-year-old man was arrested on suspicion of two section 47 assaults."" 
	The former WBA and IBF light welterweight champion has been released on bail until mid July. 
	An ambulance spokesman said paramedics attended the scene but those at the scene refused treatment. 
	A spokesman for the light welterweight fighter confirmed he had been questioned by police but was expecting the case to be dropped. 
	He added that some reports in the media had seen the allegations ""blown out of all proportion"". 
	""It was a minor incident and we're expecting the case to be dropped against Amir,"" the spokesman said. 
	""We're expecting to formally hear that from police on Monday morning."" 
	Khan later tweeted about the arrest, writing: ""All nonsense please don't believe what you read. I'm home with my family and nobody got beat up."""
2014-07-05,Rolf Harris Spending His First Day In Prison,https://web.archive.org/https://web.archive.org//web/20140705015538/http://news.sky.com/story/1295047/rolf-harris-spending-his-first-night-in-prison,"Rolf Harris is spending his first full day in prison after being jailed for five years and nine months for sexually abusing girls and young women. 
	One of his four victims was just seven or eight years old when she was attacked by the disgraced entertainer. 
	The judge at Southwark Crown Court Mr Justice Sweeney said Harris had abused the trust placed in him because of his celebrity status - and had shown no remorse. 
	The 84-year-old's sentence has been referred to the attorney general after a member of the public said it was unduly lenient. 
	He will now decide whether to pass the sentence on to the Court of Appeal for review. 
	Harris, convicted on Monday of 12 counts of indecent assault between 1968 and 1986, was flanked by guards in the dock as the punishment was handed down. 
	His other three victims, including the best friend of Harris' daughter Bindi, were teenagers aged between 14 and 19. 
	Mr Justice Sweeney told the shamed performer: ""You have shown no remorse for your crimes at all. 
	""Your reputation lies in ruins, you have been stripped of your honours, but you have no one to blame but yourself. 
	""You took advantage of the trust placed in you because of your celebrity status to commit the offences."" 
	During the seven-week trial, prosecutor Sasha Wass described Harris as a ''sinister pervert''. 
	She claimed he had a ''dark side'' and was a ''Jekyll and Hyde character''. 
	The main complainant was Bindi's best friend, to whom seven of the 12 counts related. 
	The woman, now aged 49, said she had been ""traumatised"" by the years of abuse she suffered. 
	She said: ""The attacks that happened have made me feel dirty, grubby and disgusting. The whole sordid saga has traumatised me."" 
	Another victim, Australian Tonya Lee - who waived her right to anonymity - said her assault by Harris in a London pub during a visit to England was a ""turning point"" in her life that she has never recovered from. 
	She said: ""I have never felt safe since, I live in a constant state of anxiety."" 
	A third victim, indecently assaulted by him as she went to get his autograph at a Portsmouth community centre when she was seven or eight, said Harris' assault took away her childhood. 
	She said the attack left her angry and confused, adding: ""I became an angry child, unable to express myself and unable to trust men."" 
	A fourth victim, who was assaulted when she was a teenager as Harris took part in a celebrity game show in Cambridge in the 1970s, said he took advantage of her, making her feel ashamed. 
	She said: ""He treated me like a toy that he had played with for his own pleasure."" 
	Harris had arrived at court accompanied by Bindi, and made his way inside the building without commenting to reporters. 
	In the dock, he had a small, multi-coloured suitcase on a chair behind him. 
	His wife, Alwen, was not in court as she was apparently unwell. 
	Harris' lawyer Sonia Woodley told the court that despite his convictions he had led an "" upright life"" for the last 20 years, and had done ""much good"". 
	Harris had earlier left his riverside home in Bray, Berkshire by boat as he made his way to London to hear his fate. 
	Since his conviction Harris has been stripped of his Bafta fellowship, lost an honorary degree from the University of East London and also faces losing his CBE."
2014-07-05,Allegations Of Harris' Shocking Web Searches,https://web.archive.org/https://web.archive.org//web/20140705015538/http://news.sky.com/story/1295019/allegations-of-harris-shocking-web-searches,"Details of Rolf Harris' alleged web searches for sexual images of young girls have been revealed - but prosecutors say the convicted paedophile will not go on trial over the claims. 
	The 84-year-old had 33 sexual photographs of children in a much larger collection of thousands of adult pornographic images, it was claimed. 
	But Harris' legal team told judge Mr Justice Sweeney the models in the photos were over 18, according to their identity documents provided by website bosses in the Ukraine. 
	They also maintained the entertainer accidentally accessed the images when he clicked on links from mainstream porn sites. 
	Harris was found guilty on Monday of 12 counts of indecent assault between 1968 and 1986 and was jailed on Friday for five years and nine months. 
	One of his four victims was seven or eight year old, and the rest were teenagers aged between 14 and 19. 
	Prosecutor Sasha Wass QC said: ""In the light of the 12 unanimous convictions on the counts that Mr Harris faced, the Crown Prosecution Service has decided it is no longer in the public interest to proceed with a trial on these four charges."" 
	Prosecutors claimed he had looked at a website called ""teeny tiny girlfriends"" and accessed a picture of a girl who was ""extremely young in appearance"". 
	Harris also allegedly clicked on other words including ""youngest teen porn"", ""my little nieces"" and ""young teen girls"". 
	Expert opinion gathered by both sides disagreed over whether the images were of underage girls, with the prosecution claiming one was of a child under 13. 
	This was denied by the defence, which maintained that all the models were adults and that the word ""teen"" could refer to someone of 18 or 19 years of age. 
	As the counts were debated during legal argument, Ms Wass said: "" If it was an accident, it appears to be an accident he had a number of times."" 
	Both sides agreed he had clicked on ""young teen galleries"" and ""Russian virgins"" while looking at porn. 
	Prosecutors alleged he deleted the images because he knew they were illegal, but again the defence denied this."
2014-07-05,Firefighters To Strike For Eight Days Running,https://web.archive.org/https://web.archive.org//web/20140705015538/http://news.sky.com/story/1295152/firefighters-to-strike-for-eight-days-running,"Firefighters in England and Wales are to strike over eight consecutive days as a result of their long-running pensions row. 
	The industrial action, which starts on July 14, will take place for between two and four hours a day throughout the strike period. 
	The Fire Brigades Union said it had decided to escalate action as current proposals on pensions and later retirement age were ""unacceptable, unworkable and unrealistic"". 
	The FBU has been negotiating with the Government for three years over plans to change the fire service's pension scheme. 
	The union says firefighters will end up paying more, working longer and receiving less. 
	The Government says the deal gives firefighters one of the most generous pension schemes in the public sector. 
	Justifying the strike, FBU General Secretary Matt Wrack said: ""The Government must realise that firefighters cannot accept proposals that would have such devastating consequences for their futures, their families' futures  - and the future of the fire and rescue service itself. 
	""We have tried every route available to us to make the Government see sense over their attacks. 
	""Three years of negotiations have come to nothing because the Government is simply unwilling to compromise or even listen to reason despite a huge amount of evidence showing their planned scheme is unworkable. 
	""Shorter strike periods have illustrated the strength of feeling among firefighters whilst limiting disruption to the fire service, the public and our members' working lives. 
	""But the Government is merely ploughing ahead, forcing firefighters to react."" 
	FBU members in Wales and England are also intending to join a huge strike by more than a million public sector workers next Thursday."
2014-07-05,What If Tory Donor Gets Top Ofsted Role?,https://web.archive.org/https://web.archive.org//web/20140705015538/http://news.sky.com/story/1295206/what-if-tory-donor-gets-top-ofsted-role,"Choosing a new chair of Ofsted was always likely to attract controversy. 
	There was public outcry when the education secretary Michael Gove first created the vacancy by refusing to reappoint Baroness Sally Morgan. 
	Critics said his decision to effectively ""sack"" a woman who was a close aide to Tony Blair was nakedly political. 
	Lib Dem education minister David Laws was said to be ""furious"" - accusing his boss of trying to shoehorn in ""one of his own"" to the top role. 
	He made clear that he wanted to stop the imposition of Theodore Agnew - a Tory donor who runs academies. 
	The controversy that followed led to Mr Agnew to withdraw himself from the race. 
	Sky News has revealed that one man on the list - and considered a frontrunner - is... wait for it...a Tory donor who runs academies. 
	David Ross, the co-founder of Carphone Warehouse, has given the party more than £200,000. 
	Yet so far the Lib Dems are not kicking up as much of a fuss. Why? 
	Firstly they say there is a difference between the two men - that Mr Agnew was more involved in Conservative education policy. 
	But, secondly, because they insist that Mr Gove will not be able to wield much influence because they have put in place a system that keeps the decision at an arm's length. 
	Mr Ross, they add, is a legitimate candidate in that process. 
	""We are not saying being identified as party political disqualifies you,"" says one source. 
	""But what we have ensured is an independent process looking at names that would command cross party political support - including Labour."" That final point, they say, is ""particularly important"". 
	That is why they were so angry about Baroness Morgan, because they believe she was exactly that - a ""big tent, centre-ground figure who had proved herself capable of working across party boundaries"". 
	In many ways it is a surprise that Mr Gove's relationship with her cooled in the first place. 
	He is, after all, a Tory politician who has never hidden his admiration for New Labour, even once describing himself as ""heir to Blair"". 
	She was even a supporter of his free school movement - but also not afraid to criticise schools that were part of it. 
	And now that she is not going to be serving a second term, she is not afraid to criticise Mr Gove either. 
	She spoke out to claim she is now on a ""fairly long list of people who are non-Conservative supporters who are not being reappointed"". 
	But it isn't just about party politics. There is also frustration about the diversity of the people being appointed to these public positions. 
	Tom Gash, director of research for the Institute for Government, has pointed out that the number of women is stubbornly steady at around one third of appointments while the number of people from ethnic minorities has fallen dramatically. 
	He also warns that Mr Ross will have to show that his role in charge of academies is not a conflict of interest from a position in a watchdog meant to scrutinise such academies. 
	It may be that Mr Ross's political ties are not the only point of controversy."
2014-07-05,Tour De France: Opening Ceremony In Yorkshire,https://web.archive.org/https://web.archive.org//web/20140705015538/http://news.sky.com/story/1294674/tour-de-france-opening-ceremony-in-yorkshire,"By Gerard Tubb, Sky News Correspondent The opening ceremony of the 101st Tour de France has been held at Leeds Arena as thousands of church bells rang out across Yorkshire to celebrate. 
	The event's traditional team presentation saw 198 riders from 22 of the world's top cycling teams parade through the town where they will get a royal send off on Saturday by the Duke and Duchess of Cambridge and Prince Harry. 
	The parade through Leeds was followed by a stage show headlined by Yorkshire band Embrace and included the orchestra and chorus of Opera North, and Girls Aloud star Kimberley Walsh. 
	Two minutes of bell ringing in towns and villages across the county was organised as part of the event theme ""The People of Yorkshire Welcome The World"". 
	If that sounds a bit over the top, at times during the weekend it is likely to feel as though the world has descended on some of Yorkshire's narrowest and most picturesque streets. 
	An estimated two million people will line the routes, with villages in the Yorkshire Dales National Park being warned that up to 700 vehicles an hour will be trying to get in before the race starts. 
	Although locals will be inconvenienced by the traffic, 300 miles of road closures and 30,000 traffic cones they are being told to expect a £100m economic boost thanks to increased tourism and inward investment attracted by the publicity. 
	In Otley, where riders will power through the town centre on Sunday's race from York to Sheffield, the benefits are already being felt. 
	The Black Horse Hotel, which closed down last year, has been the scene of frantic activity as the owners worked to refurbish and re-open it in time for the weekend's crowds. 
	Meanwhile the Coach and Horses pub in Harrogate, the home town of British sprinter Mark Cavendish's mum, has changed its name to the Cvndsh and Horses. 
	Cavendish has been tipped as a possible winner of the first day's race, which could mean being presented with the coveted yellow jersey by the Duchess of Cambridge. 
	Tour de France Race director Christian Prudhomme told Sky News he was hugely impressed with what he has seen. 
	""The Tour de France is not only the world's greatest bike race, we need a stunning backdrop,"" he said. 
	""Yorkshire is gorgeous, that is very important. You have the passion."""
2014-07-05,Man Shot Dead In 'Inhumane' Birmingham Attack,https://web.archive.org/https://web.archive.org//web/20140705015538/http://news.sky.com/story/1294545/man-shot-dead-in-inhumane-birmingham-attack,"A man has been shot dead as he walked along a Birmingham street in what local people described as a ""heinous"" and ""inhumane"" attack. 
	The 32-year-old was gunned down in the Sparkbrook area of the city at around 7.30pm on Wednesday. 
	Two other men were taken to hospital - one with a gunshot wound and another with a slash across his body. 
	Armed police were called to the area by horrified residents, one of whom described how people rushed from their homes to help after hearing gunfire. 
	Syed Shah told the Birmingham Mail: ""There were two shots, 30 seconds apart, and then I heard someone crying. 
	""People came out of their houses. There was a young man in the road and someone was holding him, crying. 
	""I've never seen such a heinous crime. It's just inhumane."" 
	Other residents told the newspaper a large group of people surrounded the victims within minutes of the attack. 
	""I've never seen anything like this around here,"" one witness said. ""It's shocking to say the least."" 
	A spokesman for West Midlands Police said Grantham Road and Farm Road remained cordoned off while detectives continued their investigations. 
	""Five men have been arrested in connection with the disorder ... and are currently helping detectives with their enquiries,"" he said. 
	Anyone with information is asked contact West Midlands Police on the non-emergency number 101. Alternatively, call Crimestoppers anonymously on 0800 555111."
