date,program,link,transcript
2014-10-02,"RAF Tornados have helped Peshmerga forces destroy an Islamic State armed pick-up truck using a guided bomb in Iraq - as a UN report condemned ""gross"" human rights abuses by the terror group.",https://web.archive.org/https://web.archive.org//web/20141002101312/http://news.sky.com/story/1346023/raf-tornados-take-out-is-truck-using-guided-bomb,"RAF Tornados have helped Peshmerga forces destroy an Islamic State armed pick-up truck using a guided bomb in Iraq - as a UN report condemned ""gross"" human rights abuses by the terror group. Two war planes provided air support to the Kurdish forces on the ground who were battling IS fighters in the northwest of the country. The Ministry of Defence said the ""successful precision attack"" was carried out with a Paveway IV guided bomb overnight. The strikes came as militants took control of most of the western Iraqi town of Hit in Anbar province. IS has declared territories it controls in Iraq and Syria a 'caliphate' ""Ninety percent of the town of Hit has been overrun by militants,"" said Adnan al Fahdawi, a provincial council member. The United Nations report, based on nearly 500 interviews, found the Islamist militant group had carried out mass executions, abducted women and girls as sex slaves, and used children as fighters. Gallery: The Moment RAF Jet Attacks IS Truck The RAF carried out its first airstrikes against Islamic State targets in Iraq on 1 October, 2014 (All pictures: MoD) Tornados destroyed a heavy weapon position, which was attacking Kurdish forces, and an armed pick-up truck (pictured). The red circle shows the path of the missile fired at the vehicle The strikes were the first since MPs voted to support aerial raids in Iraq last Friday The targets were in the northwest of Iraq The moment the truck, which had a mounted machine gun, was destroyed by a Brimstone missile A plume of smoke rose above the area The strike was successful, according to an initial assessment, said Defence Secretary Michael Fallon The Tornados safely returned to their base at RAF Akrotiri in Cyprus after the sortie Six of the GR4 fighter jets are based on the island in the Mediterranean The aircraft began their combat missions on Saturday ""These include attacks directly targeting civilians and civilian infrastructure, executions and other targeted killings of civilians, abductions, rape and other forms of sexual and physical violence perpetrated against women and children, forced recruitment of children, destruction or desecration of places of religious or cultural significance, wanton destruction and looting of property, and denial of fundamental freedoms,"" the report said. It also said the acts of violence over a nine-week period included the systematic targeting of diverse ethnic and religious communities - including Turkmen, Shabak, Christians and Yazidis - aimed at ""destroying, suppressing or cleansing them"" from areas under IS control. IS, formerly known as ISIL, has declared the establishment of a ""caliphate"" - or Islamic state - on the territories it occupies in Iraq and Syria. ""The array of violations and abuses perpetrated by ISIL and associated armed groups is staggering, and many of their acts may amount to war crimes or crimes against humanity,"" said UN High Commissioner for Human Rights Zeid Ra'ad Al Hussein. The report also found airstrikes by Iraqi government forces had caused ""significant civilian deaths and injuries"". The UK is supporting Iraqi and Kurdish forces battling Sunni Muslim extremists from IS, which has taken over large parts of Iraq in recent months. Calls have been growing for strikes against the group's Syrian strongholds too. However, a vote in Parliament last Friday did not include the authorisation of airstrikes in Syria. Turkey has approved a motion allowing its troops to be sent into Iraq and Syria. Meanwhile, Boko Haram leader Abubakar Shekau dismissed Nigerian military claims of his death, and said the group was ""running our... Islamic caliphate"" in captured towns. ""Here I am, alive. I will only die the day Allah takes my breath,"" he said in a video obtained by the AFP news agency."
2014-10-02,"A post-mortem examination on the body of teenager Alice Gross is entering a second day  ""due to the complex nature of the investigation"".",https://web.archive.org/https://web.archive.org//web/20141002101312/http://news.sky.com/story/1345891/alice-gross-post-mortem-examination-resumes,"A post-mortem examination on the body of teenager Alice Gross is entering a second day  ""due to the complex nature of the investigation"". The body of the 14-year-old schoolgirl was recovered from the River Brent in west London on Tuesday and is being examined at Uxbridge Mortuary. Police have said the examination may not be completed on Thursday. The case is being treated as a murder inquiry and police said ""significant efforts"" were taken to hide the remains. Alice's parents say they are 'completely devastated' Alice's parents have said they haver been ""completely devastated"" by the discovery of their daughter's body. Rosalind Hodgkiss and Jose Gross said their daughter was ""quirky"" and ""beautiful inside and out"". ""It is difficult to comprehend that our sweet and beautiful daughter was the victim of a terrible crime,"" they said in a statement. ""Why anyone would want to hurt her is something that we are struggling to come to terms with. ""Alice was a loving and much loved daughter and sister, a quirky live spark of a girl, beautiful inside and out. ""She was a funny companion, a loyal friend, both passionate and compassionate, and so talented with a bright future ahead of her. ""This is a time for grieving and not a time for anger or recriminations."" Alice failed to return to her home in Hanwell, west London, on 28 August. She was last seen on CCTV walking along the towpath of the Grand Union Canal towards Hanwell. Convicted murderer Arnis Zalkalns, who was filmed cycling along the same route  shortly after Alice, has emerged as the prime suspect in the case. The Latvian builder was reported missing within days of her disappearance, but police stress he is just ""one line of enquiry"". More than 300 police officers have been involved in the search, the biggest in London since the 7/7 bombings. Brentside High School, where Alice was a pupil, described her as ""outstanding"". ""Alice was an outstanding and talented student who will be sorely missed from our school community,"" it said. ""This is a very sad day for our school and we are devastated by this tragic loss. We are doing everything we can to support each other and will continue to do so in the days and weeks ahead."""
2014-10-02,The Bank of England (BoE) has said it wants legal power to cap the ratios used for mortgage applicant approvals.,https://web.archive.org/https://web.archive.org//web/20141002101312/http://news.sky.com/story/1346039/boe-wants-powers-to-cap-loan-to-value-ratio,"The Bank of England (BoE) has said it wants legal power to cap the ratios used for mortgage applicant approvals. The bank's plan is to expand its ability to curb mortgage lending for homes. Lenders are currently limited to not exceeding 15% of loans being above the ratio of 4.5 times the applicant's income, known as the loan-to-value (LTV). It also wants to cap buy-to-let properties, with limits on ratios of interest and debt-to-income. In June, Chancellor George Osborne said he was willing to give expanded powers to the central bank. On Monday at the Conservative Party conference he reaffirmed the position and said he wanted it enacted before the next election. The BoE spelled out its position, especially for buy-to-let loans, which currently make up 12% of new mortgages. It said this would include an 'interest coverage ratio' to provide a buffer ensuring rental income is comfortably higher than interest payments. Professional investors' easy access to buy-to-let mortgages have been seen by some as a reason why barriers prevent prospective homeowner climbing the property ladder. The BoE's Financial Policy Committee (FPC) gained its first set of legal powers in April last year. But the issue was seen as politically hot and not for the FPC to decide the final ratio figure. Further afield, the BoE also gave a clean bill of health to the Government's Help To Buy mortgage guarantee scheme. The scheme was considered controversial by critics, who said it risked pushing up house prices. But the bank said Help To Buy was not to blame for rising values, as it only accounted for some 5% of purchases. It was also most commonly used in areas where price increases have been modest. More follows..."
2014-10-02,"Payday lender Wonga has said it will write off the debts of 330,000 customers whose loans would not have been approved under new affordability guidelines.",https://web.archive.org/https://web.archive.org//web/20141002101312/http://news.sky.com/story/1346016/wonga-writes-off-330000-customers-debts,"Payday lender Wonga has said it will write off the debts of 330,000 customers whose loans would not have been approved under new affordability guidelines. Sky sources said the cost of writing off the debt to the company would be £35m. There is £220m debt outstanding for the customers affected, at an average loan value of £667 per borrower. The short-term lender said it would contact the borrowers by October 10. City watchdog the Financial Conduct Authority (FCA) said the 330,000 customers who are currently in excess of 30 days in arrears will have the balance of their loan written off and therefore owe Wonga nothing. And some 45,000 customers who are between zero and 29 days in arrears will be asked to repay their debt without interest and charges and will be given an option of paying off their debt over an extended period of four months. Wonga currently offers a fixed interest rate of 365% per annum, and gives an example of £150 borrowed for 18 days attracting an interest total of £27.99. With its ""transmission fee"" of £5.50, the total one-off payment for the £150 is £183.49, representative of an annual percentage rate of 5,853%. Wonga founder Errol Damelin resigned his chairman's role in June Archbishop of Canterbury Justin Welby, who criticised the lender last year, welcomed the move but said the major issue was to create a reformed financial system. ""The big issue is to create a financial system that gives access to the poor and hope for the poorest in our lands, to be able to flourish and develop and have proper access to finance, not just for loans but for savings,"" he said. ""For lives in which finance is a good servant, not a bad master."" The default write-off news comes just days after the company reported a massive drop in earnings. Wonga's annual profit dropped by 53%, after the payday lender came under fire for the tactics it uses to reclaim money from borrowers in default. It said full-year pre-tax profit in the 12 months to 31 December was £39.7m, down from £84.5m a year earlier. The company was criticised over its previous tactic of sending customers in default fake legal letters. FCA director of supervision Clive Adamson said: ""We are determined to drive up standards in the consumer credit market and it is disappointing that some firms still have a way to go to meet our expectations. ""This should put the rest of the industry on notice - they need to lend affordably and responsibly. ""It is absolutely right that Wonga’s new management team has acted quickly to put things right for their customers after these issues were raised by the FCA."" The announcement was made after new Wonga chairman Andy Haste completed discussions with the FCA. Mr Haste said: ""It's clear to me that the need for change at Wonga is real and urgent. ""Our regulator is determined to improve standards in consumer credit and I share that determination. ""There is much to do in order to make Wonga a sustainable and accepted business, and today’s announcement is a significant step forward in that process."" He added: ""We want to ensure we only lend to those who can reasonably afford the loan in question and during my review, it became clear to me that this has unfortunately not always been the case. ""I agreed with the concerns expressed by the FCA and as a consequence of our discussions we have committed to taking these actions."""
2014-10-02,"The Metropolitan Police is investigating a catalogue of vile internet abuse targeting the family of Madeleine McCann including death threats, Sky News can reveal.",https://web.archive.org/https://web.archive.org//web/20141002101312/http://news.sky.com/story/1345871/mccanns-targeted-by-venomous-internet-trolls,"By Martin Brunt, Crime Correspondent The Metropolitan Police is investigating a catalogue of vile internet abuse targeting the family of Madeleine McCann including death threats, Sky News can reveal. Officers are in talks with the Crown Prosecution Service after being handed a dossier of more than 80 pages of Tweets, Facebook posts and messages on online forums aimed at Kate and Gerry McCann. Over the past few years hundreds of shocking messages have been posted by 'trolls' who believe - despite no evidence - that the McCanns had some involvement in the disappearance of their daughter in Portugal in 2007. These include suggestions that the McCanns should be tortured and killed and calls for them to ""burn in hell"". Some messages are even directed at Madeleine's younger siblings, now aged nine. Manipulated images involving the McCanns - many of them graphic - are also in wide circulation online. One troll - who uses the Twitter identity ""Sweepyface"" and has posted dozens of anti-McCann messages using the #mccann hashtag - was confronted by Sky News. When asked about her use of social media to attack the couple, she replied: ""I'm entitled to."" The dossier - compiled by members of the public alarmed at the online treatment of the McCanns and shown to Sky News - calls on police and MPs to act to crack down on such abuse. The Met wrote to the campaigners: ""In consultation with the Crown Prosecution Service and the McCann family the material will now be assessed and decisions made as to what further action if any should be undertaken."" Among the messages identified in the dossier is an exchange on a message board which reads: ""These 2 should burn in hell""; ""I will supply the petrol""; ""I'll supply the lighter - happily"". Other posts include: ""We need some numbers for some assassins on taps"", ""I hope that the McCanns are living in total misery"" and ""I want to see them smashed up the back of a bus or trampled by horses"". In one of her tweets ""Sweepyface"" called for the McCanns to suffer ""for the rest of their miserable lives"". In addition to threats and abuse, several trolls have claimed to live nearby to the McCanns in Leicestershire and reported on their movements. The campaigner spearheading the appeal - who has asked to remain anonymous - told Sky News: ""We're very worried that it's only going to take somebody to act out of some of these discussions, some of the threats that have been made, and we couldn't live with ourselves if that happened and we had done nothing."" Author Anthony Summers, whose book Looking for Madeleine was published last month, said: ""There is a campaign of hatred against the parents. ""It is venomous and vitriolic, most of it done by cowards. We are taken aback by the extent of the sheer evil behind it all."" Sara Payne has become a campaigner for parents' right to a controlled access to the Sex Offenders Register since her daughter, Sarah, was murdered in 2000. Responding to the story of the abuse against the McCanns on Twitter, she wrote: ""About time, they are certainly not the only victims but they are the most abused. ""I hope this means this kind of disgusting abuse will finally be stopped."" :: At 2pm we will be hosting a Twitter Q&A with crime correspondent Martin Brunt on our exclusive story about the abuse Madeleine McCann's parents have suffered online. Tweet your questions using the hashtag #AskBrunt""."
2014-10-02,"A council has inadvertently painted over a Banksy mural thought to be worth around £400,000 following a complaint that it was ""offensive and racist"".",https://web.archive.org/https://web.archive.org//web/20141002101312/http://news.sky.com/story/1346077/racist-banksy-mural-scrubbed-off-by-council,"A council has inadvertently painted over a Banksy mural thought to be worth around £400,000 following a complaint that it was ""offensive and racist"". The artwork - which shows a group of pigeons holding anti-immigration placards in front of an exotic-looking foreign bird - appeared on a wall in Clacton-on-Sea after the local Conservative MP Douglas Carswell defected to UKIP. The signs included ""Migrants Not Welcome"", ""Go Back To Africa"" and ""Keep Off Our Worms"". Tendring District Council, which removed the work, said it did not know the piece was by the famous artist, and has invited Banksy to come back to paint another mural. Banksy often uses stencils and graffiti to make comments about society. Gallery: Banksy Artwork Banksy's 'Girl and Balloon' which was painted on an Ikea frame Artwork said to be by underground artist Banksy is seen on the fence at the Glastonbury Festival site Banksy mural at The Princess of Wales Pub in Primrose Hill Graffiti attributed to secretive British artist Banksy depicting Charlie Brown figure starting a fire Graffiti attributed to Banksy depicting a child wielding a machine gun Another piece of graffiti purportedly by Banksy shows a dog urinating on a wall in Beverley Hills Another piece of social commentary from graffiti artist Banksy on the side of a building in east London The anonymous British artist confirmed he painted the mural by posting pictures of it on his website. Nigel Brown, communications manager for the council, said it had been inundated with complaints about the removal of the artwork. However, he said it was council policy to remove anything deemed ""offensive and racist"" within 48 hours. He told Sky News: ""I have personally had emails from all over the country calling for my resignation, and how I got it wrong. ""It was the wording on the banners that a person found offensive and contacted us. ""Had we known it was a Banksy, I am not saying we wouldn't have done the same thing. However, we do appreciate the social comment."" He added: ""We would obviously welcome an appropriate Banksy original on any of our seafronts and would be delighted if he returned in the future."" Mr Carswell's defection has triggered a by-election in Clacton on October 9. The full list of confirmed candidates: Douglas Carswell - UKIP; Andy Graham - Liberal Democrat; Howling Laud Hope -  Loony; Charlotte Rose - Independent; Bruce Sizer - Independent; Chris Southall - Green; Giles Watling - Conservative; Tim Young -  Labour"
2014-10-02,"More than 500 GP practices in England face being closed because of a looming ""workforce crisis"", experts have said.",https://web.archive.org/https://web.archive.org//web/20141002101312/http://news.sky.com/story/1345900/gp-practices-face-closure-due-to-doctor-shortage,"More than 500 GP practices in England face being closed because of a looming ""workforce crisis"", experts have said. The Royal College of General Practitioners (RCGP) said a large number of family doctors were nearing retirement and unless action was taken there will not be enough replacements for them. It means thousands of people could be left without a GP or will have to travel miles to see one, the RCGP added. The warning comes after David Cameron pledged access to a GP seven days a week if the Conservatives are returned to power next May. Dr Maureen Baker, RCGP chairwoman, told the college's annual conference in Liverpool the number of people entering the profession was falling short of the numbers leaving it. As well as retiring, family doctors are leaving Britain to work abroad or pursuing alternative careers. The RCGP said the number of unfilled GP posts has quadrupled in the last three years from 2.1% in 2010 to 7.9% in 2013. At the same time estimates suggest applications for GP training have dropped by around 15%. Dr Baker called for the budget for general practice to be increased to help meet the shortfall. ""Today, I can reveal new estimates from the College that 543 practices in England are at risk of closure if something isn't done,"" she said. ""There are practices that have over 90% of GPs over the age of 60, when the average retirement age of GPs is 59. This is shocking. ""With a growing, ageing population, not to mention a baby boom, we need to increase capacity in general practice, not take it away.” Dr Baker added: ""Most worryingly, we are not attracting enough new doctors and nurses into general practice, or doing enough to retain the highly skilled workforce we have."" A Department of Health spokesman said: ""We're increasing trainees so that GP numbers continue to grow faster than the population and will train 10,000 more primary and community health and care staff by 2020, including 5,000 more GPs. ""There are already 1,000 more GPs than in 2010 and we're making it easier for GPs to return to the profession."""
2014-10-02,"Virgin Money has confirmed a planned stock market flotation, with trading due to begin later this month.",https://web.archive.org/https://web.archive.org//web/20141002101312/http://news.sky.com/story/1345981/virgin-money-confirms-stock-market-flotation,"Virgin Money has confirmed a planned stock market flotation, with trading due to begin later this month. Sky News City Editor Mark Kleinman first reported the float, with an expected valuation of up to £2bn. Sir Richard Branson: ""This is a huge day for Virgin Money. We started this company 20 years ago with Jayne-Anne Gadhia when we set out to challenge the financial services industry. ""Our wonderful team have come a long way since then and have built a strong and valuable business, which offers great value products and services and a real challenge to the established players. ""There is still plenty to do and I am really excited about the future. ""Our intention to float is not the end of our journey, but the beginning of the next one. I really look forward to being on that journey with our customers and our staff in years to come"". Some £50m will be returned to the taxpayer as a result of the float, after the company took on the 'good bank' assets of ailing Northern Rock in 2011. The float is expected to raise £150m for the company. Staff members at Virgin Money will be granted a portfolio with 1,000 shares. Virgin Money currently has around 2.8m customers."
2014-10-02,"Domino's Pizza has seen quarterly sales rise by 13%, amid reconfirmation of a plan to open up to 50 new stores before 2015.",https://web.archive.org/https://web.archive.org//web/20141002101312/http://news.sky.com/story/1345955/dominos-pizza-rolls-out-more-new-stores,"Domino's Pizza has seen quarterly sales rise by 13%, amid reconfirmation of a plan to open up to 50 new stores before 2015. It said Q3 British like-for-like sales in the 13 weeks to 28 September reached 12.9%. The firm said the rise in the summer period was down to an improving economy and increased appetite for its promotion deals. It was the fourth quarter of double digit growth. UK sales for the year were up 11.8%. Domino's continues to ride the digital wave, with almost 71% of orders placed online in the quarter, up from 62.4% a year ago. It has revamped its website and boosted use of its smartphone app. The company, which is valued at almost £1bn, said it also expects to stay on target to open between 40 to 50 new UK outlets before the end of the year. Chief executive David Wild said: ""We are delighted with the like-for-like performance in our core UK business. ""We face more challenging comparatives for the final quarter, but we remain confident of a satisfactory outcome for the year."" Although sales rose in Britain, Ireland and Switzerland, they dropped by 9.9% in Germany. Domino's has slowed German expansion while it tries to improve store formats and menus, cut overheads and boost sales at its self-managed outlets, ahead of a franchisee rollout similar to that in the UK. It has nearly 900 stores in operation across Britain."
2014-10-02,"Children as young as 11 have been caught drinking and driving, according to police records.",https://web.archive.org/https://web.archive.org//web/20141002101312/http://news.sky.com/story/1345863/children-as-young-as-11-caught-drink-driving,"Children as young as 11 have been caught drinking and driving, according to police records. An 11-year-old was stopped in the Thames Valley area in 2011 and several 12-year-olds were apprehended in Scotland in 2012 and in Manchester in 2008. An average of 1,000 under-18s have been convicted of drink-driving every year since 2008, according to figures obtained by in-car camera provider Nextbase. Every week since 2008, an average of five drink-drivers under the age of 18 have been caught, the figures also revealed. All 43 police forces in the UK have stopped under-18 drink-drivers between 2008 and 2013, with figures from Freedom of Information requests revealing the worst area in England for offenders was Greater Manchester, with 409 people arrested over the period. Other hotspots included Scotland with 718 offenders, Hampshire with 276 and Devon and Cornwall with 241. Nextbase said the overall number of underage drink-drive arrests had fallen year-on-year, but a number of areas including South Yorkshire, Northumbria and Kent had seen a rise. A Department of Transport spokesman said: ""Under-age driving is illegal and no person under the age of 17 should be driving a car. ""We have tough laws in place to tackle those caught driving without a licence. ""Drink-driving is a menace that costs lives, and the Government is strengthening the law to help police crack down on this problem."""
