date,program,link,transcript
2015-09-05,The suffering of those affected by the refugee crisis gripping Europe has galvanised tens of thousands of Britons into raising funds and gathering supplies to help the humanitarian relief effort.,https://web.archive.org/https://web.archive.org//web/20150905153905/http://news.sky.com/story/1547105/britons-step-in-to-help-ease-refugee-suffering,"The suffering of those affected by the refugee crisis gripping Europe has galvanised tens of thousands of Britons into raising funds and gathering supplies to help the humanitarian relief effort. People across the UK have come together to sign petitions, collect food and clothing, donate money, and offer up their homes to people displaced by conflict in the Middle East and Africa. A convoy of around 20 cars has taken £6,000 worth of vital supplies of food, clothing and shelter to a camp in Calais, France, today. Weyman Bennett, joint secretary of organisers Stand Up To Racism, told Sky News: ""I believe as human beings we should offer support to everybody else. Britain has a long tradition of welcoming people. ""Let's keep that tradition alive and let's make sure that all those people are welcome into Britain as they have been in Germany."" The Refugees Welcome campaign Sky's Richard Suchet, who is travelling with the group, said the manager of a donations centre in the French port had told him British people were the most generous. The Prime Minister has bowed to intensifying political pressure and announced that Britain would take ""thousands more"" refugees from the camps in countries around Syria. George Osborne echoed David Cameron's remarks, but warned Britain also needed to do more to tackle the causes of migration by defeating smuggling gangs, boosting aid and tackling conflict in Syria. The Chancellor also described the UK as ""one of the founders of the asylum system"". More than 40 local councils have responded to an appeal to offer sanctuary to the refugees. Labour leadership contender Yvette Cooper - who earlier this week called for the UK to take 10,000 refugees - said local authorities around the country had shown a ""rising sense of moral purpose"". The shadow home secretary said that within 24 hours of her asking councils in England, Scotland and Wales asking if they would be prepared to help in providing places for refugees, more than 40 had written back offering support. But council leaders have warned that there is a limit to how much they are able to do without more government support. David Simmonds, of the Local Government Association, described the offers by some people to take in refugee families as ""pie in the sky"". The reality is that it costs many millions to house and support asylum seekers while their applications are being processed, he said, with many taking years to decide. Mr Simmonds said: ""The cost of providing the services we would need to provide is clearly very significant. Generous offers are very good, but if it takes several years to process somebody's asylum application that person is not allowed to work. ""Are those people who are opening those homes genuinely willing to have a stranger from a war-torn country living in their house potentially for three or four years while a decision is made about whether they will be allowed to stay?"" Some football fans in London said they planned to show their support by making donations and waving ""#RefugeesWelcome"" banners at upcoming matches. Charities say they have received hundreds of thousands of pounds in donations from members of the public. Save The Children raised more than £500,000 in 24 hours with the support of several authors, including Patrick Ness and David Nicholls. The number of people signing a petition calling on the UK government to accept more refugees, meanwhile, has passed 400,000. Members of the Jewish community are also donating to the World Jewish Relief's Refugee Crisis Appeal. Paul Anticoni, World Jewish Relief chief executive, said: ""Many Jews wouldn't be here today without our ancestors finding shelter as refugees. Elsewhere, Finland's Prime Minister said he would be giving up his home to refugees who he expects to move in by the start of the year."
2015-09-05,"A soldier has died in a shooting incident at an Army barracks in Oxfordshire, the Ministry of Defence has said.",https://web.archive.org/https://web.archive.org//web/20150905153905/http://news.sky.com/story/1547001/soldier-dies-in-shooting-at-army-barracks,"By Ali Bunkall, Sky News Defence Correspondent A soldier has died in a shooting incident at an Army barracks in Oxfordshire, the Ministry of Defence has said. It happened at around lunchtime on Friday at St David's Barracks in Bicester. Sky News understands the soldier's own weapon was fired, although the exact cause has not yet been determined. The man, believed to have been aged in his 20s, held the rank of Private. The MoD confirmed the shooting did not take place during exercises and that it involved one man. A spokesman for Thames Valley Police said police and ambulance services were called at 11.52am where they found the man in a critical condition. ""Despite attempts to resuscitate the man he sadly died at the scene. ""The death, which is currently being investigated by Thames Valley Police, is not believed, at this stage, to be suspicious nor involve a third party."" An MoD spokesman said an investigation has been launched but would not comment further. The soldier's family have been informed."
2015-09-05,A passenger has been tackled by cabin crew after starting two small fires on board a holiday jet.,https://web.archive.org/https://web.archive.org//web/20150905153905/http://news.sky.com/story/1546810/passenger-starts-fires-on-holiday-jet-to-egypt,"A passenger has been tackled by cabin crew after starting two small fires on board a holiday jet. Police have launched an investigation after the incidents on a Monarch service from Birmingham Airport to Sharm el-Sheikh in Egypt. Staff quickly contained and extinguished the fires during Thursday's flight, and no-one was hurt. However the plane was left unserviceable, leaving holidaymakers due to fly back to Birmingham stranded. One delayed passenger told the Birmingham Mail: ""The plane was unserviceable because a man set fire to onboard toilets deliberately while also smoking and abusing the cabin crew, terrifying crew and passengers."" They added that the passenger who set the fires was escorted away, but ""showed no remorse and verbally abused the passengers whose flight was cancelled"". A spokesman for West Midlands Police said: ""Officers from the Airport Policing Unit continue to investigate the circumstances around the incidents. ""At present no arrests have been made but our inquiries are still ongoing."" Monarch Airlines said police were on hand when flight ZB472 - an Airbus A321 with 208 passengers and crew on board - landed in Egypt. A statement said: ""UK authorities have been notified and are dealing with the matter. As the alleged incident is the subject of a police investigation, we are not in a position to comment further."" No arrests have been made."
2015-09-05,Hugo Boss has been fined £1.2m for health and safety breaches after the death of a four-year-old boy at one of its stores.,https://web.archive.org/https://web.archive.org//web/20150905153905/http://news.sky.com/story/1546903/hugo-boss-fined-1-2m-over-boys-shop-death,"Hugo Boss has been fined £1.2m for health and safety breaches after the death of a four-year-old boy at one of its stores. An 18-stone (114kg) changing room mirror, which had been balanced upright like a ""domino piece"", fell on Austen Harrison at the company's Bicester Village outlet in June 2013. Austen was taken to the John Radcliffe Hospital in Oxford with severe head injuries, but died four days later after suffering irreversible brain damage. An inquest concluded the 7ft mirror should have been fixed to a wall, with coroner Darren Salter describing it as ""an accident waiting to happen"". The designer goods retailer admitted breaches of health and safety laws. The youngster suffered irreversible brain damage and died in hospital In sentencing the company, Oxford Crown Court Judge Peter Ross said Hugo Boss had a ""corporate responsibility"" - and he wanted to ensure the issue went to the ""very top of the company"". He said it ""would have been obvious to the untrained eye"" that the mirror posed a risk, adding that it was ""nothing short of a miracle"" that it had not happened sooner. There had been numerous ""near misses"" with mirrors at other stores nationwide, the judge added. After several mirrors fell at stores in London during 2009, the company's senior staff and store managers had been given health and safety training which specifically highlighted this issue. But according to the judge, the company's Bicester Village store was hurriedly opened in 2012, which led to ""a lack of planning"" - and instructions for the mirror were ""ill-defined and not followed through"". Following the sentencing, a representative for the boy's mother read a statement on her behalf. ""I would like to thank the coroner, Judge Ross and Mr Hake of Hugo Boss for their sensitivity and genuine care,"" it said. ""Austen's greatest pleasure in life was to help others. In his memory I invite you to help someone, no matter how small or large the deed, to assist Austen in creating a friendlier world. ""My love extends to each one of you for doing this."" At the time of the incident, Hugo Boss released a statement promising to co-operate with authorities as they investigated what happened. After the ruling, a spokesman said: ""The company has since done everything it can to prevent such a tragedy from reoccurring. We wish to make clear that health and safety is an integral part of our business, and a priority at every level of the organisation. ""Over the last two years, our thoughts and sympathies have been first and foremost with Austen's parents. ""We know, however, that there are no words to alleviate in any way the suffering caused to the family, and for that we remain profoundly sorry."" The judge acknowledged that Hugo Boss UK had taken immediate responsibility for the accident which claimed Austen's life, but concluded there had been a systematic failure with regard to health and safety."
2015-09-05,"The Labour Party must be congratulated by those of us who believe that live debates, especially on television, are the best way of connecting political decisions to the mass of the people on whose behalf those decisions are being taken.",https://web.archive.org/https://web.archive.org//web/20150905153905/http://news.sky.com/story/1546472/corbynmania-rules-mp-wins-over-tv-audience,"The Labour Party must be congratulated by those of us who believe that live debates, especially on television, are the best way of connecting political decisions to the mass of the people on whose behalf those decisions are being taken. After the breakthrough of the Leaders' Debates in 2010, the 2015 General Election was a severe disappointment. Led by the Conservatives, the main parties did all they could to avoid, or failing that to neutralise, any live encounters on air. But the would-be leaders of the Labour Party will have taken part in some 30 live hustings as their long post-election campaign draws to a close. Only a handful of those have been on television - and last night's Labour's Future: The Final Debate on Sky News was the last such encounter before the winner is declared on 12 September. The Sky debate took place in perhaps the most stable Labour heartland in the UK. Tony Blair and his ministerial team, from Mo Mowlam to Peter Mandelson, made their political base in the North East. So the Sky News debate on Tyneside before an audience of at least 80% party sympathisers was a real opportunity to test the political mood away from any Westminster Bubble. All the candidates for the leadership - Jeremy Corbyn, Liz Kendall, Yvette Cooper and Andy Burnham - knew they could expect a respectful hearing from a loyal and pragmatic audience. But even though the North East was a cradle for New Labour in the last century, it was soon clear that it is no exception from the national mood of the party in 2015. Corbynmania has reached Gateshead as well. Mr Corbyn, the longstanding left-wing rebel MP, basked in by far the longest bursts of applause. His support was there whether he stood by his opposition to austerity economics or hinted at compromise with his opponents over the question of Britain's continued membership of the UN Security Council. Approval ratings for Mr Corbyn were just as high among the debate's TV audience at home, with more than 80% declaring the bearded Islington North MP the winner. Already, at least two of his rivals, Ms Cooper and Mr Burnham, seem to be trimming their earlier rejection of joining Mr Corbyn's team if he is elected leader next week. This, even though he was the only candidate to categorically rule out voting in favour of extending Britain's involvement in the bombing of Islamic State to include territory in Syria. In the section of the debate where we asked the candidates to challenge each other directly, there was a dramatic standoff over the economy between Mr Corbyn and Ms Cooper. Ms Cooper argued that quantitative easing for investment in infrastructure amounted to printing money the country does not have. Mr Corbyn retorted that the public finance initiatives under the last Labour government were expensive as well. This may not have answered the question but it won him applause and cheers. It is still possible that Mr Corbyn will not win this leadership election. Unless he can get close to an outright win above 50% on the first round, it seems unlikely he will get enough transfer votes as other candidates are eliminated. But after the final debate he remains the firm favourite, in spite of, or perhaps because of, the three decades he has spent as a rebel MP in Labour ranks."
2015-09-05,A Bolivian Airforce pilot has been arrested on suspicion of attempting to traffic over $1m worth of cocaine to Brazil.,https://web.archive.org/https://web.archive.org//web/20150905153905/http://news.sky.com/story/1547126/pilot-accused-of-smuggling-1m-in-cocaine,"A Bolivian Airforce pilot has been arrested on suspicion of attempting to traffic over $1m worth of cocaine to Brazil. At a news conference in the capital La Paz, Bolivian authorities presented the seized cocaine packets and the arrested pilot, Jimmy Jos Urzagasti, who was handcuffed and flanked by armed police. Urzagasti (C) appeared in front of journalists at the news conference Urzagasti is alleged to have been trying to smuggle around 400kg of cocaine paste when anti-drug forces arrested him in the Inquisivi province. Minister of Government Carlos Romero claimed Urzagasti was preparing to fly the cargo into Brazil using a small plane."
2015-09-05,"A man who filmed himself drunkenly kicking a rabbit across a field has been handed a suspended jail sentence, along with a £7,000 fine.",https://web.archive.org/https://web.archive.org//web/20150905153905/http://news.sky.com/story/1546967/fine-for-man-who-filmed-himself-kicking-rabbit,"A man who filmed himself drunkenly kicking a rabbit across a field has been handed a suspended jail sentence, along with a £7,000 fine. Zamual Mallinson was investigated by the RSPCA after boasting on Facebook that he had trained his dogs to fight badgers and foxes. The 24-year-old's phone was seized during the search, and this was where the distressing footage of the wild rabbit was found. In the clip, Mallinson is seen quietly approaching the animal from behind, before kicking the it so hard that it lands in a bush several metres away. He and a friend are then heard laughing in the background. It is not known if the rabbit survived. Zamual Mallinson also trained dogs to fight badgers and foxes. Pic: RSPCA Following a three-day trial at Lincoln Magistrates' Court, Mallinson was found guilty of three animal welfare offences. As part of the sentence, he has been banned from keeping dogs for 10 years and will need to complete 140 hours of unpaid work. The judge also gave Mallinson a 12-week sentence, suspended for a year. Ian Briggs, the RSPCA's chief inspector, said the district judge was ""clearly unimpressed"" by Mallinson's behaviour. He explained: ""The footage we discovered on his mobile phone, of him deliberately and unashamedly kicking a wild rabbit, shows his contempt for animals. ""By stopping him from keeping dogs for the next 10 years, we hope it will prevent cruelty to other animals that could otherwise have caused pain and suffering purely for the sickening entertainment of this man."""
2015-09-05,A starving toddler has been taken into care in Chile after he was found suckling from a neighbour's dog.,https://web.archive.org/https://web.archive.org//web/20150905153905/http://news.sky.com/story/1547098/boy-found-being-breastfed-by-neighbours-dog,"A starving toddler has been taken into care in Chile after he was found suckling from a neighbour's dog. Police say the two-year-old boy was found neglected and nearly naked at a mechanic's workshop. Neighbour Lory Escudero, who lives in the city of Arica, called police on Thursday when she noticed the child being breastfed by her dog, Reina. ""We have our dog who is there and she's pregnant,"" she said. ""The hungry boy suckled on the dog's teats for milk. ""Everyone that is here, we're all parents and if you saw what we saw from my position as a woman, as a mother, it was terrible."" The boy was taken to hospital where he was treated for malnutrition, skin infections and hair lice. His mother attended the hospital - but was inebriated, police said. The incident happened in an impoverished area of Arica where thousands of Peruvians and Bolivians arrive in search of work. A family court hearing on 22 September will determine who will care for the child."
2015-09-05,"Passengers on one of the Britain's busiest railway lines had to deal with delays due to a signalling problem said to have been caused by cable theft ""vandalism"".",https://web.archive.org/https://web.archive.org//web/20150905153905/http://news.sky.com/story/1547133/rail-passengers-delayed-after-cable-vandalism,"Passengers on one of the Britain's busiest railway lines had to deal with delays due to a signalling problem said to have been caused by cable theft ""vandalism"". People travelling on the Virgin Trains East Coast main line faced delays for up to an hour on Friday. They were told that the disruption was caused after an incident of cable theft at Darlington which in turn caused signalling problems. Virgin Trains said in a statement: ""A signalling problem at Darlington has been causing major disruption to journeys through the station this evening. ""Following an assessment by Network Rail, it was discovered that the signalling problem had been caused by vandalism."" Some services were replaced by buses, while other passengers faced delays of up to 60 minutes even when the problem had been fixed. Anyone delayed by more than 30 minutes can apply for compensation, Virgin said. The cost to the rail industry of cable thefts has fallen in recent years, following legislative changes through the Scrap Metal Dealers Act of 2013. There were 845 cases of cable theft on the railways, costing the industry £12m and resulting in 344,000 minutes of delays to services in 2011 and 2012. Those figures had reduced in 2013 and 2014 to 179 cases, costing £2.5m and resulting in 68,000 delay minutes."
2015-09-05,Number 10 insists that the UK strategy for dealing with the humanitarian refugee and migrant crisis in Europe has not changed - but it has.,https://web.archive.org/https://web.archive.org//web/20150905153905/http://news.sky.com/story/1546915/pm-in-referendum-and-refugee-balancing-act,"Number 10 insists that the UK strategy for dealing with the humanitarian refugee and migrant crisis in Europe has not changed - but it has. How much the strategy has changed will be revealed within the detail of proposals to take in ""thousands more"" Syrian refugees.  The plans will be ready next week, but they clearly are a change in direction from the Prime Minister's remarks as late as Wednesday, when he said an answer to the crisis could not be achieved ""simply by taking more and more refugees"". In June, Mr Cameron had suggested there would be ""a few hundred more"" places on the Syria Vulnerable Persons programme, which has relocated 216 people to the UK since last year. Is this the result of one tragic picture of a drowned three-year-old? Indirectly, yes. The PM does not lead the charge on issues like this. The PM manages and tends - and on delicate issue such as this, waits for others to take the lead. But the crisis has become palpably worse, as public, media and political opinion has, for now, appeared to turn on a sixpence. Yvette Cooper's unexpected Labour leadership intervention - where she suggested 10,000 refugees could be rehomed in a joint effort between 1,000 councils, cities and towns - has had an impact on the political mood music. The SNP, all four Labour candidates, charities, the newspapers and concerned Conservative backbenchers are a formidable coalition to ignore. Mr Cameron's answer here has not changed: the actual solution to this problem lies in a political and diplomatic solution in Syria. He believes Britain has been very generous in supplying aid to local camps, and that Syrian migration will not solve the issue. But an alternative solution has not come and seems far off, so Britain will do more. There is a great political danger here. Very high up is the toxic connection with Europe and the European Union referendum. UKIP's ascent, and its four million votes, can be dated back to Nigel Farage's connection of the EU with immigration after Romanians and Bulgarians were permitted to travel across the EU in January 2014. Mr Cameron's strategy has been to try to break that link. If the current crisis is seen as an EU issue, then the link strengthens in the immediate run up to the EU referendum. That is Nigel Farage's stated strategy. And Farage, who in 2013 almost led calls for the UK to offer refuge to more Syrians, has now has gone cold on the issue - suggesting this ""biblical exodus"" means that the concept of ""refugees"" should be redefined. So, the ""thousands more"" will come direct from camps in Syria. That approach is consistent with not wanting to increase the ""pull factors"" for illegal migration into the EU. There can be no question of signing up to the EU quotas pushed by Italy, France and Germany, and vehemently argued over at the last EU summit. Under that arrangement, the UK would have been expected to host 30,000 refugees, but there is an opt-out. Above all, the government will try to make this an issue of domestic, not European policy. The flipside though, is Britain will not appear to be pulling its weight, at a time when the PM needs diplomatic capital for his renegotiation. For all the petitions, hashtags and newspaper headlines, Mr Cameron also knows that there is also a sizeable portion of the British public - perhaps as many as those who want more refugees in the UK - who do not believe this is Britain's responsibility. The connection between this crisis and how they might vote in the EU referendum cannot be ignored."
