date,program,link,transcript
2016-11-08,"Stephen Fry will again be hosting the BAFTAs - despite a backlash over his ""bag lady"" joke at the awards ceremony earlier this year.",https://web.archive.org/https://web.archive.org//web/20161108101115/http://news.sky.com/story/stephen-fry-to-return-as-baftas-host-despite-bag-lady-joke-backlash-10649214,"The comedian and actor will be hosting the event for a 12th year at its new venue, the Royal Albert Hall, in February. The 59-year-old was criticised last year after calling costume design winner Jenny Beavan a ""bag lady"" after she collected her award for Mad Max: Fury Road dressed in trousers, a leather jacket and scarf. ""Only one of the great cinematic costume designers would come to an awards dressed as a bag lady,"" Fry said as Beavan walked off the stage. After audible boos in the auditorium and criticism on Twitter, Fry announced he was quitting the social media website. ""So just a word to the tragic figures who think calling Jenny Beavan a bag lady was an insult. She's a dear friend and she got it. Derrr,"" he wrote. However, some users appeared to find the joke distasteful. One Twitter user said: ""Bit rich of Stephen Fry to slag that woman's outfit off and say she looks a bag lady when he's dressed as a pool table #EEBAFTAs."" ""Will all you sanctimonious f****** f*** the f*** off Jenny Beavan is a friend and joshing is legitimate. Christ I want to leave the planet,"" Fry added before erasing the account. ""Too many people have peed in the pool for you to want to swim there any more."" The comedian later announced he was planning to move to Hollywood with his husband Elliott Spencer. It wasn't the first time Fry quit social media, and the presenter has now returned to Twitter. BAFTA bosses announced Fry's return and the new location as a ""perfect fit for the awards"". The ceremony will also feature Cirque du Soleil, which will be in residence at the Royal Albert Hall when the awards are held. ""I am also thrilled we have the opportunity to work with Cirque du Soleil, during its season at the Royal Albert Hall,"" BAFTA chief executive Amanda Berry said. ""And have no doubt that next year's ceremony will be all the more magical for this creative collaboration."" Nominations for the awards will be announced on 10 January. The awards ceremony will be on 12 February."
2016-11-08,Two prisoners remain on the run after escaping from Pentonville prison in north London.,https://web.archive.org/https://web.archive.org//web/20161108101115/http://news.sky.com/story/two-escaped-pentonville-prisoners-left-dummies-in-their-beds-10649210,"They were discovered missing on Monday morning when jail staff found mannequins in their beds.  It is believed the pair used diamond-tipped cutting equipment to break through cell bars before scaling the perimeter wall.  A manhunt is now underway for James Whitlock, aged 31, and 28-year-old Matthew Baker.  Police have warned the public not to approach the two convicts as they could become violent, but to call 999 if they see either of them.  Baker was on remand awaiting sentencing after being found guilty two weeks ago of the attempted murder of a man at a flat in Dagenham. He was due to be sentenced on Friday. Whitlock, who has the word 'Tracy' tattooed on his body, was also on remand after being charged with conspiracy to burgle more than 19 ATMs between December 2015 and August 2016. Mike Rolfe, from the Prison Officers' Association, told Sky News the escapees would have had help from outside, and equipment may have been sent in by drone.  The Metropolitan Police said it was called to Pentonville in Islington at 11.44am on Monday.  A spokeswoman from the Prison Service said: ""Public protection is our top priority and we take escapes from custody extremely seriously.  ""We are working closely with the police and are urgently investigating the matter.""  Last month a 21-year-old inmate, Jamal Mahmoud, died after being stabbed in Pentonville, while two others were injured in the same attack. A convicted murderer, John Massey, escaped the north London jail in 2012 after managing to climb a wall using a rope made out of bed sheets, before being recaptured after 48 hours on the run.  The former Justice Secretary, Michael Gove, described Pentonville last year as ""the most dramatic example of failure"" within the prisons estate.  Shadow justice minister Yasmin Qureshi said: ""The past 24 hours have provided yet more evidence of the crisis in our prison estate which has developed under this Tory government."""
2016-11-08,"With the US presidential election nearly upon us, how is the US likely to vote?",https://web.archive.org/https://web.archive.org//web/20161108101115/http://news.sky.com/story/hillary-clinton-or-donald-trump-the-most-likely-scenarios-10649170,"Hillary Clinton and Donald Trump each need 270 electoral votes.   :: A narrow Clinton victory Most likely - as she retains a 2-3% polling lead.  In the Midwest, she is likely to take Democratic-leaning Pennsylvania, Michigan, Wisconsin and Minnesota, plus Virginia and Colorado, which have lots of college-educated voters.  She is also likely to take a few of the close-call states, such as New Hampshire, North Carolina, Florida and Nevada.  Latinos have been turning out in record numbers in early voting, indicating an advantage for Mrs Clinton in the likes of Nevada and Florida in particular.   So long as she wins one of them she edges over the line. Win all of them, and she may almost reach the 332 electoral votes won by Barack Obama in 2012.  :: A Clinton landslide Were she to take the whole lot, it would be a very different scenario.     While the large white working-class populations have put Ohio and Iowa in Mr Trump's column, they could yet swing back.  Traditional Republican strongholds such as Arizona and Georgia are also in doubt for the tycoon.   We could then be heading towards something like Mr Obama's 365 electoral votes in 2008, or even Bill Clinton's 379 in 1996.   :: A narrow Trump victory But if Mrs Clinton falls short in key swing states, then Mr Trump, who is competitive in them all, does have a path to victory. It's even possible that he could win the election while losing the popular vote - as George W Bush did in 2000.  :: A Trump landslide If working-class white voters turn out in unprecedented numbers - as happened with Brexit - it could upset the polls in the Midwest.   And if Mr Trump can add those states to those in which he is already competitive, it is possible he could win well.  :: A strange map Could there be a genuine split from the past?    It's possible - if unlikely - that Mr Trump could win the traditional Democratic states with a large white population in the north, while Mrs Clinton sweeps southern states with a high proportion of college-educated voters and ethnic minorities.  Thus Georgia could vote Democrat for the first time since 1992, at the same time as Minnesota votes Republican for the first time since 1972.  The feasibility of this scenario - even at a stretch - is an indication of how American politics has changed. :: Sky News will bring you every twist and turn of the US election results - and we're the only UK news organisation which will bring you details of the official exit poll. Our special coverage starts on Tuesday at 10pm. Read more::: Trump vs Clinton on key issues for America:: What time the polls close and when to expect a result:: The states that will decide the outcome:: The Electoral College and how you win a Presidential election"
2016-11-08,"Theresa May's childhood sporting hero has affectionately described her as ""like Margaret Thatcher"".",https://web.archive.org/https://web.archive.org//web/20161108101115/http://news.sky.com/story/theresa-may-is-like-thatcher-says-ex-cricketer-geoffrey-boycott-10649156,"Geoffrey Boycott, who happened to be staying at the same hotel as the Prime Minister in Delhi, described Mrs May as someone with ""integrity and principles"". The Yorkshire sporting legend, much admired by the cricket-loving PM, said of Mrs May: ""She'll be like Margaret Thatcher, she'll be brilliant."" Asked if he had advice for her, he said: ""She's good, she doesn't need my advice, she'll be fine. She's got a few more strokes than me."" He added: ""She has views and she's strong. Life is about integrity and principles - it should be. We want politicians like that with integrity, with principles, with honesty."" It was reported that whilst Home Secretary, Mrs May had attempted to get Boycott knighted, but her request was blocked by Government officials because of his conviction for assaulting a former girlfriend. He received a three-month suspended sentence and a £5,300 fine from a French court in 1996 for the assault.  He has always denied the charges and a campaign was launched to clear his name, which could lead to the Prime Minister getting her wish. The former England batsman is in India to commentate on the five-match test series, while Mrs May is on an international trade mission.  Asked whether he was in favour of leaving the EU, Boycott said: ""Yes, I always was because we will be independent, not run by France and Germany. ""It's the principle of being ourselves. We've always been successful as an island; trade with people but not let them run our lives."" He added: ""Some of the rules from Europe are stupid."" Another cricketing idol Ian Botham actively campaigned for Brexit."
2016-11-08,"House prices increased by 5.2% in the three months to October, compared to the same period last year, according to a survey by the mortgage lender Halifax.",https://web.archive.org/https://web.archive.org//web/20161108101115/http://news.sky.com/story/uk-house-prices-surge-unexpectedly-in-october-survey-10648893,"The results, which were higher than expected, suggest a reversal of a broad slowdown in the housing market over the past six months. Prices increased by 1.4% in October, compared to 0.3% in September. ""Annual house price growth has nearly halved from a peak of 10% in March this year, but remains robust at 5.2%,"" said Martin Ellis, Halifax housing economist. ""This expected slowdown appears to have been largely due to mounting affordability pressures, which have increasingly constrained housing demand,"" he added. Halifax said house price growth may ease further in the coming months, but low mortgage rates and a shortage of properties available should help support price levels. The amount of housing available for sale was largely flat for the period of July to September, but remains around the lowest levels ever recorded. Howard Archer, chief European and UK economist at IHS market, said that due to the currently resilient state of the economy, house prices may well rise modestly in the near term. ""We believe housing market activity is likely to be increasingly pressurised in 2017 by heightened uncertainty constraining consumer confidence and willingness to engage in major transactions, as well as hampering economic activity,"" Mr Archer said. Home sales have broadly stabilised in recent months, following distortions earlier in the year due to the increase in stamp duty on second homes and buy to let purchases. However, year on year, they are down for the third quarter, between July and September, showing an 8% drop compared to the same period in 2015, indicating an overall softening in activity."
2016-11-08,Food courier firm Deliveroo is facing a challenge from a union which has taken steps to try to obtain workers' rights for its riders.,https://web.archive.org/https://web.archive.org//web/20161108101115/http://news.sky.com/story/deliveroo-faces-challenge-from-union-over-riders-rights-10649709,"The Independent Workers Union of Great Britain (IWGB) says that as independent contractors, couriers currently have no employment rights. It wants them to gain recognition as workers so that they can obtain paid holiday, the minimum wage, and trade union recognition. The challenge, centred on the collective bargaining rights of Deliveroo riders in the north London borough of Camden, comes after a separate case in which a tribunal ruled in favour of two drivers at ride-hailing app Uber. Uber has said it will appeal. In the Deliveroo case, the union expects a request on collective bargaining to go to a tribunal, which could find that its riders in Camden should be classed as ""workers"". It said the case in Camden would set a legal precedent. IWGB general secretary Jason Moyer-Lee said: ""This case strikes at the very basis upon which the so called 'gig economy' rests. ""The companies say these workers are all independent business people who don't need employment rights and don't need to unionise, we say they are workers hired by big companies and need to be treated as such."" Deliveroo, founded in 2013, has more than 2,500 food outlets signed up to its service in London. The company said in a statement: ""As Deliveroo continues to grow, we are committed to providing great opportunities for UK riders, with the flexible work riders value, and a payment model which is fair, rewarding and better matches riders' time with our customers' orders."""
2016-11-08,"""We will begin by focusing on the core UK business. For our customers this means that in clothing we will improve our core M&S ranges, so that the unique quality, style and fashion of the M&S brand stand out.""",https://web.archive.org/https://web.archive.org//web/20161108101115/http://news.sky.com/story/rowe-has-work-cut-out-to-make-ms-great-again-10649780,"The determined words of the new Marks & Spencer chief executive, plotting a revival of Britain's most closely watched high street brand. But this is not the utterance of Steve Rowe, in charge of M&S since April this year; rather, it was a pledge made by his predecessor, Marc Bolland, setting out his vision for the brand exactly six years ago. Like many M&S bosses before him, Mr Bolland found the going tough - and if Tuesday's half-year results are a logical yardstick, the chances are that Mr Rowe will too. :: M&S to close dozens of stores as half-year profits tumble by 88% Pessimists would be forgiven for interpreting his announcement as an attempt to manage decline. After a ""forensic"" review of its business, the new boss has confirmed that 30 UK clothing stores and more than 50 overseas outlets will close, with dozens more in its home market being repositioned from general shops to food-only ones. The short-term reasons are understandable: despite an improvement in clothing margins over the last 18 months, critics of M&S's fashion business say it has failed to deliver consistently affordable, attractive product to its core female customer base. The depreciation of sterling has eroded the potential margin gain this year, while the headline figure of total clothing and home sales declining by 5.3% in the half-year to 1 October tells its own story. Looming inflation - flagged by rivals including Lord Wolfson, the boss of Next - presents another headache for Mr Rowe. And realistically, without a permanent clothing boss in place, its sales performance is likely to get worse before it gets better. Mr Rowe is, however, determined to present a picture of M&S's future as one of growth potential. He has reiterated plans to open another 200 Simply Food stores by the end of its 2018-19 financial year. Even there, though, the picture isn't one of unmitigated promise. Like-for-like food sales fell by 0.9% in the first half, suggesting that price-sensitive consumers are also looking elsewhere for their discretionary shop. Against this backdrop, Mr Rowe has probably done the sensible thing and warned the City that his turnaround programme is going to cost up to £200m to exit some of its overseas businesses, as well as £350m to implement the changes in its UK operations. Given this rash of worrying news, M&S is warning about cash returns to shareholders in the second half of the year. Unpredictable and disappointing: M&S's dividend policy is in danger of resembling a too-long narrative of womenswear ranges. Mr Rowe has his work cut out if his tenure is to turn out better than his predecessor's."
2016-11-08,Dame Lowell Goddard has refused to give evidence about her resignation from the child abuse inquiry and rounded on the Government for failing to defend her.,https://web.archive.org/https://web.archive.org//web/20161108101115/http://news.sky.com/story/child-abuse-inquiry-judge-i-will-not-give-evidence-10649738,"The New Zealand judge has refused to speak in front of the Home Affairs Select Committee because it would be ""unacceptable"" for allegations against her to be aired in public, where those who make them are protected from prosecution. In a letter to the committee, Dame Lowell said she had been the ""subject of malicious defamatory attacks"" in the UK media and had informed the committee of ""the falsity of these and their apparent purpose"". She added that were she to give evidence via video link from New Zealand she would not be afforded freedom from prosecution in any allegations she might need to make in her defence. She also heavily criticised the Government for failing to robustly defend her against the allegations of racism and poor treatment of colleagues. Dame Lowell has always denied all the claims made against her. She wrote: ""I am disappointed that there has been no Government defence of me in England, despite the fact that information refuting some of the more serious allegations has been held by the Home Office and your Committee since the time of my initial recruitment."" Dame Lowell's response triggered a furious reaction from the committee chairwoman, Yvette Cooper, who said that it was ""essential"" for Dame Lowell to give evidence either in person or via video link. Ms Cooper said it was ""disgraceful"" from someone ""paid significant amounts of public money to do an extremely important job which she suddenly resigned from, leaving a serious of questions about what has been happening over the last 18 months and why the Inquiry got into difficulties."" She added: ""This is an astonishing response from a paid public servant who should know how important transparency is in an inquiry as sensitive and crucial as this one. ""Child abuse survivors have been let down by the extremely rocky start to this inquiry and we do need answers as to why it went wrong in order to be confident it is back on track now."" However, the committee has no power to force Dame Lowell to give evidence. Last month Dame Lowell disclosed in a letter that she had become the third chairwoman to quit after members of the £100m inquiry panel turned against her in an apparent power struggle. She told of a crunch meeting on 4 August when three of the four members of the panel had confronted her over allegations about her behaviour in the media. Dame Lowell said it was then it became clear she did not have the support of her team and she resigned from her £360,000-a-year position. Home Secretary Amber Rudd said Dame Lowell, who has returned home to New Zealand, left because she was lonely and homesick. The Government has come under fire over what they knew and when about the allegations against Dame Lowell. Ms Rudd insists the Home Office was not officially made aware of concerns until 29 July - six days before Theresa May became Prime Minister. However, Mrs May admitted during Prime Minister's Questions last month that there were ""stories"" around about the chairwoman before that. However, she said that as Home Secretary she could not intervene on the basis of ""suspicion"" or ""hearsay"". Drusilla Sharpling, a member of the panel, has told the Home Affairs Select Committee she raised concerns with a Home Office official in the spring, although had asked for it not to be escalated."
2016-11-08,Sports Direct has said it had no knowledge of a camera said to have been hidden in a tray of sandwiches to record a private MPs' meeting.,https://web.archive.org/https://web.archive.org//web/20161108101115/http://news.sky.com/story/sports-direct-denies-knowledge-of-hidden-camera-in-tray-of-sandwiches-10649803,"The sportswear giant was responding to the accusations which came after six members of the business select committee made a surprise visit to the firm's controversial Shirebrook warehouse in Derbyshire. It said it was disappointed that the visit had been overshadowed by reports about the ""possible recording device ... the veracity of which has yet to be determined"". ""The board would like to make it clear that it did not authorise or have any knowledge of the possible recording device,"" the company said. Sports Direct also said members of its workforce had expressed positive views about the company in their meetings with MPs and claimed many expressed ""dissatisfaction"" with how it was portrayed. Mike Ashley, the company's majority owner, said: ""I stand firmly behind the people of Sports Direct, who through no fault of their own have been made a political football by MPs and unions."" Sports Direct said it was delighted that the MPs had made their unannounced visit, but disappointed they made it on a day when they knew Mr Ashley would not be on site. Members of the Business, Energy and Industrial Strategy Committee visited the Shirebrook warehouse to follow up on their inquiry into working practices at the company. Redcar MP Anna Turley, who was on the visit, said: ""We had a positive tour around, we got to speak to a lot of the workforce and we got to see a lot of people who were very positive about the brand. ""Then at the end of the meeting we sat down to have a private conversation in a room by ourselves, a lady came in with some sandwiches - which was very kind - and I saw her put a recording device on the floor. ""When she left the room I went over to pick it up and there it was: a camera and a recording device. Very disappointing."" Business Secretary Greg Clark today told Parliament the claims were ""extraordinary ... especially for a company that has made declarations that it wants to improve its reputation and image"". Sports Direct has been under fire from unions, investors and politicians over claims of Victorian workhouse conditions at the warehouse, and over its corporate structure. Mr Ashley, who also owns Newcastle United, has taken over the role of chief executive after long-term aide Dave Forsey resigned at the end of September. The retailer has now made a commitment to hold an independent review into its corporate governance and working conditions. That followed a bruising AGM when chairman Keith Hellawell clung on despite a vote to oust him by independent shareholders."
2016-11-08,"Pop star Robbie Williams has admitted he sees a Take That reunion ""at some point"".",https://web.archive.org/https://web.archive.org//web/20161108101115/http://news.sky.com/story/a-million-love-songs-later-robbie-williams-is-ready-for-take-that-reunion-10649515,"But before fans get too exited he did add it was unlikely he would be joining his former bandmates anytime soon.  Take That will tour Britain next year and when asked if he could join them, Williams said: ""It might happen, who knows, but right now I don't think so. ""Reunion at some point, definitely - but we just couldn't get our diaries to work in the next 12 months."" Williams left the chart-topping boy band in 1995 to embark on a solo career.  The group, known for hits such as Back For Good, A Million Love Songs and Never Forget, disbanded a year later. Four of the members - Gary Barlow, Howard Donald, Mark Owen and Jason Orange - got back together a decade later, before Orange left in 2014. Williams, who has just released a new album The Heavy Entertainment Show, also announced a European tour next year. Joined by pop duo Erasure, the 42-year-old will play 29 shows in 18 countries starting in Britain in June. The Let me Entertain You singer already has 17 Brit music awards and is being presented with another accolade, the Brits Icon Award. He will put on a one-off show in London on Monday night to celebrate. Previous recipients include Elton John and the late David Bowie.  ""The other two people were absolute legends and absolute icons and now I'm getting it and have mixed feelings,"" Williams said.  Adding: ""But I am honoured to be receiving it."""
