date,program,link,transcript
2017-04-01,The Government is facing fresh criticism over Britain's rail network after it was found that half of all passenger journeys will soon be on services owned by foreign countries.,https://web.archive.org/https://web.archive.org//web/20170401211041/http://news.sky.com/story/half-uk-rail-journeys-will-be-on-foreign-owned-services-after-franchise-begins-10820177,"The Press Association's analysis of industry data comes after the announcement earlier this week that Hong Kong company MTR will help run the South West Trains franchise for the next seven years from August. It follows the recent awarding of the c2c franchise, which runs from the City of London to Essex, to Italian state operator Trenitalia. The equivalent of 863 million such trips were made last year, which was 50% of total journeys, the figures show. The breakdown of the annual journeys made on Britain's railways on services owned by foreign countries are: :: Germany 391 million:: Netherlands 197 million:: France 143 million:: Hong Kong 86 million:: Italy 46 million Labour's shadow transport secretary Andy McDonald called for the railways to be renationalised as he claimed it is ""ludicrous"" that foreign government-owned firms are invited to run UK services ""in their own interests"" but the British state ""is banned from doing so"". He said: ""With promised upgrades delayed or cancelled, punctuality at its worst for a decade and fares up 27% since 2010, it's becoming increasingly difficult for the Tories to justify allowing private and foreign state-owned companies to take money out of the system, which should be used to improve services or hold fares down. ""When in public hands, the East Coast Mainline returned over £1bn to the Treasury, kept fares down, had record passenger satisfaction and had excellent industrial relations. We should be building on that success."" Mick Cash, general secretary of the Rail, Maritime and Transport union, said privatisation has failed passengers and left foreign state train operators ""laughing all the way to the bank"". He added: ""The case for public ownership of UK rail to end this racket is now overwhelming."" The number of journeys being made on Britain's railways has more than doubled over the past two decades, from 846 million in 1997/8 to 1.72 billion in 2015/16. Recent analysis by the Rail Delivery Group (RDG), representing train companies and Network Rail, found that 6,400 more train services will be running each week by 2021 due to the ongoing £50bn investment in the network. RDG chief executive Paul Plummer said: ""Passengers and taxpayers have benefited from franchising, where rail companies from around the world bring new ideas and innovation to Britain's railway, and railways across the world still want to learn from our successes. ""Rail companies have worked together to transform Britain's railway, doubling the number of passengers and creating one of the world's safest railways. ""Under franchising, the railway has gone from costing taxpayers £2bn a year in terms of day-to-day costs to contributing £200m, money which helps to fund major rail upgrades."" A Department for Transport spokeswoman said: ""Rail franchises are awarded through fair and open competition to the bidder offering the best deal for passengers and the taxpayer. We look for expertise and knowledge to build a better railway."" The Government is delivering the biggest rail modernisation programme for over a century which will improve journeys by providing ""more seats, more of the services people want and modern stations,"" she added."
2017-04-01,"A ""serious data breach"" is being investigated after the names and salaries of MPs' staff were published on the internet.",https://web.archive.org/https://web.archive.org//web/20170401211041/http://news.sky.com/story/data-breach-as-names-and-salaries-of-mps-staff-put-online-10819714,"The Independent Parliamentary Standards Authority (IPSA) wrote to MPs to inform them that a number of documents had been been available on the watchdog's ""old website"" for about four hours after an ""error"". ""These should not have been made public as they contained confidential personal information about MPs' staff names, salaries, rewards, working patterns and holiday entitlements,"" Marcial Boo, IPSA chiefe executive, said. ""I would like to reassure you that no information relating to the security of the individuals affected was made public - no addresses, no bank account details, no phone numbers, and no National Insurance numbers were disclosed. ""However, we recognise that this was still extremely sensitive personal information."" It is understood that the documents were viewed and downloaded while they were visible, but it is not immediately known how many people did so. IPSA said the Information Commissioner had been informed about the breach. ""Our first priority was to remove the data from our website as soon as we were first notified and it was taken down from our website last night within an hour of becoming aware of the issue,"" Mr Boo said. ""We believe that the information was accessible for around four hours and we will keep you updated with further details as we carry out a full investigation."" IPSA launched a new website last year but the old website is still used, mainly by MPs and their staff."
2017-04-01,A huge increase in the number of wet wipes being flushed down the toilet is having a major impact on rivers and marine life in the UK.,https://web.archive.org/https://web.archive.org//web/20170401211041/http://news.sky.com/story/explosion-of-wet-wipes-found-near-rivers-10821730,"Conservationists have warned of an ""explosion"" in the number of non-biodegradable wet wipes which end up on river banks or make their way into our seas and oceans. Debbie Leach from environmental group Thames 21 is behind a campaign which it is hoped will raise public awareness. She described the number of wet wipes in rivers as ""completely disgusting"". ""It's layer upon layer of wet wipes and they will be here for a very long time as the plastic in the wipes takes so long to breakdown."" :: Sky Ocean Rescue: How to get involved She added: ""One study showed seven in 10 flounders in the Thames had plastic in their stomachs. ""We are using wipes in our everyday lives more and more and we are seeing so much more of them in the River Thames. ""It is so unnecessary. ""Just don't put them down the loo."" When flushed down the toilet, wet wipes mix with fats and oils and can develop into huge so-called ""fatbergs"", which can block drains and sewers. These mounds of wipes can then overflow into rivers, settling on twigs and mud, collecting on the riverbanks where water flows more slowly, even changing the shapes of the riverbeds themselves. In its third annual survey, Thames 21 and a group of volunteers combed the foreshore near Hammersmith in London, where the biggest concentration of wet wipes has been found - more than 235 per square metre. AJ McConville, who organised the count, said its purpose was to collect real data to highlight the scale of the problem. He said: ""We have been coming down to the river over the last 20 years and in that time things like shopping trolleys and bags have decreased but new issues have emerged, including wipes. ""We want to see this disappear and stop the river getting dirty in the first place. ""Wet wipes are made of lots of different fabrics but often it can be polyester, which is reinforced by plastic. ""The issue there is that once it gets into the environment it will break down into lots of tiny plastics which fish will eat and then those plastics will get into the food chain."""
2017-04-01,Art lovers with a head for heights have the chance to be an arm's reach away from one of the greatest baroque ceilings in Britain.,https://web.archive.org/https://web.archive.org//web/20170401211041/http://news.sky.com/story/the-painted-hall-britains-answer-to-the-sistine-chapel-10820028,"The Painted Hall at the Old Royal Naval College in Greenwich is often referred to as the UK's Sistine Chapel. The public is now being allowed to climb almost 100ft up into the air to see up-close how it's being restored. William Palin, director of conservation, says the scaffolding-scaling experience is ""thrilling"". ""You are within just a few feet of this incredible painted scheme but it's rather weird and disorientating because you're so close, so you get these amazing figures emerging from the shadows."" It is one of the lesser-known treasures of British architecture and art. The building was designed by Sir Christopher Wren in the early 18th century as the Royal Hospital for Seamen. The ceiling was painted by James Thornhill who spent almost 20 years working on its 4,200 square metres of decoration. The conservation project will cost around £8m and take two years. Partly funded by a Heritage Lottery grant and private charitable donations, removing decades of dirt is going to be a painstaking process for conservators. As well as wiping away candle smoke, sweat and air pollution, they've got to delicately repair flaking and cracking. Lead conservator Stephen Paine says it's been over half a century since the ceiling has received any attention like this. ""It's 60 years of accumulated grime which has had a significant muting effect on the painting, so it looks flat and lacking in vibrancy. Of course what we're doing is to bring that punch and brilliance back to the painting."" The scaffolding tours provide a fascinating insight into the challenge it must have been to paint, as Mr Palin explains. ""Thornhill and his team would have been up on a deck like this when they painted these ceilings, so we're in his shoes in a sense."" :: Bookings for the tours are available on-site at the Old Royal Naval College and online."
2017-04-01,Twelve people arrested in connection with the Westminster terror attack have all been released without charge. ,https://web.archive.org/https://web.archive.org//web/20170401211041/http://news.sky.com/story/westminster-attack-all-12-people-arrested-released-without-charge-10820451,"A 30-year-old man detained on 26 March in Birmingham on suspicion of preparation of terrorist attacks was released on Saturday, Scotland Yard said. He was arrested four days after Khalid Masood's murderous assault, which left four dead, including police constable Keith Palmer outside the Palace of Westminster. :: Westminster attack: Timeline of terror Eleven other people previously held in connection with the investigation have also been released without further action, police said. Inquests into the deaths of both Masood, 52, who was shot dead by armed police after his knife attack on PC Palmer, and his victims, were opened and adjourned at Westminster Coroner's Court this week. Coroner's officer Eric Sword said the provisional cause of death of Masood was ""a gunshot wound to the chest"". He said Masood, who was also known as Adrian Elms and Adrian Ajao, was identified by fingerprints and DNA. The inquest heard before he died, Masood drove his hire car across Westminster Bridge and mounted the pavement twice ""in an apparently deliberate attempt to target pedestrians"". Pre-inquest reviews for PC Palmer and Masood are expected to be heard at the Royal Courts of Justice on 19 May. The other victims killed were American tourist Kurt Cochran, 54, retired window cleaner Leslie Rhodes, 75, and college administrator Aysha Frade, 43. More than 35 others were injured, including three police officers. Seven victims remain in hospital."
2017-04-01,The FBI has released previously unseen pictures of the devastation at the Pentagon on 9/11.,https://web.archive.org/https://web.archive.org//web/20170401211041/http://news.sky.com/story/911-fbi-releases-previously-unseen-images-showing-devastation-at-pentagon-10819338,"Hijacked American Airlines flight 77 crashed into the building in the 2001 terror attack, killing 187 people. The images show debris from the jet strewn on the floor, rescue workers searching for survivors and the extent of the damage to sections of the building. Almost 3,000 people were killed in the 9/11 attacks, which were claimed by al Qaeda and its then leader Osama bin Laden. Hijackers seized control of passenger jets and crashed them into the North and South towers of the World Trade Center in New York and the Pentagon in Arlington, Virginia. Another flight, United 93, was also taken over and believed to be heading for Washington DC, but it crashed into a field in Pennsylvania after the passengers and crew tried to regain control."
2017-04-01,Twitter has dropped the egg that serves as its default profile picture because of fears it has become synonymous with online abuse.,https://web.archive.org/https://web.archive.org//web/20170401211041/http://news.sky.com/story/twitter-drops-default-egg-profile-picture-over-links-to-online-abuse-10819996,"The company admitted abusive accounts often use the image rather than upload a different one. While acknowledging that some users kept the egg because they thought it was fun and cute, Twitter said its anonymity had a darker side. ""We've noticed patterns of behaviour with accounts that are created only to harass others - often they don't take the time to personalise their accounts,"" Twitter said. ""This has created an association between the default egg profile photo and negative behaviour, which isn't fair to people who are still new to Twitter and haven't yet personalised their profile photo."" The egg, which has been in use since 2010, is being replaced by what Twitter describes as a neutral silhouette, which resembles a grey, androgynous human image with rounded shoulders and a slightly square-shaped head. ""The new default image feels more like an empty state or placeholder, and we hope it encourages people to upload images that express themselves,"" said Twitter. The social media service has faced accusations in the past that it does not do enough to tackle abuse. However, earlier this month, it announced users would be able to block abusive accounts that use the egg avatar. Attention is likely to focus on the unusual new image and Twitter admitted its designers had struggled to achieve a figure that did not look too much like a man. ""We reviewed many variations of our figure, altering both the head and shoulders to feel more inclusive to all genders,"" said the firm. ""When the shoulders were wider, the image felt overly masculine, so we decreased the width of the shoulders and adjusted the height of the figure. ""As a result of these iterations, we ended with a more gender-balanced figure."" As for colour, they opted for greys because they fit the feel of being temporary, generic and universal and it also gives less prominence to accounts with a default profile photo. It also comes in a darker shade accompanying a a figure with a thicker head and body for those who are visually impaired. In the wake of the Westminster terror attack, Twitter, Facebook and Google have also promised to work harder to fight terrorist content on their sites. Earlier this month, a committee of MPs accused Twitter, Facebook and Google of having a ""terrible reputation"" for acting on reports of abuse and offensive material posted to their sites. But Twitter recently revealed it had shut down more than 375,000 accounts in the second half of 2016 because of abuse or hate-filled content."
2017-04-01,"Britons are being warned their household incomes are likely to be squeezed for the next two years, as utility bills for millions of consumers become more expensive from today.",https://web.archive.org/https://web.archive.org//web/20170401211041/http://news.sky.com/story/raft-of-household-bill-increases-to-squeeze-incomes-experts-warn-10820171,"Dubbed ""national price hike day"", 1 April is going to see a wave of increases to the cost of living. Nine out of 10 local authorities in England are raising council tax rates - by as much as 5% in some areas. The cost of NHS prescriptions is going up by 20p to £8.60, and the price of a dental check-up is also rising. People in England and Wales will be paying more for their water and sewerage by an average of £6, up to £395. And the price of a colour TV licence goes up to £147 today - that's a rise of £1.50. Andrew Hood, senior research economist at the Institute for Fiscal Studies, told Sky News: ""So the big picture here is that inflation is starting to rise, and part of the reason is the fall in the value of the pound since the recession. ""As inflation rises that's not being matched by increases in people's incomes necessarily, they're not growing more quickly. ""So together this puts a squeeze on household incomes that's likely not to just be about next week, but about the next couple of years."" Heating bills are also expected to rise - with Co-operative Energy increasing costs by an average of 5%, adding an extra £58 a year. From the end of March, Scottish Power announced an average increase of 7.8%. Npower has also recently hiked gas and electricity prices by 9.8%, adding about £109 to annual dual fuel bills. Posting a letter also became more expensive this week after stamp prices increased by a penny. But there is some good news for hundreds of thousands of workers on the national living wage. Those over 24 years old are going to receive a 30p boost to their hourly rate, taking it to £7.50. The national minimum wage will also increase by 10p to £7.05 for those aged 21 to 24, by 5p to £5.60 for those between 18 and 20, and by 5p to £4.05 for workers aged 16 and 17. But a study by the Low Pay Commission has found that the rise in minimum wage rates will put pressure on employers - with some companies passing the costs onto consumers in the form of price rises. Bryan Sanderson, the commission's chairman, added that pay for other workers remains well below its pre-recession peak. A statement from the Government described the rate rise as ""good news for some of the UK's lowest-paid workers"". However, shadow chancellor John McDonnell has accused the Conservatives of ""disguising the truth"". He said: ""The National Living Wage isn't a real living wage at all, and the £9 an hour promised by 2020 has been cut to just £8.75."""
2017-04-01,The first day after the trigger is pulled and already there is returning fire. ,https://web.archive.org/https://web.archive.org//web/20170401211041/http://news.sky.com/story/eu-fires-back-after-theresa-may-pulls-brexit-trigger-10818385,"The British Government has received salvos from German Chancellor Angela Merkel and French President Francois Hollande over how the negotiations should be conducted. Both have rejected one of Theresa May's key demands, which is to settle the terms of the UK's departure at the same time as agreeing future trading arrangements. It's an unsettling start to the process and could lead to delay. First it was Mrs Merkel, speaking in Berlin yesterday. She said: ""The negotiations must first clarify how we will disentangle our interlinked relationship."" Trade could only be discussed afterwards. Then this morning Mr Hollande told the PM during a phone conversation that he also thought the terms of withdrawal should come first. Settle that, then discuss future trading deals. This doesn't work for the UK. It's clear the PM doesn't want to pay up her divorce bill without knowing how much access she will have to the kids. But who is right on this and who is likely to get their way? So far the Government hasn't budged. The Brexit Secretary, David Davis, said this morning on Sky News: ""We've got to debate this"" as he defended the Government's view that talks over the UK's departure should run in parallel with future trade negotiations."" He insists that Mrs Merkel doesn't have the final word, saying: ""It's a negotiation and we want to do it in a certain way."" The Brexit Secretary believes it is the Commission rather than the member states that has been pushing to complete the departure bill first and the trade deal second. But he adds: ""Article 50 says the departure should be negotiated taking into account the ongoing deal."" ""It makes it pretty plain they've got to be done together. ""We think that's a smart way to do it, because everybody then can make a judgement as to what's a good outcome for everybody - what the balance of outcomes are."" He is right that this is specified in Article 50 of the Lisbon Treaty. It states that if a country chooses to leave, ""the Union shall negotiate and conclude an agreement with that State, setting out the arrangements for its withdrawal, taking account of the framework for its future relationship with the Union"". This is open to interpretation, however. Guy Verhofstadt, leader of the European Parliament's Alliance of Liberals and Democrats for Europe Group, told Adam Boulton's All Out Politics on Sky News: ""The treaty is very clear about this. ""In Article 50 it's stipulated that first of all you do the withdrawal agreement in the light of your future relationship between the UK and the EU."" So Mrs Merkel's view seems to have growing support, whereas this morning, when asked by Sky News, the PM's spokesman was unwilling or unable to name any leaders who supported Mrs May on this. In some ways, Mrs Merkel's position on dismissing the idea of parallel negotiations is strengthened by Mrs May's approach to Brexit. In her Lancaster House speech in January, the PM was explicit that the UK wanted a clean break from the EU, saying she did ""not seek to hold on to bits of membership as we leave"". It is therefore quite easy for the Europeans to offer the UK the clean break it wants - settling assets and liabilities, paying off the divorce bill and then saying only afterwards we should look at the future trading relationship. If the UK had begun with an approach that it might want to retain some aspects of EU membership, this would have made it much more difficult to split the negotiations into two parts. It could however argue that there will still be aspects of shared interests, such as ongoing investment in scientific research, and that these things need to be settled and agreed upon before the divorce bill can be known. When Sky News asked Number 10 whether the divorce bill was a negotiating chip for a possible future trading deal with the EU, the PM's spokesman said it would be inappropriate to comment on negotiation strategy. It seems the negotiation over the negotiation could drag on and certainly it is unlikely to be settled until after the Council of Europe meets on 29 April. Here ministers will decide the guidelines for negotiations. Mr Davis says ""that's the point at which we should start saying 'OK, we agree here, we disagree there'"". But it's a worry that in the first battle of this negotiation, the EU's biggest players are so openly opposed to the UK's planned approach."
2017-04-01,"Donald Trump must pay $25m (£20m) to settle lawsuits over his Trump University, a US judge has ruled.",https://web.archive.org/https://web.archive.org//web/20170401211041/http://news.sky.com/story/trump-to-pay-25m-settlement-over-university-fraud-claims-10819821,"The legal action claimed students on property seminars at the now defunct university were defrauded. They paid as much as $35,000 (£27,900) for the infomercial-like seminars, lured by what they described as ""false promises"" of Mr Trump's investing secrets from his ""hand-picked"" instructors. Students said they had been constantly pressured to spend more money but that the university had failed to deliver on the promises. The Trump University closed in 2010. Mr Trump vowed to fight the fraud claims during his presidential campaign, but then agreed to settle the cases soon after his election win in November. He said he was too busy for a trial, despite being adamant that he would have won. Under the terms of the settlement, Mr Trump does not admit any wrongdoing. Sky News US Correspondent Amanda Walker said: ""It was a problem for him during his campaign, with hundreds of people coming forward saying that Trump University was not what it proclaimed to be, that it wasn't a university of any kind. ""Part of that settlement is actually $1m to the state of New York for those misleading claims that it was a university."" During his campaign, Mr Trump even criticised Gonzalo Curiel, who gave the settlement the final nod, implying the Indiana-born judge's Mexican heritage made him biased. Judge Curiel said the settlement ""provides significant and immediate recovery"" and that only two of about 7,000 eligible class action members had objected to its terms. Sky's Amanda Walker said: ""The way (Trump's team) is shaping this is that Donald Trump needs to focus on running the country. ""If he hadn't paid up he would have had to testify, that would have become a distraction from his presidency, so now this is out of the way, he can focus on that. ""But for those people who were involved in this case and for those who have criticised his handling of what was called his university, this is an example of his fraudulent activity as a businessman and it's another criticism, certainly from people who didn't agree with him during his campaign, that he's not fit to be president."""
