date,program,link,transcript
2017-01-16,A man has been arrested over the death of his 23-year-old brother in a New Year's Day fire attack.,https://web.archive.org/https://web.archive.org//web/20170116010059/http://news.sky.com/story/man-arrested-for-new-years-day-fire-attack-in-milngavie-10728030,"Cameron Logan died when his family home in Milngavie, East Dunbartonshire. was set ablaze. His brother Blair, 26, is in custody. Cameron's girlfriend, Rebecca Williams, 24, was rescued from the house and was critically injured. She remains in a stable condition in hospital. His mother and father were also in the house at the time of the attack but managed to escape. They suffered from smoke inhalation. Police said they were treating the death of Cameron Logan as murder, and the attack on his girlfriend and parents, both 54, as attempted murder. A Police Scotland spokesman said: ""A 26-year-old man has been arrested and is currently detained in police custody in connection with the death of a 23-year-old man and the alleged attempted murder of a 24-year-old woman, a 54-year-old woman and a 54-year-old man on January 1, 2017 in Achray Place, Milngavie."" He is due to appear at Dumbarton Sheriff Court on Monday. The arrest came just days after detectives were able to begin talking to Ms Williams in hospital. The couple had attended a New Year party in the hours before the fatal fire. They had walked home to Mr Logan's house and were inside when the fire was started at 7.25am."
2017-01-16,"A senior Conservative has hit out at the Government for trying to ""scapegoat"" GPs for the pressures on emergency departments.",https://web.archive.org/https://web.archive.org//web/20170116010059/http://news.sky.com/story/tory-mp-attacks-pm-for-trying-to-scapegoat-gps-10729940,"Dr Sarah Wollaston, a former family doctor who chairs an influential committee of MPs, said the profession was under ""relentless pressure"" and did not have the capacity to extend opening hours as demanded by the Government. Outspoken Dr Wollaston hit out at the accusation - made by Downing Street - that GP surgeries were too often closing during the day. The comments are likely to stoke ongoing tensions between ministers and the medical profession over NHS funding. Theresa May this week warned GP surgeries to stay open longer, from 8am to 8pm seven days a week, to give patients appointments when they want them or risk losing funding. The Prime Minister was said to be frustrated by the number of practices which do not offer extended opening hours, claiming the failure to do so adds to pressure on struggling A&Es. But Dr Wollaston told Sky's Sophy Ridge on Sunday: ""As someone who has worked in the NHS for 24 years, it's entirely wrong to blame just one section of the workforce for this. ""GPs are extraordinarily stretched, working under relentless pressure, as bed numbers are being cut. We have the lowest number of beds per head in Europe. ""What we’re finding is more and more complex conditions coming to primary care... the workforce simply isn't there in many parts of the country. ""To then be suggesting that all of this problem is due to GPs not seeing people is really stretching it, it's just not the case, it's wrong to be scapegoating them in my view."" :: Sunday slots booked by Thursday: How seven-day services are working at one surgery Dr Wollaston has been a vocal critic of the Government on NHS funding. As chair of the Commons Health Committee she has disputed the Government's claim that they have allocated NHS £10bn over this Parliament. Today, she reiterated her criticism that the figure used by ministers was ""not strictly true"" due to cuts to social care and public health budgets - and she believes the true figure is closer to £4.5bn. It places her on the side of NHS boss Simon Stephens, who said the Government was ""stretching it"" to make that claim. He escalated tensions with Number 10 by pointing out the UK spent less on health than comparable Western nations. Dr Wollaston disagreed with the Red Cross, which said the NHS was becoming a ""humanitarian crisis"" this month for going too far in comparing the UK to war zones. But she said winter pressures on the NHS, which ministers say are routine, have given way to ""pressures all year round"". She defended GP surgeries which close during the day, saying: ""As a former GP I would just reflect that just because they are sometimes not holding surgeries at that time, they are very often doing other vital things. ""There's a huge amount of administration and home visits…and very often that needs to take place during working hours, chasing up results and so forth and going to meetings with colleagues."""
2017-01-16,"Theresa May is expected to announce the UK is prepared to leave the single market, the customs union and European Court of Justice. ",https://web.archive.org/https://web.archive.org//web/20170116010059/http://news.sky.com/story/brexit-pm-expected-to-say-uk-prepared-to-leave-single-market-10729623,"The PM’s willingness to give up membership of the single market will be made clear in a major speech at Lancaster House in London on Tuesday, according to the Sun on Sunday. Her red lines will be an end to free movement from the EU and clearance to hold bilateral trade talks with other countries, which it is thought will not be achievable while still in the single market. A Downing Street source told Sky News: ""The issue of the single market and the customs union will be answered on Tuesday when the Prime Minister sets out her negotiations."" Pro-EU campaigner MP Anna Soubry has described the anticipated move as ""grossly irresponsible, if true"". The Conservative MP for Broxtowe said: ""The Government has no mandate for this. To go into the negotiation conceding on the single market and the customs union is extremely serious and very bad news."" The pound crashed last Monday after comments by Mrs May on the single market in an interview with Sky's Sophy Ridge on Sunday. Mrs May insisted she was not ""muddled"" in her thinking about leaving the EU but warned Britain cannot expect to hold onto ""bits"" of its membership. The PM is also expected to use her speech to appeal for the country to unite post-Brexit and end ""division and the language associated with it"". She will also condemn the use of the words ""Leaver"" and ""Remainer"" as she asks for Britain to ""unite to make a success of Brexit"". :: PM urged to set out Brexit plan by mid-FebruaryShe will say that while people may have had different views about the outcome of referendum, ""the victors have the responsibility to act magnanimously. The losers have the responsibility to respect the legitimacy of the result. And the country comes together"". She will add: ""The overwhelming majority of people – however they voted – say we need to get on and make Brexit happen. ""Business isn't calling to reverse the result, but planning to make a success of it. And the House of Commons has voted overwhelmingly for us to get on with it too. ""So the country is coming together. Now we need to put an end to the division and the language associated with it – Leaver and Remainer and all the accompanying insults – and unite to make a success of Brexit and build a truly Global Britain."" Shadow minister for Brexit Kier Starmer told Sky News: ""Theresa May has had six months to give some clarity, she hasn’t done it. She needs to do that on Tuesday and she needs to reassure the country. ""If, as is expected, she says that she will be leading the UK out of the single market the question is, 'What are you going to put in its place? What are you going to negotiate to make sure that business can succeed in the future in the way it succeeds now?'"" :: Labour 'not wedded to free movement' - Corbyn Mr Starmer added that he would be setting out what Labour hopes Mrs May will guarantee in her speech – including rights to remain for EU citizens already in the UK. Meanwhile, reports have emerged that the Netherlands will block any trade deal with the UK unless it signs up to tough tax avoidance regulations preventing it from becoming a tax haven. The Deputy Prime Minister, Lodewijk Asscher, has written to socialist leaders across the continent stipulating his party’s red lines in coming talks. In a letter seen by The Guardian, however, Mr Asscher writes that it is in the interests of both the UK and the remaining 27 EU member states that Mrs May's government is prevented from creating a low-tax outpost. He writes: ""Let’s fight the race to the bottom for profits taxation together which threatens to come into existence if it is up to the Conservative UK government. ""This is why I propose to come to a new trade agreement with Great Britain, but only if we can agree firmly upon tackling tax avoidance and stopping the fiscal race to the bottom."""
2017-01-16,Thirty inmates have been killed - some beheaded or burned alive - in fighting between rival gangs in a Brazilian prison.,https://web.archive.org/https://web.archive.org//web/20170116010059/http://news.sky.com/story/three-inmates-beheaded-in-brazilian-prison-riot-10729872,"The deaths happened after a riot broke out at the Alcacuz Penitentiary, just south of the city of Natal in eastern Brazil. Prisoners from a criminal faction in one cell block are said to have invaded another cell block occupied by their rivals. The violence at the largest jail in Rio Grande do Norte state is the latest in a series of massacres at the country's prisons. The death toll of 30 was reported to Reuters by a source ""with direct knowledge of the situation"". Zemilton Silva, the state's co-ordinator of the prison system, told G1 Globo news website: ""We could see the heads ripped off"" three inmates. Other inmates are thought to have been burned alive. Police have surrounded the jail and blocked off all access routes but said they were waiting until dawn before trying to bring the situation under control. Mr Silva said he did not know if other cell blocks have been affected. The jail houses nearly twice as many inmates as it was designed to with about 1,150 living there, compared to the 650 it was built to support. Just last week, dozens more inmates died in riots in northern and Amazonian Brazil. Some 56 inmates were killed during another fight at a prison in Manaus on New Year's Day. Authorities said a gang called Family of the North targeted members of Brazil's most powerful criminal gang, First Command, known by the Portuguese acronym PCC. Many of the dead were beheaded and dismembered. On 6 January, violent clashes at Monte Cristo prison in Boa Vista left 33 dead. It is believed many of the clashes involve gangs that are fighting for control of the supply of drugs. Experts also say that PCC is exploiting overcrowding in the Brazil's jails to expand its reach across the national prison system. The gang network controls the supply and trafficking of drugs both inside and outside prisons even though many of its leaders are in maximum security jails. An official report in 2014 said Brazil has the world's fourth largest prison population, after the United States, China and Russia."
2017-01-16,Flood-threatened residents along parts of the east coast have returned to their homes after a feared storm surge was not as bad as expected.,https://web.archive.org/https://web.archive.org//web/20170116010059/http://news.sky.com/story/residents-relief-as-threat-of-severe-floods-subsides-10728037,"The Environment Agency issued 32 flood warnings which means some flooding is expected and 45 flood alerts, meaning it is likely, but downgraded its severe flood warnings from 17 to zero on Saturday. Those in Norfolk, Suffolk and Essex were told they were most at risk, but residents in Lincolnshire, North Yorkshire and East Yorkshire were also warned to stay away from coastal areas. The Environment Agency said the situation had not been as bad as predicted as ""a combination of the peak surge, strongest winds and largest waves didn't coincide in all areas and did not reach the most dangerous levels that were possible all along the coast"". Evacuations took place in Jaywick, Mistley and Mersea in Essex, and residents in 1,800 properties in east Suffolk were also told to leave their homes. Ahead of the predicted surge in Jaywick many residents had refused to leave their homes, despite an emergency services evacuation plan involving hundreds of soldiers and pleas from police. But the coastal village was spared from a deluge of sea water as the high tide passed in the early hours of this morning and did not breach the wall as expected. Kevin Cripps, 52, said he ""did not expect it to flood"" but thought the emergency services' response was appropriate, adding: ""They have been absolutely marvellous. ""I told the police I was not leaving and they were fair about it."" A Suffolk Constabulary spokesman said there had been flooding in some coastal areas ""with some premises affected along the east coast"", but he added, ""the extent of the flooding was not as bad as may have been"". The risk of flooding in Great Yarmouth was expected to peak on Friday night, but the worst fears of the people in the area were not realised. Charles Osborne, 52, from Great Yarmouth, said: ""The river did get pretty high but I didn't think it would ever go over the walls. I guess it was a lot of panicking but you can't be too careful."" According to its live incidents web page, Norfolk Fire & Rescue Service attended a few incidents to ""assist with flooding"", including rescuing people stuck in flood water, and assisting ""with emergency lighting at an evacuation centre"" in Walcott. Police said a man was arrested for public order offences after jumping into the river in Great Yarmouth. Superintendent Dave Buckley said: ""Despite numerous warnings from police and our partner agencies to stay away from the water, a small number of people do not seem to be taking this message seriously."" The flooding threat comes as Britain is battered by wintry conditions, with severe Met Office weather warnings for ice in place. Temperatures plummeted to minus 2C (28.4F) in parts of the East and South East on Friday. Scotland and the North of England were covered with a blanket of snow. Conditions are expected to turn milder and become more settled over the weekend."
2017-01-16,Over 50 of the world's leading artists are taking part in a new project called Cure³ to raise money for research into Parkinson's.,https://web.archive.org/https://web.archive.org//web/20170116010059/http://news.sky.com/story/damien-hirst-among-artists-raising-money-for-parkinsons-research-10728033,"Grayson Perry, Damien Hirst and Peter Blake are some of the big names who have agreed to create an art work using their own individual perspex box for the Cure Parkinson's Trust. Tom Isaacs, the charity's co-founder who himself has Parkinson's, says the response has been ""bonkers"". ""It's one of those things that has just gathered momentum and we're really excited about the prospect of this exhibition,"" he said. ""Parkinson's is like being trapped in a box, it's not a terminal condition but it is a life sentence, one without parole, and what we are trying to do is to raise the money to pay the bail and get people out."" Parkinson's currently affects 127,000 people in the UK and 10 million people worldwide. The degenerative neurological condition is characterised by tremors, stiffness and slowness of movement. Blake's cube is lined with fake grass and contains a small figurine of Snow White with two, even smaller, miniature people staring up at her. The pioneer of British pop art says he's exploring the ""strangeness of gigantism"" and scale. ""I picked up straight away on the figures and then needed to find a figure that would look very large against them. And I've always liked that rather primitive Snow White,"" he said. Bouke de Vries' cube uses a broken figure of Guanyin, the Buddhist goddess of compassion. Fifteen years ago the Dutch ceramic artist, who has collaborated with Grayson Perry on other projects, found out his partner has Parkinson's. ""I've lived with the symptoms and the impact it's had on his life and my life. To see him having to struggle to get a spoon lifted to his mouth, it's very sad and so frustrating because he wants so much to be normal but the Parkinson's holds him back,"" he said. The cubes will be shown together at a selling exhibition at Bonham’s London from 13-15 March."
2017-01-16,"Prime Minister Theresa May will appear in a glossy fashion spread for American Vogue magazine, Downing Street has confirmed.",https://web.archive.org/https://web.archive.org//web/20170116010059/http://news.sky.com/story/theresa-may-to-appear-in-vogue-magazine-photoshoot-in-april-10730383,"Mrs May secretly posed for renowned portrait photographer Annie Leibovitz in a shoot due to be featured in the magazine's April edition. Downing Street sources denied reports the photoshoot was linked to next month's visit to the US to meet incoming president Donald Trump. It is understood the pictures were taken last year, before Mr Trump's victory. ""The long-planned shoot for US Vogue will come out in April,"" a No 10 spokesman said. The news comes just weeks after the magazine's editor Anna Wintour was made a dame in the New Year's Honours list. It is not the first time Mrs May's fashion sense had made headlines. Former education secretary Nicky Morgan publicly criticised her for her extravagance after she appeared in a previous magazine spread. In that feature, she was wearing a £995 pair of leather trousers. Mrs May is also known for her kitten heels and eye-catching choice of footwear, including Wellington boots at the 2007 Tory Conference."
2017-01-16,It is 9.30am on a Sunday morning and patients have started arriving for their appointments at Birmingham's Enki Medical Practice.,https://web.archive.org/https://web.archive.org//web/20170116010059/http://news.sky.com/story/sunday-surgery-how-one-gp-practice-is-managing-a-seven-day-service-10730133,"There are only 18 slots available with GPs and all of them are booked up by Thursday. The patients who managed to get one are pleased to take advantage of the service. ""It's difficult for me to get time off work,"" said lecturer Jacqui Lindsay. ""I wasn't aware that they were open on a Sunday, so when I needed to book my appointment and I was given the Sunday option, it was better for me. ""It's difficult if I don't get to work to get someone to cover the class, so I'd have to take time off work."" It was at this same surgery, in May 2015, that former prime minister David Cameron gave a speech on plans for seven-day health services. As well as opening for three hours on Saturday and Sunday, the surgery is open till 8pm on Thursday. :: Tory MP attacks PM for trying to 'scapegoat' GPs The National Audit Office says that between 2015 and 2016, just 2.5% of GP surgeries in England were open on a Sunday. The figure rises to 21.5% on Saturday. Prime Minister Theresa May wants a seven-day service rolled out across all practices unless they can prove demand is not there. The Enki Medical Practice is run by Modality, an organisation which oversees operations at around 20 GP surgeries in the Birmingham area. They centralise parts of the GP service, such as call centres and paperwork duties, allowing them to spend money on running a seven-day surgery. Dr Will Murdoch, who works the Sunday shift, said: ""I think if it was just me, working alone without colleagues to support me, it would be incredibly difficult to try to support a service like this."" Dr Murdoch was critical of those in government who blame GPs for adding pressure on other NHS services such as A&E. He said: ""I think it's really unhelpful to single out any one part of the system to blame for what's going on in an incredibly complex organisation like the NHS. ""GPs are working incredibly hard, so are the hospitals, social care, the voluntary sector; we're all trying to do our best for patients, and to say it's the fault of any one group is incredibly unhelpful for what is becoming a very demoralised workforce."""
2017-01-16,"Philip Hammond has warned the UK is ""not going to lie down"" if Brussels seeks to impose trade tariffs after Brexit.",https://web.archive.org/https://web.archive.org//web/20170116010059/http://news.sky.com/story/hammond-fires-warning-shot-across-brussels-bows-over-single-market-10729979,"The Chancellor indicated the Government could retaliate by slashing business taxes if the EU moved to shut Britain out of the single market. His comments, made to a German newspaper, came ahead of a major speech by the Prime Minister Theresa May on Tuesday. In an interview with the German Welt am Sonntag, Mr Hammond said: ""If we have no access to the European market, if we are closed off, if Britain were to leave the European Union without an agreement on market access, then we could suffer from economic damage at least in the short-term. ""In this case, we could be forced to change our economic model and we will have to change our model to regain competitiveness. And you can be sure we will do whatever we have to do. ""The British people are not going to lie down and say, too bad, we've been wounded. We will change our model, and we will come back, and we will be competitively engaged."" Mrs May will announce the UK is prepared to leave the single market in a speech on Tuesday, it has been reported. Her so-called red lines in the upcoming Brexit negotiations are an end to free movement and lifting the bar to starting trade talks with other countries before breaking with Brussels. However, former UKIP leader Nigel Farage has told Sky News he was ""yet to be convinced"" by Mrs May over Brexit. :: Brexit terms explained - What you need to know Speaking to the Sophy Ridge on Sunday programme, the MEP said : ""I'm quite certain Theresa May will do what she always does - sound very reassuring, she will look to be very much in control, saying all the right things and people like me will say it sounds great but why is it taking so long? ""When it comes to immigration, in particular, which she is highlighting, this is coming from the person who was home secretary and failed completely. ""I'm yet to be convinced, I have to say."" Meanwhile, Labour leader Jeremy Corbyn accused the PM of pursuing ""an extremely risky strategy"", taking the UK in ""the direction of a bargain basement economy"". Criticising Mr Hammond's remarks, he told the BBC's Andrew Marr show: ""It seems to me a recipe for some kind of trade war with Europe in the future. That doesn't really seem to me a very sensible way forward."" Mr Corbyn added: ""She (the PM) appears to be heading us in the direction of a bargain basement economy on the shores of Europe where we have low levels of corporate taxation, we will lose access to half our export market. ""It seems to me an extremely risky strategy."" Liberal Democrat leader Tim Farron told the BBC's Sunday Politics that ""a hard Brexit is not the democratic choice of the British people""."
2017-01-16,"Donald Trump has dodged the question of whether the UK is ""front of the queue"" for a post-Brexit trade deal in an interview with MP Michael Gove.",https://web.archive.org/https://web.archive.org//web/20170116010059/http://news.sky.com/story/donald-trump-dodges-trade-question-in-michael-gove-interview-10730633,"Mr Trump simply said the UK was ""doing great"" when questioned by the former justice secretary for a Times interview. His evasiveness is at odds with Foreign Secretary Boris Johnson's comments last week that Britain will be first in line. The President-elect spoke to the prominent Leave campaigner in his New York office - making Mr Gove the second British politician, and the first MP, to get a meeting. It is another potentially awkward episode for the PM, who will have to wait until next month for a meeting. Former UKIP leader Nigel Farage also met Mr Trump last year. More follows... :: Watch live coverage of the inauguration on Sky News from 3pm and Sky Atlantic from 4pm on 20 January. Adam Boulton is in the US presenting a special Sky News programme - Trump: America's President - every day at midnight from now until Friday."
