date,program,link,transcript
2018-12-03,"Theresa May has been warned she risks creating a ""constitutional crisis"" if the government fails to release the full legal advice it has received on the Brexit agreement thrashed out by the prime minister in Brussels.",https://web.archive.org/https://web.archive.org//web/20181203084317/https://news.sky.com/story/theresa-may-facing-house-of-commons-battle-over-release-of-brexit-legal-advice-11570416,"It follows a report the prime minister's Brexit negotiator told her the Irish border backstop arrangement within her agreement with the EU represents a ""bad outcome"" for the UK. In a letter to Theresa May, as seen by the Daily Telegraph, Olly Robbins warned the backstop - aimed at avoiding a hard border on the island of Ireland - would mean the imposition of regulatory checks between Northern Ireland and the rest of the UK. The prime minister's chief Brexit adviser said: ""We should not forget that the backstop world, even with a UK-EU customs union, is a bad outcome with regulatory controls needed somewhere between GB and NI, serious and visible frictions and process between GB and the EU, and no security co-operation provided for."" The top civil servant, who took on responsibility for negotiations with Brussels earlier this year, is also reported to have used the 19 October letter to tell Mrs May there is no legal ""guarantee"" the UK will be able to escape the backstop arrangement, if it comes into force. Mrs May hopes the UK will agree a trade deal with the EU before the end of the Brexit transition period in December 2020 in order to avert falling into the backstop, or even extend the transition period if negotiations on the future UK-EU relationship drag on beyond that date. However, the backstop provision has been included in the UK's withdrawal agreement as an insurance policy in case either of those scenarios don't happen. The magic number the PM needs in order to win the crucial Commons vote on 11 December is 320 The emergence of Mr Robbins' letter to the prime minister, said to have been leaked by a ""concerned"" minister, has further fuelled demands for the government to release the full legal advice on Mrs May's Brexit deal. Attorney General Geoffrey Cox will address MPs on Monday, but the government have promised only to release a ""full reasoned political statement"" on the legal advice. This is despite the House of Commons last month backing a motion to ensure the government would be required to lay before parliament ""any legal advice in full"", including that of Mr Cox's. Tory MP and former Brexit minister David Jones said: ""At this crucial moment in the Brexit process, it is essential that parliament should be as fully informed as possible on the legal issues surrounding the deal. ""These include, among others, the role of the European Court of Justice, the justiciability of the 'best endeavours' provision and whether it is possible to withdraw from the backstop without the consent of the EU."" Opposition parties are threatening to launch contempt of parliament proceedings against ministers over the issue. Labour's shadow attorney general Baroness Chakrabarti told Sky News: ""If the government does not comply with the order the House of Commons passed on 13 November, that would be a very serious matter indeed - almost a constitutional crisis."" Even the DUP - which props up the minority Conservative government at Westminster - is said to be ready to help prompt contempt proceedings together with Labour, which would pile yet more pressure upon the prime minister with little more than a week to go before parliament votes on the deal she struck last month. Further criticism of Mrs May's deal was likely to come after the BrexitCentral website published an assessment by House of Commons legal officials which reportedly states a UK-EU customs union, as part of the backstop, would be ""a practical barrier to the UK entering separate trade agreements on goods with third countries"". US President Donald Trump recently criticised the prime minister's deal for hampering the possibility of a US-UK trade agreement. Mrs May will make her own statement to MPs on Monday following last week's G20 summit. Home Secretary Sajid Javid dismissed reports the government could pull a vote on the Brexit deal, scheduled for 11 December, amid expectations it will be rejected by MPs. He told the BBC: ""I don't think there is any chance of pulling the vote... I just don't see that happening."" Mr Javid also admitted it is ""very unlikely"" the government's plan for a post-Brexit immigration system will be published before the House of Commons vote. More than 100,000 people have signed the petition - have you? Shadow Brexit secretary Sir Keir Starmer told Sky News it is ""inevitable"" Labour would try to oust Mrs May if she loses the vote, which will come two days after the prime minister is due to take part in a TV debate with Jeremy Corbyn. There is still disagreement over the format of the programme, with the Labour leader indicating that he will only go with the Conservatives' preference for a BBC debate if it is a straight head-to-head. The BBC wants leaders to take questions from a wider panel and Downing Street has accused Mr Corbyn of ""running scared"" by so far refusing to sign up. Neither of the BBC or ITV proposals have proved popular with other parties, with Sir Vince Cable accusing both of excluding other viewpoints. In a letter to Sky, the BBC and ITV, the Liberal Democrat leader said: ""The principal alternative to the withdrawal agreement is for the UK to remain as a full and influential member of the European Union."" Leading Brexiteers, including Boris Johnson, former Brexit secretaries David Davis and Dominic Raab, have also written to broadcasters to criticise the planned debate. They claim neither Mrs May nor Mr Corbyn, who both backed Remain at the 2016 EU referendum, ""can be said by any interpretation of their positions to be backing a plan that will deliver on the mandate of the 17.4million who voted Leave"". Their letter adds the views of Leave supporters ""will be nowhere represented in this prime time debate"". There will also be no room on the debate podium for SNP leader Nicola Sturgeon, who is travelling south to London on Monday in a bid to persuade MPs to try and secure an extension to Article 50. However, Environment Secretary Michael Gove said on Sunday he believed the government could still win the parliamentary vote next week. Mr Gove, one of the leaders of the Leave campaign in the 2016 referendum, urged fellow Brexiteers to back the agreement warning the alternative was ""no deal or no Brexit"". He said that if the government lost the vote there was a ""real risk"" there could be a majority in the Commons for a second referendum."
2018-12-03,"A family of swans have been shot and killed in a ""senseless"" air gun attack.",https://web.archive.org/https://web.archive.org//web/20181203084317/https://news.sky.com/story/family-of-swans-killed-in-senseless-air-gun-attack-11569623,"The bodies of five cygnets, and both of their parents, were found wrapped in plastic bags after they were thrown down the bank of a stream in Kent. Two of the birds' bodies have been examined by the RSPCA - and X-ray images revealed one of the mute swans was ""peppered with bullets"". Dave Grant, an RSPCA inspector, said: ""It's absolutely disgusting that someone would purposefully target and kill these beautiful birds, and it's heartbreaking that an entire family has been wiped out in this cruel incident."" Kent Police was called to the scene in Benenden last Sunday, and officers are assisting the RSPCA with their investigation into the attack. The RSPCA received 884 reports of air gun attacks on animals across England and Wales last year - including 51 calls from Kent. Wild birds, wild animals and cats are most likely to be injured by air guns, and the organisation is demanding regulation on the weapons be tightened. :: Anyone with information about the shooting is being asked to contact the RSPCA's appeal line on 0300 123 8018. More than 100,000 people have signed the petition - have you?"
2018-12-03,"The British armed forces have four new senior chiefs, including new heads of the Royal Air Force (RAF) and Royal Navy.",https://web.archive.org/https://web.archive.org//web/20181203084317/https://news.sky.com/story/new-raf-and-royal-navy-chiefs-appointed-as-part-of-armed-forces-update-11570412,"Vice Admiral Tony Radakin has been named first sea lord and chief of naval staff, succeeding Admiral Sir Philip Jones, and Air Marshal Michael Wigston will be the next chief of the air staff, replacing Air Chief Marshal Sir Steven Hillier. Lieutenant General Patrick Sanders will become commander joint forces command and Vice Admiral Timothy Fraser has been promoted to vice chief of the defence staff. The four roles are the most senior in the military below the chief of the defence staff, General Sir Nick Carter. The appointments were approved by the Queen and announced by Defence Secretary Gavin Williamson. Confirming the news, Mr Williamson said: ""Forward-looking and keen to modernise the Armed Forces, these are the transformational leaders we need in these challenging times. ""The appointment of a new generation of commanders will ensure that Britain remains ready to face the threats of tomorrow and continues to be a major player on the world stage."" General Mark Carlton-Smith remains the head of the army, having only recently taken over. The four new appointments will take up their posts next year, at a time when the RAF is still fighting Islamic State in Iraq and Syria. The number of British troops stationed in Afghanistan has also recently increased and Russia remains a growing threat in eastern Europe. More than 100,000 people have signed the petition - have you? The chiefs of the RAF and Royal Navy might also be heading towards a showdown over future orders of the F35 stealth fighter jet, with Sky News having reported last week that there was internal friction because the RAF wanted to order a version of the jet that could not fly from the new aircraft carriers. One source told Sky News: ""This will completely undermine the whole carrier programme. ""There is no operational reason whatsoever for the RAF to have the A (land-based) variant (of the F-35). If it can't fly from an aircraft carrier, it shouldn't be purchased."""
2018-12-03,"A woman who was killed on a train may have been leaning out of a window when she suffered a blow to the head, police have said.",https://web.archive.org/https://web.archive.org//web/20181203084317/https://news.sky.com/story/woman-killed-on-bristol-bound-train-may-have-had-head-out-of-window-11570369,"The victim, who has not been identified, sustained serious head injuries on a service bound for Bristol Temple Meads station, between Bath and Keynsham, on Saturday evening. Her death is not being treated as suspicious and the Rail Accident Investigation Branch has been informed. A spokesman for British Transport Police said: ""We were called at around 10.10pm following a report a woman had received serious head injuries while travelling on a train between Bath and Keynsham. ""Officers from British Transport Police attended along with colleagues from Avon and Somerset Police and South Western Ambulance Service, but despite their best efforts the woman died at the scene. ""Our investigation remains at an early stage, but initial inquiries suggest the woman may have been leaning out of a window when she suffered a blow to the head. ""Officers are currently working to confirm her identity and inform her next of kin."""
2018-12-03,British Cycling has introduced a new mandatory cardiac screening policy as awareness grows of the risks faced by sportspeople.,https://web.archive.org/https://web.archive.org//web/20181203084317/https://news.sky.com/story/cyclists-to-have-heart-scans-amid-cardiac-arrest-fears-11569599,"Every rider, from academy to elite level, will have an annual electrocardiogram (ECG) and heart scan to determine if they are at increased risk of suffering sudden cardiac arrest. In some cases athletes could be advised to retire if it is determined they would risk death by continuing to compete. Some experts think athletes are three times more likely than non-athletes to suffer sudden cardiac arrest. The FA, Lawn Tennis Association and Rugby Football Union already routinely scan their professional athletes but there is an increasing push for this protocol to be rolled out across sport. The screening at British Cycling is being carried out and paid for by a team from Liverpool John Moores University as part of their research into cardiac health among athletic people. Professor John Somauroo, a sport and exercise cardiologist, said: ""We know there are high profile athletes having cardiac arrests. ""But equally unfortunately there are about current thinking around 12 young athletes between the ages of 14 and 35 per week dropping dead in Britain. ""And in fact that's relatively old data and the newer data suggests that it's at least 20 young people if not even higher that are having those events per week."" He added: ""If you were to have a bus load of kids crashing into a low bridge every week and half the children were killed. ""They'd do something about the bridges or the bus routes."" This week, Northampton Town footballer Leon Barnett was forced to retire after his heart rate reached 300 beats per minute during a match. He told Sky News he felt fortunate to have had the issue identified and avert potentially devastating consequences. ""I'm a very positive person and I always think it could have been worse,"" he said, adding: ""I'm grateful that I'm still here talking and able to spend time with my family and friends."" More than 100,000 people have signed the petition - have you? The scan lasts for about 40 minutes and British Cycling's head of medical services Nigel Jones said all the riders had welcomed the new policy. ""In very rare instances, athletes will have a problem with their heart that we pick up on in screening and our job then is to have an informed discussion with that athlete about what potentially the risks of them continuing in elite sport are,"" he said."
2018-12-03,"A British couple who lost an engagement ring down a drain in New York hours after deciding to get married say it is ""incredible"" that police have found the precious piece of jewellery.",https://web.archive.org/https://web.archive.org//web/20181203084317/https://news.sky.com/story/my-street-cred-is-shot-clumsy-groom-to-be-on-return-of-engagement-ring-lost-in-new-york-11570343,"John Drennan, 36, and Daniella Anthony, 34, told Sky News the last few days had been ""absolutely crazy"". After the couple lost the ring in Times Square on Friday night, they sought help from the police. Initially, officers were unable to find it, and the couple left without leaving contact information. But after further searches the next morning, officers discovered the ring and cleaned it up. Following an appeal on social media, they managed to contact John and Daniella. ""Case closed,"" officers posted, along with a picture of the couple, adding: ""Thank you, Twitter. Love, John, Daniella, and the NYPD. ""We're making arrangements to get them their ring back. Congratulations!"" ""It's just been absolutely crazy,"" Daniella told Sky News. ""I can't believe they've found the ring! It's incredible."" We would like to thank everyone who shared this story! The (now) happy couple is back in their home country, but thanks to your retweets they heard we were looking for them! We’re making arrangements to get them their ring back. Congratulations! https://t.co/rXHxxkwClm John said his ""street cred is definitely absolutely shot"". He added: ""Our friends are all talking about it on WhatsApp. They spotted the NYPD Twitter post first and said, 'Is that you guys? What happened?' That's how we found out."" The couple were in New York for their 10-year anniversary. John had been carrying the ring around with him as they took in the sights, ""constantly tapping my jacket pocket just to make sure it was still there"". He said: ""We went all over the place - the Brooklyn Bridge, Times Square, Central Park - everything was just so busy, there were so many people everywhere and I was trying to find that right moment, you know? The couple that lost their engagement ring in Time Square on Friday night has been found. A special thank you to #NYPD ESU Det. Bucchignano & Glacken for their extra effort, they returned the next morning & were able to recover the💍 in a subway grading. Congrats  & Best of Luck! pic.twitter.com/ShUnJTYuB9 ""Then on Friday we went back to Central Park. Daniella was running and jumping through the leaves, and that's when I proposed. She'd only had the ring a matter of hours and then it was gone. ""On Saturday morning we couldn't bring ourselves to walk back past that drain. We just said, 'We're not ready for that yet.'"" More than 100,000 people have signed the petition - have you? Daniella said: ""We thought - we can't tell anyone what happened! We can't tell our family, although we can tell them now it's been found."" The officers ""will definitely be getting a mention at the wedding"", John said. ""We cannot thank the people of New York or the police enough."""
2018-12-03,"Dozens of current and former Ted Baker employees have accused the fashion brand's founder of implementing a regime of ""forced hugs"" and harassment.",https://web.archive.org/https://web.archive.org//web/20181203084317/https://news.sky.com/story/ted-baker-employees-complain-of-founders-awkward-hugging-policy-11569607,"More than 60 people have reportedly come forward to launch an online petition detailing employees' alleged experiences with Ray Kelvin, 62, calling for the company to end its ""awkward hugging policy"". The complainants claim Kelvin would give unwanted hugs, shoulder massages and kisses on the back of their ears at the firm's London head office. The petition, which is understood to be backed by almost 200 current or former employees, said the ""inappropriate"" forced hugging was ""part of a culture that allows harassment to go unchallenged"". It called for ""a way of reporting harassment to an independent, external body"" and claimed ""HR has done nothing with the reports of harassment"". ""Directors who abuse their power should be held to account,"" the employees added. ""Harassment at Ted Baker is well documented but wilfully ignored by those in charge. ""It's time to break the silence."" More than 100,000 people have signed the petition - have you? The petition website purported to quote several unnamed current and former employees detailing their experiences. ""The CEO always wants a hug from every member of the staff,"" said one. ""It's very uncomfortable and unnecessary, a simple handshake can be okay. He has kissed the back of the ears of some of the people that work there too."" Another said: ""I've seen the CEO ask young female members of staff to sit on his knee, cuddle him, or let him massage their ears."" A third added: ""Forced hugs and kisses. Invitations to star in porn movies with Ray [the CEO] in the middle of the office in front of everyone."" Ted Baker said it would make sure an independent investigation was carried out. In a statement, it said: ""While the claims made are entirely at odds with the values of our business and those of our CEO, we take them very seriously. ""Ray greets many people he meets with a hug - be it a shareholder, investor, supplier, partner, customer or colleague. ""Hugs have become part of Ted Baker's culture, but are absolutely not insisted upon."""
2018-12-03,"The head of MI6 warned Russia and other rogue states ""not to underestimate"" the UK's ""determination and capabilities"", as he called for a new era of spying amid emerging threats.",https://web.archive.org/https://web.archive.org//web/20181203084317/https://news.sky.com/story/mi6-chief-warns-rogue-states-dont-underestimate-us-11570425,"Speaking to students at the University of St Andrews, Alex Younger warned of threats from enemies who regard themselves as being in a state of ""perpetual confrontation"" with the UK and describe how intelligence agencies are developing a ""fourth generation"" of espionage. In his second major speech since becoming head of the Secret Intelligence Service four years ago, Mr Younger urged ""Russia or any other state intent on subverting our way of life not to underestimate our determination and our capabilities, or those of our allies"". He described how MI6 helped expose the perpetrators said to be behind the Salisbury nerve agent attack and how it helped co-ordinate the expulsion of Russian diplomats. He also told students that Britain is ""well-equipped"" to counter those who launch attacks on Britain in ways that fall short of traditional warfare, such as cyber attacks and the spreading of disinformation. He said: ""The degree of interconnectedness between nations, people and systems today, the ubiquitous nature of information and the exponential pace of technological change, are making the work dramatically more complicated."" He added: ""The era of the fourth industrial revolution calls for a fourth generation of espionage: fusing our traditional human skills with accelerated innovation, new partnerships and a mindset that mobilises diversity and empowers the young."" Mr Younger also highlighted the strengthening of security ties in Europe ahead of Brexit and spoke about how working with other intelligence services had disrupted ""multiple"" planned attacks by Islamic State overseas. And in a direct appeal to students, Mr Younger called for the need for diversity in MI6. ""I want to speak to young people who have never seen themselves in MI6,"" he said. ""It doesn't matter where you are from. If you want to make a difference and you think you might have what it takes, then the chances are that you do have what it takes, and we hope you will step forward."" More than 100,000 people have signed the petition - have you? Mr Younger also addressed the release of British academic Matthew Hedges after he was charged with spying and jailed in the UAE. The UK rejects the claims made against him. He said: ""We're delighted to see him back in the UK but we're perplexed by what happened and I genuinely don't know how our Emirati partners came to the conclusion they did. There are some frank discussions ahead."" Commenting on the fight against Islamic State, he confirmed that foreigners working for the British government had lost their lives keeping the UK safe. ""We have asked our agents - the people who agree to work for MI6 - to do extraordinary things and run great risks,"" he said. ""And I will not hide from you that some have paid the ultimate price. Our country and our allies owe them a debt they can never truly know and never fully repay."""
2018-12-03,"It may be the beginning of the end for trendy avocado breakfasts with cafes now scrapping the fleshy fruits from their menus, citing fears about the environment and sustainability.",https://web.archive.org/https://web.archive.org//web/20181203084317/https://news.sky.com/story/avocados-are-toast-cafes-ban-superfood-over-fears-it-fuels-criminal-cartels-11569530,"Leading the ""controversial"" fightback is the Wild Strawberry cafe in Buckinghamshire, which said it was ""plain wrong"" to continue serving items such as avocado on toast, with the popular ingredient being flown thousands of miles across the globe before reaching our plates. In an Instagram post telling customers ""this.is.not.a.joke"", the cafe - which uses avocados in some of its most popular dishes - said the demand for the fashionable ""superfood"" was driving criminal cartels in Mexico. Wild Strawberry, which reportedly serves up 1,000 avocados a week, said it ""thought long and hard"" but wanted to keep its focus on locally sourced ingredients while addressing the issue of food miles and sustainability.  Dear customers, we have some news for you. As of today, we will no longer be serving avocado in the yurt. This.is.not.a.joke. 🥑 Controversial? Absolutely...We’re as acquainted as the next person to our weekly intake of smashed avocado toast but this is something we have thought long and hard about. Let us explain... 🥑🥑 1. Seasonality. Locally sourced ingredients have been woven into our identity from day one. Whether it’s our home grown courgettes, apples or pumpkins, our menu flexes with the seasons as we let the produce of the Chilterns and surrounding areas inspire and inform our recipes. All our meat is sourced within 25 miles, we use local yoghurt, eggs, Chiltern rapeseed oil, to name but a few. There will always be exceptions, we do not claim never to use a pinch of an Indian spice, a drizzle of Italian olive oil, or a crumble of Greek feta. These are all beautiful things and arguably there is not a local alternative, nor would we want one. Our cooking is inspired by many of the cuisines of the world and it would be contrite to think it should be any other way. However, the sheer quantity in which avos were being consumed was making us feel uneasy as they were so at odds with our local ethos. We believe in this and want to truly practise what we preach. 🥑🥑🥑 2. Food miles. it doesn’t take a genius to work out that food tastes better when it hasn’t been flown 5000 miles. But more importantly, at a time when climate change concerns have never been more real, transporting ingredients in fuel guzzling planes from Central and South America, Africa and beyond just to satisfy our whim for the latest food trend, when we have a plentiful supply of perfectly delicious, nutritious food on our doorstep is just plain wrong. 🥑🥑🥑🥑 3. Sustainability. The Western world’s obsession with avocado has been placing unprecedented demand on avocado farmers, pushing up prices to the point where there are even reports of Mexican drug cartels controlling lucrative exports. Forests are being thinned out to make way for avocado plantations. Intensive farming on this scale contributes to greenhouse emmisions by its very nature & places pressure on local water supplies. A post shared by  Wild Strawberry Cafe (@wildstrawb_cafe) on Nov 26, 2018 at 10:15pm PST It said: ""At a time when climate change concerns have never been more real, transporting ingredients in fuel guzzling planes from Central and South America, Africa and beyond just to satisfy our whim for the latest food trend, when we have a plentiful supply of perfectly delicious, nutritious food on our doorstep, is just plain wrong."" The Instagram post added: ""The western world's obsession with avocado has been placing unprecedented demand on avocado farmers, pushing up prices to the point where there are even reports of Mexican drug cartels controlling lucrative exports. ""Forests are being thinned out to make way for avocado plantations. Intensive farming on this scale contributes to greenhouse emissions by its very nature and places pressure on local water supplies."" In 2016, Greenpeace Mexico said people were likely to suffer too due to the ""high use of agricultural chemicals and the large volumes of wood needed to pack and ship avocados"". According to a 2012 report by Mario Tapia Vargas, a researcher at Mexico's National Institute for Forestry, Farming and Fisheries Research, avocado production in Michoacan tripled and exports rose tenfold between 2001 and 2010. More than 100,000 people have signed the petition - have you? The research suggested it caused a loss of forest land of about 690 hectares (1,700 acres) a year between 2000 and 2010. Wild Strawberry owner Katy Brill told the Mail on Sunday that the move could turn out to be ""the worst business decision I have ever made"" but said her customers supported her decision. She has now replaced avocados with sauteed garlic mushrooms. Others to drop avocados include the Wildflower restaurant in south London and the Tincan Coffee cafe in Bristol, which replaced the item with pea guacamole."
2018-12-03,"The number of police officers in London will plummet to the lowest level in more than 15 years if funding is not urgently increased, Sadiq Khan has warned.",https://web.archive.org/https://web.archive.org//web/20181203084317/https://news.sky.com/story/sadiq-khan-says-london-police-numbers-will-plummet-without-increased-funding-11570430,"Should further savings be demanded by the Home Office, Mr Khan claimed there could soon be as few as 26,800 officers working in the Metropolitan Police - the fewest since 2002. The London mayor is due to meet Home Secretary Sajid Javid on Tuesday to discuss police funding for 2019-20, but as it stands the Met is required to make a further £335 million worth of savings by 2022, the mayor's office said. Mr Khan said that was £10m more than previous forecasts suggested, even though the latest calculations took into account plans to increase the policing element of council tax in the capital by 5.1% - or £12 per household. That would raise an extra £49m, which is enough to employ 800 officers, although it falls well short of the £104m bill - equivalent to more than 1,700 officers - to be commanded by a 2020 increase to the annual pension bill at Scotland Yard. Mr Khan said if the Met was made to cut its budget further, it would make it far more difficult to combat a sharp rise in violent crime recorded in London this year. More than 100,000 people have signed the petition - have you? ""The causes of violent crime are extremely complex, but there is no doubt it has been made far worse by huge government cuts to the police and youth services,"" he said. ""Even the home secretary has finally admitted that the Met won't be able to tackle violent crime without more funding from the government. Now we urgently need to see action to avoid officer numbers falling even further. ""Government cuts have led to London losing 3,000 police officers and more than 3,000 PCSOs and 5,000 police staff and I'm genuinely concerned about how we keep Londoners safe with officer numbers as low as 26,800. ""Ministers need to reverse the £1 billion savings forced on the Met and reverse their cuts on youth services and other preventative services so that we can keep our city safe."" Sky News reported last week that police forces across England and Wales could see a £600m funding boost from April 2019, with the home secretary having cut a deal with Chancellor Philip Hammond and James Brokenshire, the communities secretary, to double the amount that local authorities can add to council tax bills for policing. Mr Khan dismissed the figure as insufficient to cope with the upsurge in violence on the streets, which is believed to have resulted in well in excess of 100 murders in London so far this year."
