date,program,link,transcript
2018-02-01,A prisoner who was stabbed to death at Wormwood Scrubs has been named as Saleh Khader.,https://web.archive.org/https://web.archive.org//web/20180202063703/https://news.sky.com/story/murder-probe-launched-after-stabbing-at-wormwood-scrubs-prison-11231916,"Officers and ambulance crews were called to the west London prison at 3.19pm on Wednesday, but the 25-year-old was pronounced dead at the scene. An investigation has now been launched, and four inmates at the category B jail have been arrested on suspicion of murder. The men - two 21-year-olds, a 20-year-old and a 23-year-old - remain in police custody. Scotland Yard said Khader's next of kin have been informed, and a post-mortem examination will be arranged in due course. News of Khader's death came after a report by the prison's Independent Monitoring Board described it as ""a dangerous environment for staff and prisoners alike, with multiple violent incidents on most days"". The report, published last November, said the prison remained a ""dangerous place"" with 40 to 50 violent incidents in a typical month. At the time, the prison - which has about 1,200 male inmates - was said to be ""consistently"" short of staff. The report added: ""Managers and officers are expected to work - and prisoners are expected to live - in unacceptable conditions, which are not only indecent but also represent a threat to the security of the prison."" It also said that Carillion, the organisation contracted for maintenance services to Wormwood Scrubs, which collapsed earlier this month, was ""not able to adequately maintain the fabric of the prison""."
2018-02-01,"The good news is that inequality in Britain isn't getting worse. The bad news it that it isn't getting better, either. It's just getting different.",https://web.archive.org/https://web.archive.org//web/20180202063703/https://news.sky.com/story/inequality-in-the-uk-is-not-getting-worse-but-it-is-changing-11232312,"That's the main theme to come out of the latest batch of wealth analysis by the Office for National Statistics (ONS). It's a very comprehensive 69-page appraisal of how the nation's wealth is distributed within British society, and how the picture is changing. And in some places, the answer is that it is not changing all that much. A striking fact of this year's report is that the top 10% of the nation has as much wealth as the bottom half put together. That's exactly the same proportion as the last time this analysis was compiled two years ago. But what about inequality? Well, handily enough, there is a way of measuring that, which is presented in this report. It's called the Gini coefficient (named after the Italian statistician Corrado Gini, by the way) and it examines the distribution of wealth. A score of zero means we all have exactly the same income; a score of one means one person having all the money, and the rest of us having nothing. This time around, Britain scored 0.62 overall. To put that in context, it was 0.61 a decade ago, when the ONS first did this report, but 0.63 last time round. In broad terms, inequality has not changed over the past decade. You might ask why things have not changed. The answer, as so often with economics, is that a lot of things have actually changed, but when you lump all those things together you end up with a net result that looks a lot like what came before. So on the minus side, we are becoming ever more divided by the value of property. Look at the two charts alongside this, and they tell a story. While homes in northeast England went down in value between July 2012 and June 2016, those in London went up by more than 30%. Nowhere else in the country comes anywhere near to touching that level of increase, which has led to Londoners becoming richer than any other place in Britain. The average household net property wealth in London is about £350,000. In the South East, it is about £100,000 less than that. In the North East, property wealth is slightly less than a third of the average in London. So we have a huge regional disparity, fuelled by the spiralling cost of London property in the aftermath of the credit crunch, and that fuels inequality between the capital, the South East, and then the rest of the country. It also stokes anger among young house buyers about the near impossibility of buying a property anywhere near the capital. But on the flip side, there is an area where inequality is falling. Auto-enrolment of pensions began in 2012, and has led to a huge spike in the number of people who are signed up to pension schemes. That is important because the two biggest factors in measuring our wealth are the amount of money we have tied up in a property, and the amount we have put away in a pension scheme. So, as property wealth has become more unequally distributed, pensions have spread further across society. More people saving more money. Inequality narrowed. One balances out the other, and the inequality stays the same. The tough question is whether Britain has done well to resist worsening inequality, or has failed in its quest to make society fairer. The answer, curiously, may well be yes. To both."
2018-02-01,The new Culture Secretary has prompted joy and mockery by launching a social media app named after himself.,https://web.archive.org/https://web.archive.org//web/20180202063703/https://news.sky.com/story/culture-secretary-matt-hancock-mocked-for-launching-social-media-network-11232248,"Matt Hancock has opened a platform where users can apply for verification, watch live streams of him, add each other and send messages. In a video that appears upon opening it for the first time, Mr Hancock cheerily declares the app is to help him engage with his West Suffolk constituents and let them raise and discuss important issues. NEWS: Today I’ve launched the Matt Hancock app to connect with my West Suffolk constituents. Follow the link to download it & see what’s going on in the Matt app https://t.co/UBH3DtQQhR pic.twitter.com/6FOLjdtPqb Despite the app's serious intentions, the network has been inundated with memes and jokes poking fun at it. Fake accounts have also sprung up, with one post from ""Damo Green"", alluding to the Cabinet Office minister fired over false statements about watching porn on his parliamentary computer, reading: ""Hi Matt, where's the incognito mode?"" Another purporting to be from Lord Bates, the peer who tried to resign as a minister for missing a question in the House of Lords on Wednesday, says: ""Sorry all, am I late?"" Others compared it to satirical TV show The Thick Of It, which depicts a technophobe minister launching a government app with the slogan ""I call app Britain"". Look who turned up at over at #Hancock. pic.twitter.com/KuS49yq2p5 Labour MP Liam Byrne has tabled a question in the House of Commons about how the new internet age verification regulator will check if app users are old enough to view the pornography being uploaded on it. Serious technical issues have also been raised. Pat Walshe, a data protection and privacy consultant, said there was no privacy policy on the app's landing page - a breach of Apple's guidelines. He also claimed there were ""questions of fair and lawful processing"" of users' information, including photos on their phone. Silkie Carlo, director of civil liberties group Big Brother Watch, said: ""The Matt Hancock app is a fascinating comedy of errors. ""It is quite fitting, given this government's incompetence on digital privacy issues, that our digital minister's app steals a bank of users' personal photographs, even when permission to access them is denied."" Mr Hancock, who was promoted from digital minister to lead the department in last month's cabinet reshuffle, responded hours after the app's launch. He denied it breached security standards because it uses ""Apple technology"" and said it would be better than traditional social media platforms because it gave ""complete editorial control"", community moderation and user privacy. ""I'm delighted to have the chance to use this to build a safe, open and accessible online community for my West Suffolk constituents and I to engage with the issues that matter to them,"" Mr Hancock said. Despite the debate raging over the app, one user's post featured on the ""hottest"" content tab admits: ""I know we're all taking the p*** but… it's actually quite nice on here, isn't it?"""
2018-02-01,"A secret US military test to shoot down an incoming missile has failed, according to reports, raising concerns about the threat posed by North Korea.",https://web.archive.org/https://web.archive.org//web/20180202063703/https://news.sky.com/story/secret-missile-defence-test-by-us-military-fails-11232092,"The SM-3 Block IIA interceptor missile was launched from Hawaii on Wednesday, but failed to intercept its target, according to an anonymous US official. The official said those involved in the launch, including developer Raytheon, were analysing why it failed. It is the second test confirmed to have failed since rising tensions between the US and North Korea prompted the regime's leader Kim Jong Un to threaten using a nuclear-tipped intercontinental ballistic missile against the US mainland. Another SM-3 Block test in June failed after the interceptor missile's self-destruct mechanism was accidentally triggered by a member of military personnel, although there was a successful test in early 2017. The Missile Defense Agency confirmed that a test had taken place, but did not comment on its outcome. ""The Missile Defense Agency and US Navy sailors manning the Aegis Ashore Missile Defense Test Complex (AAMDTC) conducted a live-fire missile flight test using a Standard-Missile (SM)-3 Block IIA missile launched from the Pacific Missile Range Facility, Kauai, Hawaii, Wednesday morning,"" agency spokesman Mark Wright confirmed. US defence officials are said to be looking for sites on the country's west coast to deploy new anti-missile systems. The Missile Defence Agency is considering several locations to install a new Terminal High Altitude Air Defence (THAAD) interceptor system similar to the one which protects South Korea against a potential attack from the North, according to congressmen Mike Rogers and Adam Smith. It comes amid renewed fears over the nuclear ambitions of Mr Kim, who earlier this week ordered the test of a new long-range missile said to be capable of striking the entire US mainland. According to reports, a failed missile launch in North Korea hit one of its own cities during early January. President Donald Trump has praised the United Nations for voting unanimously for tough new sanctions to be imposed on North Korea. All 15 nations on the UN Security Council voted in December for further sanctions to be placed on the North after it tested a ballistic missile last month which Pyongyang claims could reach the US mainland. The sanctions include drastically lowering limits on North Korea's oil imports."
2018-02-01,The former boss of Formula One has criticised the decision by its new owners to scrap grid girls.,https://web.archive.org/https://web.archive.org//web/20180202063703/https://news.sky.com/story/bernie-ecclestone-attacks-formula-one-grid-girl-ban-11232001,"Bernie Ecclestone says he cannot see why a ""good-looking"" woman standing next to a driver at the start of a race could be ""offensive"". The 87-year-old tycoon said it was a sign the UK was becoming ""prudish"". It came after Liberty Media, the sport's organiser, said the custom of using women on start lines was ""clearly... at odds with modern day societal norms"". The women are often seen carrying the drivers' standards which indicate their race numbers and their location on the starting line. They also often line the route that the top three drivers take as they head to the podium at the end of a race. :: 'I'm proud of being a grid girl - don't ban us' Ecclestone told Sky News: ""These girls did nothing harmful to anyone. ""We might as well say we do not want people going to fashion shows. They were smartly dressed. ""We have people saying it was going in darts, but that's a different type of sport, if you call it a sport. I thought people enjoyed seeing the girls and they are necessary really. This is actually a very key point. Worse than this would be if it suggests that victorious men can avail themselves of the girls on display, which is a subliminal message that has always been difficult to avoid. Big discussion. #F1 #gridgirls https://t.co/NfoEyMo8Pi ""When the team driver wants to get on the grid, it is much easier for them to know their place, where they are going to stop than hope they get it right and hope the teams were helping. ""It took a lot of time and stress from the teams."" He also said, assuming it did objectify women, he didn't ""remember any of the girls being forced to do it"". He went on to deny that grid girls would be wearing shorter skirts than they would do in any other situation. So the inevitable has happened, F1 gridgirls have been banned. Ridiculous that women who say they are ""fighting for women's rights"" are saying what others should and shouldn't do, stopping us from doing a job we love and are proud to do. PC gone mad 😡 #Gridgirls Ecclestone, who ran F1 for more than three decades, told The Sun earlier: ""The country at the moment is getting a bit prudish. ""You should be allowed to have grid girls because the drivers like them, the audience like them and no one cares. These girls were... part of the spectacle. ""I can't see how a good-looking girl standing with a driver and a number in front of a Formula One car can be offensive to anybody."" It is not the first time Mr Ecclestone, who became a billionaire as a result of his investment in the sport, has made statements about the participation of women in F1. No one is saying women shouldn't be allowed to do whatever they want career wise. Literally no one. It is the *concept* of grid girls and what it represents that is the issue. And if you truly don't understand why it is an issue then, quite frankly, yikes. In 2016, he told an advertising conference that female drivers would ""not be taken seriously"" in Formula One and they are ""not physically"" able to drive cars that fast. Several so-called grid girls have leaped to the defence of those who stand to lose their jobs as a result of the move. Lauren-Jade Pope, a ""grid girl and promo model"", tweeted: ""Because of these feminists, they've have cost us our jobs! I have been a grid girl for 8 years and I have Never felt uncomfortable! I love my job, if I didn't I wouldn't do it! Noone forces us to do this! This is our choice!"" I love my job. I’m respected, paid well & proud to represent the team I’m working for. It’s not right for anyone, let alone ‘feminists’ to judge our job when quite frankly they are putting so many women out of work. Where is the equality & empowerment here? #GridGirls #F1 💛🏁 pic.twitter.com/ookyjB1A8Q Rebecca Cooper, another grid girl, said on Twitter: ""If we don't do something to stop this where will it end? No grid girls, no cheerleaders, female singers being told what to wear on stage, no models in magazines?! I'll fight for my right to choose what I wear, where I work and to keep a job I love. I'll #fightformyrighttochoose"". The organisers of some of darts' biggest tournaments, the Professional Darts Corporation, also recently decided to stop using walk-on girls. A Sky News online poll asking people if they thought walk-on girls should be banned from all sports found 17% in favour and 83% against, after nearly 13,000 votes."
2018-02-01,Two sisters have been charged with murder after a three-year-old boy was allegedly beaten to death with a baseball bat for taking a cupcake.,https://web.archive.org/https://web.archive.org//web/20180202063703/https://news.sky.com/story/sisters-killed-boy-three-for-taking-a-cupcake-11232045,"LaShirley Morris and Glenndria Morris were formally charged on Tuesday with two counts of murder, one of aggravated assault and two of first-degree cruelty in connection with the death of Kejuan Mason in Atlanta on 21 October last year. It is alleged that LaShirley Morris used a bat to repeatedly beat the young boy in the head, stomach, legs and arms while her sister, Kejuan's legal guardian, used her hand to spank him. According to The Atlanta Journal-Constitution, Glenndria Morris told police that Kejuan had ""choked"" on the cupcake. She is said to have told officers that the cake was removed from his throat and that he was ""fine breathing and talking later"", but she then found him ""not breathing or responsive"" when he went to take a nap. She said she dialled 911 when she found the youngster, who was given CPR by a paramedic. Kejuan was pronounced dead at Atlanta Medical Centre, with medical examiners concluding that he had died from blunt force trauma. Glenndria Morris was arrested on the day of the incident, while her sister was arrested five days later. Both were granted a $200,000 (£140,000) bond on Monday as the Fulton County District Attorney still had not formally charged them. Georgia courts must grant a bond - which allows for a set amount of money to be paid to obtain release from police custody - if a suspect has not been charged within 90 days of an arrest. Officials have not said if the bond has been revoked following the indictment on Tuesday and the suspects remain at Fulton County Jail. They could face life behind bars if convicted."
2018-02-01,The FA says it has been made aware of reports concerning Sam Clucas' goal celebrations during Swansea's match against Arsenal.,https://web.archive.org/https://web.archive.org//web/20180202063703/https://news.sky.com/story/fa-looks-into-sam-clucas-goal-celebrations-during-swanseas-match-against-arsenal-11232485,"It follows claims the midfielder was referencing a pornography website. Clucas scored twice as The Swans beat the Gunners 3-1 at the Liberty Stadium on Tuesday, and the 27-year-old marked both goals by apparently mimicking a pornography website's 'spy' symbol. Swansea insists Clucas was ""not fully aware"" of the website's content and say the club has reminded the midfielder of his ""responsibilities"". A Swansea spokesman said: ""As a club we were unaware of any links to the internet group in question and disappointed to learn of the association as it does not reflect the values of Swansea City nor our strong commitment to equality. ""We wholeheartedly condemn the degradation of women and believe everyone's rights, dignity and individual worth is to be respected. ""Having spoken to Sam, he was not fully aware of the pornographic sections of this internet group and at no time intended to cause offence which he apologises for. ""The club will speak to Sam again internally to establish the full facts, while also taking the opportunity to remind everyone of their responsibilities."""
2018-02-01,The most detailed simulation of the universe ever created has provided a breakthrough revealing how the most powerful and mysterious forces interact on an enormous scale.,https://web.archive.org/https://web.archive.org//web/20180202063703/https://news.sky.com/story/simulation-of-universe-provides-black-hole-breakthrough-11231983,"Scientists said the detail and scale provided by the simulation enabled them to watch how galaxies formed, evolved and grew while also nursing the creation of new stars. Dr Shy Genel, at the New York-based Flatiron Institute's Centre for Computational Astrophysics (CCA), said: ""When we observe galaxies using a telescope, we can only measure certain quantities."" But ""with the simulation, we can track all the properties for all these galaxies. And not just how the galaxy looks now, but its entire formation history"", he added. He said the simulation is the most advanced ever developed. Using specialised computational methods, scientists have developed a computer model of the universe which has allowed them to write three ground-breaking papers which have been published in the Monthly Notices of the Royal Astronomical Society. An international team of scientists led by Volker Springel at the Heidelberg Institute for Theoretical Studies developed and programmed the simulation of the universe, named ""Illustris: The Next Generation"" or IllustrisTNG for short. :: Supercomputer provides black hole breakthrough Dr Dylan Nelson of the Max Planck Institute for Astrophysics used the simulation to reveal how star-forming galaxies shine brightly in the blue light of their young stars until an evolutionary shift suddenly halts the star formation, turning the galaxy into one dominated by old, rest stars. ""The only physical entity capable of extinguishing the star formation in our large elliptical galaxies are the supermassive black holes at their centres,"" explained Dr Nelson. ""The ultrafast outflows of these gravity traps reach velocities up to 10% of the speed of light and affect giant stellar systems that are billions of times larger than the comparably small black hole itself."" ""It is particularly fascinating that we can accurately predict the influence of supermassive black holes on the distribution of matter out to large scales,"" said Dr Springel. ""This is crucial for reliably interpreting forthcoming cosmological measurements."" IllustrisTNG is a model of a cube-shaped universe smaller than our own, just one billion light-years across (the observable universe has a diameter of about 93 billion light-years). The project followed the formation of millions of galaxies within this section of the universe, in the largest hydrodynamic simulation ever exploring how cosmic structures developed. It predicted a cosmic web of gas and dark matter which interacted to produce galaxies which were similar to real galaxies in shape and size. The researchers said that for the first time, the simulations have been able to directly compute the detailed clustering patterns of galaxies in space. In addition, the simulations predict how the cosmic web changes over time, especially in relation to the mysterious dark matter that is believed to make up 26.8% of the universe - compared to ordinary matter which makes up just 4.9% of the observable universe. The rest of the 68.3% of the observable universe is believed to be made of dark energy."
2018-02-01,"The NHS continues to face severe pressure this winter, with high levels of ambulance diverts, patient handover delays and bed occupancy, the latest figures from NHS England reveal.",https://web.archive.org/https://web.archive.org//web/20180202063703/https://news.sky.com/story/nhs-winter-crisis-ambulance-diverts-at-their-highest-11231858,"Last week saw A&E departments send emergency patients elsewhere because they were too busy on 43 occasions, the highest number for a single week this winter. The figure was more than double the previous week and higher than the comparable week last year. Ambulance handover delays were also high, with 11,061 - around one in nine - waiting more than the target 30 minutes in the week to Sunday 28 January. Of these, 2,143 ambulances waited more than an hour to pass on their patient and get back on the road. And bed occupancy rose marginally, up to 95.1%, well ahead of both the recommended safe level of 85% and the predicted level of 92%. All these measures indicate the health service remains under acute stress despite extensive planning for winter and some additional funding provided by the Government. NHS England said 40% of the ambulance diverts were accounted for by two trusts, Durham & Darlington, which sent patients elsewhere because of an equipment breakdown, and Worcester. The number of beds closed because of norovirus fell week-on-week. NHS England said the significant flu outbreak was responsible for some increased demand. A spokesperson said: ""Raised levels of flu and norovirus cases continued to put pressure on busy hospitals and other frontline services last week. ""And while the NHS is generally coping with ongoing winter demands, the public can continue to play their part by using NHS 111 and pharmacists for advice."" Nick Scriven, president of the Society of Acute Medicine, said hospitals remain under severe pressure. He said: ""The massive rise in admissions since Christmas is now being felt as pressure beyond emergency departments, with rising delayed discharges and longer stays. ""Many hospitals are still running at around 95% bed occupancy despite additional capacity being opened. ""Doctors in acute medicine are often the ones charged with looking after additional patients and have been under even greater strain since NHS had go ahead to return to 'usual business', which is a concern."""
2018-02-01,"EU citizens arriving in Britain after Brexit must have different rights to those here before the cut off date, Downing Street has announced.",https://web.archive.org/https://web.archive.org//web/20180202063703/https://news.sky.com/story/pm-vows-to-push-for-different-statuses-for-eu-nationals-after-brexit-day-11232089,"Under the UK's plans, anyone who arrives in the country before it leaves the EU will be allowed to apply for permanent ""settled status"". They must have lived or go on to live in the UK for five years to receive it. But Theresa May wants to change the rights of those who arrive after the official divorce date - expected to be 29 March 2019 - so they would be subject to the new post-Brexit immigration scheme. That would likely mean visas, registration on arrival and an ability to add caps on benefits to EU migrants. Brussels insists otherwise - saying freedom of movement should continue until the transition ends when Britain formally quits the customs union. Guy Verhofstadt, the European Parliament's Brexit co-ordinator, said the UK had to remain subject to EU legislation and case law for the transition to work. He wrote on Twitter: ""Citizens' rights during the transition are not negotiable. ""We will not accept that there are two sets of rights for EU citizens. For the transition to work, it must mean a continuation of the existing acquis with no exceptions."" The fight promises to build over the next two months, as both sides hope to reach a deal by the EU Council summit at the end of March. Brexit Secretary David Davis said on Thursday he was ""fairly confident"" the deadline would be met. It comes after Theresa May tried to assuage the fears of her Brexiteer MPs by rejecting some of the demands from the EU's chief negotiator Michel Barnier. Speaking on a trade trip to China, where she was told she had become affectionately known as ""Auntie May"", the PM said: ""I'm clear there's a difference between those people who came prior to us leaving and those who will come when they know the UK is no longer a member of the EU. ""When we agreed the citizens' rights deal in December, we did so on the basis that people who had come to the UK when we were a member of the EU had set up certain expectations. ""They made a life choice and set up certain expectations and it was right that we have made an agreement that ensured they could continue their life in the way they had wanted to. ""Now for those who come after March 2019, that will be different - because they will be coming to a UK that they know will be outside the EU"". Meanwhile, a Scottish minister has promised to publish a UK paper on the impact of Brexit if he is given a copy. Mike Russell said the document, a draft of which was leaked earlier this week, ""needs to be published"". He has written to Mr Davis and urged him to share the analysis with the Scottish government."
