date,program,link,transcript
2018-06-04,The Labour MP spearheading a cross-party coalition effort to repeal Victorian-era laws criminalising abortion across the UK has told DUP leader Arlene Foster her views shouldn't prevent their bid.,https://web.archive.org/https://web.archive.org//web/20180604010249/https://news.sky.com/story/dup-leader-arlene-foster-warned-over-undemocratic-abortion-stance-11393563,"Stella Creasy, who wants MPs to repeal the 1861 Offences Against the Person Act, which makes abortion a criminal act, suggested Mrs Foster is ""the only woman with any choice over abortion in Northern Ireland"". She also claimed the DUP leader's stance against altering abortion law was preventing the implementation of ""modern, 21st century"" abortion legislation across the whole of the UK. The UK government has come under pressure to review abortion law since an historic referendum in the Republic of Ireland backed overturning a constitutional ban. In 1967, the Abortion Act amended the Victorian-era law to make provision for abortion in the UK, apart from Northern Ireland, where abortion is still illegal in all but the most extreme cases. However, Ms Creasy suggested the 50-year-old legislation applying to England, Scotland and Wales is also now out-of-date and needs replacing This is because it still requires a ""very long process involving two doctors"" for a woman to be permitted an abortion, while women also face having to purchase abortion pills - developed since the 1967 act was written - by themselves online and with a theoretical risk of being prosecuted, Ms Creasy said. The Walthamstow MP told Sky News: ""I don't see why Arlene Foster's views should prevent repeal of legislation that also affects my constituents."" Ms Creasy spoke out after Mrs Foster claimed it was ""quite distasteful"" to see people celebrating the Republic of Ireland referendum result in the street. Mrs Foster also claimed some Sinn Fein supporters have told her they will vote for the DUP because of her party's position on abortion. But, Ms Creasy suggested the DUP leader's views are in contrast to majority opinion in Northern Ireland and that criticising celebrations of the Republic's referendum result ""isn't the best way forward if she wants to be somebody who's seen to be listening to her community"". She said: ""This is about removing a piece of legislation rather than imposing a particular law on Northern Ireland. ""But, they do need to have this debate. The vast majority of the Northern Irish public want a medical rather than a criminal approach to abortion. ""And I think for Arlene Foster to be the only person making a choice on that isn't very democratic at all."" Ms Creasy described how current legislation ""puts abortion in the same category of criminal acts as rape, as child stealing and with blowing somebody up with gunpowder"" in Northern Ireland. She added: ""It is absolutely right that the UK parliament asks, 'do we have modern, 21st century abortion rules?'. ""That it would make an impact for every UK citizen, including those in Northern Ireland, simply makes the case for each nation then being able to describe what a modern abortion law looks like."" Ms Creasy is hoping to use amendments tabled to a forthcoming domestic violence bill to force a vote on the issue at Westminster. Sinn Fein also pushed back against Mrs Foster's claims their supporters could turn to the DUP over the issue of abortion. A spokesman told Sky News: ""The issue of abortion is not a Unionist versus Nationalist issue. ""It affects women from all communities. It is about coming at the issue with compassion and respect, trusting woman and their doctors. ""While there are some with strongly held views, it is not credible to suggest that it will make Republicans become Unionist. ""Just as it would not be credible to suggest that Unionists who support and trust women on this issue will become Republicans. It is simply a wrong that needs put right."""
2018-06-04,"From Champions League final heartache for Liverpool to Tom Cruise teasing a long-awaited sequel to one of his most iconic films, it has been a busy seven days in the newsroom. ",https://web.archive.org/https://web.archive.org//web/20180604010249/https://news.sky.com/story/sky-news-quiz-of-the-week-mohamed-salah-tom-cruise-and-donald-trump-11390767,But how much attention have you paid to the big stories of the week? Take our quiz to find out - and share your score with your friends to determine who is the ultimate newshound.
2018-06-04,"Sajid Javid will take a ""fresh look"" at a cap on the number of foreign doctors as he departed from large parts of Theresa May's legacy in the Home Office.",https://web.archive.org/https://web.archive.org//web/20180604010249/https://news.sky.com/story/javid-pledges-fresh-look-at-foreign-doctors-cap-as-he-discards-pms-policies-11393719,"The home secretary, who was appointed to the post at the end of April, also pledged to review the ""hostile environment"" policy towards illegal immigration and push to remove foreign students from immigration statistics. In addition, Mr Javid notably refused to explicitly back the Conservatives' long-held pledge to reduce yearly net migration to the tens of thousands. The government has recently come under pressure from both Tory MPs and Labour to remove all health workers, amid NHS staff shortages, from the annual cap on the number of skilled workers allowed into the UK, which are limited through so-called Tier Two visas. :: Government facing High Court challenge over 'hostile environment' immigration policy Mr Javid stressed it is ""only in recent months"" that the limit has been reached, but promised action, telling the BBC's Andrew Marr Show: ""I see the problem with that and it is something that I'm taking a fresh look at. ""I know a number of my colleagues certainly want me to take a look at this, that's exactly what I'm doing."" Mr Javid also used the TV interview to repeat his opposition to the term ""hostile environment"", championed by the prime minister when she was home secretary, with regards to the government's approach towards illegal immigration. The home secretary promised to review aspects of the policy, while branding the term ""hostile"" as ""quite un-British"". He said: ""I've used the word 'compliant' environment and what that means is it's absolutely right that we have an environment in terms of our immigration policy that distinguishes between people that are here legally, and those that are here illegally."" But, Mr Javid admitted, there were ""lessons to be learned"" from the Windrush scandal about how the policy is implemented, as he revealed he has already suspended action that bans illegal immigrants from being able to open bank accounts in the UK. In a further departure from Mrs May's stance towards immigration, the home secretary said there is a ""perception problem"" with including overseas students in immigration statistics and that he understood the argument of those who want them removed from figures. Confessing he empathises with the view it is unwelcoming to those wanting to study in the UK, Mr Javid said: ""It is something I've long considered and it is not my most urgent priority when it comes to immigration right now... but it is something that I would like to look at again."" Despite referring to the Tories' pledge to reduce annual migration to below 100,000 as a ""commitment"" in the party's manifesto, Mr Javid refused to directly support the promise. Responding to the home secretary's comments on foreign health workers, Labour's shadow health secretary Jonathan Ashworth said: ""We don't need a 'fresh look' we need it sorting. ""We have a workforce crisis across the NHS with around 100,000 vacancies. ""Let trusts get on and recruit internationally and stopping blocking medics from coming here to care for our sick."" The Liberal Democrats' home affairs spokesman Sir Ed Davey said: ""The home secretary will have the support of almost everyone in parliament to exclude students and medical staff from the immigration cap, but it's far from clear that the prime minister is willing to admit her long-cherished policy is wrong. ""I hope parliament can get to vote on this as soon as possible."""
2018-06-04,"A woman who opened fire near the finish line of a busy marathon in San Diego has been arrested, police have said.",https://web.archive.org/https://web.archive.org//web/20180604010249/https://news.sky.com/story/shots-fired-near-san-diego-marathon-suspect-in-custody-police-11394077,"US media reported that a woman in her 50s was taken into custody following the incident, which took place in a car park close to the end of the California city's 2018 Rock 'n' Roll San Diego Marathon. She held a gun to her head and fired off rounds before she was taken into custody. There was a heavy law enforcement response near the route, but officials said after the arrest that there was no threat to the community and the race - which attracts thousands annually - was able to get back under way. San Diego Police Department said on Twitter: ""There's no longer a threat to the community. The scene is secure. The Rock and Roll Marathon has resumed."" The Active Shooter at 100 West C St. is in custody. There’s no longer a threat to the community. The scene is secure. The Rock and Roll Marathon has resumed. Several streets had been closed while police responded to the incident, and officials confirmed one officer was injured after accidentally shooting themselves in the leg while pursing the suspect, who had taken aim at police. Marathon organisers said: ""The situation involving an active shooter who was engaged with law enforcement was not related to today's race. ""By 11.45am, the course was shut down and approximately 4,900 athletes were rerouted into a designated safe zone. ""While the race was officially stopped, law enforcement gave the clearance at 11.56am for runners to resume their progress toward the finish line and the post-race finish area, where they were able to meet up with family and friends."" The city's baseball team, the San Diego Padres, said it had also been in ""close contact"" with police following the incident, with a match due to get underway at their Petco Park stadium at 3.10pm local time."
2018-06-04,Sadiq Khan and Theresa May were among the hundreds who gathered for a first anniversary memorial service to honour those killed in the London Bridge attack.,https://web.archive.org/https://web.archive.org//web/20180604010249/https://news.sky.com/story/minutes-silence-for-london-bridge-terror-attack-victims-11393835,"Politicians, emergency service workers and bereaved relatives filled out Southwark Cathedral on Sunday afternoon, with several emotional speeches heard before families of the victims were invited to light candles behind the altar. An olive tree - to be known as the Tree of Healing - was planted in the cathedral grounds using compost from flowers left on the bridge in the aftermath of the murders last year. New tributes were laid on the bridge on Sunday as mourners revisited the scene of the attack, which killed eight people and injured dozens more. Christine Archibald, 30, James McMullan, 32, Alexandre Pigeard, 26, Sebastien Belanger, 36, Ignacio Echeverria, 39, Xavier Thomas, 45, Sara Zelenak, 21, and Kirsty Boden, 28, were those who died. Inside the cathedral, their families were told that they would always be remembered. ""These were people who should have had an amazing life ahead of them,"" said local resident and actor Theo Ancient. ""They had begun to contribute to this world, and to those who loved them they had already brought infinite joy and beauty. They came here to enjoy what this place offers, just as we do, and they will always be mourned here with a fierce kind of tenderness."" Mr Khan also spoke at the service, reading an extract from Psalm 77, after the Dean Andrew Nunn had opened the event by telling those in attendance that he ""hopes it helps our healing"". ""Love is stronger than hate, light is stronger than darkness, life is stronger than death - it was true a year ago, it's as true today,"" he said. The Bishop of Southwark, Rt Revd Christopher Chessun, added: ""The powerful rallying round of the local community has been truly awesome, acknowledging the scars and the trauma, but working for healing and peace, no matter how long that might take and no matter how hard it might be."" At the conclusion of the cathedral service, a procession made its way to the Southwark Needle sculpture on the south side of the bridge, where the prime minister and Labour leader Jeremy Corbyn were among those to lay flowers in memory of those who died. Before the service, Mrs May insisted that Britain's resolve against terror has ""never been stronger"". She said the nationalities of the victims - from the UK, Canada, France, Australia and Spain - was ""a reflection of our great cosmopolitan capital"" and ""a tragic reminder that the threat from terrorism transcends borders"". She also praised ""the bravery of our emergency services and those who intervened or came to the aid of others"". Speaking ahead of a minute's silence at the needle, Southwark council leader Cllr Peter John said the attack marked ""one of the darkest days in our borough's history"". ""Time can help us all to heal, but so can the strength and friendship we find in our community at times of adversity,"" he said. ""Today as a borough, a city, a nation, we come together as one community to remember the damage done and demonstrate that we are strong and united in the face of evil."" After the service, Met Police Commissioner Cressida Dick told Sky News that she would ""always be proud"" of the response to the attack. ""It's so important to remember not just the awful evil, but also the amazing acts of courage and heroism, of kindness, tenderness and compassion,"" she said. ""I think everybody here was united in wanting to stand with those who have been most affected by what happened."" In a further showing of unity, the hashtag #LondonUnited was projected onto London Bridge on Sunday evening. The event came after senior counter-terror officer Dean Haydon told Sky News there was still a ""very significant security threat"" to the UK."
2018-06-04,"The government is under pressure to release papers outlining a ""Doomsday Brexit"" scenario in which the UK would run short of medicines, food and fuel within two weeks of leaving the EU.",https://web.archive.org/https://web.archive.org//web/20180604010249/https://news.sky.com/story/government-under-pressure-to-publish-warnings-of-doomsday-brexit-11393448,"Whitehall officials are reported to have drawn up three different scenarios for a cross-government group preparing for Britain's departure from the EU. According to the Sunday Times, these include mild and severe scenarios of the UK leaving the bloc without a deal, while a further scenario is known as ""Armageddon"". A source told the newspaper: ""In the second scenario, not even the worst, the port of Dover will collapse on day one. ""The supermarkets in Cornwall and Scotland will run out of food within a couple of days, and hospitals will run out of medicines within two weeks."" They added: ""You would have to medevac medicine into Britain, and at the end of week two we would be running out of petrol as well."" The documents are said to have been written for the Inter-Ministerial Group on Preparedness by civil servants at the Department for Exiting the EU (DExEU), Department of Health and Social Care and Department for Transport. They were leaked by officials concerned by Brexiteers' confidence about the UK's prospects if it left the EU without a deal, the newspaper said. A Whitehall source told Sky News that ""inevitably the government has been discussing a range of scenarios"", adding: ""It's something that's been discussed extensively."" They pointed to how the government have already invested almost £700m in Brexit preparations, with another £3bn made available by the Treasury. The government recently revealed plans to section off a 13-mile stretch of the M20 in Kent, which leads to the port of Dover, to hold around 2,000 lorries in the event of severe cross-Channel congestion. The plan is to be delivered in time for Britain's departure from the EU, although the government denies any direct connection with Brexit. Responding to the reported civil service warnings about a no-deal Brexit, Home Secretary Sajid Javid told the BBC's Andrew Marr Show: ""I'm very confident we'll get a deal, but it's right we look at no deal and all these different scenarios. ""But I don't recognise any of that. From the work that I have seen and the analysis that has been done, those outcomes... I don't think any of them would come to pass."" A DExEU spokesperson rejected the claims as ""completely false"", adding: ""A significant amount of work and decision making has gone into our no deal plans, especially where it relates to ports, and we know that none of this would come to pass."" Former Tory leader Iain Duncan Smith, a prominent Brexiteer, accused civil servants of being ""frozen in the headlights"" about the UK's exit from the EU. ""They should be planning for what happens if there is no deal, not scaring the pants off each other,"" he told the Sunday Times. ""We need people with imagination and courage, not frightened rabbits."" Pro-Remain MPs have demanded the government release details of its considerations of the impact of a no-deal Brexit. Tory backbencher Sarah Wollaston highlighted how the House of Commons health committee, which she chairs, has previously warned of ""serious consequences"" of a no-deal Brexit. She said: ""Why risk everyday essential medical supplies not being on the shelves? We still need to see the evidence of actual vs fantasy contingency planning."" Dr Wollaston described remaining in the EU's single market and ""an effective customs union"" with the bloc as the ""least harmful"" Brexit option. Liberal Democrat MP Layla Moran, a supporter of the Best for Britain group, who are expected to campaign for a second EU referendum, said: ""The government should publish this document and stop pretending it doesn't exist. ""This drives a stake through any remaining pretence of government competence. This is no joke. Our public services face the prospect of collapse if a 'no deal' Brexit happens. ""We can now see that the government are driving us all towards disaster. What is worse is that they know it too."""
2018-06-04,"A cyclist has been killed in a suspected hit-and-run collision in Deptford, southeast London.",https://web.archive.org/https://web.archive.org//web/20180604010249/https://news.sky.com/story/cyclist-dies-in-suspected-hit-and-run-in-southeast-london-11393963,"Emergency services were called to the Childers Street junction with Rolt Street at approximately 4.15pm on Sunday afternoon. Police and the London Ambulance Service attended the scene and found a man, in his 50s, suffering from critical injuries. He was pronounced dead at the scene. The man had been cycling through Deptford in the east of the city when he collided with a vehicle. The car involved in the collision, a silver B-Class Mercedes, was found abandoned nearby. A Metropolitan Police spokesman said that the driver ""left the car following the fatal collision and has made off."" They are continuing to trace him. Local road closures are in effect following the collision and motorists are advised to avoid the area. The Serious Collision Investigation Unit have launched an investigation. Anyone with information is asked to contact Catford Traffic Garageon 020 8285 1574, on 101 quoting CAD5060/3June or by calling Crimestoppers anonymously on 0800 555 111."
2018-06-04,Gruelling chemotherapy may no longer be required to treat breast cancer following a landmark study. ,https://web.archive.org/https://web.archive.org//web/20180604010249/https://news.sky.com/story/chemotherapy-unnecessary-for-thousands-of-women-with-breast-cancer-11393392,"More than 10,000 women with the most common form of early breast cancer took part in a trial that found the treatment was not necessary for many after they had surgery. A leading oncologist said the findings will lead to a ""fundamental change"" in how the disease is treated. It is estimated that 3,000 to 5,000 women in the UK are likely to avoid chemotherapy every year following the trial. Each year more than 20,000 women in the UK are diagnosed with hormone-receptor positive, HER2-negative, node-negative breast cancer. Historically around half of these patients undergo chemotherapy after surgery to remove their tumour to stop the cancer returning The TAILORx trial shows that only 30% of women with this particular form of early-stage breast cancer derive any benefit from the treatment. The study is thought to be the largest breast cancer treatment trial ever carried out. Dr Alistair Ring, consultant medical oncologist at the Royal Marsden NHS Hospital, in London, said: ""I think this is a fundamental change in the way we treat women with early-stage breast cancer and will lead to a considerable number of women no longer needing to have chemotherapy."" The charity Breast Cancer Now said the findings were ""practice-changing"". The TAILORx trial used the Oncotype DX test, currently available on the NHS, which allows doctors to predict the likelihood of the breast cancer coming back. To find out if the cancer could grow or spread, a sample of the tumour is tested after surgery for 21 genetic markers. Patients with a recurrence score of up to 10 out of 100 have been shown not to benefit from chemotherapy and only hormone treatment is required. Patients scoring 26 or higher on the scale do benefit and receive chemotherapy. For those who fall in between - which includes most women - there was no clear evidence on whether they need chemotherapy. The study, led by the Montefiore Medical Centre in New York, found women older than 50 with this form of breast cancer and a score of up to 25 did not need chemotherapy. Patients under 50 with a score of up to 15 also do not need to undergo the treatment, the research concluded. :: Immunotherapy prostate cancer drug gives 'amazing results' Dr Ring said: ""It is a significant step because it is about avoiding a treatment that, for most people diagnosed with cancer, is what they all fear being suggested to have. ""I, as an oncologist on Monday in clinic, will offer less chemotherapy that will not be of benefit to patients and that is very reassuring to know that when I am offering patients chemotherapy they are likely to benefit from it."" Baroness Delyth Morgan, chief executive of Breast Cancer Now, said: ""It's fantastic news that this landmark study could now enable thousands more breast cancer patients over 50 to be safely spared gruelling chemotherapy. ""This is another significant step towards personalised breast cancer treatment and we hope these practice-changing findings will now help refine our use of chemotherapy on the NHS."""
2018-06-04,"Donald Trump's lawyer has claimed the US president ""probably"" has the power to pardon himself from special counsel Robert Mueller's investigation into Russian interference in the 2016 election.",https://web.archive.org/https://web.archive.org//web/20180604010249/https://news.sky.com/story/donald-trump-could-pardon-himself-from-robert-muellers-russia-investigation-11394050,"According to Rudy Giuliani, there is nothing in the US Constitution - which gives the sitting president the power to issue pardons - to suggest that Mr Trump could not excuse himself if he wanted to. During an appearance on ABC's This Week programme, Mr Giuliani said the president had ""no intention of pardoning himself"" but ""probably does"" have the power to do so. ""It would be an open question,"" he added. ""I think it would probably get answered by, gosh, that's what the Constitution says. But the reason it won't is because then it becomes a political problem. ""If the president were to pardon himself, he'll get impeached."" The question of whether Mr Trump would pardon himself stemmed from a letter sent by his lawyers to Mr Mueller on 29 January, reported by The New York Times, which contended that the US Constitution gave him the power to ""terminate the inquiry, or even exercise his power to pardon"". But were he to do it, the likely impeachment process would be led by the House of Representatives - and he would then be removed from office by the Senate. Mr Giuliani - a former New York City mayor - also said that the president had not yet decided whether to sit for an interview with Mr Mueller, but that his lawyers were leaning towards advising him not to. Both Mr Trump and Russia have continued to deny any collusion in the run-up to his shock election triumph, with the US leader previously labelling the investigation a ""witch hunt"". He has also denied attempting to disrupt it, but has not been shy of issuing sharp criticisms of the process via Twitter. The investigation led by Mr Mueller - previously appointed FBI director by former president George W Bush - has already led to criminal charges against Trump campaign aides, including former campaign chairman Paul Manafort."
2018-06-04,"German police have shot a man said to be ""rampaging"" around Berlin Cathedral with a knife.",https://web.archive.org/https://web.archive.org//web/20180604010249/https://news.sky.com/story/rampaging-man-shot-by-police-in-berlin-cathedral-11393824,"Armed officers cordoned off the entrances to the landmark in the heart of the German capital, but they quickly ruled out terrorism as a potential motive for the attack. German media said police were called to the Berliner Dom, a major tourist attraction on the historic Museum Island, after a dispute between two people there. The Tagesspiegel newspaper said two people had been injured - the suspect and a man he had attacked. Police said in a tweet: ""Shortly after 4pm (2pm GMT) police shot at a rampaging man at Berlin cathedral. He was wounded in the leg."" A spokesman wrote in a tweet: ""There are no indications that the motive was terrorism- or Islamist-related."" He later said the man, whose threatening behaviour led police to shoot him in the leg, was a 53-year-old Austrian who had been wielding a knife and was ""verbally aggressive"". One policeman was injured, police said, but details of how the injuries were sustained are not confirmed. It is not known whether anyone else was hurt in the incident at Berlin's main Protestant cathedral. Some 100 people were at the Dom at the time of the incident. The iron-domed house of worship is east of Berlin's main Unter den Linden boulevard and close to the Alexanderplatz shopping district. The DPA news agency reported that some witnesses had been traumatised and were taken away for psychological counselling. The incident came amid a state of high alert in the country over the risk of terror attacks. In the worst jihadist attack in the country to date, Tunisian asylum seeker Anis Amri rammed a truck into crowds at a Berlin Christmas market in December 2016, killing 12 people."
