date,program,link,transcript
2018-03-01,Prince William is set to become the first British Royal to make an official visit to the Occupied Palestinian Territories.,https://web.archive.org/https://web.archive.org//web/20180301174415/https://news.sky.com/story/prince-william-to-visit-israel-jordan-and-palestinian-territories-11271688,"The Duke of Cambridge is scheduled to go there in the summer as part of a Middle East tour that will also include Israel and Jordan. It will also be the first ever official visit to Israel by a member of the British Royal Family, according to the Times of Israel. The trip will be the most sensitive that the prince - who is now a full-time Royal - has ever undertaken. Kensington Palace said the tour was ""at the request of Her Majesty's government and has been welcomed by the Israeli, Jordanian and Palestinian authorities"". Israeli Prime Minister Benjamin Netanyahu described the visit as ""historic"", adding: ""He will be welcomed here with great affection. ""I have ordered the Foreign Ministry director general to coordinate preparations for the visit to ensure its success."" Israel President Reuven Rivlin tweeted that the arrival of Prince William on the country's 70th anniversary of independence was a ""very special present"". Meanwhile, Foreign Office minister Alistair Burt said it was an ""important and unique opportunity to promote diplomatic and cultural ties in the region"". In 2016, William's father, Prince Charles, attended the funeral of ex-Israeli president and prime minister Shimon Peres, but it was not considered a formal royal visit. Last year, it was reported there were plans for Charles to visit Israel in an official capacity but the trip was apparently cancelled over fears it would anger the UK's Arab allies. The Queen's cousin, the Duke of Gloucester, visited the St John eye clinic in the Occupied Palestinian Territories in 2007, but this was not considered an official visit."
2018-03-01,"Ken Livingstone has been suspended from Labour for an ""unknown"" period of the time after anti-Semitism claims.",https://web.archive.org/https://web.archive.org//web/20180301174415/https://news.sky.com/story/ken-livingstone-suspended-by-labour-again-with-no-time-limit-11271959,"The former London mayor is facing disciplinary action following several controversial outbursts about Hitler. He was previously serving a two-year suspension that was due to be lifted in April, but had that lengthened for ""no exact time limit"" on Thursday. The decision was taken by officers on Labour's ruling National Executive Committee, but signed off by the party's outgoing general secretary Iain McNicol in his last official act. :: Labour 'betraying' Jewish community over Livingstone It comes at an important time for Labour, with the grassroots-led Momentum founder John Lansman announcing he will challenge the Unite union official Jenny Fornby for the top role. A Labour spokesperson told Sky News: ""Ken Livingstone has been administratively suspended from the Labour Party, pending the outcome of an internal Party investigation. ""That suspension starts on the date that his membership suspension applied by the National Constitutional Committee ends on 27 April 2018."" A Labour source denied reports the suspension was ""indefinite"" but said its length was ""unknown"". Mr Livingstone will now face a ""full investigation"" into complaints made against him - including several filed since the start of 2018. In February, he was criticised for appearing on Iranian state broadcaster Press TV on Holocaust Memorial Day during a segment asking: ""Has the Holocaust been exploited to oppress others?"" He was suspended by Labour in April 2016, when he claimed Nazi Germany leader Adolf Hitler supported Zionism in the 1930s. Mr Livingstone later said he ""regretted"" the disruption his comments caused but added: ""I believe what I said is true."""
2018-03-01,"Days after hundreds of KFC restaurants were forced to shut due to chicken shortages, the food chain has been hit with a new problem: a lack of gravy.",https://web.archive.org/https://web.archive.org//web/20180301174415/https://news.sky.com/story/its-not-all-gravy-kfc-hit-by-fresh-shortage-after-chicken-supply-problems-11271842,"The vast majority of its 900 outlets have re-opened, but many are now serving limited menus. A spokesman for Yum Brands Inc, which owns the fried chicken chain, said it was working to fix the gravy shortage. 🐔❄️ pic.twitter.com/C0LSS77NuP ""Due to the ongoing distribution challenges DHL is experiencing, some restaurants are continuing to serve a reduced menu,"" he said. ""We're working as hard as we can to get this sorted out. ""We know that our gravy is a big favourite!"" The chicken shortage was sparked when KFC switched its delivery contract from Bidvest Logistics to DHL last month, causing what the firm called ""teething problems"". Stores were forced to close, sparking panic among bargain bucket buyers and fried chicken fans. Police in east London said they had received calls from frustrated customers, while police in Manchester received a ""ridiculous"" 999 call from an irate customer complaining that one of the restaurants was closed."
2018-03-01,"Successive British governments failed to protect children who were sent to live abroad from sexual abuse for decades, according to a high-profile report.",https://web.archive.org/https://web.archive.org//web/20180301174415/https://news.sky.com/story/successive-governments-failed-to-protect-child-migrants-sent-abroad-from-sex-abuse-report-11271792,"The conclusions were by the Independent Inquiry into Child Sexual Abuse (IICSA) which has been looking into child migration programmes as well as abuse claims in the UK. Thousands of British children were taken to former colonies, mainly Australia and Canada, between the 1920s and 1970s. Most were from deprived backgrounds and already in care when they were promised the chance of a better life. But the report heard from witnesses who said 'care' regimes where they were sent included ""physical and emotional abuse, neglect and sexual abuse"" against children as young as five. Some witnesses told the inquiry of the ""constant hunger, medical neglect and poor education"" they faced abroad. The IICSA, chaired by Professor Alexis Jay, also found children were lied to about their family background, including whether their parents were alive or dead. The investigation into child migration programmes is the first of 13 investigations under way by the IICSA to be published. The report made three recommendations: :: It recommended all child migrants are financially compensated by the Government through a redress scheme. :: It called on all organisations involved in implementing migration programmes to offer apologies to child migrants. :: It called for better preservation of child migrants' records. The report said the Government has not yet made any financial payments to individual former child migrants. It's thought there are around 2,000 child migrants still alive. In 2010, the then prime minister Gordon Brown issued a national apology to those affected by the programmes, saying ""successive governments have failed in a duty of care"". In response to the report, a Department for Health and Social Care spokesperson said: ""The child migration policy was misguided and deeply flawed. ""Successive governments have accepted that the policy of child migration was wrong."" The 2010 national apology has been reaffirmed in each subsequent year. Over £9m has been made available to former child migrants to help them be reunited with their families. ""We will carefully consider the findings of the inquiry's report and respond in due course"", said the spokesperson. The Catholic Church in England and Wales has reiterated ""the expressions of regret and apologies"" it made during the inquiry. It added: ""All sexual abuse of children and vulnerable people is both criminal and harmful and the Church condemns without reservation any such action or behaviour."""
2018-03-01,Britain is set for yet another day of sub-zero temperatures as Storm Emma rolls in from the Atlantic and a red weather warning remains in place for Scotland.,https://web.archive.org/https://web.archive.org//web/20180301174415/https://news.sky.com/story/another-day-of-sub-zero-weather-for-uk-amid-risk-to-life-likely-alert-11271468,"The Met Office said wintry weather was ""still firmly in charge"" as the country prepares for further icy blasts and ""blizzard-like conditions"" as well as continued disruption to travel. The red alert, which stays in place until 10am on Thursday with up to 40cm (16in) of snow expected in some areas, signals ""risk to life is likely"", according to the Met Office website. ""Red: Extreme weather is expected. Red means you should take action now to keep yourself and others safe from the impact of the weather,"" it states. ""Widespread damage, travel and power disruption and risk to life is likely. You must avoid dangerous areas and follow the advice of the emergency services and local authorities."" Forecaster Craig Snell warned the freezing conditions would grip the UK for another 48 hours. ""The red warning is our highest tier, we don't often see a red warning - the last one was back in 2016 up in Shetland and Orkney and that was for strong winds,"" he said. ""The last time we had the red snow warning was back in 2013 and that was for South Wales - they do not get issued that often."" He said a red warning for snow has never before been issued for Scotland, England or Northern Ireland. Amber snow warnings have been issued for the north-east of England and the central belt of Scotland to be in place between 10am and 8pm on Thursday. An amber snow and ice warning has also been issue for southwest England and south Wales from 12pm on Thursday until 8am on Friday. Yellow snow warnings remain in place for most of Thursday for vast swathes of southern, central and northern England as well as Northern Ireland and Wales. All schools, community centres and libraries in Edinburgh have been closed in response. Plymouth Council said more than 80 schools would remain shut on Thursday along with 50 in Newcastle and 103 across Devon. Mr Snell warned there could be winds of up to 50 to 60mph in southwestern parts of the UK, bringing about ""blizzard-like conditions"". The treacherous conditions has already lead to deaths around the UK. On Wednesday, a man in his 60s died after being pulled from a lake in London that he had fallen into. Disruption to travel is expected to continue throughout rush hour on Thursday. Gatwick Airport said it was ""expecting a large number of cancellations and delays to flights"". Edinburgh Airport said most airlines had cancelled flights from the airport until lunchtime. Police around the country have advised motorists to avoid driving if possible. Mr Snell said: ""Generally many places on Thursday will struggle to get anywhere near -1C (30F), a few people will come up above, but many of us will be firmly below freezing."""
2018-03-01,"A young woman has been mauled to death by a lioness at a wildlife reserve made famous by a world-renowned ""lion whisperer"".",https://web.archive.org/https://web.archive.org//web/20180301174415/https://news.sky.com/story/woman-mauled-to-death-at-lion-whisperer-reserve-in-south-africa-11271136,"The 22-year-old was visiting a camp run by Kevin Richardson at the Dinokeng Game Reserve in Gauteng, near Johannesburg, when she was attacked on Tuesday morning. She had been accompanying a friend for an interview with the manager of the camp, and the pair were taking photos as they prepared to leave before the lioness encountered her. It had been pursing an impala at the ""Big Five"" reserve, which is home to lions, leopards, elephants, rhinos and buffalo. Mr Richardson, who has appeared in several documentaries and films as a result of the relationships he has developed with big cats and hyenas, said he was ""saddened and shocked"" to hear of the incident. ""Myself and an experienced colleague took three lions walking in the reserve, as we do on a weekly basis, as part of their exercise and stimulation regiment,"" he explained. ""We assessed the landscape for other Big Five animals and as per procedure sent out a notification that we were walking in the reserve. ""One of the lionesses charged off after an impala and must have run 2 to 2.5km, where she encountered the 22-year-old outside the car. ""I am devastated and my heart goes out to this young woman's family."" Paramedics were called at about 11am but the woman was pronounced dead at the scene. She has not been identified but is believed to be South African, according to local media. Fans of Mr Richardson and the reserve have shown their support for his work on social media, with many expressing hope that the animal would not be euthanised. In 2015, Mr Richardson defended a decision by The Lion Park - another reserve near Johannesburg - to spare the life of a lioness who mauled a tourist through an open window of a car she was travelling in. He said it would have been unfair to put it down because the animal acted instinctively, and it was instead moved to an enclosure not accessible by visitors. Dinokeng Game Reserve has 13 predator enclosures and a large central area in which the animals are rotated through every few weeks, with several camping options for those who wish to visit. Model and actress Cara Delevingne is among its previous guests, having taken part in an advertising shoot there in December. She posted about her visit on Instagram, describing it as ""the most incredible experience""."
2018-03-01,A man has been convicted of causing death by careless driving after a teenage boy was killed in a crash involving a £1.2m Ferrari.,https://web.archive.org/https://web.archive.org//web/20180301174415/https://news.sky.com/story/man-convicted-after-teenager-killed-in-ferrari-crash-11271973,"Alexander Worth, 13, was in the F50 supercar with Matthew Cobden when the businessman lost control at the wheel at a reported 40mph in Hampshire in August 2016, Winchester Crown Court heard. The trial was told Cobden, 39, who was keeping the vehicle at his car storage business, offered to give the teenager a ride after the boy's father asked him whether Alexander could have a picture. The pair then drove along a quiet farm road with good weather conditions and visibility, jurors were told. The Ferrari ""accelerated uncontrollably"" in North Warnborough, causing it to flip and throw the pair, who were not wearing seatbelts, from the vehicle, the court heard. Thomas Wilkins, prosecuting, said: ""Alexander died when the defendant's car drove off the right-hand side into a long fence post which launched the vehicle into the air, flipping it and turning it through 270 degrees. ""No other vehicle was involved and the prosecution say that the fatal incident was caused by a simple driver error - in other words, Mr Cobden's driving fell below that required of a careful and competent driver."" Cobden, who faces jail, broke down in tears while giving evidence, saying: ""It's something I think about all the time, if I had done, things could have been different."" Describing the crash, he said: ""I didn't do anything stupid, I was just trying to do my job. The next thing I remember is being out of the car."" The Ferrari involved in the crash was described as ""the nearest you can get to a Formula One car on a public road"" as the model can go from 0mph to 60mph in less than four seconds. The court also heard Cobden, from Walton-on-Thames, Surrey, said he had not experienced any difficulties with the vehicle before the crash, and ""ample evidence"" suggested the car had been in good working order earlier that day. Cobden denied causing death by careless driving and said the car, which was due to be sold at auction and had been taken out that day for a photoshoot, had a mechanical defect. His defence team said Ferraris were ""temperamental cars"" and a latent error caused the car to lose control. They argued the engine was sometimes prone to only using six of the 12 cylinders and the car accelerated uncontrollably when all of the cylinders suddenly kicked in. But the prosecution said the supercar was well-maintained and the accident was caused by driver error. Cobden is due to be sentenced on 26 March."
2018-03-01,"Hundreds of motorists faced a freezing night stuck in their cars for hours, stranded on one of Scotland's busiest motorways.",https://web.archive.org/https://web.archive.org//web/20180301174415/https://news.sky.com/story/hundreds-left-stranded-for-hours-on-snowed-in-scottish-motorway-11271487,"One woman tweeted that she had been stuck in her car on the M80 for more than 13 hours after the road between Glasgow and Stirling became gridlocked in two separate locations. The huge tailbacks were caused after lorries became jack-knifed and accidents disrupted the flow of traffic. ""Terrified"" driver Lesley Forster, who was stranded near Haggs in central Scotland, told Sky News: ""The first hour was fine but its just been chaos, we never saw a gritter, there's no emergency services, nothing."" She said a local had ""come out with a wee sledge walking along with fruit and water"" for drivers and said ""he could not go to bed and leave us all sitting out here"". She added: ""There was no problems (in Edinburgh) and it's only when I hit this M80... in the morning, every time at night there's a problem here."" Another driver, Jim Elder, who was stranded 19 miles from Glasgow for nine hours, said traffic had only started moving slowly in the early hours of Thursday morning. He told Sky News: ""We knew that this would be the worst bit but it far exceeded what we thought was going to be expected and we also didn't expect the amount of stuck cars, break downs and accidents."" Mr Elder said he was ""hopeful"" of getting to Glasgow and finding a hotel but admitted he might have to spend the night sleeping in his car. Peter Heath, deputy assistant chief officer at Scottish Fire & Rescue Service (SFRS), said emergency services were now at the scene. ""SFRS teams are on site at the M80 to support the drivers in the red warning area. Bottled water and food being given out,"" he tweeted. ""We are working with Police Scotland and partners to help keep things moving and offer support."" He said his colleagues would be out ""all night"" and warned drivers to stay off the roads. People had been told to avoid driving after the Met Office issued a red snow warning for Scotland on Wednesday. The red alert warns that ""risk to life is likely"" and people ""should take action now to keep yourself and others safe from the impact of the weather"". Traffic Scotland had also reported accidents on other major routes including the A1, A74(M) and M8 - as well as the M80. Scottish MSP and Transport Minister Humza Yousaf has since said he would be holding talks with employers after people were left stranded while travelling for work. He told Reporting Scotland: ""Some employers have been extremely flexible, but clearly some haven't. ""There will be some conversations I'll be having after this weather event because I have seen HGVs that are carrying home furniture, stationery and piping. ""Now, I'm not convinced that that is all necessary and many of the incidents we've seen have involved a loss of traction from HGVs."""
2018-03-01,Mortgage approvals bounced back from recent lows at the start of 2018 - but other signs suggested the housing market and wider economy remained subdued.,https://web.archive.org/https://web.archive.org//web/20180301174415/https://news.sky.com/story/home-loans-tick-higher-amid-sluggish-market-and-subdued-prices-11271879,"Bank of England figures showed the number of home loans approved for house purchases rose to 67,478 in January. It was a sharper rise than expected and comes after the figure fell to a one-year low of 61,692 in December. But separate figures from lender Nationwide showed an unexpected 0.3% month-on-month fall in house prices in February. That brought the year-on-year figure for price increases down to 2.2%, slowing sharply from 3.2% in January. A further tranche of economic data, this time from the Markit/CIPS purchasing managers' index (PMI), showed growth in the manufacturing sector slowed to an eight-month low in February. The latest figures come after official data last week revised down annual GDP growth for 2017 to 1.7%, confirming that the UK's expansion cooled off in the year after the vote to leave the EU. It meant the UK's annual growth was the slowest out of the G7 group of seven leading economies. This has been largely attributed to a squeeze on consumers following the Brexit vote - which resulted in a slump in the pound, pushing up the price of imports and driving up inflation. There has been some benefit to manufacturing, as the weakness of sterling tends to help UK exporters pricing their goods for overseas sale. But the trend of strongly rising house prices in recent years has been weakened - at a time when consumer confidence is also fragile amid uncertainty about Brexit negotiations. In recent months, a Bank of England interest rate rise last autumn and signs of more to come this year may further be weighing on the minds of would-be house buyers. Cuts to stamp duty in the autumn Budget could have partly cushioned the effect. Howard Archer, chief economic advisor to the EY ITEM Club, said the sharp rebound in mortgage approvals in January suggested December's fall may have been a ""knee-jerk reaction to the Bank of England raising interest rates in November"". But he added: ""The latest survey evidence largely points to still weak housing market activity early on in 2018."""
2018-03-01,The European Commission has published a draft UK withdrawal agreement - and it has already provoked the ire of the Prime Minister and Brexiteers.,https://web.archive.org/https://web.archive.org//web/20180301174415/https://news.sky.com/story/eu-draft-brexit-agreement-key-contentious-points-11270884,Here are some of the sections of the 120-page document that have been causing the most comment - and why they are seen as controversial. :: Defiant Theresa May rejects EU's plan for Northern Ireland border
