date,program,link,transcript
2018-05-08,"Israel has warned that ""Hezbollah equals Lebanon"" following the election success of the Iran-backed Shia Islamist group in the country's election.",https://web.archive.org/https://web.archive.org//web/20180508063220/https://news.sky.com/story/israel-warns-iran-backed-hezbollah-equals-lebanon-after-early-election-results-11362636,"Unofficial early results point to the group winning more than half the seats in the Lebanese parliament. Israeli education minister Naftali Bennett wrote on Twitter: ""The State of Israel will not differentiate between the sovereign State of Lebanon and Hezbollah, and will view Lebanon as responsible for any action from within its territory."" It is the first election in the country for nine years. A low turnout led politicians to appeal via TV and Twitter for people to cast their vote just hours before polls closured on Sunday. Lebanon's politics has been divided by the Syrian war, with some parties supporting the Iran-sponsored Hezbollah's intervention in Syria to aid President Bashar Assad, and other Saudi-aligned parties opposed to it. The state has also often been a battleground for influence between Saudi Arabia and Iran. Despite losing seats, Western-backed Sunni prime minister Saad al-Hariri - who leads the anti-Hezbollah alliance Future Movement - remains the front runner to lead cabinet. Following the conclusion of a 15-year civil war in 1989, the Taif Accord requires that Lebanon's president is a Maronite Christian, its prime minister a Sunni Muslim, and parliament's speaker a Shia Muslim. The anti-Hezbollah Christian party Lebanese Forces also appears to have done well in the election, with indications that they have almost doubled their MPs from eight to 15. Meanwhile, Boris Johnson is visiting Washington DC to address Donald Trump's concerns about the Iran nuclear deal. Although he will not be meeting personally with Mr Trump, the foreign minister is expected to appear on Fox and Friends, known to be one of Mr Trump's favourite TV shows. Official results of the Lebanese election are expected on Monday."
2018-05-08,Joy Battley is a greyhound enthusiast but her close involvement with the sport has meant she has seen its darker side. ,https://web.archive.org/https://web.archive.org//web/20180508063220/https://news.sky.com/story/greyhound-deaths-reveal-dark-side-to-dog-racing-11362388,"She knows the breed well through racing her own at a track in Harlow, as well as managing Barley Kennels in Waltham Abbey - a rehoming centre for retired greyhounds. It has meant she has seen first-hand how quickly dogs can be discarded with numerous owners often opting to put animals down rather than pay expensive veterinary bills when injuries occur. ""For a nation of dog lovers we don't do very well,"" she says. She is adamant that those profiting the most need to face up to their responsibilities. ""Bookmakers, who benefit greatly from the sport, especially at the moment, are putting more pressure on the trainers to have more dogs but those dogs have got to have somewhere to go when they finish racing."" It is estimated there are 13,500 racing greyhounds in Britain. Data taken from UK race tracks - published for the first time by the Greyhound Board of Great Britain - shows how, in 2017, hundreds of dogs were injured and destroyed after racing. Around 5,000 injuries were recorded and, of those, more than 900 dogs were put down. A total of 257 were destroyed at the trackside; in 333 cases treatment was deemed to be either too expensive or unnecessary because of a poor prognosis and then there were the 348 healthy dogs destroyed because they couldn't be rehomed. ""There are very few injuries that can't be fixed by a vet,"" Ms Battley insists. ""It just comes down to money. ""They won't all get a home, that's probably impossible, but there should be places for them to go, like here. ""They need centres or sanctuaries, somewhere the dogs can go to live out the rest of their lives, it doesn't have to be in a home."" In horse racing, bookmakers pay a statutory levy which partly goes towards ring-fencing money for animal welfare. Part of the problem for greyhound racing is that its levy isn't compulsory. Mark Bird who heads up the Greyhound Board of Great Britain insists the organisation is pushing to get bookies to pay more.""Our ambition is to incentivise trainers not to put those dogs to sleep merely on the fact that it is too expensive to have medical care. ""We're currently in mediation talks with the bookmakers at the moment to try to get some of their offshore revenue which would take us from £7.2m up to £9.9m but... this is a voluntary levy, so we are completely in the hands of the bookmakers paying this."" Chris Pitt from the League Against Cruel Sports says the industry treats greyhounds like commodities. ""Although they might say they want to improve things, it's based on money and gambling, so compassion for the dogs is not going to get in the way."" Mr Pitt believes the sport should be banned. ""We have been working with and hoping that the industry itself, or the Government, could improve the way it is run but we have got to a point where enough is enough.""It doesn't matter what the greyhound racing industry says it is doing, you can't have greyhound racing without serious animal welfare problems. ""So as a country we have to ask ourselves, do we want greyhound racing or do we want to be a country of animal welfare lovers? I think we're the latter."""
2018-05-08,A toddler has been snatched and eaten by a leopard at a national park in Uganda that is popular with tourists.,https://web.archive.org/https://web.archive.org//web/20180508063220/https://news.sky.com/story/toddler-three-eaten-by-leopard-at-queen-elizabeth-national-park-in-uganda-11362931,"The three-year-old boy, named by Ugandan media as Elisha Nabugyere, was the son of female ranger Doreen Ayera, who works at Queen Elizabeth National Park. Ms Ayera had left the child in the care of a nanny at the unfenced staff headquarters of the Mweya Safari Lodge, Ugandan news site the Daily Monitor reports. Wildlife authority spokesman Bashir Hangi said the child had followed the nanny outside the main house and towards a kitchen. He said a leopard was hiding nearby and mauled the toddler before dragging him to a bush at about 9pm on Friday. Mr Hangi said: ""The rangers immediately swung into action (and) searched for the baby but they found only a skull in the morning under a tree."" He says rangers are hunting the leopard because it now has a taste of human blood and may want to kill again. Mr Hangi said: ""The maid was not aware the child followed her. ""She heard the kid scream for help, she intervened but it was too late.""The Queen Elizabeth National Park in southwest Uganda has one of the highest populations of predators such as lions, leopards and hyenas in the country. Rangers are employed to live within the grounds to protect the animals from poachers. The park, which covers an area of 1,229 sqaure miles, is one of Uganada's top tourist hotspots."
2018-05-08,"London's King's Cross is Britain's most popular rail station, with Glasgow Queen Street most unpopular, new figures show.",https://web.archive.org/https://web.archive.org//web/20180508063220/https://news.sky.com/story/revealed-the-most-loved-and-hated-rail-stations-11362582,"Only 58% of passengers say they are ""satisfied"" with the Glasgow city centre terminal, according to Transport Focus data obtained by the Press Association. The second worst score was given for the station serving Gatwick Airport (66%), followed by Oxford (67%) and Clapham Junction (69%). Also among the bottom 10 were London Victoria (72%), Hull (73%) and Cardiff Central (75%). The top four stations have all undergone major refurbishments in recent years - London King's Cross (96%), London St Pancras (95%), Birmingham New Street (92%) and Reading (92%). Independent watchdog Transport Focus surveyed more than 28,000 passengers, with 56 stations - where at least 100 people responded - included in the ranking. The survey was conducted between September and November last year, shortly after a £100m modernisation project began at Glasgow Queen Street. Cameron MacIntosh, 32, a sales adviser from Stirling, said: ""The station is an absolute bomb site at the moment. ""It really looks like a place from the third world. I try and avoid it."" Transport Focus chief executive Anthony Smith said: ""While Glasgow Queen Street is being redeveloped it's vital that the ScotRail Alliance continues to talk to passengers about the improvements and makes sure staff are on hand to help."" A spokesman for the Rail Delivery Group, which represents the rail industry, said: ""As part of the partnership railway's long-term plan, and to deliver on our commitment to boost local communities, we're investing to improve 178 small and medium-sized stations right across the country."" Here is the full list of satisfaction ratings of 56 railway stations in Britain, according to Transport Focus: 1. London King's Cross 96% 2. London St Pancras 95% 3. Birmingham New Street 92% 4. Reading 92% 5. London Marylebone 91% 6. Liverpool Central 91% 7. Beaconsfield 91% 8. Sheffield 91% 9. Manchester Piccadilly 91% 10. Glasgow Central 91% 11. London Blackfriars 91% 12. York 91% 13. Edinburgh 90% 14. Newcastle 90% 15. Amersham 90% 16. Leicester 89% 17. Newark North Gate 89% 18. London Paddington 88% 19. Heathrow Airport Terminals 1,2,3 88% 20. London Fenchurch Street 88% 21. Richmond (Surrey) 88% 22. Bath Spa 88% 23. Heathrow Terminal 5 88% 24. Liverpool Lime Street 87% 25. High Wycombe 87% 26. Leamington Spa 87% 27. Cambridge 87% 28. London Liverpool Street 87% 29. Nottingham 86% 30. Milton Keynes Central 86% 31. Peterborough 86% 32. Derby 85% 33. Moorfields 85% 34. Leeds 84% 35. Brighton 83% 36. London Charing Cross 83% 37. London Bridge 81% 38. Chester 81% 39. St Albans 81% 40. London Waterloo 81% 41. Bristol Temple Meads 81% 42. London Euston 81% 43. London Cannon Street 79% 44. Coventry 77% 45. East Croydon 77% 46. Stratford (London) 76% 47. Cardiff Central 75% 48. Hull 73% 49. Highbury And Islington 72% 50. London Victoria 72% 51. Wimbledon 71% 52. Barking 70% 53. Clapham Junction 69% 54. Oxford 67% 55. Gatwick Airport 66% 56. Glasgow Queen Street 58%"
2018-05-08,Hawaii's Kilauea volcano eruption has destroyed 26 homes and forced thousands to flee as lava spewed more than 200ft into the air.,https://web.archive.org/https://web.archive.org//web/20180508063220/https://news.sky.com/story/lava-spills-into-streets-after-volcano-eruption-11362566,"More than 1,700 people have been forced to leave the area, and could be told to stay away for some time. Officials said the decimated homes were in the Leilani Estates subdivision, where molten rock, toxic gas and steam have been bursting through openings in the ground. Hawaii County spokeswoman Janet Snyder said the number of destroyed homes could rise. ""This is heartbreaking,"" she said. Amber Makuakane, 37, a teacher and single mother of two, said her three-bedroom house in Leilani Estates was destroyed by lava. ""There was some steam rising from all parts of the yard, but everything looked fine,"" Ms Makuakane said. On Saturday morning, she received alerts from her security system that motion sensors throughout the house had been triggered. Lava eventually covered her property. ""My son keeps asking me, 'Mommy when are we going to go home?""' US Geological Survey volcanologist Wendy Stovall said the eruptions may carry on. ""There's more magma in the system to be erupted. As long as that supply is there, the eruption will continue,"" she said. About 240 people and 90 pets spent Saturday night in shelters, the American Red Cross said. Officials let some residents return briefly Sunday to get their pets, medicine and documents. Kilauea one of the world's most active volcanoes, has been erupting continuously since 1983. The USGS's Hawaiian Volcano Observatory issued a notice in mid-April that there were signs of pressure building in underground magma, and a new vent could form on the cone or along what is known as the East Rift Zone. Leilani Estates sits along the zone."
2018-05-08,A street in Oxford city centre is in lockdown after a shootout between police and an armed man.,https://web.archive.org/https://web.archive.org//web/20180508063220/https://news.sky.com/story/oxford-city-centre-in-lockdown-after-police-shootout-11363559,"Shots were fired from a residential property in Paradise Square and officers are understood to still be negotiation with the suspect. Loud bangs were heard in the afternoon but later in the evening one resident said the situation was ""very much ongoing"" after further loud bangs were heard at around 10pm. South Central Ambulance Service NHS Foundation Trust said on Twitter that one patient was being assessed and treated for ""non-life threatening injuries"". Members of the public have been warned to avoid the area, and police have said people should present themselves to officers if they wish to return home to make sure it's safe. Armed response officers were called shortly after 1.15pm on Monday to a report that a man had access to a firearm, Thames Valley Police said. ""People in Oxford will notice an increased police presence in the area while officers are dealing with the incident, which is contained and taking place at a residential property,"" said Superintendent Joe Kidman. ""If you have any concerns or wish to raise anything please approach and speak to an officer or call the non-emergency number 101."" A woman who was sat on her balcony said she heard loud bangs, shouting and dogs barking on Monday afternoon. ""After a second round it became apparent these were gunshots so I rushed inside,"" she said. ""There was a couple more shots, three spurts in total, still a lot of shouting and barking. I heard a man shout 'show me your hands' repeatedly."" Another witness said more loud bangs were heard later on Monday night, which sounded like gunfire, followed by shouting. Police say road closures and cordons remain in place, which which is likely to impact travelling through the area in the morning. Supt Joe Kidman said: ""People in Oxford will notice an increased police presence in the area while officers are dealing with the incident, which is contained and taking place at a residential property."""
2018-05-08,"With two weeks to go until the royal wedding, Sky News has spoken to bridal experts, academics and community workers for a special report exploring whether Meghan Markle can make any difference to racial equality in Britain.",https://web.archive.org/https://web.archive.org//web/20180508063220/https://news.sky.com/story/will-meghan-and-harrys-wedding-change-views-on-racism-and-diversity-in-uk-11362498,"It comes after some have described Harry and Meghan's wedding as a social game-changer for black Britain; a mixed raced American actress, whose ancestors were slaves, marrying a white British Prince. The report uncovers divided opinions on racism and diversity. Nova Reid launched her blog Nubride.com after she got engaged in 2011 to try to tackle the lack of representation in the wedding industry. She's now a diversity adviser and works with top bridal designers like Ian Stewart. Speaking about her own experience when she got engaged, Nova said: ""I launched myself into newsagents the morning after the night before and that's when I first noticed 'where are the British women who are also black? Where are they?' ""At first I thought perhaps I was being over-sensitive or paranoid and then I started buying more magazines and it was the same thing. Sometimes I would flick through them and there would not be one single person of colour in the entire magazine."" But she has high hopes Meghan can help change things: ""She's a bit of a feminist, she's passionate about women's issues, she's intelligent, she's articulate, she's also of mixed heritage, and for young girls to see that possibility and to see a positive role model in that way is more powerful than most people can realise."" Ambrice Miller is from America and is soon to marry her English fiancé Ben Joyce - their civil ceremony just happens to take place on the 19 May. :: The ultimate guide to the royal wedding She said: ""I think what Meghan brings to the table is a little bit different. It's the element of it's going to be an international wedding, it's an interracial wedding, she's quite open about being proud about the fact that she's mixed race. ""I think that is only going to be beneficial because I'm in an interracial relationship and bringing that to the foreground, into the mainstream is only gonna, hopefully, have a positive impact. And I think she's handled it with elegance and grace in regards to some of the nasty attacks she's had based on her race."" But Dr Kehinde Andrews, from Birmingham City University, was so sceptical about claims that Meghan can make a difference he wrote an article saying she will not be allowed to be a black princess. He told Sky News: ""The Royal Family is probably our premiere institution of whiteness if you look at the idea of the Empire, the Commonwealth, the time when Britain was great and Britannia ruled the waves. ""It's not a coincidence that 68% of people think that colonialism was a good thing and about 68% of people believe that the monarchy is a good thing as well. So the monarchy is this kind of symbol of many of the problems with Britain and how it relates to race."" He also recalled how an older white lady knocked on the door of one of his young black PhD students to say that she thought it was terrible that Harry was marrying someone like Meghan. We visited Aba Graham who set up the Ebony and Ivory community group in Stockport nine years ago to raise aspirations for black and mixed heritage children. She said: ""When I started this all them years ago it came from two young girls that said to me 'I have nothing in store before me' and so I wanted to hopefully bring children together and work with them."" She says discrimination, racism and what she describes as ""micro-aggressions"" are still an everyday problem, from the justice system, to education and employment. She added: ""Whether it's because of what the Government call austerity or the issues around international or national issues that are happening like Brexit or whatever I don't know."" A teenager at the group described how white children at her school call black children slaves. In 2015, Meghan wrote an article for Elle magazine talking about her own experiences of having a black mother and white father, and the ""undercurrent of racism that is so prevalent, especially within America"". She added: ""While my mixed heritage may have created a grey area surrounding my self-identification, keeping me with a foot on both sides of the fence, I have come to embrace that. To say who I am, to share where I'm from, to voice my pride in being a strong, confident mixed-race woman."" Since their engagement Harry and Meghan have travelled across the UK, often visiting ethnically diverse communities such as Brixton in south London and Birmingham. She hasn't confirmed what causes or issues she will focus on through her new royal role, but it will be fascinating to see if, as part of the establishment, she'll feel able to still campaign for racial equality. :: Sky News will broadcast live in Windsor the week before the royal wedding with all the build up to the big day, with exclusive live coverage of the wedding in UHD in a special programme ‪from 9am to 3pm on Sky News and Sky One ‪on Saturday 19 May."
2018-05-08,"Arsene Wenger was given a guard of honour before his last home game in charge of Arsenal, before telling fans he would ""miss"" them.",https://web.archive.org/https://web.archive.org//web/20180508063220/https://news.sky.com/story/guard-of-honour-for-arsene-wenger-as-he-oversees-final-arsenal-home-game-11362324,"His team failed to deliver a final piece of silverware for the Frenchman as they crashed out of the Europa League on Thursday, but they saw off Burnley 5-0 on Sunday to secure sixth place in the Premier League. Welcomed back on to the pitch by rapturous chants of ""there's only one Arsene Wenger"", the football manager addressed the crowd. ""Thank you for having me for such a long time. I know that's not easy,"" he said. ""Above all I am like you: I am an Arsenal fan. That means this is more than just watching football, it's a way of life. It is caring about the beautiful game, about the values that we cherish. ""I would like to thank everybody at the club who makes this club so special. I would invite you to really push to support the players and the staff who will remain behind me. ""For me these football players have a special quality, not only on the pitch but off the pitch. Please follow this team and support them next season because they deserve it. ""I would like to finish by saying I will miss you. Thank you all for being such an important part of my life. I hope to see you soon. Well done. Bye bye."" Wenger's departure comes after 22 years at the club, during which he won 10 trophies, including three Premier League titles. Speaking to Sky Sports' Greg Whelan, the 68-year-old said he did not know what his biggest achievement was. ""As a manager, your target is always to get the most out of your team, and when you don't lose a game you can't do much better,"" he said. ""I can think of other seasons where we have done well and I have taken the maximum out of the players - you have to be honest and know if you've taken the most out of your players or not."" When asked about what he was most proud of, he replied: ""First of all, for having maybe been faced with the values that are important to me. The titles are important, but over a long period, integrity, values of the club and team spirit are the most important for me."" He also took time to send his best wishes to former rival Sir Alex Ferguson, who had emergency surgery on Saturday after suffering a brain haemorrhage. ""I'm concerned because last week we were together,"" Wenger said. ""I trust his strength and optimistic character to get over it quickly and well."" Arsenal owner Stan Kroenke was among those in attendance for the Wenger's last home game, with a host of club greats, including Emmanuel Petit, Bob Wilson and Martin Keown, joining him. Following the match, Wenger was given the commemorative gold Premier League trophy awarded to the club after its unbeaten ""Invincible"" title-winning season."
2018-05-08,"A giant sinkhole has opened up on a dairy farm in New Zealand, revealing rock deposits from a 60,000-year-old volcano.",https://web.archive.org/https://web.archive.org//web/20180508063220/https://news.sky.com/story/giant-sinkhole-opens-into-60000-year-old-volcano-in-new-zealand-11362925,"The hole, which has captured the attention of volcanologists, is as deep as four double-decker buses (20 metres or 66 feet) and is 200 metres (660ft) long. It appeared after heavy rain near the town of Rotorua on the North Island, an area renowned for its geothermal activity. Geologists believe that thousands of years of rain eroded underground limestone, causing the ground to collapse. ""This is pretty spectacular, it's a lot bigger than the ones I'd normally see,"" volcanologist Brad Scott said. Mr Scott told TVNZ the dairy farm was situated above the crater of a dormant volcano. The dirt in the bottom of the sinkhole was ""the original 60,000-year-old volcanic deposit that came out of this crater"", he said. The farmer, Colin Tremain, said it had appeared overnight and was spotted by a worker on a morning run to handle the cows. Similar sinkholes are common on his farm, Mr Tremain added, but this is the largest - and there was nothing he could do to stop his land disappearing. He told Radio NZ he could ""put fence around it and forget about it"" but it would be a ""waste of time filling it in""."
2018-05-08,Yesterday saw the highest temperature of the year so far at 33.3C (91.4F) in Santon Downham in Suffolk.,https://web.archive.org/https://web.archive.org//web/20180508063220/https://news.sky.com/story/uk-weather-the-latest-sky-news-forecast-10133905,"Despite this it is set to become hotter for some through this week. Until then it's a cool and fresh morning over most of Scotland, Northern Ireland and the Republic, although apart from a few showers across the North West it's mostly dry and bright. On the other hand, northern and western parts of England and Wales are beginning today cloudy with patchy outbreaks of rain. The rest of Wales and England is largely dry, sunny and warm. This afternoon bright or sunny spells will continue across Ireland, Northern Ireland and Scotland with only a few isolated showers. Northern and western parts of both England and Wales will be rather cloudy with light rain or drizzle at times that will eventually fizzle away. Meanwhile the rest of Wales, the Midlands, Central, southern and eastern England will remain sunny and very warm, or locally hot in the south and east. It'll be largely dry across these areas as well, but isolated thundery showers can't be ruled out later. Tonight most of the UK and Ireland will be dry with clear spells. However, central, southern and eastern England may see the odd isolated shower and it'll be a warm and muggy night for these parts. Tomorrow will be a mainly dry day with lots of sunshine. However, the North West will be cloudier with showers at times and the south and east will be rather cloudy at first. Later some isolated heavy showers may develop across East Anglia and the far south-east during the afternoon and evening. It'll be another very warm or hot day for many."
