date,program,link,transcript
2015-04-01,Bid to change Speaker election rules,https://web.archive.org//web/20150326065731/http://www.bbc.com/news/uk-politics-32061097,"A last-minute bid to change the way the Speaker of the House of Commons is elected is to be debated by MPs.Labour criticised the government motion, to be debated on the final day before the dissolution of Parliament, saying the Conservatives were ""trying to play politics with the speakership"".Under the proposals, a secret ballot would decide whether there should be a contested election for the post.MPs currently have to file through the division lobbies to cast their vote.This means it is clear who does or does not back the incumbent as Speaker.Labour's shadow leader of the Commons Angela Eagle raised the party's concerns in the House on Wednesday evening, questioning whether the motion was within parliamentary rules.Current Speaker John Bercow is - technically - one of them, but many Tory MPs have never liked him.They resent his personal style and some believe he is far from impartial in the way he conducts business in the Commons.Attempts by some to force a vote on his resumption as Speaker in 2010 came to nothing. There have been the occasional measured jibes at him from the prime minister. Other Tories reportedly went much further and formed a group whose members had all been reprimanded by him. But the Speaker is a reformer who believes passionately that the people who elect the members, and pay the bills, should come first.The last act of the coalition looks like being an attempt to unseat him. And they are very serious about it.One Tory MP fighting an important marginal seat had been cleared by his party to be away from Parliament but he is now staying for the vote, such is the importance of it.She told Deputy Speaker Lindsay Hoyle: ""It's just come to my attention that the government has tabled a motion for debate on the final day of this Parliament, with no notice whatsoever to myself as shadow leader of the House, proposing changes to the way in which the Speaker of this House is elected.""Procedural matters in this House, with no consultation with the opposition, no consultation with the chair of the committee itself, for debate in only one hour tomorrow.""Mr Hoyle said the motion had been ""rightly or wrongly"" agreed to on Tuesday, saying that ""business of the House is decided by the government, not by the chair.""A spokesman for Commons Leader William Hague said the motion had been tabled as a free hour had opened up in Thursday's business after the House of Lords approved the Modern Slavery Bill.The proposed change would apply when a Speaker wishes to continue in the post after a general election.Under the current rules, if the Speaker's re-appointment is objected to, a division is held, with MPs choosing to back or oppose the Speaker in the division lobbies.The replacement of this method with a secret ballot was suggested in 2010 by a committee of MPs, which said the public method ""can be seen as a deterrent to the House expressing its views honestly"".MPs will now debate whether this change should be made."
2015-04-01,"Live Live
Campaign countdown: 26 March",https://web.archive.org//web/20150326065731/http://www.bbc.com/news/live/uk-politics-32055903,
2015-04-01,Public 'don't want more coalitions',https://web.archive.org//web/20150326065731/http://www.bbc.com/news/uk-politics-32055110,"Public enthusiasm for government by coalition is at its lowest in 30 years, an annual opinion survey says.But the NatCen British Social Attitudes Report found a majority of the 2,878 people it surveyed would not reverse cuts made by the current government.NatCen said people ""seemingly accepted many of the coalition's big reforms"".But during five years of seeing a coalition in action, the number who preferred to have a coalition in charge had ""plummeted"" from 45% to 29%.NatCen also said that, while most people wanted to stay in the EU, ""the majority of the public can be considered Eurosceptic"".The British Social Attitudes survey has been carried out every year since 1983, with questions repeated periodically to assess how opinions change over time.This year's study aimed to find how people had responded to the Conservative/Liberal Democrat coalition government.Among its findings were:Recent opinion polls suggest a hung Parliament is likely after the 7 May general election, which could lead to another coalition government.NatCen, a social research specialist, said the number of people who preferred this form of government had ""plummeted"", adding: ""Apparently any hopes that the Liberal Democrats might have had that voters would come to accept coalitions once they saw one in action, have been dashed by the experience of the last five years.""However, it said people's responses to the coalition question were likely to be influenced by the party they supported.NatCen said there had been a ""muted"" response to the government's reforms of the NHS, welfare and higher education.Rachel Ormston, one of the report's authors, said: ""Despite the fact that the public has gone off the notion of coalition government, it has seemingly accepted many of the coalition's big reforms.""In spite of the government's narrative of austerity, or perhaps because of it, NHS satisfaction is back up, there is broad acceptance of tuition fees, and at least some cuts to benefits are popular.""For the first time, this year's report also looked specifically at the attitudes of UKIP supporters, who featured heavily enough in the sample to be assessed separately.It found while they were ""anti-immigration and socially conservative"", they shared traits with Labour supporters in that they were predominantly working class and concerned about the gap between rich and poor.They were also more likely than the population as a whole to support the death penalty (75% to 48%), consider young people do not have enough respect for British values (86% to 66%), and believe that people who want to have children should get married (46% to 23%).UKIP supporters were also less likely to trust Parliament and the government.People's interest in politics is ""undiminished"", the survey said, but a trend towards ""greater voter disconnection"" had continued in this Parliament, with 53% of people saying the government does not much care ""what people like me think"".Some 14% of people have expressed political views online, and 40% got political news from the internet at least every week, compared to 64% from television and 46% from newspapers.For this year's report, NatCen interviewed a representative, random sample of 2,878 adults in the UK between August and November 2014."
2015-04-01,MPs warn on growth of UK jihadists,https://web.archive.org//web/20150326065731/http://www.bbc.com/news/uk-32059813,"Not enough is being done to prevent people leaving the UK to join Islamic State in Iraq and Syria, a group of MPs has warned.Keith Vaz, chairman of the Home Affairs Select Committee, said Britain must win their ""hearts and minds"".The committee's report comes as the BBC launches a database tracking British jihadists in Syria and Iraq. It shows that many people left in clusters from certain UK areas - often due to friendships and peer groups. The MPs' report argued that preventative work with communities, families and international partners was ""vital"" and needs to be a top priority for the Home Office.  ""The number of cases being brought to public attention should ring alarm bells,"" said Labour MP Mr Vaz.  ""This must be a relentless battle for hearts and minds, and without a strong counter-narrative we are in danger of failing to prevent even more departures. We are at the edge of a cliff."" The BBC has been tracking the stories of the men, women, boys and girls who have gone to Syria and Iraq to understand why they go, where they go from and what happens to them. By analysing around 160 profiles, it reveals the way in which people have travelled in clusters - a group of three young friends from Coventry, another group from Portsmouth, drawn out by one person they knew, others in Cardiff linked to people involved in an extremist organisation. Social media might play a part but face-to-face contact appears just as, if not more, important, according to the database.It includes the stories of: The BBC research emphasises the extent to which real-world contacts, rather than just online connections, are often a key driver of radicalisation and intent to travel to Iraq and Syria. Some of the experts who appeared before the Home Affairs Committee also argued the internet was a secondary influence. They said that universities and prisons were among the two most significant places where radicalisation occurred. A spokesman for the Metropolitan Police, which was not aware of the report, said it would have ""welcomed the opportunity"" to have given evidence to the committee and that it planned to look at the report in detail.The disappearance of schoolgirls Shamima Begum, Amira Abase, both 15, and Kadiza Sultana, 16, from east London in February, raised questions as to who could have done more to prevent their departure. After taking evidence from the police and the families of the girls among others, Mr Vaz said their case suffered from a ""lack of immediate action"". He added: ""Schools and the police must inform parents immediately, and work with them even if there is the smallest hint of radicalisation, or a close association with someone who is thought to have been radicalised.""However, the Met Police spokesman defended the speed of the police response to the schoolgirls' disappearance.  He said the committee's criticism was ""misleading"", pointing to the evidence given by both UK and Turkish authorities of ""rapid exchanges"" between the two.The committee's report said there needed to be an advice service which would be a less extreme step than calling the anti-terrorist hotline.The Association of Chief Police Officer's lead officer for the government's anti-terror strategy Prevent, Chief Constable Sir Peter Fahy, agreed that more needed to be done.However, he said the police ""do not have the capacity"" to routinely work with every school in the country.He added: ""The police service will play its part but the prime responsibility for dissuading young people from getting involved in extremist activity has to lie with parents, families and carers.""The committee also pointed to weaknesses in information sharing with airlines and other countries. It said greater care needed to be taken at airport check-in desks when people were travelling to destinations of concern - namely Syria, Somalia, Iraq and Nigeria, as well as neighbouring countries, such as Turkey. The report said police also needed to work faster to alert overseas partners and airlines when there were concerns over individuals.There were signs that some of the girls had followed extremist accounts on social media, the report said.The committee said that social media companies, such as Facebook and Twitter, should be prepared to suspend accounts when there is evidence they are being used to promote violent extremism.  The report also said it was disappointed the Home Office had not implemented a programme for individuals returning to Britain where there is evidence they had fought in Syria.Security officials estimate that some 600 Britons have left the country to join IS - and while around half may have returned, many are still out there - and some have died.  The BBC project includes detailed profiles of individuals which can be searched, based on hometown, age and gender, as well as those who have been convicted in the courts or who are believed to have been killed."
2015-04-01,Ruling due on Prince Charles letters,https://web.archive.org//web/20150326065731/http://www.bbc.com/news/uk-32061819,"The Supreme Court is set to rule on whether Prince Charles's letters to government should be made public.The UK's highest court has been asked to judge whether the Attorney General's office acted unlawfully when it prevented their publication in 2012.The Guardian newspaper is seeking the disclosure of the letters written to government departments between 2004-5.It has been argued that releasing the so-called ""black spider memos"" would undermine the prince.The Guardian said it had been ""pressing the government"" for 10 years to see the letters, written by the Prince of Wales to seven government departments.He is heir to the throne and, as the royal family's own website explains, it is central to the British constitution that the reigning monarch should remain politically neutral.The former Attorney General Dominic Grieve has said that any perception the prince had disagreed with the then Labour government in 2004-5 ""would be seriously damaging to his role as future monarch because if he forfeits his position of political neutrality as heir to the throne, he cannot easily recover it when he is king"".By BBC royal correspondent Peter HuntAfter 10 years, several court cases, and a cost to the taxpayer of hundreds of thousands of pounds, an end appears to be in sight for this dogged pursuit of Prince Charles's black spider memos.A final resolution will only be delayed if there's a referral on an issue of European law to the Court of Justice in Luxembourg. If not, the prince's private letters will either remain confidential, as the sender intended, or they'll be exposed to a large and inquisitive audience. His friends say he has a right and a duty to communicate with the government of the day. His critics accuse him of meddling and argue the way he operates should be transparent.One day, as things stand, he'll be king.As that day draws closer, the influence Prince Charles attempts to exert on ministers - and attempt he does - has greater relevance and significance. Read more from PeterGuardian journalist Rob Evans originally applied to see letters under the Freedom of Information Act 2000 and the Environmental Information Regulations 2004, but was initially denied by the information commissioner.But several legal decisions followed:Seven justices at the Supreme Court in London have now heard a challenge by current Attorney General Jeremy Wright QC against the Court of Appeal ruling."
2015-04-01,Tories and Labour VAT and NI pledges,https://web.archive.org//web/20150326065731/http://www.bbc.com/news/uk-politics-32047995,"David Cameron ruled out an increase in VAT if he retains power at the general election in his final Commons clash with Ed Miliband before polling day.The prime minister said this was a ""clear promise"" and challenged the Labour leader to rule out increasing National Insurance.Mr Miliband said ""nobody would believe"" Mr Cameron's pledge, because his government had raised VAT in 2010.Labour later announced it would not put National Insurance up.Mr Cameron's announcement was designed to neutralise one of Labour's main lines of attack - as seen on an election poster unveiled this week - that the Conservatives are secretly plotting to increase VAT because they will not be able to make their spending cut plans work without it.The announcement appeared to take Conservative MPs by surprise, especially after Chancellor George Osborne repeatedly declined to rule out a VAT increase when questioned by MPs on Tuesday.Analysis by political correspondent Iain WatsonToday's exchange actually raises more questions than it answers.If the main parties are ruling out further potential sources of revenue, but still committing themselves to eradicating a £90bn black hole in the public finances, will they now be under more pressure during the election campaign to spell out in much greater detail exactly what they intend to cut?Read Iain's full blogThe Conservatives have repeatedly accused Labour of secretly plotting to increase National Insurance contributions - but shadow chancellor Ed Balls has now ruled this out.Speaking just over an hour after Prime Minister's Questions, he told BBC News: ""We will make it clear in the manifesto Labour will not be raising NI. That will be a clear pledge from us.""He accused Mr Cameron of making an ""out of the blue, panicky"" announcement on VAT that ""no one in Britain will believe"".Labour, which has already announced plans to increase the top rate of income tax and impose a new ""mansion tax"" on high value properties, insists its plans are fully costed and will not require additional tax hikes if it wins May's general election.Mr Miliband began his final head-to-head encounter with Mr Cameron before the election by joking that the PM had ""announced his retirement plans"" - a reference to a BBC interview in which the prime minister said he would not serve a third term if the Tories remained in power.Challenging Mr Cameron to give a ""straight answer to a straight question"", Mr Miliband pressed him on whether he would rule out a rise in VAT after the election, as Labour had done.In response, the prime minister immediately said ""yes"", prompting loud cheers in turn from the Conservative benches. He contrasted what he said was a ""clear promise"" with Labour's unwillingness to rule out a rise in National Insurance.""I answered a very simple question about VAT. I ruled out an increase... straight answer to him, straight question from me. I have ruled out VAT. Will he rule out national insurance contributions. Yes or no?"" Mr Cameron added: ""We all know this is Labour's job tax. This is their tax of choice. This is what they clobber working people, families and enterprises with.""But Mr Miliband responded by saying there was ""only one person who is going to raise taxes on working families and that is him"".He said nobody would believe Mr Cameron on VAT ""because of his extreme spending plans, because his numbers do not add up and because he promised it last time and broke his promise"".Mr Cameron, he added, had broken other promises made before the last election to reduce annual net migration below 100,000 and not to pursue a major structural re-organisation of the NHS, adding that it was ""time for a better plan and time for a Labour government"".But Mr Cameron suggested a future Labour government would result in the ""chaos of economic crisis"", with Ed Miliband being ""held hostage"" by the SNP.The packed session provided a last opportunity for the two men to rally their MPs and set out their arguments before the start of the election campaign next week.Speaking after the exchanges and the other parties' tax pledges, deputy prime minister Nick Clegg said the Lib Dems ""don't need to raise VAT, national insurance or headline rates of income tax or corporation tax either"".""There are other taxes and other tax loopholes that we can increase or close in order to balance the books,"" he said. Parliament is expected to be prorogued on Thursday ahead of a six-week campaign culminating in the 7 May poll.The next PMQs is not expected to take place until the end of May, once the make-up of the new government has been decided. What is Prime Minister's Questions?"
2015-04-01,Met police 'had files on MPs in 90s',https://web.archive.org//web/20150326065731/http://www.bbc.com/news/uk-32044580,"A former undercover police officer has told BBC News that Scotland Yard kept intelligence files on MPs during the 1990s. Ex-Special Branch officer Peter Francis says he saw files on 10 Labour MPs which he and others regularly updated. He says he personally gathered information on three MPs as part of his work infiltrating left-wing groups. The MPs named, and Labour, have called for a forthcoming public inquiry into undercover policing to be widened. Mr Francis operated undercover between 1993 and 1997 in the Met's now disbanded Special Demonstration Squad. He was told to embed himself in left-wing groups or causes that were deemed to pose a potential threat to security. He says that during this period he was told to gather intelligence on MPs and their activities if and when they featured in any of his operations. That information, he says, was added to a special pink file that was available for Special Branch officers to read. Between 1990 and 2001, he claims to have personally seen records relating to Diane Abbott, the late Tony Benn, Jeremy Corbyn, the late Bernie Grant, Peter Hain, Harriet Harman, Ken Livingstone, Joan Ruddock, Dennis Skinner and Jack Straw.Four of the group became ministers during Mr Francis's time in Special Branch - including Jack Straw who was home secretary after 1997. ""When I was deployed undercover in the Special Demonstration Squad, any MP that I came across, such as on demonstrations, I would report back on them,"" he said. Mr Francis says that the files not only contained the MPs' publicly-stated political views - but also intelligence on what was going on behind the scenes in the party or their group. He says some of the information would have been things said in private by the MP, depending on how close each undercover officer had been able to get. Mr Francis said that when he first saw the files he understood that each had probably been created before the individual was an MP because of their personal involvement in radical causes or protests.But he added: ""When they became MPs these files carried on. It [was] your duty as an SDS officer to report back any intelligence that you come across. ""I felt that it was OK to report back on MPs,"" he said. ""I used to give myself a pat on the back, thinking 'I have done a good job'. These MPs were spied on and they should know.""""I don't think the police force should be monitoring MPs, full stop. I don't think we have any right to do that at all. It may be justifiable to say that the Security Service should be doing it - but I certainly don't think the police should be doing it.""Scotland Yard has refused to comment on the substance of the claims, but a spokesman said it had not shied away from serious allegations about the SDS. It said that Operation Herne, the internal police investigation into what happened in the unit, remained an ongoing investigation.""Operation Herne maintains that without speaking to Peter Francis it is simply not possible to fully investigate allegations he makes,"" said a spokesman. ""Operation Herne remains very willing to engage with him.""Mr Francis said that he has refused to speak to Operation Herne because he fears being interviewed under caution as a suspect, rather than a whistleblower. Scotland Yard told the BBC that Operation Herne detectives would be prepared to speak to him as a witness. He has, however, spoken to Mark Ellison QC who reviewed allegations about the SDS for the Home Secretary Theresa May - prompting her to launch a statutory inquiry. He says he will appear before those hearings. Peter Hain, who was a leader of the anti-apartheid movement in the late 1960s and 70s and became an MP in 1991, said he now wants full answers from Scotland Yard. ""I was deeply disturbed to find that files were still being kept by the Special Branch while I and others were serving Members of Parliament,"" he said. ""That is constitutionally an outrage. It infringes the sovereignty of Parliament. ""I want to see the home secretary widen the scope of the inquiry into the SDS to look specifically at the surveillance of MPs and the fact that there were active files on us while we were serving Members of Parliament. ""This should never have happened and it should have been reported and properly authorised - and we don't know whether it was.""Shadow Home Secretary Yvette Cooper echoed the call for the inquiry to be widened in light of what she described as ""extremely serious and disturbing allegations"".""While undercover policing remains a crucial tool in combating serious and organised crime it must not be abused,"" she said.""There have now been a series of serious allegations about undercover policing - ranging from the treatment of Stephen Lawrence's family to police having long-term inappropriate relationships. ""We called some time ago for much stronger oversight of undercover policing and it is also vital to get to the truth about what has happened."" Mrs May announced earlier this month that Lord Justice Pitchford would lead the inquiry into the SDS allegations - but the precise shape of that inquiry is not yet clear.A Home Office spokesman said the review by Mark Ellison QC had unearthed ""serious historical failings"". ""That is why the Home Secretary established a public inquiry to thoroughly investigate undercover policing and the operation of the Special Demonstration Squad. ""Lord Justice Pitchford will consult interested parties to the inquiry over the coming months on setting the terms of reference, with a view to publishing these at the end of July.""Undercover policing is an essential tactic in the fight against crime but to improve the public's confidence in undercover work we must ensure there is no repeat of these failings in the future."""
2015-04-01,NHS problems worst 'since 1990s',https://web.archive.org//web/20150326065731/http://www.bbc.com/news/health-32057948,"Services in the NHS in England are deteriorating in a way not seen since the early 1990s, according to a leading health think tank. The King's Fund review said waiting times for A&E, cancer care and routine operations had all started getting worse, while deficits were growing.It said such drops in performance had not been seen for 20 years.But the think tank acknowledged the NHS had done as well as could be expected, given the financial climate.Professor John Appleby, chief economist at the King's Fund, which specialises in health care policy, said: ""The next government will inherit a health service that has run out of money and is operating at the very edge of its limits. ""There is now a real risk that patient care will deteriorate as service and financial pressures become overwhelming.""He said in terms of how standards were slipping - not how low they had reached - the situation was the worst it had been since the ""early 1990s"".The report noted much of the deterioration has happened in the second-half of the Parliament with many measures of performance being maintained in the first few years.It said the next government had to address the funding situation, adding the extra £8bn a year NHS England says is needed by 2020, was the ""minimum"" that would be required.The report - a review of performance this Parliament - highlights a range of problems as well as achievements. These include:The report is the second part of the King's Fund pre-election review of the NHS this Parliament.Last month it warned the coalition government's reforms of the health service had been ""damaging and distracting"".The King's Fund report should make worrying reading. The reference to the 1990s conjures up images of - for the NHS at least - a bygone era. The think tank's point was not that waiting times had reached the level they were at then, rather that this is the first time in two decades of almost continuous improvement that there has been a sustained drop in performance.In many ways, that had to happen. Services cannot keep getting better for ever. Nonetheless, the findings are crystal clear: the NHS is at a critical juncture. But what is less easy to determine is to what extent the coalition's policies have contributed to the difficulties.The think tank has already provided a critical analysis of the government's reforms - and when pushed, acknowledged the health service may have been ""in better shape"" if they had not happened.But the more significant issue for the health of the health service this Parliament has been the squeeze on finances. Even though the budget has been increased, it has felt more like a cut to many because demands have risen so quickly.On this though, the King's Fund accepted that the government's hands were tied. Given the state of the economy, ministers did as much as they could have.Read more from NickRoyal College of Nursing general secretary Peter Carter said politicians needed to take note of the warnings made by the King's Fund.""Morale is low, and more and more staff are being made sick with stress because of the intolerable pressure they are under,"" he added. Katherine Murphy, of the Patients Association, said: ""The findings echo what we are hearing on a daily basis on our helpline. It is clear to the public that the future of the NHS is one of the most important issues facing the nation and it should be a central issue in the election campaign.""Shadow Health Secretary Andy Burnham said: ""Five years ago David Cameron stood on a promise to protect the NHS. This report provides authoritative proof that he has broken that promise.""But a Department of Health spokesman said: ""As the King's Fund says, the NHS has 'performed well in the face of huge challenges', but if we are to continue to invest in the NHS going forward it needs to be backed by a strong economy."" "
2015-04-01,SNP 'could block Tory government',https://web.archive.org//web/20150326065731/http://www.bbc.com/news/uk-politics-32045419,"The SNP would block a minority Conservative government by voting down its Queen's Speech if it holds the post-election balance of power, its former leader Alex Salmond has said.Mr Salmond said the move could bring down the government if Labour joined in, with David Cameron ""locked out"".The Conservatives accused him of ""trying to sabotage the democratic will of the British people"".Labour has called his balance of power prediction ""bluster and bluff"".In recent days Mr Salmond, who is bidding to become a Westminster MP at the 7 May general election, has claimed his party could ""hold the power"" in a hung Parliament and would be able to influence the Budget of a minority Labour government.This was dismissed by Labour leader Ed Miliband, who has ruled out a formal coalition with the Scottish nationalists.The SNP currently has six MPs at Westminster, but recent opinion polls suggest its share could increase dramatically at the general election.James Cook, BBC News Scotland correspondentIf the Conservatives attempt to form a minority government and enough MPs vote against their Queen's Speech the administration would fall at the first hurdle and the leader of the opposition would have a shot at forming a government.That's how parliamentary democracy works in the event of a hung Parliament.And yet the Conservatives are saying that by planning to vote against a government he opposes Alex Salmond has ""confirmed he would sabotage the democratic will of the British people in order to make Ed Miliband prime minister"".It is part of their continuing attempt to portray Mr Miliband as a weak leader whose strings are being pulled by Mr Salmond.This kind of language causes despair among Tories north of the border who fear that the party in London is waltzing into an SNP trap.They know that many voters in Scotland will read the phrase ""democratic will of the British people"" and hear ""democratic will of the English people"".Because, if it is illegitimate for Scottish MPs, from whatever party, to vote against one government and support another in the British parliament, then what, voters may ask, is the point of the union?Who is dancing to Mr Salmond's tune now?Mr Salmond, the former Scottish first minister, told the New Statesman that in the event of a hung Parliament, a minority Conservative government would have to ""go straight effectively for a vote of confidence - usually the Queen's Speech, although it could be otherwise, of course - and we'd be voting against.""If David Cameron lost this vote, he said, there would be a two-week period for another government to be formed.BBC political correspondent Iain Watson said Mr Salmond had ""hardened his anti-Conservative rhetoric"" in the interview.A Conservative spokesman said:  ""Alex Salmond has confirmed he would sabotage the democratic will of the British people in order to make Ed Miliband prime minister. ""That would mean chaos for Britain, with weak Ed Miliband dancing to Alex Salmond's tune.""He said the ""only way to keep Britain together"" was to vote Conservative.Mr Salmond's latest comments come after Mr Miliband said the only people writing a future Labour Budget would be himself and shadow chancellor Ed Balls.Speaking in Clydebank on Monday, he added: ""It's not going to be Alex Salmond - not in a million years."""
2015-04-01,MPs criticise 'lack of EU debate',https://web.archive.org//web/20150326065731/http://www.bbc.com/news/uk-politics-32045290,"The government's ""failure"" to let MPs debate EU legislation is ""deplorable"", a Parliamentary committee says.The European Scrutiny Committee said ministers had refused to schedule debates on issues such as free movement and the EU's Budget.It also said BBC coverage of EU matters should be ""improved substantially"".The government said the number of EU debates had doubled since 2009-10, while the BBC said its coverage was ""extensive and impartial"".The cross-party committee's role includes scrutinising EU documents and recommending the most important for debate in the House of Commons.Its report said in the period covering most of the 2014-15 financial year there were three debates on the floor of the House, compared with 12 in 2013-14.It also pointed out that not a single debate had taken place during a nine-month period, between 9 June 2014 and 9 March 2015.""The government's collective failure to schedule so many debates on EU documents over the past year is deplorable, and is a discourtesy to this committee and to all members of the House,"" the MPs said.Prime Minister David Cameron has sought to rally support from other EU leaders for his plans to curb welfare payments to European migrants ahead of a referendum on the UK's membership if he wins the general election.The committee said the government's ""cavalier"" approach was ""at odds with UK ministers' claims in their speeches across the EU about the role of national parliaments"".The Foreign Office said the government was committed to a ""strong EU scrutiny system that enables Parliament to hold it to account for the decisions taken in Brussels"".It added: ""We have made good on our commitment to raise standards by doubling the number of Europe debates on the floor of the House since 2009-10.""This government has also increased by around a fifth since 2010 the number of EU proposals that have been scrutinised and cleared by Parliament before being agreed in Brussels.""The committee has also been examining the BBC's coverage of European issues, taking evidence from director general Lord Hall and head of news James Harding earlier this month.During that appearance, Lord Hall said the desire for balanced output ""ran deep"" within the BBC and he believed that this was being achieved.Mr Harding said if the public was going to trust the BBC to report on politicians impartially it had to be clear that BBC journalists weren't ""asked by politicians to come and account for what they do and in effect do the bidding of those politicians"".But the committee said it was ""concerned about the manner in which the BBC treats EU issues"", calling for coverage to be ""improved substantially"".It suggested coverage did not reflect all sides of the debate on the European Union, and more analysis was needed. Its chairman, Conservative MP Sir William Cash, said the BBC had ""very particular obligations"" to be impartial and to ""educate and inform"".He added:  ""We do not believe this is currently being achieved in the context of the BBC's EU coverage.""A BBC spokesman said the corporation provided extensive and impartial coverage of European and Parliamentary issues, and it would be a breach of the corporation's independence if a committee of MPs instructed the BBC on its coverage."
