date,program,link,transcript
2015-05-01,Scots Labour leader Murphy to resign,https://web.archive.org//web/20150517032831/http://www.bbc.com/news/uk-scotland-scotland-politics-32760196,"Scottish Labour leader Jim Murphy is to resign next month, he has announced.It comes despite Mr Murphy narrowly surviving a vote of no confidence at a meeting of the party's national executive in Glasgow. Mr Murphy said he would tender his resignation alongside a plan to reform the party.He lost his seat in last week's general election as the SNP won 56 of the 59 Scottish seats, leaving Labour with a single MP in Scotland.Mr Murphy said he wanted to have a successor as leader in place by the summer, and confirmed he would not be standing for a seat at the Scottish Parliament in next year's election. Instead, he said it was time to ""do something else"" and that he believed the party would continue to be divided if he remained as leader. His deputy, Kezia Dugdale MSP, will become acting leader until a permanent successor is found. Mr Murphy had faced calls to resign from several MSPs, trade unions and former MPs in the wake of his party's near wipeout at the general election.He insisted he had decided to stand down ahead of the national executive voting by 17-14 in favour of him staying in the job.Speaking at a media conference after the national executive meeting, he said: ""It is clear that a small minority who didn't accept my election as leader of the Scottish Labour Party just five months ago won't accept the vote of the executive today and that will continue to divide the party.""Today I received more support in the executive vote than I did from members of the executive when I stood for election five months ago.""He said it would be up to the executive whether to accept the reforms he would be proposing before he left the post. But he warned: ""A party in such urgent need of reform blocks those changes at its peril.""The former East Renfrewshire MP said Labour had been crushed between ""two nationalisms"" in Scotland and England.Mr Murphy said he left no legacy of bitterness for anyone in the Labour Party, and the only person he was angry at was the person who blamed Scottish Labour for the party's UK-wide general election defeat - a reference to Unite leader Len McCluskey.And he said that in many ways Scottish Labour was the ""least modernised part of the Labour movement"" and that he wanted his successor to be elected under a one member, one vote system.Mr Murphy added: ""The Labour Party's problem is not the link with trade unions, or even the relationship with Unite members - far from it. It is the destructive behaviour of one high profile trade unionist.""The leader of the Scottish Labour Party doesn't serve at the grace of Len McCluskey, and the next leader of the UK Labour Party should not be picked by Len McCluskey.""Mr McCluskey has been a vocal critic of Mr Murphy's leadership and opposed his appointment in December when Mr Murphy won the contest to replace Johann Lamont.Jim Murphy laughed and joked with Scottish Labour's sole MP as he made his way down the hotel corridor to announce his resignation.He certainly brought energy and dynamism to his election campaign - but all that achieved was Ian Murray in Edinburgh South.So as Mr Murphy bows out, who could replace him?The deputy leader Kezia Dugdale may want to step up or Neil Findlay could try again after challenging last time. Maybe the party's finance spokeswoman Jackie Baillie thinks her steady hand could steer the ship.Jenny Marra is also often talked about as future face of the party.Whoever steps into Jim Murphy's red shoes he or she will have to face a difficult 2016 Holyrood election, to put it mildly.There are also more fundamental questions about how the party can possibly move on as it faces a surging SNP.Mr Murphy was very much a creature of ""New Labour"" - but to today's generation that's old Labour.Party members may start looking for someone with no links to the past, neither a Brownite nor a Blairite. A 'cleanskin' - as the politicos put it - may well help re-connect with voters.That's a long way from now though - even some of the party's opponents may view this latest train wreck with a modicum of sympathy. Ms Lamont had resigned after claiming Scottish Labour was treated like a ""branch office"" by the London-based party leadership.Mr Murphy concluded his speech by saying: ""Scotland needs a strong Labour party; Scotland needs a united Labour party. We have been the greatest force for change in our nation's remarkable history. ""The Scottish Labour party will rise again. It will be under someone else's leadership and I am confident about my party's future.""Harriet Harman MP, acting leader of the UK Labour Party, said it would be for Scottish Labour to choose a new leader. She added: ""As a cabinet minister and leader of his party in Scotland, Jim has been a hugely important figure in the Labour Party. He leaves with the best wishes and thanks of our movement.""Labour peer Lord McConnell, a former Scottish first minister, said the party's problems were ""much deeper than one individual and one affiliate"".He said: ""We have a disconnect locally and nationally with wider Scottish society. ""We have a problem with our political positioning in the post devolution age where the party particularly at the UK level has never been comfortable with success in the Scottish parliament and has always tried to see things through a UK prism rather than a Scottish prism.""We need to find a new generation, a new leader, new generation, new ideas, a fresh approach.""In a tweet, Scottish first minister and SNP leader Nicola Sturgeon said: ""I wish Jim Murphy all the very best for the future. Leadership is not easy and he deserves credit for standing up for what he believes in.""Scottish Conservative leader Ruth Davidson also reacted on Twitter, saying: ""Jim Murphy announces a managed exit in order to help the party, which is to his credit. But leaves a tough gig for whoever comes next.""The meeting of Scottish Labour's executive was disrupted by protesters who entered the party's headquarters.Police were called and the protesters, who included persistent anti-austerity activists Sean Clerkin and Piers Doughty-Brown, left the building to protest further from the street outside.The protesters were calling for Mr Murphy to remain as leader to ""finish the job of destroying Scottish Labour"".A Police Scotland spokeswoman said officers had been called and found two protestors on the third floor of the building. She added: ""Both left on police arrival. Advice and assistance was given."""
2015-05-01,Labour contenders clash on spending,https://web.archive.org//web/20150517032831/http://www.bbc.com/news/uk-politics-32761561,"Prospective Labour leaders have clashed over Labour's record in government in their first public debate in the race to succeed Ed Miliband.Former cabinet ministers including Yvette Cooper and Andy Burnham defended Labour's fiscal record and spending on schools and hospitals.However, candidates from the 2010 intake of MPs argued that the party spent too much while in office.The debate followed Chuka Umunna's withdrawal from the leadership contest.The remaining candidates appeared at the annual conference of the Progress think tank in London.There was agreement that Labour needed to demonstrate economic credibility to regain power, with shadow education secretary Tristram Hunt telling the meeting that the party needed to be ""trusted with public finances and the family finances"".Mr Hunt, who was first elected to Parliament in 2010 when Labour lost power, argued the last Labour government ""spent too much"" and failed to ""leave enough economic headroom to deal with the economic crisis and the recession"".Shadow health minister Liz Kendall said: ""There's absolutely nothing progressive about spending more on debt interest payments than on educating our children.""But shadow health secretary Andy Burnham said: ""The Tories have had a triumph of spin over the facts in saying what they said about the economic record of the last Labour government.""The former chief secretary to the Treasury said the deficit did ""grow too large"" in the government's later years but insisted: ""The last Labour government ran more surpluses in its first term than the Tories did in 18 years.""Yvette Cooper, another former chief secretary to the Treasury, said: ""We should never let anybody tell us that it was too many teachers, doctors or nurses that caused Lehman Brothers bank in New York to crash.""Shadow international development secretary Mary Creagh said: ""People have forgotten the economic credibility that the last Labour government had.""She said Labour had built schools and hospitals that were ""treasured in our communities"".Ms Cooper, Mr Burnham, Ms Kendall and Ms Creagh have declared their intention to run for leader, while Mr Hunt told the conference he would make an announcement next week.At the same event, shadow energy secretary Caroline Flint announced she would be running for deputy leader.The Don Valley MP told the Today programme ahead of the debate that Labour lost the election because ""fundamentally the public did not trust us on the economy"".Exeter MP Ben Bradshaw has already announced a bid to be deputy, saying Labour ""must and could win the next election"", but only if it ""broadens its appeal by adopting sensible, centre-left politics which celebrate wealth creation and entrepreneurship"".Former Labour campaign co-ordinator Tom Watson is reported to be crowd-funding a deputy leadership bid, while Walthamstow MP Stella Creasy has said she is ""open to the question"" of running.Barnsley East MP and shadow transport secretary Michael Dugher - a fierce critic of Ed Miliband's election campaign - is to run Mr Burnham's campaign, according to the website LabourList.It is reported that Mr Burnham also has the backing of Labour peer Lord Falconer, who was lord chancellor and justice secretary under Tony Blair and was close to the former PM.Shadow culture secretary Chris Bryant has signalled his backing for Ms Cooper, tweeting that the next leader must be ""someone who's been tried in the fiery furnace of public opinion"".Mr Hunt said on Friday he would be be attending the debate - along with the other four hopefuls - to ""set out my analysis on how we begin to understand what went so wrong and why"".He added: ""We must use this leadership election to ask some very profound questions.""All voices in the party must be heard so that we can have a full and proper assessment as to why the politics of nationalism triumphed in Scotland and huge swathes of England, and how we have allowed the Conservative Party to present a more compelling vision for Britain to so many millions of people.""Speculation still surrounds shadow business secretary Mr Umunna's decision to pull out on Friday, when he said he was not ""comfortable"" with the ""pressure"" of being a candidate.As well as citing extensive pressure and scrutiny Mr Umunna also said he was ruling himself out because of concerns about the impact of the bid on his family.A rising star of the party, Mr Umunna was first elected to Parliament in 2010 - alongside Tristram Hunt and Liz Kendall - before joining the shadow cabinet.Asked about the candidate who might win, Conservative Chancellor George Osborne said: ""The Labour leadership contest has descended into farce.""But it's not actually about personalities. I don't think the Labour Party any more represents the working people of this country who aspire to a better life."""
2015-05-01,Carswell clarifies comments on Farage,https://web.archive.org//web/20150517032831/http://www.bbc.com/news/uk-politics-32771030,"Nigel Farage should take a break ""as leader"" of UKIP but not a break from being leader, the party's only MP says.Douglas Carswell also told the BBC's Sunday Politics that the party needed to ensure it got the ""tone"" right in order to attract more voters.It comes after Mr Carswell said in an article in the Times on Saturday that Mr Farage ""needs to take a break now"".A bitter internal row has developed within UKIP after Mr Farage's resignation was rejected by the party.Mr Carswell said: ""I'm suggesting he takes a break as leader. I'm not suggesting he takes a break from being leader.""Clearly the national executive has the authority, they're the ruling body. ""I'm told that they made a decision. I'm told it was a procedurally correct decision, he is the leader but I think it's important that as leader he takes a break and I think it's important that we work out how these complex questions are answered by a team.""No one person has all the answers. I'm particularly concerned about tone, making sure we get a tone that ensures that the 27 million people who didn't vote for UKIP last week may be persuaded to vote for us in future.""The party has been beset by wrangling since Mr Farage agreed to stay on as leader, days after standing down after failing to get elected in Thanet South.He had pledged before the general election that he would quit the post if he failed to get elected to Parliament.Senior aide Matthew Richardson has left the party, following claims from MEP Patrick O'Flynn that Mr Farage had fallen under the influence of ""inexperienced"" advisers.UKIP has also confirmed the departure of Mr Farage's chief of staff Raheem Kassam.Mr Farage ruled out quitting as leader on BBC's Question Time on Thursday, saying he had ""phenomenal"" support, and has challenged his critics to decide whether they want to stay in the party.In his article, Mr Carswell had said that ""knowing how difficult it is to lead a party makes me admire Nigel Farage all the more"".""I know that I never could,"" he added, stressing that he would find it ""impossible to simultaneously lead UKIP, be the voice of the party in the Commons, represent my Clacton constituents and at the same time be a husband and a dad"".However, he said that ""even leaders need to take a break"", adding: ""Nigel needs to take a break now.""UKIP got nearly four million votes at the election, but returned only one MP - former Conservative Mr Carswell in the Clacton constituency."
2015-05-01,Coasting schools 'must improve',https://web.archive.org//web/20150517032831/http://www.bbc.com/news/education-32763097,"Education Secretary Nicky Morgan has said new powers to sack head teachers in coasting schools will show ""it is not OK to be just above the level of failing"". Under the plans, ministers could force schools rated as ""requiring improvement"" and missing new government benchmarks to become an academy.Coasting schools have average results which have often flatlined over time.Writing in the Sunday Telegraph, Mrs Morgan said faster action was needed.She said: ""Our big priorities will be to speed up the process for tackling failing schools; extend our academies programme to tackle 'coasting' schools; and deliver on our commitment to open new free schools.""The proposals will be in a new bill due to be introduced in the Queen's Speech. ""First, we will take new powers to step in from the moment that a school is found to be failing,"" Mrs Morgan said.""From day one, regional schools commissioners will be able to bring in new leadership and support from other excellent schools and heads, and we will speed up the process of turning schools into academies to make sure that new expert leadership is found for all schools that need it as quickly as possible.""She said that coasting schools will be put on an immediate notice to improve and could then be taken over and turned into an academy.They will be required to work with a team of ""expert"" head teachers.She said: ""Those that aren't able to demonstrate a clear plan for improvement will be given new leadership - we know this works in turning schools around.""More than 3,300 schools in England are labelled ""requires improvement"", but the plans are unlikely to cover that many schools.Under the current system, secondary schools are considered to be failing, and therefore eligible for intervention, if fewer than 40% of their students score at least five Cs at GCSE, including English and maths, and they do not meet national averages in pupil progress.In primary schools, the threshold for intervention is if fewer than 65% of pupils get Level 4 in reading, writing and maths and a below average number of pupils make the expected amount of progress.It is not yet clear how coasting schools will be deemed in need of intervention.It is understood that a new category will be devised covering schools which are rated as ""requires improvement"" and which fail to meet a new set of standards on improvement."
2015-05-01,Co-op Group to keep political funding,https://web.archive.org//web/20150517032831/http://www.bbc.com/news/business-32762858,"The Co-operative Group has decided to continue financially supporting the Co-operative Party, which has strong ties to Labour.Members of the group, the UK's biggest mutual organisation, voted on the issue at their annual general meeting.They passed a motion by 48,579 for, to 39,479 against, to approve ""political expenditures"" of up to £1m which support the movement's objectives.Last year the Co-op Group gave £625,000 to the Co-op Party.This figure was down on the sums donated in previous years. The AGM also included a vote on new corporate governance procedures which would mean members having less of a direct say.The Co-operative Group is still recovering from a period of financial mismanagement and some members have recently expressed concerns about how elections to the board are chosen.The banking arm of the group came close to collapse in 2013, bringing the whole group to a £2.5bn annual loss that year. The Co-op Party includes among its members a number of Labour MPs, including shadow chancellor Chris Leslie and Walthamstow MP Stella Creasy. The politicians stand as candidates of both the Co-operative Party and the Labour Party, and the two political movements have strong historical ties. The board asked the members of the Co-operative Group whether they wanted to continue financially supporting the Co-operative Party, or any other party. Allan Leighton, chairman of the Co-op Group, said: ""There's a clear remit from the members to continue to support the Labour Party.""It allows us to now have a conversation with the Co-op Labour Party about what we do next.""There was also a members' motion on the agenda, put forward by those in favour of making political donations of up to £1m a year.The motion to approve political funding ""not to exceed £1m per annum"" was carried by 55.17% to 44.83%.BBC business correspondent Joe Lynam said: ""To meet a £1.5bn hole in its accounts - mostly stemming from its banking division - the Co-op Group has had to sell off parts of its businesses and hand over majority control of its bank to American hedge funds.""It's also in the process of radically changing the way it runs itself into a more corporate structure with less of a direct say by its members.""He said that ""in theory"", each of the 2.8 million Co-op members could vote on a series of motions about the reforms, as well as how its bosses are paid, and retaining the links to the Co-operative party.One of the group's largest independent societies, Midcounties, recently threatened legal action over a shortlist of six candidates for the group's board being reduced to three - the number of positions available - before a member vote.  "
2015-05-01,Osborne plans July 'stability' Budget,https://web.archive.org//web/20150517032831/http://www.bbc.com/news/uk-politics-32761566,"Chancellor George Osborne has said that he will deliver a new Budget on 8 July.He claimed it would have ""a laser-like focus"" on raising productivity and living standards.He said he was making the unusual move of having a second Budget in one year in order to ""deliver on the commitments we have made to working people"".Labour said the chancellor would have to set out ""who is going to pay"" for what it called ""uncosted promises"" in the election campaign.Speaking outside 11 Downing Street, the chancellor gave a broad outline of his plans for the forthcoming Budget but refused to be drawn on the details, including the Conservatives' planned £12bn of welfare cuts.""I don't want to wait to deliver on the commitments we have made to working people,"" he said.""It will continue with the balanced plan we have to deal with our debts, invest in our health service and reform welfare to make work pay.""But there will also be a laser-like focus on making our economy more productive so we raise living standards across our country.""We're going to put Britain into good shape for the long term.""The last Budget was held on 18 March and included tax cuts for first-time house buyers.Writing in the Sun, Mr Osborne admitted it was ""unusual"" to have two Budgets in the same year, but he wanted to turn ""promises made in the election into a reality"".Again, Mr Osborne did not specifically outline how the Conservatives plan to fulfil a pledge to cut £12bn in welfare spending but said he wants to make the welfare system ""fair for the people who pay for it"".He writes: ""We will protect the NHS and give it more funding each and every year, while making savings across Whitehall. ""We'll crack down hard on tax avoidance and aggressive tax planning by the rich - because everyone should pay their fair share.  ""We will always protect the most vulnerable, but we also need a welfare system that's fair to the people who pay for it. If you can work you should be working, so we'll take the next steps in our benefit reforms to make sure that happens.""Second, we've got to go on helping businesses create jobs in Britain, so we move towards full employment. That means facing a hard truth: in Britain we produce about a quarter less for every hour we work than countries like America or Germany. Fixing that long-running productivity weakness is the big challenge for the next five years.""So in the Budget we'll spend less on welfare, and instead invest to create three million more apprenticeships, so that young people can learn a trade, get better jobs and earn more.""After the Budget in March independent forecaster the Institute for Fiscal Studies (IFS) said that Mr Osborne needed to spell out exactly how he plans to cut £12bn from welfare spending.Of those £12bn planned cuts, £2bn were outlined ahead of the general election - all the cuts are supposed to be in place by 2017-18.Labour's shadow energy and climate change secretary, Caroline Flint, accused the Tories of making ""a number of uncosted promises"" during the election campaign.She told the BBC: ""It will be interesting to see who is going to pay for those uncosted policies when they bring the Budget in July."""
2015-05-01,Farage should take a break - Carswell,https://web.archive.org//web/20150517032831/http://www.bbc.com/news/uk-politics-32761766,"UKIP leader Nigel Farage ""needs to take a break now"", the party's only MP Douglas Carswell has said.Writing in the Times, Mr Carswell said he admired Mr Farage, but questioned his ""ill-advised"" comments about HIV patients, made in a TV leaders' debate.Mr Farage ruled out quitting as leader on BBC's Question Time on Thursday, saying he had ""phenomenal"" support.It follows a bitter internal row within the party, which has seen two of Mr Farage's senior aides resigning.In his article, Mr Carswell said that ""knowing how difficult it is to lead a party makes me admire Nigel Farage all the more"".""I know that I never could,"" he added, stressing that he would find it ""impossible to simultaneously lead UKIP, be the voice of the party in the Commons, represent my Clacton constituents and at the same time be a husband and a dad"".However, he said that ""even leaders need to take a break"", adding: ""Nigel needs to take a break now.""He described Mr Farage as ""inspirational"", saying the party had ""done extraordinarily well"" under his leadership but now needed to ""consider carefully what comes next"".Earlier, Mr Farage challenged his critics to decide whether they wanted him to stay in the party.He said he had ""massive"" support from UKIP MEPs, donors and party members to continue in the role, suggesting one person, whom he did not name, was ""agitating for change"".Addressing the prospect of a future EU referendum, Mr Carswell said: ""All of us UKIP supporters should ask one question; Is what I'm doing at this moment making an 'out' vote more likely? If it isn't, stop it and do something else.""He also criticised Mr Farage's comments about HIV patients during the TV leaders' debate last month.While debating about the NHS, Mr Farage said: ""You can come into Britain from anywhere in the world and get diagnosed with HIV and get the retro-viral drugs that cost up to £25,000 per year per patient.""Mr Carswell wrote: ""By all means we should highlight the problem of health tourism. But we need to admit that using the example of HIV patients to make the point was ill-advised.""He said the party needed to strike ""the right tone"" and added: ""UKIP has been at its most persuasive when we have been most optimistic.""Anger is never a great way to motivate people - at least not for very long.""The party has been beset by wrangling since Mr Farage agreed to stay on as leader, days after standing down after failing to get elected in Thanet South.He had pledged before the general election that he would quit the post if he failed to get elected to Parliament.Matthew Richardson has left the party, following claims from MEP Patrick O'Flynn that Mr Farage had fallen under the influence of ""inexperienced"" advisers. UKIP has also confirmed the departure of Mr Farage's chief of staff Raheem Kassam.UKIP got nearly four million votes at the election, but returned only one MP - former Conservative Mr Carswell in the Clacton constituency."
2015-05-01,Tributes as ex-Conservative MP dies,https://web.archive.org//web/20150517032831/http://www.bbc.com/news/uk-england-northamptonshire-32764540,"Tributes have been paid to former Conservative MP Sir Peter Fry who has died at the age of 83.Sir Peter, who had been ill for a year, was MP for Wellingborough and Rushden, in Northamptonshire, for 28 years from 1969 until his defeat by Labour in 1997.In government he was notable as an expert on transport issues.Current Wellingborough Conservative MP Peter Bone said Sir Peter remained ""extremely well thought of"".""When I was canvassing in the last election, people were still talking about him. They absolutely loved how he helped them and he was a highly-regarded local MP,"" Mr Bone said.""He stood up for what was right rather than what the party line was. In those days - the John Major years - it was much more difficult to stand up against the party machine. He had strong views on Europe.""Sir Peter started his career as an insurance broker, joining the Wycombe Young Conservatives in 1949 and the Oxford University Conservative Association in 1951.He went on to become a Conservative councillor on Buckinghamshire County Council between 1961 and 1967.Wellingborough mayor-elect Barry Graves also paid tribute to Sir Peter, remembering him as a ""very strong constituency MP"".""I remember going out and canvassing with him and he would go everywhere. He knew the area and the people. He was very much a man of the local constituency.""He was ""a very approachable man"", Mr Graves added.Sir Peter was knighted in 1994. "
2015-05-01,White collar jobs call by Morgan,https://web.archive.org//web/20150517032831/http://www.bbc.com/news/uk-wales-politics-32749696,"Wales desperately needs more people in white collar jobs, and Labour needs to learn how to appeal to them, according to former First Minister Rhodri Morgan.""We've always been top-sliced as a country - the head office was somewhere else while we've always had the factory or the coal mine,"" he told BBC Wales.Higher skilled employment gave Wales more spending power, Mr Morgan added.""Wales needs that as much as those those basic jobs to replace coal and steel jobs,"" he said.The nation's industrial history had left Wales with a ""very unusual economic structure"", the former Labour first minister said, with a lack of design, engineering, science and management jobs.Responding to the Conservatives' general election victory, Mr Morgan said Labour allowed the campaign to be played like a rugby match where the pattern ""exaggerates the opposition's strengths and enables them to hide their weaknesses"".Labour was made to look as if it was only interested in issues affecting the poorest in society such as food banks and the so-called bedroom tax, he added.For more on this story, see Sunday Politics Wales on BBC One Wales at 11:00 BST on Sunday, 17 May. "
2015-05-01,PM will 'look at' powers proposals,https://web.archive.org//web/20150517032831/http://www.bbc.com/news/uk-scotland-scotland-politics-32746049,"David Cameron has said he would ""look at"" any proposals for further powers for Scotland but wants to get the Smith Commission plans implemented first.The prime minister was speaking after meeting Scotland's First Minister Nicola Sturgeon in Edinburgh.Mr Cameron said he made a ""commitment"" to include a devolution bill in the Queen's Speech later this month.Ms Sturgeon argued the Smith Commission proposals were ""a good starting point"" but did not go far enough.The prime minister has pledged to include a bill on devolution in this month's Queen's Speech which would be based on the cross-party Smith Commission agreement. The Smith proposals included giving Holyrood the power to set income tax rates and bands, as well as control over a share of VAT and some welfare benefits. But Ms Sturgeon's SNP also wants the Scottish Parliament to be given powers over business taxes, employment law, the minimum wage and additional powers over welfare.Speaking after meeting Ms Sturgeon, Mr Cameron told the BBC: ""Let's make sure Smith is implemented in full. I'm going to keep the commitment I made to the people of Scotland. Let's get that done first because it does create a really strong Scottish Parliament.""He added: ""Of course, if people want to make future proposals I'll look at them.""The prime minister again said he did not support full fiscal autonomy for Scotland - the responsibility for all areas of tax and spending except defence and foreign affairs - stating that it would mean £7bn of cuts or extra tax-raising.What Nicola Sturgeon is trying to say is she has a mandate. She has 56 out of the 59 MPs elected in Scotland and she won 50% of the vote - unprecedented here in Scotland.She says that gives her leverage to push David Cameron. David Cameron says he wants to keep the nation together.The language coming out of Westminster last week was very much a cordial one. 'We will listen'.Nicola Sturgeon has warned him that if he doesn't listen, then the people of Scotland will judge him accordingly.Ms  Sturgeon described the hour-long talks at her official residence at Bute House as ""constructive and business-like"". She said Mr Cameron had made a ""commitment"" that the Smith proposals would be implemented ""as agreed"".""But secondly the prime minister agreed that he would look at proposals that we would now send to suggest the areas we can go beyond Smith,"" Ms Sturgeon said.""There was no agreement in terms of the substance of that but we will submit those proposals, the prime minister has said they will consider them and there will be a meeting to look at how we take that further forward.""Referring to her party's success in last week's general election, which saw the SNP win 56 out of 59 Scottish seats, Ms Sturgeon said: ""People in Scotland have now voted fairly convincingly for the SNP and sent a message that we want the Smith Commission proposals to go further and be built on.""The ball is in his court but I'm going into this in good faith.""She added: ""David Cameron and I are a world apart politically but, where we can, I'm determined to do business in the interests of the people of Scotland and across the UK.""She said she would have a ""constructive and business-like"" relationship with the prime minister. The two leaders shook hands on the front steps of Bute House as Mr Cameron arrived. Mr Cameron left the building shortly before 11:00, almost an hour after he had arrived.The two sides agreed to hold more regular discussions in the future, possibly quarterly. "
