date,program,link,transcript
2017-02-01,Government to set out Brexit plan,https://web.archive.org//web/20170202115814/http://www.bbc.com/news/uk-politics-38836906,"Share this withEmailFacebookMessengerMessengerTwitterPinterestWhatsAppLinkedInCopy this linkThe government's Brexit strategy will come under scrutiny when an official policy document setting out its plans is published later.The White Paper, which was promised after pressure from MPs, comes after the Commons voted to allow the PM to begin the Brexit process.MPs backed the European Union Bill by 498 votes to 114 on Wednesday night, with 47 Labour rebels voting against. The bill will now face more debate before it can become law.MPs will discuss the bill in more detail next week when it reaches the committee stage in the Commons, and Labour has vowed to force through amendments.Hundreds of amendments have already been tabled for debate between Monday and Wednesday, with objectives set out in the government's strategy expected to attract more.Shadow cabinet members Rachael Maskell and Dawn Butler quit the party's front bench shortly before Wednesday evening's vote, and in total, 13 Labour frontbenchers voted against their own party position which was to support the bill.Speaking on BBC Radio 4's Today programme, shadow chancellor John McDonnell said other parties had also been divided on the issue, with two of the Liberal Democrats' nine MPs abstaining despite orders to oppose the bill.Mr McDonnell said a decision on whether frontbench rebels could remain in their jobs would be taken ""in due course"", and that the atmosphere in his party was ""one of mutual respect"", with determination to oppose a ""reckless Brexit"".He said Labour ""may look divided"" but would unite after the government triggers official negotiations under Article 50 of the Lisbon Treaty while ""the Tory Party will split apart"".Sorry, your browser cannot display this content.Enter your postcode, or the name or constituency of your MPThe Brexit bill was published last week, after the Supreme Court decided MPs and peers must have a say before Article 50 could be triggered.It rejected the government's argument that Mrs May had sufficient powers to trigger Brexit without consulting Parliament.Iain Watson, BBC political correspondent, said a ""sizeable"" Labour rebellion could grow further if amendments were not passed.By Iain Watson, BBC political correspondentIn truth, the substance of the government's white paper will be similar to the speech the prime minister gave last month, setting out her priorities for the forthcoming negotiations with the EU.Only one Conservative MP - the former Chancellor Ken Clarke - voted against the principle of leaving the EU last night but some of his colleagues are more likely to defy their government on the detail.Labour, however, appears more divided. Three shadow cabinet members refused to support triggering Article 50 and stepped down before the vote. Jeremy Corbyn is yet to decide whether to discipline the 10 junior shadow ministers who rebelled, or indeed the three whips who were supposed to impose party discipline rather than flout it.With the possibility of two more shadow cabinet members going next week, Mr Corbyn will have to decide whether to relax his instruction not to block Brexit if Labour's amendments are defeated.The SNP, Plaid Cymru and the Liberal Democrats all opposed the government's bill, alongside Tory Ken Clarke.The SNP's foreign affairs spokesman at Westminster, Alex Salmond, said there would be ""detailed questions"" about the bill during its next stage.He said ""the calibre of the government will be judged by how they respond to the amendments"".Mr Clarke, the only Conservative MP to defy his party by voting against the bill, said the result was ""historic"", but the ""mood could change"" when the ""real action"" of negotiations with the EU starts.Mrs May has set a deadline of 31 March for invoking Article 50. Talks with the EU are expected to last up to two years, with the UK predicted to leave the 28-member organisation in 2019."
2017-02-01,"Live
Brexit vote reaction",https://web.archive.org//web/20170202115814/http://www.bbc.com/news/live/uk-politics-38794587,
2017-02-01,How did your MP vote on Brexit bill?,https://web.archive.org//web/20170202115814/http://www.bbc.com/news/uk-politics-38835101,"Share this withEmailFacebookMessengerMessengerTwitterPinterestWhatsAppLinkedInCopy this linkMPs voted by 494 to 114 to back the Brexit bill in the House of Commons after 17 hours of debate. The bill gives Theresa May the go-ahead to formally tell the EU that the UK is leaving, by triggering Article 50 of the Lisbon Treaty.Conservative and Labour MPs were under orders to back the bill, while the SNP and Lib Dems were among parties whose leaders opposed it.   Use this postcode search to see how your MP voted and then scroll down to see a full list of MPs who rebelled against their party leader or who did not vote (which may be due to illness or other factors rather than a deliberate abstention).Sorry, your browser cannot display this content.Enter your postcode, or the name or constituency of your MPThe Labour MPs to go against their party's three-line whip - the strictest instruction to vote - were:"
2017-02-01,Heathrow 'to get more domestic links',https://web.archive.org//web/20170202115814/http://www.bbc.com/news/business-38837704,"Share this withEmailFacebookMessengerMessengerTwitterPinterestWhatsAppLinkedInCopy this linkBuilding a third runway at Heathrow will allow more connecting flights with other UK airports, Transport Secretary Chris Grayling has said.He told the Commons that six regional airports could be added to the Heathrow hub network, bringing the total to 14.The new airports are thought to be Belfast, Liverpool, Newquay, Prestwick Humberside, and Durham Tees Valley.His comments came as he launched a public consultation on a new runway, unlikely to be operational until 2025. Last October, after years of delay, the government said that building a third runway at Heathrow was its preferred option for expanding airport capacity.Mr Grayling told the Commons that a third runway would generate tens of thousands of jobs, and be a major boost to the economy as Britain prepares to leave the European Union.  ""By backing the north-west runway at Heathrow airport and publishing our proposals, we are sending a clear signal that when we leave the EU, we are open for business,"" Mr Grayling said.With the government about to set out its strategy for withdrawal from the EU in a White Paper, Mr Grayling said that a third runway at Heathrow would enhance the UK's global links.""Leaving the EU is a new chapter for Britain and provides us with a great opportunity to forge a new role in the world. We are determined to seize that opportunity and having the right infrastructure in place will allow us to build a more global Britain,"" he told MPs.Alongside his announcement of a ""draft policy statement"" on Heathrow expansion, Mr Grayling also issued a consultation document on improving Britain's air space infrastructure and investing in new technology.He said it made sense to carry out the two consultations together, which will run until 25 May, with the final decisions going before Parliament late this year or early 2018.The consultations on Heathrow and air traffic facilities will involve events across the country ""because the whole country will benefit,"" Mr Grayling said. He is due in Glasgow later to expand on how travellers and freight users outside the south east England will benefit.The cost of a third runway is estimated to be £22bn, and is forecast to generate about 70,000 jobs. An additional 260,000 take-offs or landings would be permitted each year from the expanded airport, on top of the current cap of 480,000.The consultation will consider such things as pollution, additional rail and road infrastructure such a roads, and the impact on surrounding towns and villages. But there is expected to be continued significant opposition to the third runway proposal.Earlier, Liberal Democrat MP for Richmond Park and North Kingston, Sarah Olney, accused the government of being ""so desperate"" to reassure businesses about its Brexit plans that it is ""willing to steamroller over those communities opposed to Heathrow expansion"".And John Stewart, chairman of anti-Heathrow expansion group Hacan, said it was important that the government assessed the consultation ""in an even-handed way"" and rejected the plan if the expected impact on issues such as noise was found to be ""too great""."
2017-02-01,Fallon: SNP 'need to forget' indyref2,https://web.archive.org//web/20170202115814/http://www.bbc.com/news/uk-scotland-scotland-politics-38839103,"Share this withEmailFacebookMessengerMessengerTwitterPinterestWhatsAppLinkedInCopy this linkThe question of Scottish independence was settled by the referendum in 2014, Downing Street has said. It came after the UK defence secretary told BBC Scotland that the SNP should ""forget"" about holding a second referendum. But Sir Michael Fallon would not be drawn on reports he had suggested the UK government would block a vote.SNP leader Nicola Sturgeon tweeted that Sir Michael had ""seriously backpedalled"" on the issue. A spokeswoman for Prime Minister Theresa May later said that the referendum in 2014, when Scotland voted by 55% to 45% to remain in the UK, was ""legal, fair and decisive"".She added: ""We believe that this issue was settled in 2014. Recent polls don't suggest that there has been a big change in the views around a second referendum.""The Scottish first minister has said another independence referendum was increasingly likely in the wake of the Brexit vote, but she would need the UK government's permission in order to hold a second legally binding vote.Speaking to BBC Radio Scotland's Good Morning Scotland programme, Sir Michael said the SNP ""need to forget all that stuff and get on with what they were elected to do.""But he did not directly answer questions on whether or not the UK government would allow a vote. He said: ""We don't see the need for a referendum - this is a diversion. ""What the Scottish government should be focusing on is what it was elected to do, which is to improve schools standards, get to grips with the problems in Scottish hospitals and reverse the serious rise in unemployment.""The minister urged the SNP to focus on their ""day job"" and ""not get into the theology of whether or not a second referendum should be held"".The Herald newspaper said it had asked Sir Michael whether the UK government would facilitate a referendum during the lifetime of this parliament.It quoted the Conservative politician as replying: ""No, forget it. The respect agenda is two way.""She [Ms Sturgeon] is constantly asking us to respect the SNP government, but she has to respect the decision of the Scotland to stay inside the UK in 2014 and the decision of the UK to leave the EU.""Respect works both ways."" Sir Michael was speaking ahead of a visit to Midlothian engineering firm MacTaggart Scott designs, at which he said the Treasury had approved the initial business case for a training school for naval crews working on the UK's nuclear submarines.The submarine school would be built at the Faslane naval base on the Clyde, which will be home to all 11 Royal Navy submarines from 2020 in a move which will see the number of people employed there rise from 6,800 to 8,200.Scottish Conservative leader Ruth Davidson opposes a second referendum being held - but said last year that she did not believe the UK government should block one. Ms Sturgeon tweeted that there had been ""serious backpedalling from Michael Fallon on GMS on blocking #indyref2. Must have realised what a disastrous move it would be for Tories.""She later told Holyrood: ""If this parliament voted to have a referendum on independence, then absolutely I agree that no Westminster Tory should stand in the way of the voice of this parliament.""The mandate of this government in relation to this is unequivocal - it was the Tories after all who put us in the position of being taken out of the European Union against our will, and with the support of only one of the 59 MPs in this country.""Strange is it not that a Tory party that proclaims that it would be so confident of winning a referendum on independence now talks about trying to block it. ""Isn't it the case that the Tories are actually running a wee bit feart?"" "
2017-02-01,SNP and Greens strike Scots budget deal,https://web.archive.org//web/20170202115814/http://www.bbc.com/news/uk-scotland-scotland-politics-38828873,"Share this withEmailFacebookMessengerMessengerTwitterPinterestWhatsAppLinkedInCopy this linkThe Scottish budget has been voted through the first stage of the legislative process after a deal between the SNP and Greens.MSPs backed Finance Secretary Derek Mackay's tax and spending plans by a margin of 67 to 59.A deal was struck with the Greens totalling £220m of extra spending, including £160m for local authorities.The deal will also see the threshold for the 40p rate of income tax frozen at £43,000.The same threshold is being raised to £45,000 in the rest of the UK, so the move means higher-rate tax payers elsewhere will pay up to £400 less tax every year than people earning the same wage in Scotland. The Scottish government had originally planned to raise the threshold only by the rate of inflation.Green co-convener Patrick Harvie told MSPs that his party had secured ""the biggest budget compromise in the history of devolution in Scotland"".Speaking at First Minister's Questions, Nicola Sturgeon said her priority was not to cut taxes for the top 10% earning Scottish taxpayers.But Scottish Conservative leader Ruth Davidson accused Ms Sturgeon of setting out to make Scotland the highest taxed part of the UK.Previous votes on the budget proposals and on taxation had failed to find any consensus between the parties.However Mr Mackay confirmed on Thursday morning that a deal had been struck with the Greens, centred around £160m of extra funding for the core council grant.It will also see £25m extra for the police reform budget and £35m for Scottish Enterprise, and a freezing of the higher 40p rate of tax at £43,000. The threshold for this rate in the rest of the UK is to rise to £45,000.Mr Mackay said this would only affect 10% of the population, who would end up paying more tax than people earning the same amount in the rest of the UK. He said the ""income forgone amounts to £7.70 a week - less than the cost of a prescription in England"".356,00Approximate total number13%Working population£43,000 Start of 40p tax rate (2016/ 17) £43,430 Start of 40p tax rate (2017/18) £7.70 Value of inflation rise per week Mr Mackay said: ""I entered into discussions with all parties in good faith in order to build the consensus we need to deliver a budget for Scotland. I particularly welcome the constructive approach taken by the Scottish Greens.""My latest assessment of the financial position this year and our projections for 2017/18 has enabled me to identify available resources to support additional spending. ""I therefore propose, with the support of the Scottish Green party for all stages of this budget to allocate additional resources, of £160m, to local government to be spent at the discretion of individual authorities.""Once again this government has listened and acted.""Challenged about the deal by Labour's Kezia Dugdale, Mr Harvie said he believed the Scottish government had ""given far less ground than I think they could on taxation"".But he added: ""The reality though is £160m additional [funding] going into the un-ringfenced local government allocation.""The fact that the Scottish government found this money in other ways [than taxation] is not what I would have wished.""This is not a budget I would have written, but nobody who cares about protecting public services in Scotland can look at that extra £160m investment and say, no thanks, I'd rather just keep ranting and make no difference in people's lives.""Mr Harvie was attacked by other opposition leaders from across the chamber.Ms Dugdale said:  ""To accept anything less than bold use of this parliament's tax powers is an astonishing and deeply disappointing revelation from the Greens.""And let's not kid ourselves. This isn't the Greens' responsibility to parliament shining through, it's the responsibility they have put on themselves to do nothing which might jeopardise the prospect of another divisive independence referendum.""This is the truth - nationalism first, austerity second, and somewhere down the list of credentials you might just find the environment.""Ms Dugdale said this be remembered as the day the Greens ""abandoned any claim to be a party of the progressive left"".Tory MSP Murdo Fraser meanwhile accused the SNP front bench of ""swallowing hook, line and sinker the Green Party's hard-left, high-tax agenda"".He said: ""They have let Patrick Harvie pull all the strings and it will be hard working Scottish families that suffer as a consequence.""The finance secretary had a choice going into today's debate. He could have come with us, drop his plans to make Scotland the highest taxed part of the United Kingdom and work together with us to deliver an ambitious Budget focused on growing the economy.""Or he could turn sharp left and embrace the anti-growth, anti-business agenda of the Green Party. What a pity, what a tragedy for Scotland that he chose to throw in his lot with the lentil-munching, sandal-wearing watermelons on that side of the chamber.""The Lib Dems had asked for up to £400m in spending commitments for mental health, education, policing and transport, but later indicated that ""the distance is too great"" between the parties.The party's leader, Willie Rennie, said the Greens had abandoned earlier pledges about a ""greener, bolder"" Holyrood and were now backing a ""timorous and grey deal"".He said the SNP had ""turned down an opportunity"" to do a deal with the Lib Dems, which he said would have seen millions invested in education and mental health.He said: ""All of that has been turned down today in pursuit of an agenda that was contrary to what they promised that they would deliver.""So I think the SNP have missed a big opportunity. I think they are hollow with their promises and we will cast a harsher eye over them in future years when they promise to make a big change to Scottish society.""With the general principles of the bill now approved by members, it will move on to be debated at committee level.Stage three would see separate votes on tax and spending proposals in the chamber in the week beginning 20 February. Mr Mackay confirmed a deal had been agreed for ""all stages""."
2017-02-01,University applications show 5% fall,https://web.archive.org//web/20170202115814/http://www.bbc.com/news/education-38827189,"Share this withEmailFacebookMessengerMessengerTwitterPinterestWhatsAppLinkedInCopy this linkUniversity applications have fallen by 5% - with the decline driven by a drop in European Union students and a sharp fall in nursing applications.Fees in England are rising again, and it is the first fall in UK applications since fees were last increased in 2012.The Royal College of Nursing blamed the 23% drop in nursing applications on the removal of bursaries.Universities Minister Jo Johnson said that despite the overall drop, more 18-year-olds were applying to university.These Ucas admissions figures, up to the January deadline for courses starting in the autumn, show a 5% drop in UK students and 7% drop in students from the European Union - with a total of about 564,000.Universities have been warning about the impact of Brexit on their finances if European applications fall and these figures show a significant decline in candidates from the EU.There has also been a decline in UK students applying - and like the two previous occasions when applications have fallen - this has been when fees are being increased.The fall in applications in England of 6% has been three times greater than in Scotland at 2%, which remains without tuition fees.Applications from Wales fell most, by 7%, and Northern Ireland by 5%.Nursing had the biggest fall of any individual subject, and Janet Davies, general secretary of the Royal College of Nursing, blamed this on the switch from grants to fees and loans.""We warned the government the removal of student funding would see a sharp drop in nursing applications. These figures confirm our worst fears,"" said Ms Davies.She said the ""nursing workforce is in crisis"".But there were drops across other subjects - particularly among older students not applying directly from school.Among 19-year-olds, numbers were down 9%. And among 25-year-olds, applications were down 23%.But among 18-year-olds, such as sixth-formers applying from school, numbers have continued to rise to record levels, up to 37% of the age group.And there could be an upside for those who are seeking places - with universities likely to be competing to attract students.Ucas chief Mary Curnock Cook said this ""tough recruitment environment for universities"" would mean ""unprecedented choice and opportunity for applicants"".Sorana Vieru, vice-president of the National Union of Students, said the fall in applicants was ""disappointing, but not a surprise"". ""Uncertainty around increases in tuition fees, loss of maintenance grants and the rising costs of living and studying at university are too much of a risk to some potential students,"" she said.Labour's shadow universities minister, Gordon Marsden, said: ""We warned the government at Christmas their sneaked-out tuition fee increases and the accompanying increased debts would have damaging impacts on students and their numbers.""Universities Minister Jo Johnson said: ""More young people than ever are choosing to go to university, with record application rates for 18-year-olds this year as well as those from disadvantaged backgrounds."""
2017-02-01,"Newsbeat
Anti-Brexit MP rewrites Trainspotting rant",https://web.archive.org//web/20170202115814/http://www.bbc.com/newsbeat/articles/38839996,"Share this withEmailFacebookMessengerMessengerTwitterPinterestWhatsAppLinkedInCopy this linkUniversity applications have fallen by 5% - with the decline driven by a drop in European Union students and a sharp fall in nursing applications.Fees in England are rising again, and it is the first fall in UK applications since fees were last increased in 2012.The Royal College of Nursing blamed the 23% drop in nursing applications on the removal of bursaries.Universities Minister Jo Johnson said that despite the overall drop, more 18-year-olds were applying to university.These Ucas admissions figures, up to the January deadline for courses starting in the autumn, show a 5% drop in UK students and 7% drop in students from the European Union - with a total of about 564,000.Universities have been warning about the impact of Brexit on their finances if European applications fall and these figures show a significant decline in candidates from the EU.There has also been a decline in UK students applying - and like the two previous occasions when applications have fallen - this has been when fees are being increased.The fall in applications in England of 6% has been three times greater than in Scotland at 2%, which remains without tuition fees.Applications from Wales fell most, by 7%, and Northern Ireland by 5%.Nursing had the biggest fall of any individual subject, and Janet Davies, general secretary of the Royal College of Nursing, blamed this on the switch from grants to fees and loans.""We warned the government the removal of student funding would see a sharp drop in nursing applications. These figures confirm our worst fears,"" said Ms Davies.She said the ""nursing workforce is in crisis"".But there were drops across other subjects - particularly among older students not applying directly from school.Among 19-year-olds, numbers were down 9%. And among 25-year-olds, applications were down 23%.But among 18-year-olds, such as sixth-formers applying from school, numbers have continued to rise to record levels, up to 37% of the age group.And there could be an upside for those who are seeking places - with universities likely to be competing to attract students.Ucas chief Mary Curnock Cook said this ""tough recruitment environment for universities"" would mean ""unprecedented choice and opportunity for applicants"".Sorana Vieru, vice-president of the National Union of Students, said the fall in applicants was ""disappointing, but not a surprise"". ""Uncertainty around increases in tuition fees, loss of maintenance grants and the rising costs of living and studying at university are too much of a risk to some potential students,"" she said.Labour's shadow universities minister, Gordon Marsden, said: ""We warned the government at Christmas their sneaked-out tuition fee increases and the accompanying increased debts would have damaging impacts on students and their numbers.""Universities Minister Jo Johnson said: ""More young people than ever are choosing to go to university, with record application rates for 18-year-olds this year as well as those from disadvantaged backgrounds."""
2017-02-01,PM: I won't chase headlines over Trump,https://web.archive.org//web/20170202115814/http://www.bbc.com/news/uk-politics-38828383,"Share this withEmailFacebookMessengerMessengerTwitterPinterestWhatsAppLinkedInCopy this linkThe government will not ""chase the headlines"" over Donald Trump's controversial travel ban, Theresa May has told MPs.The prime minister defended her response to the US president's executive order banning people from seven mainly Muslim countries.Labour's Jeremy Corbyn asked ""just what President Trump has to do"" for his UK state invitation to be withdrawn.The PM accused Labour of insulting the UK's most important ally.""The job of government is not to chase the headlines,"" she said during Prime Minister's Questions, later adding of Mr Corbyn: ""He can lead a protest, I am leading a country.""Mr Corbyn attacked Mrs May over her response to the US immigration crackdown, which includes halting the country's entire refugee programme for 120 days and has sparked protests around the world.The PM had said she was not afraid to speak frankly to the president, he said, adding: ""What happened?""Mrs May said the migration policy was ""divisive and wrong"" and not something her government would consider, adding that the UK had a ""proud history"" of standing up for refugees.Mr Corbyn also demanded to know whether President Trump had told her about his plans during her visit to Washington and if she had tried to persuade him to change course.The PM said she had no advance notice of the executive order or how British nationals would be affected.She added that ""we all"" knew there would be ""travel restrictions"", because ""President Trump said he was going to do this in his election campaign"".Former UKIP leader Nigel Farage defended the US president in a speech in the European Parliament, accusing EU leaders who criticised the migration crackdown of ""anti-Americanism"".""Trump is motivated by protecting the United States of America from Islamic terrorism,"" he said.""I'm sure it's a great shock to you to see that a genuinely elected democrat is doing what he was put in to do."""
2017-02-01,Brexit talks to be on 'humongous scale',https://web.archive.org//web/20170202115814/http://www.bbc.com/news/uk-politics-38825830,"Share this withEmailFacebookMessengerMessengerTwitterPinterestWhatsAppLinkedInCopy this linkBrexit talks will be on a ""humongous scale"" involving ""difficult trade-offs"", the UK's ex-EU ambassador says.Sir Ivan Rogers predicted much of the talks would be ""conducted very publicly"" with ""name-calling"" and an ""extremely feisty atmosphere"".He added that EU Commission chiefs were saying the UK should pay 40-60bn euros to leave and thought a trade deal could take until the mid-2020s to agree.Sir Ivan, who had been due to leave his post in October, resigned last month.In December he attracted criticism from some MPs when his warning to ministers that the European consensus was that a deal might not be done until the early to mid-2020s was revealed by the BBC.Giving evidence to the Commons European Scrutiny Committee, he said this had come from a briefing he had written for Prime Minister Theresa May in October, based on the views of key figures in the EU and the remaining member states.He said he did not know how it became public.The government says it can conclude all separation negotiations, including a new free trade deal, within two years, having given notice of the UK's departure from the EU by the end of March.Asked about the anticipated timescale, Sir Ivan said a comprehensive free trade agreement such as the one Mrs May was seeking would be the most comprehensive ever negotiated by the EU, and previous agreements have taken ""an awful lot of time"".He said he believed an agreement with the UK could be concluded more quickly, but said the Brexit negotiation would be ""unprecedentedly large"" covering ""huge tracts of Whitehall"".""It's a negotiation on the scale that we haven't experienced ever, certainly not since the Second World War.""Sir Ivan said there was a ""big financial debate coming up"" about the amount to which the UK should be expected to pay as it leaves the EU.EU commission chief negotiator Michel Barnier and other key figures were ""openly"" saying the UK's total financial liabilities would be in the order of 40 to 60bn euros, Sir Ivan said, describing this as a ""predictably hard line"".From the EU's point of view, UK withdrawal will ""explode a bomb"" under its seven-year budget, he said.Sir Ivan told MPs the 27 remaining EU states would spend ""an awful lot of time debating with each other"" before negotiating with the UK, agreeing a common position.Asked how confidential the negotiations would be, he said: ""I think an awful lot will leak, Brussels is very leaky...stuff will get out, and incessantly in my view.""He added: ""Expect an awful lot of this negotiation to be conducted very publicly.""Sir Ivan said that after a ""phoney war period"" talks ""usually end up in a fairly mercantilist fist-fight"" before finally resolving themselves in a deal of some sort.A determination on both sides to make progress would be crucial, he said.""That involves generating a momentum and generating an atmosphere so that even when we get into name-calling and an extremely feisty atmosphere - and we undoubtedly will in both exit negotiations and future trade and economic negotiations - there is still an atmosphere to proceed and finalise agreement.""He said there was ""no doubt"" the UK would be able to negotiate free trade deals more quickly than the EU once it leaves, but said it may not have the same ""negotiating heft"".Sir Ivan has been replaced by Sir Tim Barrow, a former UK ambassador to Russia.Giving evidence to a separate Commons committee, International Trade Secretary Liam Fox said the suggestion the UK could face a bill upon leaving the EU was ""absurd"".""I find it bizarre because the UK is using a legal power that we have under the Lisbon Treaty, a provision that was freely entered into by all our European partners,"" he said.""Why should they then turn round to say that we should pay their costs for a process that everybody equally entered into at the time? So it seems to me an absurd argument."""
