date,program,link,transcript
2018-02-01,May to fight post-Brexit residency move,https://web.archive.org//web/20180201161020/http://www.bbc.com/news/uk-politics-42896996,"Share this withEmailFacebookMessengerMessengerTwitterPinterestWhatsAppLinkedInCopy this linkThese are external links and will open in a new windowTheresa May has indicated she will fight a proposal to give residency rights to EU citizens during the transition period after Brexit.She said there had to be a ""difference"" between those arriving after the UK leaves and those who came before.She also sought to reassure Tory MPs worried about the length of transition. Meanwhile, government analysis has emerged suggesting the cost of cutting EU migration would be much greater than the benefits of a US trade deal.BuzzFeed News has claimed government studies on the economic impact of Brexit say reducing migration from the bloc into the UK would nullify the benefits of any trade deal struck with Washington.Ministers agreed on Wednesday to let MPs see another leak from the same impact analysis which suggests the economy would be worse off as a result of a number of possible Brexit scenarios.In response to the fresh leak, a government spokesperson said the UK would forge new and ambitious trade deals but remain an ""open and tolerant country"" while ensuring there is control of migrants.Earlier this week, the EU set out what it was prepared to offer the UK, saying it expected the transition to last from the day of the UK's departure on 29 March 2019 to 31 December 2020.But reports that it could be extended have dismayed some Brexit-supporting MPs. Speaking during her trade trip to China, Mrs May insisted such an ""implementation period"" would last about two years.""We are not talking about something that is going to go on and on...We're leaving the European Union. There is an adjustment period for businesses - and indeed government - for changes that need to be made,"" she said.By Laura Kuenssberg, political editorInternational Trade Secretary Liam Fox is in China and wants his restive colleagues at home to focus on the big picture. Listing the number of deals that have been done already this week during the prime minister's visit he told me that building levels of trade with China is a real ""success story"". No 10 is confident that by the end of this marathon trip well over £9bn of new contracts will have been secured - such a high profile political investment edging deals over the line. Dr Fox accepts it will take some to get trade deals done in the longer term. The UK will be limited not just before Brexit, but also during the transition period, in how much can get done. Read more from LauraIn December, the two sides agreed a deal setting out the rights of EU citizens in the UK and British expats on the continent.All EU nationals who have been in the UK for more than five years will be expected to be granted settled status, giving them indefinite leave to remain with the same access to public services as now.Those who have been resident for a shorter period but who arrived before Brexit will be able to stay until they reach the five-year threshold. At the time, Downing Street said it envisaged anyone arriving after Brexit being able to continue to live, work and study in the UK but that they would need to register and the immigration details would have to be agreed as part of the wider transition negotiations.The EU has since said it expects existing rules on freedom of movement - including the path to permanent residency - to apply in full until the end of the transition phase.Mrs May, who is on the second day of a three-day trade trip to China, said she would contest the issue of long-term residency rights when transition negotiations begin in earnest next month. ""When we agreed the citizens' rights deal in December we did so on the basis that people who had come to the UK when we were a member of the EU had set up certain expectations,"" she said.""It was right that we have made an agreement that ensured they could continue their life in the way they had wanted to - now for those who come after March 2019 that will be different because they will be coming to a UK that they know will be outside the EU.""""I'm clear there is a difference between those people who came prior to us leaving and those who will come when they know the UK is no longer a member.""The BBC's political editor Laura Kuenssberg, who is travelling with the prime minister, said Mrs May was showing she was willing to push back against the EU amid discontent on the Conservative benches.Labour MP Peter Kyle said anything that caused uncertainty for EU workers in the UK was bad for business.""EU citizens who come here to work and make an enormous contribution to our country, including in our public services and our NHS, should be welcomed and valued rather than turned away,"" he said.In another development, the government's flagship EU (Withdrawal Bill) cleared its first hurdle in the House of Lords as it passed its second reading and former Labour minister Lord Adonis withdrew an amendment calling for a referendum on the final deal. "
2018-02-01,"End obsession with Europe, Fox urges",https://web.archive.org//web/20180201161020/http://www.bbc.com/news/uk-politics-42890890,"Share this withEmailFacebookMessengerMessengerTwitterPinterestWhatsAppLinkedInCopy this linkThese are external links and will open in a new windowLiam Fox has called for an end to the ""obsession with Europe"" in economic matters, saying the focus should be on ""growing markets"" around the world.The international trade secretary said because the proportion of the UK's exports that go to the EU was falling, ""we've got to be focussing on the growing bits of the global economy"".He was speaking to the BBC during a visit to China alongside Theresa May.Mr Fox also defended Mrs May from the recent criticism she has faced.The prime minister has come under pressure from Eurosceptics worried about concessions in the Brexit talks, while other MPs have called for more direction on domestic policies.Speaking to BBC political editor Laura Kuenssberg, Mr Fox praised the prime minister's ""vision"" and said he wished people saw her the way she was perceived around the world, rather than by ""internal tea room discussions in the UK"".As International Trade Secretary, Mr Fox is responsible for striking international trade deals that will come into force when the UK leaves the EU.He said the UK would be able to ""roll over"" 40 existing trade deals it is part of as an EU member, as well as reaching its own arrangements with the likes of the United States, India and China.China, Mr Fox said, was a ""real success story"" for the UK, with exports rising by 25% in the past year.""All of this adds up to a much improved trading performance,"" he said.And while the UK wants an ""open and liberal partnership"" with the EU, he added: ""We've got to get away from our obsession with Europe in terms of its relation to the global economy - according to the IMF - in fact according to the European Commission - 90% of global growth in the next 10 to 15 years will be outside the European continent, clearly that's where we have to focus our attention."""
2018-02-01,'Hi I'm Matt Hancock - here's my app',https://web.archive.org//web/20180201161020/http://www.bbc.com/news/uk-politics-42902684,"Share this withEmailFacebookMessengerMessengerTwitterPinterestWhatsAppLinkedInCopy this linkThese are external links and will open in a new windowNew culture secretary Matt Hancock has become the first MP to launch his own smartphone app. The app features picture galleries and videos of the West Suffolk MP and updates on his activities.It also allows users to sign up as friends and chat with other fans of the Matt Hancock app.First-time users are greeted with a cheery video of Mr Hancock saying: ""Hi I'm Matt Hancock and welcome to my app.""He goes on: ""It's a chance to find out what's going on both in my role as MP for West Suffolk and as culture secretary, and most importantly it's a chance for you to tell me what you think, and to engage with others on issues that matter to you.""Some Apple smartphone users fear their privacy has been compromised after responding to an on-screen prompt asking for access to their photo library. The app then appears to gain access to the photo library whether the user denies access or not.Matt Hancock’s social networking app has a pretty major privacy flaw. https://t.co/EcDiMGYssM pic.twitter.com/TamdFojC0TEnd of Twitter post  by @mikeysmithHere's our test of the Matt Hancock app - I denied the app access to my photos, but it posted a picture anyway. pic.twitter.com/GdjbIj0CkuEnd of Twitter post  by @tomb8manOthers expressed concern about the new app's privacy policy and whether it complied with the Data Protection Act.A spokesman for the Information Commissioner's Office said: ""We are checking reports about the operation of this app and have seen other similar examples of such concerns in apps as they are developed.""The government's data watchdog, which Mr Hancock oversees, stressed the importance of app designers ""ensuring privacy is at the forefront of their design"" and highlighted its guidance on privacy in mobile apps.Mr Hancock denied the app has a bug or a security breach, saying it had been certified by Apple and ""uses standard Apple technology, for example iOS photopicker technology for access to the camera"". In a statement, the culture secretary claimed his personal app was better than using social media because it allowed ""complete editorial control"", user privacy and community moderation.It also allowed him to ""quickly assess which members are asking what, when and how often, and respond to the issues the community is most engaged with"".""I'm delighted to have the chance to use this to build a safe, open and accessible online community for my West Suffolk constituents and to engage with the issues that matter to them,"" he added.Mr Hancock, the former digital minster, was promoted to culture secretary in Theresa May's recent cabinet reshuffle.He has spoken about the dangers of ""fake news"" and urged social media companies like Twitter and Facebook to be more responsible or face legislation.Here's a sample of reaction on Twitter to Mr Hancock's pioneering app:.It's like having an actual Matt Hancock in the palm of your hand! pic.twitter.com/sAxmAbDBcuEnd of Twitter post  by @RobDotHuttonTwitter has become a cesspit for politics so I’m transferring my online presence to the new Matt Hancock app in the coming days. Stick it on your home screen and join me there:https://t.co/xrQCtijT80 pic.twitter.com/GW5rEnNdd4End of Twitter post  by @jimwatersonI actually met my girlfriend on the Matt Hancock app but we tell people we met at a bar pic.twitter.com/aTssSNuCyGEnd of Twitter post  by @robfuller91"
2018-02-01,May hails 'first step' to China trade deal,https://web.archive.org//web/20180201161020/http://www.bbc.com/news/uk-politics-42897705,"Share this withEmailFacebookMessengerMessengerTwitterPinterestWhatsAppLinkedInCopy this linkThese are external links and will open in a new windowTheresa May is to meet President Xi Jinping for talks later on the second day of her visit to China. The agenda is expected to cover trade and security issues, including North Korea's nuclear programme.The PM is in China at the head of a 50-strong business delegation.She will also raise environmental concerns - and present Mr Xi with a box-set of the BBC's Blue Planet II series, with a personal message from presenter Sir David Attenborough. The show examined the effect of human behaviour on the environment and was referenced by Mrs May last month when she pledged to eradicate all avoidable plastic waste in the UK by 2042 as part of a 25-year green strategy.On the first day of her trip the prime minister announced a UK-China effort to strengthen international action against the illegal trade in ivory.She also said Mr Xi's initiative to establish overland transport links between China and Europe would be discussed at their meeting.In Beijing on Wednesday, the prime minister and Chinese Premier Li Keqiang agreed on a new trade and investment review, which is seen as a stepping stone to a full free trade agreement after Brexit.Mr Li said China would further open up its markets to the UK, including to agricultural products and financial services.UK-China trade is currently worth a £59bn a year and Mrs May has said she expects deals worth a further £9bn to be signed during the course of her visit.One of the UK companies travelling with the PM, health-tech firm Medopad, has said it signed more than £100m of commercial projects and partnerships with organisations including China Resources, GSK China, Peking University and Lenovo.BBC political editor Laura Kuenssberg said the prime minister would want to build on the warm words from China when she meets Mr Xi, amid pressure on her from her own party and Brussels in recent days.Earlier this week, the EU set out what it was prepared to offer the UK in the Brexit transition period.Speaking in China, Mrs May sought to reassure Tory MPs worried about the length of transition, saying it would last about two years and was not ""something that is going to go on and on"".She also indicated she would be fighting an EU proposal to give its citizens moving to the UK during the transition period after Brexit residency rights.In a separate development, BuzzFeed News has claimed government studies on the economic impact of Brexit suggest that reducing migration from the bloc into the UK would nullify the benefits of any trade deal struck with the US.Ministers agreed on Wednesday to let MPs see another leak from the same impact analysis which suggest the economy would be worse off as a result of a number of possible Brexit scenarios.Meanwhile, the government's flagship EU (Withdrawal Bill) has cleared its first hurdle in the House of Lords as it passed its second reading and former Labour minister Lords Adonis withdrew an amendment calling for a referendum on the final deal. By Laura Kuenssberg, political editorInternational Trade Secretary Liam Fox is in China and wants his restive colleagues at home to focus on the big picture. Listing the number of deals that have been done already this week during the prime minister's visit he told me that building levels of trade with China is a real ""success story"". No 10 is confident that by the end of this marathon trip well over £9bn of new contracts will have been secured - such a high profile political investment edging deals over the line. Dr Fox accepts it will take some to get trade deals done in the longer term. The UK will be limited not just before Brexit, but also during the transition period, in how much can get done. Read more from Laura"
2018-02-01,PM rejects lord's lateness resignation,https://web.archive.org//web/20180201161020/http://www.bbc.com/news/uk-politics-42897401,"Share this withEmailFacebookMessengerMessengerTwitterPinterestWhatsAppLinkedInCopy this linkThese are external links and will open in a new windowThe prime minister has refused to accept the resignation of a lord who offered to leave his post after being late to the chamber.Lord Bates stunned colleagues in the House of Lords by stating his intention to resign after the ""discourtesy"" of arriving late to a session.A spokesman for Number 10 said the resignation was ""unnecessary"" and he had decided to continue in his role.Lord Bates could not immediately be contacted for comment.The international development minister and former Conservative MP arrived towards the end of a half-hour oral questions session which began at 15:00 GMT.A spokesman for the prime minister said: ""With typical sincerity, Lord Bates today offered to tender his resignation, but his resignation was refused as it was judged this was unnecessary.""As a hard-working and diligent minister, it is typical of his approach that he takes his responsibilities to Parliament so seriously. ""He has received support from across the House and we are pleased he has decided to continue in his important roles at the Department for International Development and HM Treasury.""Lord Bates described himself as ""ashamed"" to not be in his place to answer a question from Labour's Baroness Lister.""It's been my privilege to answer questions from this despatch box on behalf of the government,"" he told peers. ""I've always believed we should rise to the highest possible standards of courtesy and respect in responding on behalf of the government to the legitimate questions of the legislature. ""I'm thoroughly ashamed of not being in my place and therefore I shall be offering my resignation to the prime minister with immediate effect."" He then walked out of the chamber despite colleagues urging him to stay."
2018-02-01,Scots minister 'will publish EU analysis',https://web.archive.org//web/20180201161020/http://www.bbc.com/news/uk-scotland-scotland-politics-42889904,"Share this withEmailFacebookMessengerMessengerTwitterPinterestWhatsAppLinkedInCopy this linkThese are external links and will open in a new windowThe Scottish government has said it will publish the UK government's controversial Brexit briefing paper if it is given it. The document, which was leaked to Buzzfeed earlier this week, predicts that Brexit will hit the UK economy.The UK government said releasing the analysis to the public could damage its negotiations with the EU.But Scotland's Brexit secretary, Michael Russell, said the public had a right to know.Downing Street announced on Wednesday that MPs and peers would be able to see the report on a confidential basis, after initially refusing to do so.UK government had also made it clear that the document would be shared with the devolved administrations - but that it would need to be ""handled with appropriate confidentially"".However, in a letter to his UK government counterpart, David Davis, Mr Russell said the Scottish government would release the information to the public even if it is asked not to do so.Mr Russell argued that people ""have a right to know the impact on jobs and living standards of the UK government's decision to pursue the UK's exit from the EU"".He added: ""Further, this is not our analysis and we do not see it as our responsibility to make arrangements on confidential handling.""I want to be clear that if you send the analysis to us we will make it public"".The UK government said it had not yet received Mr Russell's letter, so could not comment directly on it. But Brexit minister Robin Walker told the Commons on Wednesday that it was ""for the devolved administrations to ensure that such documents are handled with appropriate confidentiality"".He also said the UK government had ""no objection in principle to their being shared with members of the devolved legislatures on the same basis of confidentiality"". The leaked study suggests that in three different scenarios the UK economy would grow more slowly than it would if it stayed in the European Union.The government has argued that the document is incomplete, and that immediate publication could damage UK negotiations with the EU.Theresa May initially told reporters en route to China, where she is on a trade mission, that making the analysis public before it was fully completed would be ""wrong"".But with the government facing potential defeat in the vote on Wednesday afternoon, Mr Walker told MPs a copy of the report would be given to Hilary Benn, the Labour chairman of the Commons Brexit committee.He added: ""A confidential reading room can be provided for other MPs and peers a copy of this analysis to view the material on a confidential basis. This will happen only when arrangements can be made.""Mr Russell's letter was published ahead of new UK Cabinet Office minister David Lidington arriving in Edinburgh for talks with Scottish government ministers about Brexit. Mr Russell and Deputy First Minister John Swinney set out their concerns over devolved powers and Brexit legislation, but described the talks as being ""very frustrating"" as Mr Lidington ""arrived and left without putting words on the table to allow for a meaningful discussion"".Mr Russell said: ""The UK government has rejected Scottish and Welsh government amendments that would protect devolution but, despite its previous commitment, has failed to bring forward any solution of its own.""Despite many meetings, once again the UK ministers arrived and left without putting words on the table to allow for a meaningful discussion.""So we are still in the position that the Scottish government cannot and will not recommend that the bill should receive legislative consent.""Mr Lidington insisted the talks had been ""useful"", adding: ""There are issues that still need to be resolved on the Withdrawal Bill but I remain optimistic that we can find a way forward.""There are areas that we agree on. We both want all parts of the UK to be ready for the day that we leave the EU.""The UK government and the devolved administrations are at loggerheads over what happens to powers currently not reserved to Westminster, but which are currently exercised from Brussels, when the UK leaves the EU.The current proposals in the EU Withdrawal Bill would see all powers return to London before some are fully devolved and others are integrated into UK-wide frameworks, but the Edinburgh and Cardiff administrations term this a ""power grab"" - phrasing Mr Lidington rejected on Thursday.UK ministers had pledged to amend the legislation to assuage these concerns, but ran out of time to do so while the bill was under consideration in the Commons. They now say it will be amended in the Lords, but the devolved administrations have started work on their own stop-gap legislation in preparation for a scenario where consent for the Withdrawal Bill is withheld.Mr Lidington is taking on the role of Damian Green, his predecessor as Cabinet Office minister who led for the UK government in negotiations with the devolved administrations. He was visiting Cardiff and Edinburgh in this role for the first time on Thursday."
2018-02-01,MPs vote to leave Parliament during refit,https://web.archive.org//web/20180201161020/http://www.bbc.com/news/uk-politics-42891608,"Share this withEmailFacebookMessengerMessengerTwitterPinterestWhatsAppLinkedInCopy this linkThese are external links and will open in a new windowMPs have voted to leave the Palace of Westminster while a proposed multi-billion pound refurbishment of the historic building takes place.The Commons approved a motion calling for a ""full and timely decant"", designed to allow essential repairs, by 236 votes to 220.The planned move, part of a proposed £5.6bn modernisation, will not take effect until 2025 at the earliest. Commons leader Andrea Leadsom said the era of ""patch and mend"" had to end.The Lords will vote on the future of the iconic building next week. Although the government has said the decision is a matter for Parliament, Ms Leadsom said the iconic building faced ""critical risks"", with 60 episodes in recent years which could have led to a serious fire.While any full-scale restoration programme would be likely to see MPs and peers leave for a ""significant"" amount of time, she said the Palace of Westminster ""will always remain the home of Parliament"" and this would be guaranteed in future legislation. While Parliament needed to get on with the matter, she said the business planning must be rigorous to ensure value for money for the taxpayer.During a three hour debate on the issue, several MPs argued that Parliament risked becoming a safety risk for all those who worked in it and urgent action was needed.As well as the threat of fire, the building is seen as vulnerable because of its antiquated sewerage system and areas of the palace, which was largely rebuilt in the 19th Century after it burnt down, are riddled with asbestos.A review by accountants Deloitte in 2014 estimated that a full decant would cost between £3.5bn and £3.9bn, a partial decant between £3.9bn and £4.4bn and a rolling programme of works, with Commons and Lords chambers being ""vacated and then re-occupied"" and lead to longer recesses, up to £5.67bn. The motion passed authorises MPs to approve essential repairs but agree to review the ""need for comprehensive works"" before the next election, which is due in 2022.In 2016, the Joint Committee on the Palace of Westminster warned that the decision on how to refurbish Parliament could not be delayed any further and backed a ""full and timely decant"" to Richmond House, a nearby building in Whitehall currently used by the Department of Health. Backing this option. Labour's Chris Bryant said for MPs to want to stay in the building while extensive building work was taking place was ""bonkers"" and they had a duty to preserve Parliament for the next 100 to 200 years. ""I say to colleagues, it is really time we got a grip of the situation and voted for something which might be inconvenient for us but is in the long-term interests of the nation,"" he told Sky News.But Conservative MP Jacob Rees-Mogg said he could no longer support the plan because the measurements had changed and the bulk of Richmond House would have to be demolished to make way for a replica chamber in its courtyard, considerably increasing the cost of the project.DUP MP Ian Paisley said there was ""no cheap option"" and anyone who believed this was ""deluded"".""There is necessary work that needs to be done and necessary money that needs to be spent,"" he said.Labour's Stephen Pound said it was vital that parliamentarians kept a ""footprint"" in the historic building, insisting ""we cannot lose this, we have fought too hard for this"". But the SNP's Pete Wishart said the estimates for the various options were ""eye-watering"" and he would not be surprised if the entire project ended costing between £10bn and £12bn.In a time of ""austerity and belt-tightening"", he said he suspected refurbishing MPs' place of work would be ""near the bottom or at the bottom"" of the public's list of priorities. "
2018-02-01,Domestic abuse law 'could change Scotland',https://web.archive.org//web/20180201161020/http://www.bbc.com/news/uk-scotland-42890990,"Share this withEmailFacebookMessengerMessengerTwitterPinterestWhatsAppLinkedInCopy this linkThese are external links and will open in a new windowA bill to criminalise psychological domestic abuse has been passed, with some campaigners saying it ""could change Scotland forever"".The Domestic Abuse bill, which has wide backing, creates a specific offence of ""abusive behaviour in relation to a partner or ex-partner"".This includes psychological abuse such as coercive and controlling behaviour as well as violence.Critics claimed it could be difficult to gather sufficient evidence.However MSPs voted by 118 to one to pass the legislation, with every member speaking in favour during the final debate.It later emerged that Conservative Margaret Mitchell - who had spoken of the ""total consensus"" behind the bill - had recorded the only vote against.She said she pressed the wrong button during the vote and blamed the mistake on not wearing her glasses.Members stood to applaud domestic abuse survivors in the public gallery after the result was announced.Justice Secretary Michael Matheson said it was a ""momentous day"", saying laws would now ""reflect the experience all to many women have suffered"".He said: ""Attitudes towards domestic abuse have changed considerably since this Parliament was established in 1999. Back then, some were of the mindset that domestic abuse - especially where it did not involve physical violence - was a private matter. Attitudes have rightly changed - albeit further work is needed to challenge lingering outdated or dismissive attitudes.""I am very grateful to the domestic abuse survivors who presented their evidence to the justice committee. ""Their courage helped shaped the legislation I brought to parliament, and their actions will help the justice system prosecute those who commit one of society's most insidious crimes.""The new legislation says abusive behaviour is:Behaviour that is violent, threatening or intimidatingBehaviour whose purpose is one of the following: The offence is aggravated if any of the behaviour is directed at a child or witnessed by them.However, Dr Marsha Scott, the chief executive of Scottish Women's Aid, said she was ""excited"" about the legislation.She said: ""Women have been telling us for 40 years that it is psychological and emotional abuse that is the most traumatic for them and the hardest to recover from, yet for such a long time we had absolutely no tools in legislation to take their stories seriously and hold abusers accountable for the untold harm that they wreak.""Ms Scott said it was the first bill in the world to create a way of ""victimless prosecution"".She said: ""It does not blame women and it does not mean women have to come into court and prove how harmed they have been by the abuse.""In fact it is all structured in looking at the behaviour of the perpetrator and asking 'would a reasonable person think that this could be harmful?'.""Looking back Jennifer says it is ""as clear as day"" that she suffered emotional abuse in her relationship with her ex-boyfriend.However, at the time, she did not realise how bad it was because it was ""death by a thousand cuts"".""You think 'he doesn't like that so I'd better change that bit about me',"" she says. ""You start to clock up these ideas of 'I'd better not wear this' or 'if I say this or I'm too loud then maybe it's my fault'.""Read Jennifer's storyGrazia Robertson, a criminal solicitor in Glasgow, told BBC Scotland it could be difficult to secure prosecutions.""How would you gather sufficient evidence to successfully prosecute in a criminal court?"" she said""I think there will be problems.""She said the bill acknowledges that prosecutions may not be able to rely on evidence from the person who has been abused.""You may be relying on the evidence or perceptions of other people and that will make it more difficult,"" she said.Dr Scott, from Scottish Women's Aid, said: ""There are a lot of myths out there that somehow it will be hard to get evidence to support prosecutions. ""Actually it is much harder to corroborate a threat to someone that is a one-off. ""This law will take an incident and look at it as a course of conduct. ""That will then mean there are lots of opportunities to gather evidence - there are texts, receipts and financial abuse, there are friends' stories, there are all kinds of things that will help to provide evidence of what was going on.""She said there was work to be done to build the confidence of victims and the training of police and prosecutors but ""this week we will know there is a possibility that this law will change Scotland forever""."
2018-02-01,Osborne urges action on north-south divide,https://web.archive.org//web/20180201161020/http://www.bbc.com/news/business-42893861,"Share this withEmailFacebookMessengerMessengerTwitterPinterestWhatsAppLinkedInCopy this linkThese are external links and will open in a new windowThe former chancellor, George Osborne, has urged the prime minister to focus on poor education attainment in the north to boost British growth.Mr Osborne said that the project he launched whilst he was still at the Treasury - the Northern Powerhouse - was still vital for the economy.Concerns arose in 2017 that the project had been sidelined by Theresa May.His comments come as a new report says there is a major education divide between the north and the south.The study by the Northern Powerhouse Partnership says pupils in the North of England are on average one GCSE grade behind comparable pupils in the south.It also reveals that one quarter of secondary schools in the north are judged by Ofsted to be inadequate or in need of improvement.A lack of skills training is also holding back the region's economy, the report argues.MPs launch Northern Powerhouse campaignNorthern schools 'need urgent attention'What is the Northern Powerhouse?""In the work we have done consulting with businesses in the north, poor skills and inadequate training come across consistently as the major issues,"" Mr Osborne said in a foreword to the report by the Partnership, of which he is a board member.""Too many children in the north aren't getting the education they need or deserve.""The report demands £300m in new funding for disadvantaged areas; reform of the Pupil Premium funding mechanism for children from low income families; a new Northern Powerhouse Schools Improvement Board and a commitment from local firms to provide 900,000 young people with ""meaningful"" work experience.""I urge the government to play its part in implementing it,"" Mr Osborne said.Mr Osborne, who is also the editor of the Evening Standard in London, has rarely spoken in public after he was sacked by Theresa May following the Brexit referendum.There is known to be tension between the prime minister and him and it was reported earlier this year that Number 10 had ""snubbed"" the former chancellor by not offering him a peerage.Mr Osborne has regularly used the pages of the Standard to attack the Prime Minister over her approach to the Brexit negotiations.The government says it is fully focused on the Northern Powerhouse and recently appointed Jake Berry, the MP for Rossendale and Darwen, as the ""Powerhouse Minister"".Mr Berry told the BBC that supporting the north was a long term project and that powers had been devolved to local mayors and money was being spent on schools and new transport links. Lord O'Neill of Gatley, the former Treasury minister who was instrumental in setting up the Northern Powerhouse with Mr Osborne, told the BBC that although the Northern Powerhouse had dropped out of the ""top five"" government priorities, there did appear to be a fresh focus on the project.""It's not as big,"" he admitted when I asked him if Theresa May placed as much emphasis on the Powerhouse as Mr Osborne had done.""What I would say more encouragingly, it seems pretty clear to me that attention on the Northern Powerhouse has increased.""If you go right back to the prime minister's first speech on the Downing Street steps it is very clear that she's sympathetic to the whole goal of doing something like the Northern Powerhouse.""Lord O'Neill said that supporting the economy in the north was important for the whole of Britain.""For the past couple of years the north west part of the Powerhouse has been outperforming the whole country and that outperformance is accelerating.""If you look at the past 20 years around the world, over 60% of all economic growth is being driven by bigger urban places and the UK only has one in the world's top 50 - London.""London is a huge contributor financially to the rest of the country - it's not really ultimately that good for London or the rest of the country if they're dependent on handouts from London.""If you have your own local engine that is economically as powerful as London, you know it's a game changer for the nation."""
2018-02-01,"Live
MPs debate hospital parking charges",https://web.archive.org//web/20180201161020/http://www.bbc.com/news/live/uk-politics-42860895,
