date,program,link,transcript
2018-07-01,'Livid' Gove rips up EU customs report,https://web.archive.org//web/20180701062522/https://www.bbc.com/news/uk-44668572,"Share this withEmailFacebookMessengerMessengerTwitterPinterestWhatsAppLinkedInCopy this linkThese are external links and will open in a new windowEnvironment Secretary Michael Gove physically ripped up a report on Theresa May's preferred option for a new customs partnership with the EU.He was said to have been ""livid"" as he felt the government document downplayed his objections to the proposal.It comes amid cabinet splits over the future shape of Brexit, which Mrs May hopes to resolve on Friday.European Council president Donald Tusk has said the UK must agree its position and ""lay its cards on the table"".The government has talked publicly about two potential options for its customs relationship with the European Union after Brexit.One, a customs partnership, would mean the UK applies the EU's own tariffs and rules of origin to all goods arriving in the country, intended for the EU.The other, known as maximum facilitation or max-fac, aims to employ new technology to remove the need for physical customs checks where possible.Two groups of cabinet members were looking at each of the plans.The document in question, prepared by civil servants, was supposed to represent the views of a group of cabinet members looking at the customs partnership, including Mr Gove.The Sun reported Mr Gove ""physically ripped it up to show he wasn't prepared to accept the document as a summary of their discussions"".BBC political correspondent Matt Cole said representatives for Mr Gove had confirmed the paper's claims.Mr Gove was unhappy because it didn't ""reflect his views that a customs partnership would be too bureaucratic and make it harder for Britain to do business"", our correspondent said.By Matt Cole, BBC political correspondent This outburst of anger - and, crucially, the fact it has become public - is another sign that Cabinet discipline has broken down.The question around Westminster is has Theresa May lost control and, if so, is that irrevocable?In recent days Boris Johnson has been criticised by colleagues like Greg Clark and Matthew Hancock for using an expletive to summarise his views about business and Brexit.That was followed by another Cabinet member Liz Truss saying it ""wasn't macho"" for people like the defence secretary to publicly demand extra cash.This stuff is normally hidden behind the cloak of collective cabinet responsibility.So, with Michael Gove now happy for it to be known he's ""livid"" about a report by a sub-committee of a sub-committee (yes, that's right), it's only adding to the sense that the prime minister is a ring master whose whip crack is being ignored.It came as Mrs May attended an important summit at which Mr Tusk issued a ""last call"" to the UK to agree its position if a Brexit deal is to be done in time.Mr Tusk said the most difficult issues remained unresolved and quick progress was needed if agreement was to be reached by October.Mrs May and her cabinet are due to meet at Chequers next Friday as they look to agree on a blueprint for the UK's future relationship with the EU.The UK will then publish a White Paper setting out ""in more detail what strong partnership the United Kingdom wants to see with the European Union in the future"", the prime minister has said.Liberal Democrat Brexit spokesman Tom Brake said Mr Gove's ""temper tantrum"" showed ""deep divides within the cabinet"" and the ""petulance of Brexiteers who can sense their lies are being exposed"".He said the cabinet ""need to act less like toddlers and more like senior ministers negotiating one of the most important deals in UK history""."
2018-07-01,Longer tenancies for renters proposed,https://web.archive.org//web/20180701062522/https://www.bbc.com/news/uk-44671094,"Share this withEmailFacebookMessengerMessengerTwitterPinterestWhatsAppLinkedInCopy this linkThese are external links and will open in a new windowA minimum tenancy term of three years would be introduced under government proposals to give people renting homes in England more security.Figures show 80% of tenants currently have contracts of six or 12 months and ministers say longer agreements would allow them to put down more roots. They add tenants would be able to leave earlier under the plans while landlords would get more financial security.  Labour says the plans do not go far enough and rent rises should be capped. Polly Neate, chief executive of housing charity Shelter, said loss of tenancy was ""the main driver of homelessness"" and called for the government to ""go beyond three years"".A consultation on the minimum tenancy term will run until the end of the August.Exemptions to the rules could apply to some types of tenant - for instance those in student accommodation.Government figures show renters do stay in a property for an average of four years but most have shorter contracts.George Robertson, a landlord from St Albans, is concerned about how the proposals will affect him. ""I am a landlord with one house used as a pension top-up after my wife's state pension age was hiked up at short notice,"" he said.  ""We feel this proposal will force small landlords like us, with just one property, out of the market [and] it will make it so much harder to manage difficulties with problem tenants. ""If this becomes law I will sell my property as we couldn't face the hassle of dealing with possible issues."" Jonathan Pearson, a renter living in London, is worried the proposals will mean less flexibility for tenants.""If in future I say I only plan on renting for less than three years, that would reduce my chances of securing a property,"" said Mr Pearson.He said the real problem was the ""attitude of estate agents"", who treat tenants as a ""commodity"" and ""charge ridiculous tenancy renewal fees after the 12 month period is up"".But Communities Secretary James Brokenshire said it was an important step forward for tenants. He added: ""It is deeply unfair when renters are forced to uproot their lives or find new schools for their children at short notice due to the terms of their rental contract.""Being able to call your rental property your home is vital to putting down roots and building stronger communities.""By BBC business correspondent Joe LynamSomething significant has happened to home ownership in the UK - it's dropped from 72% a decade ago to 63% last year. Much of that is down to affordability - especially in the south east of England, bank reticence to lend and stagnant real wages. That has meant that the number of people who need to rent is rising. The proportion of 35 to 54-year-olds who live as private tenants has nearly doubled in 10 years. Meanwhile, protections afforded to renters have not kept pace. So, any plan to impose minimum terms to rental agreements of three years would benefit millions hoping for some security of tenure. But it may also cause problems. Landlords could have less flexibility in financing of their properties and have to pay higher interest rates to lenders, which could then be passed on to tenants.  Furthermore, tenants may not like being locked into long-term contracts if their own circumstances change and they need to move or even buy a house.Finding a middle ground won't be easy in the consultation.Shadow housing secretary John Healey said: ""Any fresh help for renters is welcome but this latest promise is meaningless if landlords can still force tenants out by hiking up the rent.He said Labour plans included controls on rents, an end to no-fault evictions and protection against substandard properties.Polly Neate, chief executive of charity Shelter, said: ""This is an important step forward. Losing a tenancy is the main driver of homelessness and also causes huge instability for renting families so everyone who rents will be very pleased to see a move towards longer tenancies. ""But if the government really wants to stand up and provide stability for renters, they can and should go beyond three years to provide real protection from eviction, and the huge upheaval of having to move home, jobs and schools.""The government needs to bring forward new legislation quickly - with tens of thousands of families already homeless and many more at risk of the same fate, we simply cannot wait."""
2018-07-01,Govia Thameslink 'could lose franchise',https://web.archive.org//web/20180701062522/https://www.bbc.com/news/uk-44671423,"Share this withEmailFacebookMessengerMessengerTwitterPinterestWhatsAppLinkedInCopy this linkThese are external links and will open in a new windowRail operator Govia Thameslink faces being stripped of its franchises unless performance on its services in the South East of England rapidly improves, the BBC understands.A source said the government could begin the process within weeks. Passengers on its Thameslink and Great Northern trains have endured more than a month of disruption following the introduction of new timetables in May. Meanwhile, the firm said it is working on plans to compensate passengers. ""The industry is working together on this and an announcement will be made in due course,"" said a spokesman for Govia Thameslink Railway (GTR). The BBC understands that commuters are set to receive compensation worth a month's travel. GTR - which also runs Southern and the Gatwick Express services - changed the time of every train on its timetable on 20 May.Passengers were warned of disruption before the changes were brought in, but the implementation of the new timetable saw some services withdrawn and further cancellations without any warning.Since then, GTR chief executive Charles Horton has resigned and Transport Secretary Chris Grayling has faced calls to stand down - as MPs from across all parties voiced their concern at the disruption caused in their constituencies.Passengers have expressed their anger on social media, while last week a memo leaked by the RMT union revealed that extra security staff were at stations to protect staff from ""unhappy customers"".But there is also frustration within government that while Northern, which encountered similar problems in the North of England, has introduced an interim timetable, Govia Thameslink's equivalent is still a fortnight away. ""They are now in the last chance saloon,"" a government source told the BBC.Will Graves, from Arlesey in Bedfordshire, spends around £400 each month commuting to London - but told the BBC the current service is ""the worst I can remember in my 14 years of commuting"".Mr Graves said that trains are regularly cancelled and almost always delayed - often due to no driver being available.""When you do get on a train, you're standing shoulder to shoulder - it's horrendous,"" said Mr Graves. ""I think I've had only one journey that hasn't been delayed in the last month."" Trent Gashi, who commutes from Flitwick, Befordshire, to London, described Govia Thameslink's service as an ""utter farce"" and said ticket price rises in 2018 had ""added insult to injury"". ""Trains are cancelled without notice, people are ferried on and off as if they are livestock,"" said Mr Gashi.""They make so much money out of people like us. It needs to be seriously addressed by the government.""Mick Cash, general secretary of the National Union of Rail, Maritime and Transport Workers, has called for the UK's privatised rail networks to be brought back into public ownership ""on a permanent basis"".He described the ""last chance saloon"" comment as ""empty rhetoric"" that tells ""these basket-case companies"" that they have been ""let off the hook again while services are reduced to chaos"".He added: ""This is no time for empty threats from unnamed government sources.""Mayor of London Sadiq Khan said that, after ""months of chaos"" for passengers, he was in favour of Govia Thameslink losing its franchise.He tweeted: ""City Hall will push for @TfL to take over more commuter routes so we can provide Londoners with a better service.""A spokesman for Govia Thameslink refused to comment on the reports about the possible loss of the franchises, instead choosing to re-release a statement in which it said it was ""sorry for the disruption"". GTR had added it rescheduled every train in its franchise in an attempt to improve rail efficiency but it was a ""hugely complicated task"" and involved re-training drivers on new routes.Mr Grayling had previously announced there would be compensation for commuters and an inquiry into what went wrong, saying there had been ""major failures"" by the rail industry.A Department for Transport spokesman added: ""GTR passengers are encountering unacceptable service levels and the transport secretary and rail minister have been clear it is their priority that this is put right as soon as possible."""
2018-07-01,Surge in Britons getting EU nationality,https://web.archive.org//web/20180701062522/https://www.bbc.com/news/uk-politics-44629193,"Share this withEmailFacebookMessengerMessengerTwitterPinterestWhatsAppLinkedInCopy this linkThese are external links and will open in a new windowThere has been a surge in UK citizens acquiring the nationality of another EU country since the Brexit referendum, according to data obtained by the BBC.In 2017 a total of 12,994 UK citizens obtained the nationality of one of the 17 member states from which the BBC has received figures. This compares with 5,025 in 2016 and only 1,800 in 2015.The most frequent new nationality was German, which saw a huge jump from just 594 cases in 2015 up to 7,493 in 2017. One applicant, Paul Petty, from Bath, gained a German passport and is now a dual German/British citizen. ""I feel like Europe is pulling apart a bit at the moment,"" he told the BBC. ""I want to remain part of the EU.""It took three weeks for Mr Petty to receive his new passport. He was eligible because of his mother's status as a Jewish refugee.He described the process as ""really easy"", as he still had his mother's passport.The rise is presumed to be the result of Britons who can meet the criteria seeking to keep their legal rights attached to European Union membership. The 2017 figure is about seven times the 2015 level.The dramatic increase is consistent across many countries.  France was the second most popular nationality, jumping from 320 instances in 2015 to 1,518 last year, and then Belgium, where the increase was from 127 to 1,381.The number for Ireland rose from 54 in 2015 to 529 in 2017. However, this does not include new Irish passport applications from the much larger number of people who already had entitlement to Irish citizenship, due for example to being born in Northern Ireland.Their new nationalities will guarantee the recipients the rights to travel, live and work throughout the EU after Brexit, and they may be able to pass these on to their children.  In most cases those involved have also retained their British citizenship and so have become dual nationals.Lucy Hales has been living in Italy for five years, having previously spent 12 years in Spain, and plans to apply for Italian passports. ""It is likely that we will move to another European country, because of my husband's job, so having Italian citizenship would give us some certainty,"" she said.The BBC has obtained this data for 2017 from 17 of the 27 other EU member states. In the other cases it is not yet ready for publication. These 17 include most of the particularly relevant countries, accounting for over three-quarters of all such new citizenships in 2016. Only a limited proportion of British citizens would qualify for citizenship of another EU state. The bureaucratic process of applying can be slow and laborious.The criteria vary from one country to another and are sometimes complex, usually depending on ancestry and family links or residency. In the case of Germany, there is special provision for people whose German ancestors were victims of Nazi persecution.British citizens who fit a nation's requirements will still be able to apply after Brexit, although for some countries there may be complications. For example, Germany allows dual nationality only with EU states. Unless this changes Britons who become German after Brexit has happened could then find they have to renounce their UK citizenship. Research by Patrick Cowling"
2018-07-01,"'Last call' for Brexit deal, Tusk warns",https://web.archive.org//web/20180701062522/https://www.bbc.com/news/uk-politics-44655080,"Share this withEmailFacebookMessengerMessengerTwitterPinterestWhatsAppLinkedInCopy this linkThese are external links and will open in a new windowDonald Tusk has issued a ""last call"" to the UK to ""lay the cards on the table"" if a Brexit deal is to be done in time.The European Council president said the ""most difficult"" issues were unresolved and ""quick progress"" was needed if agreement was to be reached by October.Talks continue over the terms of the UK's withdrawal from the EU in March next year. What happens to the Irish border remains a sticking point.The UK says both sides want to see a ""faster pace"" in talks.But Prime Minister Theresa May has been unable to say much new at this summit - the last one before October - because she has yet to get her cabinet to agree on a blueprint for the UK's future relationship with the EU. They are due to meet at Chequers next Friday, in what has been billed as a make-or-break meeting. Mrs May has said the UK will then publish a White Paper setting out ""in more detail what strong partnership the United Kingdom wants to see with the European Union in the future"".Chancellor Angela Merkel said Mrs May would ""come to Germany and we will have a longer debate on this"", once the proposals were published.At the close of the summit, Mr Tusk told reporters there was a ""great deal of work ahead"" on Brexit and the ""most difficult tasks are still unresolved"". ""Quick progress"" was needed if a deal was to be reached at the next summit.""This is the last call to lay the cards on the table,"" he said.By the BBC's political editor Laura KuenssbergEuropean leaders can repeat the same message, louder and louder.But this EU summit's instructions to Theresa May may as well have been shouted into an empty cupboard.Because they know what she knows - that the past 24 hours of Brexit conversations are not nearly as important as the next seven days of discussions at home between Number 10 and the rest of the government.And after more than two years, this time next week ministers should be nearing the conclusion of their country retreat at Chequers.It's there that the prime minister hopes to find resolution in her team on a more detailed offer to the rest of the EU - easing, if not removing, all the contradictions in the Tories' positions.He was one of a string of EU chiefs demanding more clarity from the UK prime minister, who left the summit before the 27 other EU leaders discussed Brexit together on Friday.European Commission President Jean-Claude Juncker said the British had to ""make clear their position"" adding: ""We cannot go on to live with a split cabinet. They have to say what they want and we will respond to that.""EU chief Brexit negotiator Michel Barnier warned: ""The time is very short"" and that while progress had been made, ""huge and serious divergence remains, in particular on Ireland and Northern Ireland"".  He also said he hoped to see ""workable and realistic"" proposals from the UK on what the future relationship between the UK and EU should look like.He said he was ""ready to invite the UK delegation to come back to Brussels next Monday"" to continue working on a deal.BBC political editor Laura Kuenssberg said she understood that UK officials had already informed the EU Commission they would not hold talks on Monday and the ""mini row over diaries"" revealed ""how tetchy things are"".Tensions revealed sometimes by tiny things - I hear Commission asked UK for talks next week, UK said no, so Barnier then invited them again in front of the camerasEnd of Twitter post  by @bbclaurakEuropean leaders at the summit welcomed progress on the legal text of the withdrawal agreement but noted that ""important aspects still need to be agreed"" including the territorial application of the deal ""notably as regards Gibraltar"".  Talks between Spain and the UK over Gibraltar, including access to its airport and the exchange of tax information, continue. They also expressed concern that ""no substantial progress has yet been achieved on agreeing a backstop solution for Ireland/Northern Ireland"", if a deal on customs arrangements is not agreed by December 2020. when the transition period is due to end.And they called on member states and EU institutions ""to step up their work on preparedness at all levels and for all outcomes"" - the European Commission president has said the EU must prepare for the possibility that no Brexit deal will be reached.Mrs May's own cabinet is divided over what the UK's customs arrangements after December 2020 should look like, when the transition period agreed with the EU is due to end. And there are disagreements over the future movement of goods and people across the border between Northern Ireland and the Republic of Ireland.But asked if he believed Mrs May could resolve the differences, Mr Juncker told the BBC he knew the prime minister and: ""yes ... she will"". Juncker tells us he believes the PM can get the cabinet to agree because ‘I know the British Prime Minister’End of Twitter post 2 by @bbclaurakOn Thursday, Mrs May said a strong future partnership with the EU was in everyone's interests.""I think both sides are keen to continue that work at a faster pace than we have done up till now and certainly we would welcome that,"" she said.She added that the UK would publish a White Paper setting out ""in more detail [the] strong partnership the United Kingdom wants to see with the European Union in the future"".But she urged fellow EU leaders to tell their negotiators the UK should be allowed to continue to take part in schemes like the Prum mechanism for sharing DNA profiles, the Second Generation Schengen Information System - a database of ""real time"" alerts about certain individuals - and the European Criminal Records Information System.Without UK participation in such schemes, she suggested their collective ability to fight terrorism would be reduced.Mrs May's Europe adviser Olly Robbins and Brexit Secretary David Davis were due to appear in front of the UK's Brexit select committee next week but it is understood that the appearance has been delayed until after the publication of the White Paper. Former Brexit minister Lord Bridges, who backed Remain in the EU referendum, told the Evening Standard there was a risk negotiations could become a ""rout"", if the cabinet could not compromise, first with each other, then with Europe.""If nothing changes, there's a danger the UK will have to agree to a withdrawal treaty full of meaningless waffle on our future relationship with the EU,"" warned Lord Bridges.""With so little leverage in the next phase, the negotiations would become a rout. Worse, uncertainty will drag on, damaging our economy."""
2018-07-01,Minister urged to save military airfields,https://web.archive.org//web/20180701062522/https://www.bbc.com/news/uk-politics-44654880,"Share this withEmailFacebookMessengerMessengerTwitterPinterestWhatsAppLinkedInCopy this linkThese are external links and will open in a new windowA defence minister has been accused of going back on a commitment to keep 15 military airfields that are earmarked for closure in use for civil aviation. The airfields are due to be sold off, mostly for housing, over the next six years as part of MoD cost-cutting.MPs and peers on the all-party general aviation group say they are an important national asset.They say that Defence Minister Tobias Ellwood had agreed to ""look again"" at the aerodrome sell-offs.But all-party group chairman, Conservative MP Grant Shapps, said there were ""significant disparities"" between what Mr Ellwood had said and his subsequent follow-up letter to the group.""Our meeting with the defence minister was very worthwhile and extracted some helpful commitments, including supporting continued aviation use at the 15 military aerodromes being disposed of, where possible,"" said Mr Shapps. He said the group's members were ""very concerned to see no mention of these commitments in the minister's follow-up letter"".""As we celebrate 100 years of the Royal Air Force, which has inspired generations of young people into pursuing high-tech jobs in aviation, we have written back to the minister to ask specifically what the Ministry of Defence is doing to support general aviation. ""We look forward to the minister's reply.""The MPs and peers argue that the 15 airfields should be kept in use for private planes, gliders and flight training - known as general aviation - and to be kept in reserve for military use, in the event of a national emergency. In his written response, Mr Ellwood appeared to rule out the future use of the threatened airfields by other aircraft.He said he ""recognised the strength of feeling"" among the 157 members of the all-party aviation group.But he said private planes could still access 20 other military airfields in the UK and the closure of aerodromes used for pilot training was part of a plan to increase training capacity by concentrating it at fewer sites.He also rejected arguments that closing the airfields posed a security risk. ""I must assure you that the MoD does undertake the necessary investigative work to ensure that the safety and security of service personnel and UK citizens is not compromised,"" said the minister.The MoD said the sites were ""surplus to military requirements"" and as no bids have been received to turn them into civilian airfields they would be used to meet the ""needs of the local community"".A spokesperson said: ""Some of the airfields have not been active for decades, years if not decades, and are not fit for aircraft to land.""All proceeds from the sale of the sites will be reinvested back into defence.""The airfields earmarked for closure are:"
2018-07-01,Virgin Atlantic stops forced deportations,https://web.archive.org//web/20180701062522/https://www.bbc.com/news/uk-44665397,"Share this withEmailFacebookMessengerMessengerTwitterPinterestWhatsAppLinkedInCopy this linkThese are external links and will open in a new windowVirgin Atlantic is to stop working with the Home Office on forcible deportations from the UK of people deemed to be illegal immigrants.  The British airline says it has informed the government of its decision, saying it was ""in the best interest of our customers and people"".It comes amid concern over the removal of Windrush generation migrants and LGBT asylum seekers. Activists are urging other airlines to take similar action.Virgin Atlantic said: ""We've made the decision to end all involuntary deportations on our network, and have already informed the Home Office.""A spokeswoman declined to give details of the number of Virgin Atlantic flights or individuals affected.According to the Guardian, Virgin has provided seats on its commercial flights to detainees and security officers accompanying them for many years. A charity in Jamaica that helps resettle deported people told the paper detainees regularly arrived on Virgin flights.Immigration Minister Caroline Nokes told Parliament last month the majority of enforced deportations used scheduled flights, where people sit alongside paying passengers.  She also revealed the government spent £17m on such flights between 2016 and 2017 and £17.3m between 2015 and 2016.  Activist group Lesbians and Gays Support the Migrants said Virgin told it of the move in response to a yet-to-be published open letter it has written highlighting the deportations of people to countries where they risked persecution.Sam Bjorn from the group added: ""The fact that the company has finally opted to break with this controversial practice testifies to a profound shift in public opinion on deportation since the emergence of the Windrush scandal.""The Windrush scandal hit headlines in April after it emerged that some migrants from Commonwealth countries, who were encouraged to settle in the UK from the late 1940s to 1973, were being wrongly categorised as illegal immigrants.They were part of what is known as the Windrush generation - a reference to the Empire Windrush - the ship that brought workers from the West Indies to Britain in 1948.Their treatment coincided with the Home Office's adoption of a ""hostile environment"" approach, designed to tackle the issue of illegal immigration, and so far, the department has identified 63 people as having been possibly wrongly deported.Lesbians and Gays Support the Migrants wants British Airways and Qatar Airways - who also work on enforced deportations with the government - to end their involvement.Labour MP Stephen Doughty, who is on the Home Affairs Select Committee, has been questioning the government over its deportation policies and welcomed the move from Virgin Atlantic. He told the BBC: ""The whole system of detention and deportation appears to have serious flaws, not just for the Windrush generation, but other individuals who have been subject to wrongful detention - including one of my constituents.""So it is a business decision for airlines, around their culture and ethics.""Asked if other airlines should follow suit, Mr Doughty added: ""If they want to facilitate this system that has a series of questions around its checks and balances... well, they may want to think about it again.""  The airlines did not immediately respond to requests for comment.A Home Office spokesman said: ""We do not comment on operational matters."""
2018-07-01,EU leaders plan secure migrant centres,https://web.archive.org//web/20180701062522/https://www.bbc.com/news/world-europe-44652846,"Share this withEmailFacebookMessengerMessengerTwitterPinterestWhatsAppLinkedInCopy this linkThese are external links and will open in a new windowSecure centres for migrants may be set up in EU states to process asylum claims under a deal reached after marathon talks at a summit in Brussels.The controlled centres would be set up by EU states on a voluntary basis and migrants whose claims were rejected would be ""returned"".Refugees could be resettled in EU states which agreed to take them.The deal follows weeks of diplomatic wrangling over migrant rescue ships, and which country should take them in.Coastguard officials said on Friday that around 100 people were thought to have drowned off the Libyan coast, with 14 rescued.They were found in waters to the east of the capital, Tripoli.There were no details on which countries might set up the secure centres or take in refugees, but French President Emmanuel Macron said they would be in countries where migrants first arrived in the EU. ""We have struck the right balance between responsibility and solidarity,"" he said.Numbers illegally entering the EU have dropped 96% since their 2015 peak, the European Council says. Italy - the entry point for thousands of migrants, mainly from Africa - had threatened to veto the summit's entire agenda if it did not receive help.""After this European summit, Europe is more responsible and offers more solidarity,"" said Italian Prime Minister Giuseppe Conte. ""Today Italy is no longer alone.""Other leaders struck a more cautious note.German Chancellor Angela Merkel said more needed to be done to resolve disagreements.And European Council President Donald Tusk said it was ""too early to talk about a success"".""We have managed to reach an agreement in the European Council. But this is in fact the easiest part of the task, compared to what awaits us on the ground when we start implementing it,"" he told a news conference.By Adam Fleming, BBC News, BrusselsA few things stand out as wins for Italy's new prime minister. The summit's conclusions now include a statement about the need for boats that pick up migrants in the Mediterranean to respect international law. But the big one is approval of the concept of closed, secure processing facilities for migrants arriving in the EU. Some say this will make it easier to send back people whose claims for asylum are rejected. Others are already describing them as prisons. This paragraph is full of caveats, commas and sub-clauses - all the hallmarks of something drafted in the middle of the night. Another striking pledge is for an ambitious partnership with Africa. That's the EU trying to balance its tough internal approach with a friendly external one, and offering incentives to North African countries to host facilities where migrants can be assessed for resettlement in Europe.  The 28 EU leaders also agreed several other measures:Mr Conte had earlier taken the rare step of blocking the conclusions of the joint communiqué until the leaders had settled the migration issue. Both Italy and Greece want other countries to share the burden.However several Central European states have so far rejected an EU scheme to relocate 160,000 refugees from overcrowded camps in Greece and Italy.German Chancellor Angela Merkel had said that the migration issue could be a defining moment for the EU - but she also needed the summit to avert a political crisis at home that could bring down her government. Interior Minister Horst Seehofer, from her Bavarian coalition partner the CSU, had given her a deadline of this weekend. He has threatened to start turning away migrants who have already registered elsewhere from the border in his home state.Without the CSU, Mrs Merkel would lose her parliamentary majority.After the talks, she acknowledged the EU still had ""a lot of work to do to bridge the different views"".About 56,000 migrants have arrived in Europe so far this year, the International Organization for Migration says. More than a million people arrived in 2015.This month's tensions over migrant rescue ships barred from entry to Italian ports - most recently German charity ship Lifeline - have put the issue firmly back in the EU spotlight.The Lifeline was only allowed to dock in Malta after intense diplomacy among several EU states, who each agreed to take some of the migrants on board. Malta said Norway had now also agreed to take a share.Medical charity Medecins Sans Frontières (MSF) branded the new EU deal inhumane. ""The only thing European states appear to have agreed on is to block people at the doorstep of Europe regardless of how vulnerable they are, or what horrors they are escaping - and to demonise non-governmental search and rescue operations,"" MSF's emergencies chief Karline Kleijer said."
2018-07-01,"Video
Corbyn on Danny Dyer: He says it like it is",https://web.archive.org//web/20180701062522/https://www.bbc.com/news/av/uk-politics-44663483/corbyn-on-danny-dyer-he-says-it-like-it-is,
2018-07-01,Plan to let lotteries sell more tickets,https://web.archive.org//web/20180701062522/https://www.bbc.com/news/uk-politics-44655267,"Share this withEmailFacebookMessengerMessengerTwitterPinterestWhatsAppLinkedInCopy this linkThese are external links and will open in a new windowThe maximum pay-out for prize draws not run by the National Lottery is set to be increased from £400,000 to £500,000.At the same time, the maximum amount they can raise for good causes is set go up from £10m to £100m, meaning they can sell more tickets.The People's Postcode Lottery and The Health Lottery will both benefit.Culture Secretary Matt Hancock has vowed to find a way to let them expand without hitting National Lottery contributions to good causes.Society lotteries, as they are known, are a popular source of fundraising for non-commercial bodies, such as charities, sports clubs and other voluntary organisations, raising a total of £255m in 2016-7. Macmillan Cancer Support, the Royal British Legion, the Royal National Lifeboat Institution and Air Ambulances all run their own draws while the two largest operators - the People's Postcode Lottery and The Health Lottery - have raised £310m and £58m respectively since they were established in 2005 and 2011.Their beneficiaries have included Carers Trust, Dementia UK, Mencap, Dogs Trust, Maggies and the PDSA veterinary charity. The sector has been lobbying the government to relax the £10m limit on sales per lottery every year and the £4m limit per draw.They claim existing limits stifle growth, cause unnecessary bureaucracy and push up costs - reducing support for good causes.The culture department is now proposing amending the Gambling Act to raise the limits to £100m and £5m respectively while also lifting the maximum prize in each draw from £400,000 to £500,000.Culture Secretary Matthew Hancock told the BBC he wanted to do more for society lotteries, which have to give a minimum of 20% of the proceeds of ticket sales to good causes but are not barred from making profit. ""We strongly believe in the power of civil society, of people to improve the area they live in through get-up-and-go,"" he told Radio 4's Today. ""Lotteries can be a part of that.""But he said he was also mindful of any impact on the National Lottery - which has seen a sharp fall in its returns to good causes in the past 18 months.""The National Lottery obviously has a massively positive impact on the country in terms of how we support our sports stars and how much heritage has been saved for the nation,"" he said. ""We need to make sure we support society lotteries but not at the detriment of the National Lottery. ""What we are trying to do is open a debate on how best we do that but we want to see more going to good causes.""Some society lotteries have been criticised for the amount they give to good causes but they argue they complement, rather than eat into, the National Lottery's sales. The People's Postcode Lottery, whose 38 society lotteries raised £93m on behalf of good causes last year, welcomed the government's proposed changes but urged ministers to be more ""ambitious"" and recognise the success of the sector.The company said it was ""odd"" the limit on how much could be raised per draw had doubled between 2005 and 2009 but was now only set to rise by £1m despite the growth in the number of people taking part and proceeds raised. ""Unless the draw limit is future-proofed by being raised further than ministers propose, People's Postcode Lottery expect that additional administration costs will occur over the coming years - stopping charities getting vital funding,"" said its managing director Clara Govier. "
