date,program,link,transcript
2018-06-01,Jeremy Thorpe 'hit-man might not be dead',https://web.archive.org//web/20180602113014/https://www.bbc.com/news/uk-44336859,"Share this withEmailFacebookMessengerMessengerTwitterPinterestWhatsAppLinkedInCopy this linkThese are external links and will open in a new windowA probe into a scandal involving former Liberal leader Jeremy Thorpe will be reopened after police may have wrongly assumed one of the suspects was dead.A 2015 investigation into the alleged attempted murder of his lover - Norman Scott - was closed in 2017. Gwent Police assumed Andrew Newton - who shot Mr Scott's dog and claimed he was paid to kill Mr Scott - had died. But they now say he may still be alive. Mr Scott said he thought police were ""continuing the cover up"". The revelations have been unearthed in the BBC Four documentary The Jeremy Thorpe Scandal. BBC Panorama journalist Tom Mangold, who has investigated the case since the 1970s, said the investigation had ended because police claimed Newton was dead.Mr Mangold said it ""must start again"" and he ""wouldn't be surprised at all"" if Newton was alive, adding: ""When I knew Newton he was a fit, young man.""Claims that police altered the evidence of another person being hired to kill Mr Scott before Newton, a small-time air pilot, were unearthed by Mr Mangold in 2014, the year Mr Thorpe died. Dennis Meighan said he was approached by associates of Mr Thorpe, and Newton, to carry out the murder. This led to Gwent Police reopening the investigation, but after they concluded Newton was dead, the Crown Prosecution Service told Mr Scott no further action would be taken. Mr Scott, 78, said: ""I just don't think anyone's tried hard enough to look for him. I really don't. ""I thought [Gwent Police] were doing something at last and soon found out that absolutely they weren't, they were continuing the cover up as far as I can see.""Gwent Police said after revisiting some enquiries, investigators ""identified information, which indicates that Newton may still be alive"". ""As a result, further enquiries will be conducted to trace Newton to assess if he is able to assist the investigation.""The programme includes unearthed footage from a Panorama programme from 1979 that was never broadcast for legal reasons, after Mr Thorpe and his three co-defendants were acquitted of conspiracy to murder.The director general at the time kept a master copy of the programme but ordered all other copies to be destroyed. But veteran reporter Tom Mangold kept his copy of the report.The programme will air after the end of the dramatisation A Very British Scandal, which stars Hugh Grant as Jeremy Thorpe and Ben Whishaw as Norman Scott.The Jeremy Thorpe Scandal will be broadcast on Sunday at 22:00 BST."
2018-06-01,"Trump steel tariffs illegal, says Liam Fox",https://web.archive.org//web/20180602113014/https://www.bbc.com/news/uk-politics-44341074,"Share this withEmailFacebookMessengerMessengerTwitterPinterestWhatsAppLinkedInCopy this linkThese are external links and will open in a new windowNew tariffs imposed by the US on steel and aluminium from the EU are ""illegal"", the UK's International Trade Secretary Liam Fox has said.The policy came into force on Friday, meaning anyone in the US importing the metals from the EU will have to pay an additional tax.President Donald Trump said the move would protect US national security.Dr Fox said Prime Minister Theresa May would be raising the issue at the G7 leaders meeting next week. On Friday, Mrs May said she was ""disappointed"" at the US decision - which will see a 25% duty on European steel and a 10% duty on European aluminium - and that the taxes were ""unjustified"".  Speaking to BBC Radio 4's Today programme, Dr Fox said the UK was still seeking exemptions from the tariffs.""We will still be making that case throughout this week,"" he said. He added: ""The United States believes, I believe wrongly and illegally, that this is a national security matter for the US.""Given that we export some pretty complex steel products to the United States which are part of their national security programmes themselves, this reasoning that is given is wrong and therefore we believe unlawful.""President Trump originally imposed the tariffs in March, claiming that if the US remained reliant on imported metals, it would threaten the country's national security and damage its own metal industry.He initially exempted Canada, Mexico and the EU from the tariffs to allow time for negotiations. However, the exemption ended at midnight on Thursday, meaning the new taxes would be collected from Friday. Dr Fox travelled to Washington in March to seek a further exemption for the UK but was unsuccessful. Earlier this week, he called the tariff proposals ""disappointing"" and ""absurd"".Dr Fox's comments follow those of EU trade commissioner, Cecilia Malmstrom, who also called the new tariffs illegal and said the US was playing a ""dangerous game"". French President Emmanuel Macron backed the position, telling President Trump the duties were illegal over the telephone. But Dr Fox warned against a ""tit-for-tat"" escalation in the light of EU counter measures, adding: ""There can be no victors in a trade war, only casualties.""   The EU has issued a 10-page list of tariffs on US goods, ranging from Harley Davidson motorcycles to bourbon."
2018-06-01,Bartley and Berry run as Green co-leaders,https://web.archive.org//web/20180602113014/https://www.bbc.com/news/uk-politics-44329338,"Share this withEmailFacebookMessengerMessengerTwitterPinterestWhatsAppLinkedInCopy this linkThese are external links and will open in a new windowGreen Party co-leader Jonathan Bartley will run again for the leadership on a joint ticket with former London mayoral candidate Sian Berry.His current co-leader Caroline Lucas announced this week she would not stand again in this summer's election.The Brighton Pavilion MP and Mr Bartley have shared the leadership since 2016.Ms Berry, a London Assembly member who came third in the 2016 mayoral election, tweeted that she was ""very pleased"" to be standing.Their campaign website pledges a ""fiercer Green resistance"" on issues like fracking, immigration detention and HS2 - the planned high-speed rail network - as well as ""bigger Green successes"".Leaders of the Green Party of England and Wales are elected for two years and an election is due to take place this summer. Nominations opened on Friday and the result will be announced in September.Ms Lucas, the party's only MP and best-known politician, announced earlier this week that she would not be standing for re-election, and would be ""focusing even more"" on her work in Parliament and her constituency.Across the 150 councils holding elections in May, the Greens ended with 39 councillors, a net gain of eight seats - but lost five of their 10 seats in Norwich.At the time Ms Lucas acknowledged her party had been ""hurt"" by voters moving to Jeremy Corbyn's Labour but said they had ""held our own and made some significant gains"". Activist and campaigner Ms Berry, 43, has twice run to become London mayor, knocking the Lib Dems into fourth place in 2016 and was the party's ""principal speaker"" from 2006 to 2007. She represents Highgate as the only Green councillor on Camden Council as well as being one of two Green London Assembly members.She tweeted: Very pleased to announce that, with @jon_bartley, I'll be standing to be co-leader of @TheGreenParty this summer. See our pledges to help build even more Green success in elections, and sign up to support our leadership here: https://t.co/GS9j8j9QgSEnd of Twitter post  by @sianberryMr Bartley, 46, who was elected to Lambeth council in May, said:So pleased to announce I’ll be running with @sianberry to be @thegreenparty co-leader. We want to work with you to take the party up to a whole new level! https://t.co/rhgMFz4N98End of Twitter post  by @jon_bartleyIn the campaign launch video, he added they wanted to train activists ""in greater campaigning skills and direct action"" following campaigns on issues like HS2, tree felling and fracking.No other candidates have yet put their names forward to run for the leadership."
2018-06-01,Farage heads 'down under' on Brexit tour,https://web.archive.org//web/20180602113014/https://www.bbc.com/news/uk-politics-44332733,"Share this withEmailFacebookMessengerMessengerTwitterPinterestWhatsAppLinkedInCopy this linkThese are external links and will open in a new windowNigel Farage is to embark on a speaking tour of Australia, an experience his promoter promises will be ""immersive and brag-worthy at the highest level"".The ex-UKIP leader is taking his ""evening with"" show to Sydney, Adelaide and other cities in September.Promotional material for the event describes Mr Farage as the ""great disruptor"" of European politics.Tickets offering a one-to-one meeting and a photo with Mr Farage are on sale for 295 Australian dollars (£166). Mr Farage, one of the most polarising figures in British politics, has become a well-known figure in the US due to regular appearances on Fox News and his outspoken support for President Donald Trump.Now it appears that the MEP is trying to break new ground down under, with a week of shows in Perth, Brisbane, Adelaide, Sydney and Melbourne.He will also be visiting New Zealand for a show in Auckland. The tour website describes the controversial politician as the ""face"" of the Brexit campaign to leave the EU who is ""widely consulted"" for his views on international political issues and populist revolts against the political establishment.Mr Farage, who has tried unsuccessfully to get elected to the UK Parliament, will lose his seat in the European Parliament next year when the UK leaves the European Union.The European Parliament is in recess during Mr Farage's Antipodean tour, its first autumn plenary session will begin on 10 September. Overseas speaking engagements continue to prove lucrative for a select group of leading British politicians.In January, it emerged wealthy business people in China were being offered the opportunity to have dinner with former prime minister David Cameron and be pictured with him for £12,000.Former chancellor George Osborne was paid £80,000 for a single two-hour speech in New York in 2016.He recently notched up what is believed to be his eighth job since leaving office. The Evening Standard editor was made chairman of a panel of advisers to Italian firm Exor, which owns Juventus and has major stakes in Ferrari and Fiat. "
2018-06-01,Northern axe trains in timetable reshuffle,https://web.archive.org//web/20180602113014/https://www.bbc.com/news/uk-england-44327233,"Share this withEmailFacebookMessengerMessengerTwitterPinterestWhatsAppLinkedInCopy this linkThese are external links and will open in a new windowNorthern has cancelled 165 daily train services until the end of July following major disruption since new timetables were introduced last month.The ""interim timetable"", to be introduced on Monday, removes 6% of the train operator's total services.Areas affected include Manchester, Liverpool, Blackpool and the Lakes Line between Oxenholme and Windermere.Northern has aborted 2,200 services in the last fortnight, with more than 200 cancelled or heavily delayed on Friday.The company - which has faced calls for it to be stripped of its franchise - insisted it will still run more trains than it did before the timetable change on 20 May, and expects to ""get back to a full timetable service"" by the end of next month. It follows a warning by the mayor of Greater Manchester, Andy Burnham, that an ""emergency"" timetable was being considered to deal with the scale of train cancellations and delays.Mr Burnham said the introduction of an emergency timetable was ""unacceptable"".""The travelling public are having their lives turned upside down."" Northern managing director David Brown said: ""We have been experiencing some significant disruption to train services, especially around north Manchester, Bolton, Liverpool, Blackpool and up to the Lake District.""He apologised for the ""unacceptable situation"" and ""unacceptable service many customers have been subject to"".Mr Brown added: ""We are absolutely committed to resolving the service issues and the interim plan will help ensure we start to get back on track and start to give customers more certainty around the services we operate.""The Transport Secretary Chris Grayling cited government-owned Network Rail - which manages the rail infrastructure - for the problems.He said it was ""too late in finalising planned timetable changes"" which have caused widespread problems since they were introduced.The RMT's general secretary Mick Cash said the minister should ""get out"" and described the situation as ""carnage"".Mr Cash said his members are facing public anger ""without a shred of support"" from Mr Grayling or Northern's management.He said it was ""disgusting"" that Mr Grayling and bosses of rail companies have ""dived for cover"" and not faced passengers.""Not only is Chris Grayling incompetent and not fit to run a railway but he is a coward as well, leaving RMT members to take the flack for failed policies that are his responsibility,"" he said.In response, the transport secretary issued a statement which said: ""I am in regular discussions with Network Rail, Northern and Govia Thameslink Railway (GTR), and have reiterated that disruption suffered by passengers is wholly unacceptable.""I have been very clear with Network Rail that it was far too late in finalising planned timetable changes and this must not happen again.""Train companies are working to keep passengers moving and disruption minimised. ""While this is currently a huge inconvenience to passengers as the changes bed in, we are investing in the biggest modernisation of the railway since Victorian times and this new timetable will deliver hundreds more services up and down the country.""Earlier this week, Mr Grayling wrote to MPs over the ""wholly unsatisfactory"" service on GTR in the south of England and Northern.He also criticised Network Rail, saying it ""cannot cope"" with the workload, and its performance was ""simply unacceptable"".Wigan MP Lisa Nandy said Mr Grayling would meet with MPs on Monday when the Transport Select Committee will review the Northern and GTR franchises.Last month's timetable update included many more changes than normal in an attempt to improve punctuality and account for extra services and capacity following billions of pounds of investment.The timing of all GTR and most Northern trains was changed, but all the new journeys needed to be individually approved by Network Rail, which is responsible for managing infrastructure.Are you a Northern passenger? Have you had problems making your journey today? Please email haveyoursay@bbc.co.uk with your stories and pictures.Please include a contact number if you are willing to speak to a BBC journalist. You can also contact us in the following ways:"
2018-06-01,Lord Lawson applies for French residency,https://web.archive.org//web/20180602113014/https://www.bbc.com/news/uk-politics-44313941,"Share this withEmailFacebookMessengerMessengerTwitterPinterestWhatsAppLinkedInCopy this linkThese are external links and will open in a new windowLord Lawson has been accused of hypocrisy by anti-Brexit campaigners after it emerged he is applying for a French residency card.The Conservative peer, who chaired the Vote Leave campaign, said he had started the ""tiresome"" paperwork to prove he is legally resident in France.But he stressed he was not applying for French citizenship, in an interview with a French magazine.Conservative MP Sarah Wollaston said it created an ""awful"" impression.Ms Wollaston, who initially campaigned to leave the EU before switching sides to vote Remain, tweeted:Lawson was a leading figure in a divisive campaign that will stop others enjoying the freedoms he can buy for himself. Awful. https://t.co/wtaoD2IOz5End of Twitter post  by @sarahwollastonAnti-Brexit campaign Best for Britain. said the thought of Lord Lawson applying for a French residency card ""takes the biscuit"".""It seemed to Lawson that no cost was not worth paying to leave,"" its spokesman Paul Butters said. ""But with this news, it seems the cost will be paid by others while the former chancellor suns himself in his luxury home in France.""The former chancellor looks like a hypocrite.""Lord Lawson, who lives in a country house in Gers, south-west France, told BBC News: ""It is well known that I live in France and have done so for many years and have referred to this in the House of Lords and elsewhere. ""It was the French authorities who told me that I should apply for a carte de sejour. Nothing else has changed.""A carte de sejour shows a person is legally resident in France and it is hoped possession of such documentation will help avoid complications after Brexit.In his interview with Connexion, an English-language French magazine for expats, Lord Lawson said he believes the issue of Britons living in other EU countries will be sorted out in Brexit talks but that trade was a ""problem"", along with the Irish border issue.""I think the issue could be no trade deal. There will be agreement on expats and security,"" he said.""It's not helped by the fact the current government is weak and is not doing a particularly good job. But that's a fact of life.""I think the most likely outcome is initially no trade deal, then after Britain is fully out of the EU and passions have cooled there will be agreement at a future date.""Asked if he had applied for  a carte de sejour, Lord Lawson said: ""Yes I've just started, and don't know how it will work out, but am not particularly worried. ""It comes under the category of 'tiresome' rather than 'serious'. I understand some people are worried about healthcare cover and hope it will be sorted out. ""Speaking as a Brit in France - and I'm not applying for French nationality - I am not worried.""Lord Lawson said said Brexit would provide benefits to Britain but it depended on the policies of the government of the day.""There are things we'd like to do that we can't now because we don't have the autonomy. But that control can be used competently or not.""If it is, I believe the UK will benefit increasingly over the years, if not, we'll suffer."" "
2018-06-01,Corbyn wades into Umunna intern row,https://web.archive.org//web/20180602113014/https://www.bbc.com/news/uk-politics-44323445,"Share this withEmailFacebookMessengerMessengerTwitterPinterestWhatsAppLinkedInCopy this linkThese are external links and will open in a new windowJeremy Corbyn has reminded all of his MPs not to employ unpaid interns after Chuka Umunna advertised for a student to work for free in his London office.The Streatham MP insisted he was not seeking an unpaid intern - but someone on a ""sandwich"" degree course who would be supported by student finance.But he still came under fire on social media from angry students. The Labour leader's office then sent a reminder to Labour MPs of the party's commitment to ban unpaid internships.Mr Umunna, who has criticised Mr Corbyn in the past and who is opposed to the party's policy on Brexit, has campaigned for fairer wages for the low paid.The ad, for a year in industry student placement, which was circulated to students at Leeds University, listed duties such as ""administrative support"", organising ""a wide variety of policy issues and constituent enquiries"" and ""EU campaign work"".It said the placement was unpaid but the cost of a student travel card - worth about £1,000 a year - will be covered.Hi @KaneEmerson. Thanks for raising your concerns. A bit more information on this: pic.twitter.com/93t2xmBIuJEnd of Twitter post  by @ChukaUmunnaKane Emerson, a Labour-supporting student who tweeted the job ad after it was sent to him by the university, told Mr Umunna he was ""extremely disappointed"" by it.He tweeted: ""Sandwich years are nearly always paid. You can't access student funding whilst on a sandwich year. ""Regardless of whether they're normally paid or not - low/middle income students can not access an unpaid sandwich year. MPs have a special duty of accessibility.""Top trolling: A day after Chuka Umunna is criticised for advertising for an unpaid intern, this has just been emailed to all Labour MPs... pic.twitter.com/31o4zT92GsEnd of Twitter post  by @BenKentishMr Umunna defended the advert, saying on Twitter: ""The Leeds University placement is a structured part of politics sandwich-course degrees at the university, and takes place on the strict condition that students receive student finance throughout. ""The scheme, and others like it, are run collaboratively by MPs and universities, and gives students supported work experience as part of their university degree. ""In addition to the student finance students receive while undertaking a placement, as detailed in the advert, my office will reimburse travel expenses for a student travel card to minimise expenses. 'I do not and would not offer a long-term placement where a student is not supported and left financially penalised. ""Unfortunately, (MPs' expenses body)  IPSA do not provide additional resources for MPs to recruit interns on a paid basis, though the Parliamentary Labour Party has always argued strongly for them to do so.""The Labour leadership responded to the row by sending a message to all of its MPs, saying: ""This is a reminder to all MPs that it is against Labour Party policy to employ unpaid interns.""The message includes a link to Labour's 2017 general election manifesto.Tanya de Grunwald, founder of the Graduate Fog website and a campaigner for fair internships, said: ""Rightly or wrongly, there is a loophole in the minimum wage law which means students need not be paid when doing a 'Year in Industry' placement as credit for their university course. So, legally Chuka has not done anything wrong.""However, big ethical questions remain. Is it right that this person won't be paid, when they will clearly bring great value to his office? Is it okay that someone else being denied this as a paid job, because Chuka can fill it with an unpaid student? ""And why are students paying university tuition fees in order to be sent out to work for free?"" "
2018-06-01,Politicians call for Brexit deal vote,https://web.archive.org//web/20180602113014/https://www.bbc.com/news/uk-wales-politics-44306348,"Share this withEmailFacebookMessengerMessengerTwitterPinterestWhatsAppLinkedInCopy this linkThese are external links and will open in a new windowMore than 30 Welsh politicians are calling for a second public vote on the final Brexit deal.A group of mainly Labour MPs, AMs and council leaders says the final deal will be ""too big"" to be left to a vote in the UK Parliament.The UK government is refusing to hold a second referendum.Labour MP Stephen Kinnock did not back the letter, saying that arguing to reverse Brexit would forfeit his right to have a voice in shaping it.The letter puts further pressure on Labour's UK leadership to shift Brexit policy.Westminster officials and ministers are currently negotiating with their counterparts in Brussels, with the UK set to leave the EU on 29 March, 2019. In line with the formal two-year timetable for the Brexit talks, the UK and the EU are planning on reaching a deal in the autumn, which will then be voted on by MPs in parliament.An open letter, co-ordinated by anti-Brexit campaign group Wales For Europe and signed by 31 senior Welsh politicians, urges ""everyone in Wales of goodwill, from all parties and none, to stand with us in calling on our MPs to pledge their support for a people's vote on the final Brexit deal.""The letter said: ""Will it be the right deal for the people of Wales and the rest of the UK? Will it secure a good future for our young people and allow them to thrive? Will it help protect and grow the number of well-paid, highly-skilled, jobs that Wales needs?""It is signed by eight council leaders, two of Wales' four MEPs, and 12 of the 40 Welsh MPs, including Owen Smith who was fired as shadow Northern Ireland secretary by Labour leader Jeremy Corbyn for calling for another EU referendum against party policy.Welsh Labour MPs Anna McMorrin and Tonia Antoniazzi have signed the letter despite being shadow parliamentary private secretaries who are expected to follow the party's line. Nine AMs have also put their name to the letter, including Plaid Cymru Leader Leanne Wood, Labour Welsh Government Local Government Secretary Alun Davies and Education Secretary Kirsty Williams, a Liberal Democrat.Mr Smith told BBC Good Morning Wales that people now have a ""deeper understanding"" of what Brexit means and he feels confident they may change their votes once they see the final deal. ""We've been discussing [Brexit] for the last almost three years,"" he said. ""I think there is now a very deep understanding in the public's mind as to what the trade-offs are, what the compromises are, and what some of the downsides are.""Now the people are better informed, now that the complexity is more revealed, we can have a more complete view from the country and in my view, I think you might well see people change their mind.""Mr Davies accused the UK government of being in chaos and said he had no trust in its ""ability to bring back a deal that will meet the needs of the people of Wales"".""That means the people of Wales have to have the opportunity to vote on what the UK government does bring back,"" he said.He said that he would hope to hold the second referendum before March next year, which is the point when Article 50 ends and the UK is set to leave the EU. ""It was poised on a knife edge, that vote, and in many parts of the country, people didn't vote for it,"" he added. ""It was an instruction to start the negotiations, but I don't think it was necessarily an instruction to the politicians on what the absolute outcome ought to be. ""All of those things that we were promised have turned out to be empty promises and the downsides have now been revealed.""I think in light of that, the sensible thing is to allow the people of Wales the chance to say whether they actually want to go through with this.""First Minister Carwyn Jones has consistently said that he does not want to re-run the referendum campaign and that Wales and the UK should respect the will of the public vote.Asked to clarify the Welsh Government's position on a second vote, a spokeswoman said: ""The First Minister's priority remains securing the best deal possible for the people of Wales and the UK.""The Labour MP for Aberavon, Stephen Kinnock, was asked to sign up to the letter but refused.Mr Kinnock added: ""I've been campaigning for an EEA-based Brexit solidly for over 18 months. If I were to now start supporting a campaign that's designed to reverse Brexit before 29 March then the credibility of my EEA arguments would be fatally undermined.""By arguing to reverse Brexit I would effectively be forfeiting my right to have a voice in shaping it.""Welsh Conservative leader Andrew RT Davies said the first minister had lost all authority after announcing plans to stand down later this year, and ministers were now ""freewheeling and publicly advocating positions which are against official Welsh Government policy"".""Jeremy Corbyn sacked Owen Smith for far less - and there are now serious questions over Carwyn Jones's ability to lead his party and his government as we enter a key period in the Brexit negotiations,"" Mr Davies added.  In a recent lecture for the campaign group 'Wales For Europe', the Welsh Government's lead on Brexit Mark Drakeford said a referendum ""is only one way in which the acceptability or otherwise of such a final deal could be tested"".But he added that ""now is not the moment to be over-definitive about the nature of the question that we would pose at such a point nor the way in which that question would be resolved""."
2018-06-01,British nationality law 'still unfair',https://web.archive.org//web/20180602113014/https://www.bbc.com/news/uk-politics-44322874,"Share this withEmailFacebookMessengerMessengerTwitterPinterestWhatsAppLinkedInCopy this linkThese are external links and will open in a new windowPeople applying for British Overseas Territory citizenship still face ""unacceptable"" discrimination, a committee of MPs and peers has said.Citizenship rights still depend on whether a person's parents were married or whether it was their mother or father who had citizenship.The Joint Committee on Human Rights has urged the government to correct the discrimination in new legislation.The government says consultation with the BOTs is now ""on our agenda"".While historically, British nationality could only be inherited by those whose parents were married and only if their fathers were British, some measures were taken to remedy this in the British Nationality Act 1981.However, those changes only related to British citizenship, not other types of nationality covered by the 1981 Act, including British Overseas Territory citizenship.This means that in territories such as Anguilla, Bermuda, the Virgin Islands, the Cayman Islands, the Falkland Islands and Gibraltar, the children of unmarried parents, or those who claim their right to citizenship through their mother, continue to face discrimination.The UK government is consulting on a ""remedial order"" to the 1981 Act, after other elements of it were found to be incompatible with the Human Rights Act. The joint committee welcomed the government's approach to fix the problems in the Act but raised concerns about ""related areas of discrimination in British nationality law"" - including the status of people whose parents were not married - or where the father was not a BOT citizen.The joint committee said that the UK Parliament could legislate for BOT citizenship rules and it was ""difficult to see"" why they had not been amended in the British Nationality Act, alongside the rules for other British citizens.""Such discrimination should not be allowed to persist,"" the report said.""We consider it unacceptable that discrimination in acquiring British nationality persists (including for British Overseas Territories citizenship) depending on whether a person's father or mother was a British Overseas Territories citizen, or whether or not their parents were married.""This type of discrimination in the British Nationality Act should be remedied for all types of British nationality and we recommend that the home secretary take urgent steps to bring forward legislation to do so.""  One campaigner told the committee: ""The matter is pretty straightforward to most sensible people, and in today's modern forward-thinking society, this matter should have been rectified a long time ago. ""Children now adults should never be made to feel they are 'less-than' under the law, especially when it comes to claiming the parents' heritage and citizenship by descent."" Immigration Minister Caroline Noakes told the committee: ""Any amendments to persons entitled to be registered as British Overseas Territory citizens will require consultation with the Overseas Territories and this is now on our agenda. ""I am grateful to the committee for bringing this to my attention. I will ask my officials to consider this for the next draft of the Remedial Order in consultation with representatives in the BOTCs."""
2018-06-01,Barclays tightens lending on Brexit caution,https://web.archive.org//web/20180602113014/https://www.bbc.com/news/business-44323693,"Share this withEmailFacebookMessengerMessengerTwitterPinterestWhatsAppLinkedInCopy this linkThese are external links and will open in a new windowBarclays is tightening its lending criteria to a UK economy that is lagging behind the rest of the world.Chief executive Jes Staley says Brexit uncertainty was helping to stunt economic growth and that was something the bank could not ignore.Speaking exclusively to the BBC he said ""we have to be mindful of weaknesses in the economy and we have protect the integrity of the bank"".That meant tightening some lending criteria, ""just to be prudent"".""In no way do we pull back in a radical fashion - but we will look at our credit exposures and see whether that's proper given the direction of the economy,"" Mr Staley said.""We can at the margin tighten some of our underwriting criteria and credit standards just to be prudent for the stability of the bank.""The UK economy is still growing - but very slowly. In the last 12 months it has grown 1.2% compared with 2.2% in the US and 2.5% in the eurozone.Mr Staley said measures might include looking at how big a loan Barclays would be prepared to provide as a percentage of the value of a residential property - the so called loan to value ratio - particularly in London and the South East. He arrived in north east England today with an encouraging message for local business - announcing a new £500m fund for loans to small and medium sized businesses. But his warning on the UK economy, and Barclays' risk appetite, was the more telling content for a bank with over a £1 trillion in UK loans.  The government has always accepted that businesses - particularly foreign ones - will be cautious about investing in the UK while Brexit is under discussion. A group of European industrialists told the Prime Minister as much at a meeting yesterday at Number 10 on Wednesday. But the fact that the headwinds are making a UK bank such as Barclays say explicitly that it is becoming concerned about its exposure to the UK economy is a new development."
