date,program,link,transcript
2018-11-01,Minister quits over bet crackdown 'delay',https://web.archive.org//web/20181102000815/https://www.bbc.com/news/uk-politics-46057548,"Share this withEmailFacebookMessengerMessengerTwitterPinterestWhatsAppLinkedInCopy this linkThese are external links and will open in a new windowSports minister Tracey Crouch has resigned over ""delays"" to a crackdown on maximum stakes for fixed-odds betting machines.Chancellor Philip Hammond said in Monday's Budget that the cut in stakes from £100 to £2 would come into force in October 2019.Ms Crouch said pushing back the date was ""unjustifiable"" and it could cost the lives of problem gamblers.She tweeted: ""Politicians come and go but principles stay with us forever.""Prime Minister Theresa May said she was disappointed Ms Crouch had resigned but there had been ""no delay in bringing forward this important measure"".The government has denied Labour claims that MPs had been led to believe the cut would come into force at the start of the next tax year, in April 2019. They suggested the cut had been intended to be introduced in April 2020.But in her resignation letter, Ms Crouch said:  ""Unfortunately, implementation of these changes are now being delayed until October 2019 due to commitments made by others to those with registered interests.""From the time of the announcement to reduce stakes and its implementation, over £1.6bn will be lost on these machines.""In addition, two people will tragically take their lives every day due to gambling-related problems and, for that reason as much as any other, I believe this delay is unjustifiable.""She added: ""It is a fact of government that ministers must adhere to collective responsibility and cannot disagree with policy, let alone when it is policy made against your wishes relating to your own portfolio.""Among those praising her on social media, the Archbishop of Canterbury Justin Welby tweeted that she was ""principled and courageous"" adding: ""May God bless her commitment to doing right.""Former foreign secretary Boris Johnson tweeted that she ""deserves huge credit not just for her campaign but for sticking up for her principles"". Fixed-odds betting terminals generate £1.8bn in revenue a year for the betting industry, according to the Gambling Commission, and taxes of £400m for the government. Currently, people can bet up to £100 every 20 seconds on electronic casino games such as roulette. Anti-gambling campaigners say the machines let players lose money too quickly, leading to addiction and social, mental and financial problems. But bookmakers have warned the cut in stakes could lead to thousands of outlets closing.In her response to Ms Crouch, the PM said the government had listened to those who wanted the changes to come into effect sooner than April 2020 and ""had agreed that the changes should be in place within the year - by October 2019"".In his Budget on Monday, the chancellor said the change to fixed-odds stakes would come into force next October at the same time as changes to duty charged on gambling firms based abroad but operating in the UK.The government says co-ordinating the date of the two changes would mean the government would not be hit by a fall in tax revenue.But in the Commons on Thursday, Labour's deputy leader Tom Watson accused the government of ""capitulating to the gambling industry"".He praised Ms Crouch's ""courageous and principled decision"" and said Culture Secretary Jeremy Wright ""should be thoroughly ashamed"" of prioritising ""corporate interests over victims, profits over public health and greed over good"".MPs from all sides of the House joined in his criticism. Former Tory leader Iain Duncan Smith said it should be discussed as part of the Finance Bill later this month.Week ahead in Parliament: The Finance BillHe told the BBC: ""There are plenty of people whose lives have been damaged by this addiction... We need to do this very quickly, as quickly as we can and in the meantime, the gambling industry will make about £1bn as a result of this delay. That's not right."" Labour has told the BBC that they will put down an amendment to the Finance Bill to try and bring in the changes next April."
2018-11-01,Police probe Banks's Brexit vote spending,https://web.archive.org//web/20181102000815/https://www.bbc.com/news/uk-politics-46056337,"Share this withEmailFacebookMessengerMessengerTwitterPinterestWhatsAppLinkedInCopy this linkThese are external links and will open in a new windowThe National Crime Agency is investigating Arron Banks and his Leave.EU campaign for alleged offences committed at the 2016 EU referendum.Mr Banks and another senior campaign figure, Liz Bilney, were referred to the agency by the Electoral Commission.The watchdog said it suspected Mr Banks was not the ""true source"" of loans to the campaign and the money had come ""from impermissible sources"". Mr Banks denied any wrongdoing and said he welcomed the police investigation.He said he was ""confident that a full and frank investigation will finally put an end to the ludicrous allegations levelled against me and my colleagues"". ""There is no evidence of any wrongdoing from the companies I own. I am a UK taxpayer and I have never received any foreign donations. The Electoral Commission has produced no evidence to the contrary,"" he added in a statement.He claimed the Electoral Commission had acted ""under intense political pressure from anti-Brexit supporters"".Mr Banks is currently in Bermuda, from where he tweeted a picture of himself following the news of the police investigation.Gone fishing ! pic.twitter.com/KPUwpl1DWIEnd of Twitter post  by @Arron_banksSome Remain supporters have suggested Brexit should be put on hold pending the outcome of the inquiry.SNP MP Kirsty Blackman told the BBC's Politics Live programme: ""If people are found to be breaking electoral law, then I think there is an issue that you look at the possible validity of the results.""But Labour MP Stephen Kinnock said public trust in the source of political donations was ""bigger than Brexit"".""I don't think there is a natural connection to this and calling for a re-run of the referendum. I would rather we focus our resources on holding Mr Banks to account,"" he told BBC News.Under UK law, loans and donations to registered campaigners can only come from permissible sources, which essentially excludes overseas or foreign funding. The law was introduced by the Labour government in 2000 after a series of scandals involving overseas donors accused of trying to influence British laws and elections.Leave.EU's chief executive Liz Bilney said all of the money had come from Mr Banks and he was the ""ultimate beneficial owner"" of the companies that had loaned it.As a UK domiciled taxpayer Mr Banks was ""completely permissible to donate money to campaigns as he sees fit"", she told BBC Radio 4's The World at One programme.She denied claims the money had come from Russian sources, saying: ""I run the group of companies where the money was from and we don't have any transactions that are from Russia.""And she said the Electoral Commission had ""failed to understand the nature of the loan agreements"" and were seeing them through ""their own biased lens"".""I am confident that all the matters will be completely resolved and I will be exonerated and so will Arron and everybody else involved,"" she added.The Electoral Commission investigation focused on £2m reported to have been loaned to Better for the Country, which ran Leave.EU, by Mr Banks and his group of insurance companies.It also examined a further £6m reported to have been given to the organisation, on behalf of Leave.EU, by Mr Banks alone.The commission's legal chief, Bob Posner, said: ""We have reasonable grounds to suspect money given to Better for the Country came from impermissible sources and that Mr Banks and Ms Bilney, the responsible person for Leave.EU, knowingly concealed the true circumstances under which this money was provided. ""This is significant because at least £2.9m of this money was used to fund referendum spending and donations during the regulated period of the EU referendum.""Our investigation has unveiled evidence that suggests criminal offences have been committed which fall beyond the remit of the commission. ""This is why we have handed our evidence to the NCA to allow them to investigate and take any appropriate law enforcement action. This is now a criminal investigation.""He said the financial transactions investigated by the commission included companies incorporated in Gibraltar and the Isle of Man, which were ""beyond the reach"" of the watchdog.The National Crime Agency, which is able to investigate across international borders, said electoral law offences would ""not routinely fall"" within its remit.But it added: ""The nature of the necessary inquiries and the potential for offences to have been committed other than under electoral law lead us to consider an NCA investigation appropriate in this instance.""This is now a live investigation, and we are unable to discuss any operational detail.""Leave.EU was a separate campaign to the official Vote Leave organisation.The UK's referendum in June 2016 was about whether the UK should Remain or Leave the European Union. The result was that the UK voted by 51.9% to 48.1% to leave the EU. This departure is due to happen on 29 March 2019."
2018-11-01,Labour MPs rebel to oppose tax cut plan,https://web.archive.org//web/20181102000815/https://www.bbc.com/news/uk-politics-46067196,"Share this withEmailFacebookMessengerMessengerTwitterPinterestWhatsAppLinkedInCopy this linkThese are external links and will open in a new windowTwenty Labour MPs have rebelled against the party leadership to vote against the government's changes to income tax.Yvette Cooper, Stella Creasy, David Lammy and Lucy Powell were among those who defied an instruction from Labour's leadership to abstain on the vote.Many had expressed concern about backing a package which raised the higher rate tax threshold - while freezing working age benefits.MPs approved the Budget proposal by 314 votes to 31, majority 283.Chancellor Philip Hammond announced this week the personal allowance would rise from £11,850 to £12,500 and the higher rate income tax threshold from £46,350 to £50,000 from April 2019.Shadow Chancellor John McDonnell told the BBC on Tuesday: ""We will support the tax cuts at the moment on the basis that it will inject some demand into the economy."" He said a Labour government would focus instead on a ""fairer taxation system"" asking the richest 5% to pay more and rolling back cuts to corporation tax cuts.But a number of Labour MPs have said the party should oppose the income tax changes, because they argue they disproportionately benefit the better-off.In Thursday's debate, 20 Labour MPs voted against the tax changes, in defiance of the party leadership: Karen Buck, Yvette Cooper, Neil Coyle, Stella Creasy, Mike Gapes, Roger Godsiff, Kate Green, Margaret Hodge, Helen Jones, Liz Kendal, David Lammy, Pat McFadden, Alison McGovern, Ian Murray, Lisa Nandy, Jess Phillips, Lucy Powell, Emma Reynolds, Gareth Snell and Martin Whitfield.Former cabinet minister Ms Cooper criticised the government, saying: ""They're going ahead with over £1bn in real cuts to tax credits and benefits this coming year for the poorest families.""At the same time they are choosing to spend about the same amount of money on tax cuts for higher rate taxpayers, including those on more than £100,000 a year.""A lone parent with a four-year-old working part-time could end up being nearly £3,000 worse off whereas the high earners end up being over £1,000 better off.""SNP work and pensions spokesman Neil Gray accused the chancellor of having brought in a tax cut which ""disproportionately benefits higher earners the most"" instead of stopping the benefit freeze.For the government, Chief Secretary to the Treasury Liz Truss said it was a shame Mr McDonnell's party did not agree with him and joked to the shadow chancellor there was ""space for you on our frontbench"". "
2018-11-01,UK's battle with Apple over EU citizens app,https://web.archive.org//web/20181102000815/https://www.bbc.com/news/uk-politics-46043668,"Share this withEmailFacebookMessengerMessengerTwitterPinterestWhatsAppLinkedInCopy this linkThese are external links and will open in a new windowThe UK government is preparing to launch a smartphone app to make it as easy as possible for EU citizens to apply to remain in the UK after Brexit - the only problem is it doesn't fully work on Apple devices.And hopes that the problem would have been fixed by now have just been dashed.The app is a key part of the government's drive to get the estimated 3.5 million EU citizens in the UK to apply for ""settled status"".App users answer three ""simple"" questions, take a ""selfie"" to be checked against Home Office records and then - if they have an Android phone - scan the chip on their passport to verify their identity. The Home Office says a decision will be made on whether they can stay in the UK within two weeks.As things stand, people with Apple devices will not be able to scan their passports and will either have to borrow an Android phone to complete their application or post their passport to the UK Visa and Immigration Service instead, meaning the process is likely to take longer.For those who are not sure, Android is the system that is used by Samsung, Huawei, Sony, Google and Nokia among others. They make up about 50% of the market in the UK, with Apple's iPhone making up the other half. The Microsoft and Blackberry operating systems for smartphones, which make up nearly 1% of the UK market between them, will also not be able to scan passport chips. Older versions of Android phones and some budget models are not fitted with a chip scanner either.Home Office officials knew there would be a problem with Apple devices when the app was announced early this year.But they were hoping Apple would release an update to its operating system to allow users of the firm's devices to scan their passports in the same way that people with Android phones can. The US tech giant has so far declined to do so, despite representations from UK government ministers, including a trip to the firm's Silicon Valley HQ by Home Secretary Sajid Javid.It is not a technical problem. Apple devices have been fitted with Near Field Communication chips, as they are known, since 2014.But the company has mostly limited use of the chip to Apple Pay transactions, for security and commercial reasons.There was speculation on tech blogs that Apple would unlock the chip reader to third party apps when it rolled out its latest operating system, 12.1, a process currently under way.But Apple has confirmed to the BBC that those rumours were not true and it has not been unlocked. Sources say the firm is continuing to work with the Home Office but would not be drawn on whether a solution is likely to be found before the UK leaves the EU in March.Home Offices sources told the BBC ""we are continuing to engage with Apple at the highest level"".But immigration minister Caroline Nokes, in a tetchy appearance before the Home Affairs Committee on Tuesday, gave a hint of the frustrations at the top of government, after it was pointed out to her that only half of the intended audience for the new app would be able to use it.She told MPs the Home Office could not be blamed because Apple ""won't release the upgrade we need in order for it to function"".The Home Office has just finished private testing of the app, among 650 NHS and university workers in the North-West of England, and is now expanding the trials with a view to launching it to the wider public in the New Year. The Dutch government is also calling on Apple to unlock its chip reader to allow citizens to access its digital services.The Home Office also stresses that people will be able to use desktop computers to apply for settled status, although like Apple users, applicants will have to post their passports off rather than being able to scan the passport's chips.A Home Office spokesman said: ""EU citizens will be able to apply for that status using any smartphone, tablet or computer.""The app to check identity is only part of the process for those who choose to use it and there will be an alternative non-digital route available to all applicants to prove their identity.""The Home Office has also signed a £91m contract with French company Sopra Steria to set up computer terminals at 56 local libraries around the UK to help those without smartphones, or without the necessary digital skills, to apply to stay in the UK.But given how much emphasis ministers placed on the convenience and ease with which EU citizens would be able to apply by smartphone - and the sheer volume of people they need to process - the continuing issues with Apple have to be seen as a setback.They are also an illustration of the problems governments can encounter when their digital ambitions run up against the commercial priorities of the companies they need to deliver them."
2018-11-01,DUP 'under no illusions' over SoS meeting,https://web.archive.org//web/20181102000815/https://www.bbc.com/news/uk-northern-ireland-46061166,"Share this withEmailFacebookMessengerMessengerTwitterPinterestWhatsAppLinkedInCopy this linkThese are external links and will open in a new windowA DUP MLA has said the party was under no illusions about the purpose of a briefing at Stormont, despite criticism by three party leaders.Christopher Stalford was speaking after all five parties met with Northern Ireland Secretary Karen Bradley.SDLP leader Colum Eastwood described it as ""a waste of time"" while UUP leader Robin Swann said it was box ticking.Relations between the parties and Mrs Bradley were ""possibly at an all-time low"", said Alliance leader Naomi Long.Northern Ireland has been without a government since it collapsed in January 2017.The latest talks process aimed at restoring devolved government fell apart in February.Mr Stalford, who attended the meeting along with DUP party colleague Peter Weir, was asked about some of the criticism the other parties levelled at Karen Bradley.""It's not for Karen Bradley or anyone else to encourage Sinn Féin out of their corner,"" he said.He added that the briefing document that set out how the legislation passed at Westminster was not ideal, but there was no alternative. Thursday's meeting was described as an all-party briefing with a view to restarting the talks process.However, three of the party leaders strongly criticised it when speaking to reporters at Stormont.It is understood the parties were presented with a document that suggested early 2019 as the earliest date for starting a new talks process.Naomi Long said that was ""unacceptable"".Several of the parties also reiterated their call for an external, independent mediator to be appointed to chair the process, but the Ulster Unionist Party said that would not solve the problems between the DUP and Sinn Féin.Ms Long said Karen Bradley was ""putting barriers in the way of restoration"" by ""demanding there is consensus, all-party agreement on the format of the talks"".""This is absolute nonsense,"" she said. ""The secretary of state has already taken the views of all parties regarding how talks should be structured, the responsibility now lies with her to make a decision to convene the talks and to get us back in the room.""By Jayne McCormack, BBC News NI political reporterIf the phrase things always get worse before they get better rings true, then today at Stormont was a perfect example of that.The language used by the parties during their press conferences in the Great Hall was more negative and critical than we've heard for a long, long time. One talks source said they threw their briefing paper from the NIO into the bin - that tells you just how much they thought of it.As the weather turns colder, relations between the parties seem to have gone into deep freeze too.But can Karen Bradley do anything to hit the defrost button?SDLP leader Colum Eastwood said the meeting was a ""waste of time"" and signalled an ""embarrassing day"" for Karen Bradley.""I think I probably should have stayed in Derry,"" he said.""The secretary of state says she needs to see consensus for what a talks process will even look like,"" he added. ""Well, that's not how it works.""How it works is the two governments, when this process fails, step in, they agree a talks process, they make it time bound, they have an independent chair and they have a threat at the end of it that if the parties do not come to an agreement, then they will implement the changes that are required to get us back to government."" Ulster Unionist leader Robin Swann said the meeting was ""badly advised"".""To be honest, it was simply so someone in the NIO (Northern Ireland Office) can tick a box so they can say they brought all five parties around the table,"" he added.He said that the parties received a briefing on the ""bill that was through Westminster that everyone's already read"". Mr Swann also accused Sinn Féin of complete belligerence that ""questions their validity as to whether they want to be part of a meaningful talks process"".He added that an independent chair would not solve the differences between the DUP and Sinn Féin.""An external mediator doesn't bring together the five parties, only the government can do that. ""The government needs to establish a talks process that the five parties are involved in. ""And we can't wait on five-party consensus as to what that talks process looks like because, as I said this morning, all five parties couldn't actually agree what that meeting was or what it should be called.""Sinn Féin said there was no basis for moving forward following the meeting.John O'Dowd and Máirtín Ó Muilleoir said they attended a meeting to see if power sharing could be re-established but that it was ""clear"" the British government was ""still treating large sections"" of Northern Ireland with contempt. They refused to answer any questions from the media."
2018-11-01,Focus on crime not misogyny - police chief,https://web.archive.org//web/20181102000815/https://www.bbc.com/news/uk-46053069,"Share this withEmailFacebookMessengerMessengerTwitterPinterestWhatsAppLinkedInCopy this linkThese are external links and will open in a new windowPolice should focus on burglary and violent crime and not incidents such as misogyny where no offence has been committed, a senior officer has said. Chief Constable Sara Thornton said forces were too stretched to deal with ""deserving"" issues, such as logging hate incidents against women.Claims against dead people were also taking resources from tackling ""today's crime today"", she told a conference.She called for a ""refocus on core policing"".Speaking to police chiefs and police and crime commissioners, Ms Thornton expressed concern about a review into whether misogyny should be treated as a hate crime.Misogyny is the hatred, dislike or prejudice against women.Ms Thornton, chair of the National Police Chiefs' Council, said that while ""treating misogyny as a hate crime is a concern for some well-organised campaigning organisations"", forces ""do not have the resources to do everything"".She added: ""I want us to solve more burglaries and bear down on violence before we make more records of incidents that are not crimes"", adding she hoped the review ""takes account of the pressure on forces before suggesting the law is changed"".Ms Thornton, the former head of Thames Valley Police, highlighted Home Office statistics published last week that showed arrests in England and Wales have halved in the last decade.She told the conference: ""We are asked to provide more and more bespoke services that are all desirable - but the simple fact is there are too many desirable and deserving issues.""She added: ""Neither investigating gender-based hate crime or investigating allegations against those who have died are necessarily bad things - I just argue that they cannot be priorities for a service that is over-stretched.""  But Sue Fish, the former chief constable of Nottinghamshire Police, which has been reporting incidents of misogyny as a hate crime for the past two years, told BBC Radio 4's The World at One that Ms Thornton's comments were ""shameful"".She said: ""We're reinforcing that women are not worthy or any sort of service from the police,"" she said, adding that historically, police treatment of female victims of rape and domestic violence had been ""appalling"". Since 2010 police chiefs say funding in England and Wales has decreased, in real terms, by nearly a fifth, and there are 20,000 fewer officers.Richard Garside, director of the Centre for Crime and Justice Studies, said Ms Thornton's intervention comes as the government seeks to improve the investigation and reporting of hate crimes.""She's trying to send a message back to government, saying, 'look you're trying to get us to do more and more, well how on earth are we supposed to do all of this and also focus on the core activities,'"" he said. Security minister Ben Wallace said police should prioritise resources based on the level of harm caused by a crime, and forces were free to make these decisions as they saw fit.He added that hate crimes were still important and in some cases could spark other problems such as exploitation and community friction.Speaking at the conference, Home Secretary Sajid Javid acknowledged police were ""feeling stretched"" but promised forces would have the resources they needed by 2019-2020.But shadow home secretary Diane Abbott said forces could not do ""more with less"".Police should not have to ""pick and choose"" between crimes, and if misogyny was made a hate crime the government must provide the funding to tackle it, she added. "
2018-11-01,Smooth Brexit 'could push rates higher',https://web.archive.org//web/20181102000815/https://www.bbc.com/news/business-46060460,"Share this withEmailFacebookMessengerMessengerTwitterPinterestWhatsAppLinkedInCopy this linkThese are external links and will open in a new windowThe Bank of England has indicated there could be a faster pace of interest rate increases if the UK manages a smooth exit from the European Union.Although the Bank kept rates unchanged at 0.75% this month, its latest forecasts suggest that rates could rise to 1.5% over the next three years.It said that Brexit uncertainty was preventing some firms from investing.However, Bank governor Mark Carney said a smooth Brexit could see a rebound in that investment.""We do expect a rebound in demand. Business is taking a cautious approach right now as we are at a point of maximum uncertainty, so we have some sense of what is being held back, so we will see a rebound in investment,"" Mr Carney said.Some economists think the Bank might have to be even more aggressive on interest rates. Ruth Gregory, UK economist at Capital Economics, believes that if the UK strikes a deal soon, rates could rise three times in 2019.Samuel Tombs at Pantheon Macroeconomics says two rate increases next year ""remain a good bet"".While the Bank sees a Brexit deal as the most likely scenario, in its Quarterly Inflation Report it also warned of damage to business if there was no deal.""An abrupt and disorderly withdrawal could result in delays at borders, disruptions to supply chains, and more rapid and costly shifts in patterns of production, severely impairing the productive capacity of UK business,"" the Bank said.It also thinks the pound would fall and there would be a ""large"" and ""immediate"" fall in economic activity.The Bank's comments came as its Monetary Policy Committee (MPC) voted 9-0 to leave rates unchanged at 0.75%.Interest rates were last raised in August as the Bank reacted to stronger data on the economy.The latest decision to keep rates on hold will come as relief to the 3.5 million holders of mortgages that track interest rates, but savers will be disappointed.Szu Ping Chan, BBC economics reporterWith just a few months to go until the UK leaves the European Union, there was a clear message from the Bank of England today. The Brexit deal will determine the next move in interest rates.The Bank expects it to be a smooth one. In this scenario households are expected to keep on spending, with businesses unleashing the money they're currently holding back.But Mr Carney made it clear that if the UK crashed out of the EU without a deal, policymakers wouldn't automatically cut rates as they did in the wake of the Brexit vote.Back then, the outlook was uncertain and the UK's exit date was still far away.The no-deal scenario would have a more immediate and permanent impact on prices and the economy, Mr Carney said.So an interest rate cut might not be the appropriate response, although it would still be an option. The Bank's quarterly survey of business leaders indicated that Brexit had become a more important source of uncertainty for them in recent months.As a result, the Bank has slashed its forecast for growth in business investment this year to 0%.However, a smooth Brexit would release that brake on investment, and would come at a time when there is little slack in the economy.In addition, wages are rising, which is supporting consumer spending.All that could force the Bank to raise interest rates to curb inflation.The Bank is forecasting growth of 1.3% this year and 1.7% next year."
2018-11-01,Education spending now 'skewed' to poor,https://web.archive.org//web/20181102000815/https://www.bbc.com/news/education-46046310,"Share this withEmailFacebookMessengerMessengerTwitterPinterestWhatsAppLinkedInCopy this linkThese are external links and will open in a new windowThere has been a ""remarkable shift"" in poorer children now receiving a bigger share of education spending in England, says the Institute for Fiscal Studies.The independent financial researchers say in previous generations children from richer families were the main beneficiaries, as they were likely to stay longer in education.But this pattern has been reversed by policies deliberately ""skewed"" to give more funding towards the deprived and with more poorer youngsters going to sixth form and university, it says.The analysis reveals that poorer pupils who took their GCSEs in 2010 had almost £10,000 more spent on them during their school years than their richer counterparts.The following years, up to those leaving university in 2016, have been even more ""pro-poor"" in funding levels, says IFS research fellow, Luke Sibieta.""This is a remarkable shift in the shape of public spending, with an increasing amount of redistribution taking place through public-service spending,"" says Mr Sibieta,The IFS says that back in the 1980s and 1990s, better-off families would have taken the lion's share of public spending on education because their children were much more likely to benefit from continuing beyond the age of 16.This continued into the early 2000s, when the balance began to be shifted by a combination of extra funding aimed at disadvantaged pupils and increasing numbers of poorer families staying on for A-levels and then degrees.For those taking their GCSEs in 2003, there was still an advantage to the wealthy - with £6,000 more being spent on the richest fifth of pupils compared with the poorest.By 2010, policies to support the disadvantaged in school meant that poorer pupils were getting £9,500 more per head in spending.When this was combined with spending on sixth form, college and university, it meant that in 2010 both the richest and poorest had £73,000 spent on their education.The introduction of the pupil premium from 2010 onwards would have shifted the balance further towards supporting the poorest, the IFS says.Going to university has remained more likely among the wealthy, but Mr Sibieta says the public cost of university, even with loans for tuition fees, does not outweigh the overall balance of the poor getting a greater share of spending.This has seen poorer youngsters receiving 20% more spending on average in their school years than the richer pupils.""This was the intended and direct result of reforms to the school funding system over the 2000s,"" says the study.""In less than a decade over the 2000s, education spending shifted from being skewed towards richer pupils to being skewed towards poorer pupils instead,"" says Mr Sibieta.Sir Kevan Collins, chief executive of the Education Endowment Foundation, which researches ways to help disadvantaged pupils to catch up, said: ""The moral and educational case for additional support to underprivileged children remains as strong as ever.""Young people from disadvantaged backgrounds are still much less likely than their classmates to leave school with the qualifications and skills they need to get on in life,"" he said.Paul Whiteman, leader of the National Association of Head Teachers, said: ""Unfortunately this only works if there is enough money in the system in total. ""At the moment all children are being short-changed by the government's real-terms cuts to education funding."""
2018-11-01,US attacks UK plan for digital services tax,https://web.archive.org//web/20181102000815/https://www.bbc.com/news/business-46050724,"Share this withEmailFacebookMessengerMessengerTwitterPinterestWhatsAppLinkedInCopy this linkThese are external links and will open in a new windowThe US has hit back against a UK plan to impose a new tax on sales by technology giants. US political leaders and business groups say the proposal would violate tax agreements by targeting US firms.They warned the tax could spark US retaliation and hurt prospects for a US-UK trade deal.In a statement on Wednesday, Representative Kevin Brady, a Republican from Texas, called the measure ""troubling"".""If the United Kingdom or other countries proceed, that will prompt a review of our US tax and regulatory approach to determine what actions are appropriate to ensure a level playing field in global markets,"" said Mr Brady, who helped shepherd US tax cuts through Congress last year.His statement echoed comments last week by US Treasury Secretary Steven Mnuchin, who voiced ""strong concern"" about different countries' efforts to develop digital sales tax.A slew of business groups - including the US Chamber of Commerce and the US Council for International Business - have also come out against the UK plan.If enacted, the tax measure could ""complicate the United Kingdom's push for deeper US-UK trade relations"", said Rufus Yerxa, president of the National Foreign Trade Council.The UK plan, announced as part of the Budget, would place a 2% tax on sales by large social media platforms, internet marketplaces and search engines from April 2020. In response to Mr Brady's comments, a UK Treasury spokesman said: ""As the chancellor said, this tax is a proportionate and targeted interim response that reflects the changing global economy, and how digital businesses derive value from users - it's not targeted at any country and seeks to ensure the tax system is fair.""It comes as wider efforts to capture more tax from multinational tech giants - which are now typically taxed based on their physical presence in a country - gain steam.The European Commission in March introduced a proposal for a 3% tax on revenues of internet companies with global revenues above €750m (£660m) a year.While some EU member states are opposed, a vote could come before the end of the year. Separately, Spain introduced a digital service measure in its budget that mimics the EU's.Elsewhere, Colombia, Australia and India are among several countries debating new tax measures that target the digital giants, according to the Internet Association, a US trade association with members that include Amazon, Microsoft and Uber.The 36-member OECD has also been discussing the issue, with a report on reforms due in 2020.The slew of measures, after years of discussion, explains the alarm in the US, said Lilian Faulhaber, a law professor at Washington's Georgetown University.""There's a sense in the United States that this digital services tax is becoming more of a real possibility,"" she said. Under President Donald Trump, the US has been supportive of OECD efforts to update the corporate tax system for the global era, said Itai Grinberg, another law professor at Georgetown University.But many in the US - not just the internet giants - have concerns about proposals, like the UK's, that tax turnover, he added.""It's a kind of tax that everyone abandoned half a century ago because it's thought of as very economically inefficient and functions basically like a tariff,"" he said.He said such taxes do little to make the international tax system more fair: ""It's just a pure cash grab"".In announcing the UK tax, UK Chancellor Philip Hammond said progress in global arenas to update tax laws had been ""painfully slow"".But the move has irked some in the US.Josh Kallmer, executive vice president of policy at the Information Technology Industry Council, said the tech industry recognises the need for tax laws to change, but opposes revenue taxes and wants to see the OECD process play out. ""The responses that the UK and EU are poised to take are not helpful,"" he said. ""This is a genuinely global challenge.... Countries have got to coordinate and develop shared principles.""Professor Grinberg said the UK's decision to go it alone gives license to other countries to follow suit, undermining efforts to reach an international solution.The move is particularly risky for the UK, he added, because the logic for taxing tech firms could be extended other industries important to the UK, especially financial services and pharmaceuticals.""I think it will go badly for the UK,"" he said.The US has a range of options should it want to retaliate, in addition to simply making the issue a focus in US-UK trade talks, he added. The US could complain to the WTO. Under US law, the president could also act to raise taxes on UK firms as a retaliatory measure.Professor Faulhaber described the responses being floated as ""nuclear options"".""I don't know how likely they are but I do think they're pretty dramatic,"" she said. ""They... suggest that at least some people in the US see these proposals as fairly dramatic."""
2018-11-01,Organised crime threat 'greater than terror',https://web.archive.org//web/20181102000815/https://www.bbc.com/news/uk-46050428,"Share this withEmailFacebookMessengerMessengerTwitterPinterestWhatsAppLinkedInCopy this linkThese are external links and will open in a new windowThe threat posed by organised crime in the UK is now greater than terrorism, the National Crime Agency has said.Its latest report said there were 4,600 serious and organised crime groups, committing offences including child abuse, trafficking and drug dealing.Director general Lynne Owens said that crime cost the economy £37bn a year.Security Minister Ben Wallace said he wanted to target groups - such as accountants and estate agents - who launder money for the criminals.He told BBC Radio 4's Today programme that those at the ""bottom of the pyramid"", who were dealing drugs or laundering money for crime bosses - who he referred to as ""foot soldiers"" of organised crime - needed to face ""the same weight of the law"" as those at the top. The government, which has published a report into organised crime, will later announce a new strategy and £48m of public money to tackle the gangs.The last figure, published five years ago, showed the cost of such crimes was £24bn.Ms Owens said some of the cost was direct, such as the impact of blackmail on business, but others were indirect, including the impact on the mental health of victims. She described the range of serious crimes that had changed rapidly in volume and complexity over the last five years.""It means children being abused, the vulnerable being trafficked, it means cyber crime,"" she said. ""It means criminal markets that trade drugs, trade firearms, trade in people and make profit as a result.""She added: ""Each year it kills more of our citizens than terrorism, war and natural disasters combined.""Later, minister for Security and Economic Crime, Ben Wallace, will say: ""Many serious and organised criminals think they are above the law.""They think they can defy the British state. And they think they are free to act with impunity against our businesses and our way of life. They are wrong.""Our new strategic approach not only improves our government and law enforcement capabilities, but also ensures the private sector, the public and international partners are integrated as part of our response.""He will also announce £48m to fund the National Economic Crime Centre, training police fraud investigators, and extra data and intelligence capabilities. "
