date,program,link,transcript
2018-09-01,PM: Second Brexit vote would betray democracy,https://web.archive.org//web/20180902001527/https://www.bbc.com/news/uk-politics-45385421,"Share this withEmailFacebookMessengerMessengerTwitterPinterestWhatsAppLinkedInCopy this linkThese are external links and will open in a new windowPrime Minister Theresa May says she will not ""give in"" to those calling for a second referendum on Brexit.Writing in the Sunday Telegraph, she says such a move would be a ""betrayal of democracy"" - and of the trust of the people who voted to leave the EU.The People's Vote, a cross-party group including some MPs, is calling for a public vote on the final Brexit deal.Mrs May also says the government is preparing for no deal but is confident of leaving the EU with a ""good deal"".The UK is on course to leave the EU on 29 March and the government had previously ruled out another referendum.She writes in the newspaper: ""In the summer of 2016, millions came out to have their say. ""In many cases for the first time in decades, they trusted that their vote would count; that after years of feeling ignored by politics, their voices would be heard. ""To ask the question all over again would be a gross betrayal of our democracy - and a betrayal of that trust.""The People's Vote campaign launched earlier this year and has a number of high-profile backers, including Sir Patrick Stewart and Gary Lineker. It has also secured funding from donors including Julian Dunkerton, co-founder of fashion label Superdry - who has given  the largest donation of £1m to the group. Thousands of supporters also took part in a march in central London in June. The campaign is hoping to get enough MPs, including the Labour leadership, to back a call for a referendum on the deal Mrs May strikes with Brussels - which is due to be put to a vote in Parliament in October.Earlier this week, it was revealed in a leaked memo that People's Vote wants Labour MPs and activists to submit a motion at the party's conference this month, committing Labour to backing a new referendum on the final deal. The party's current policy position is to respect the result of the 2016 Brexit referendum.The prime minister says the coming months are ""critical in shaping the future of our country"" but that she is ""clear"" about her mission in fulfilling ""the democratic decision of the British people"". She said that following the Chequers agreement in July, ""real progress"" had been made in Brexit negotiations. While there is more negotiating to be done, Mrs May says ""we want to leave with a good deal and we are confident we can reach one"". The government has been preparing for a no-deal scenario, even though this would create ""real challenges for both the UK and the EU"" in some sectors, Mrs May says. But she adds: ""We would get through it and go on to thrive."" She says that she ""will not be pushed into accepting compromises on the Chequers proposals that are not in our national interest"". "
2018-09-01,McDonnell 'worried' about Labour split,https://web.archive.org//web/20180902001527/https://www.bbc.com/news/uk-politics-45382486,"Share this withEmailFacebookMessengerMessengerTwitterPinterestWhatsAppLinkedInCopy this linkThese are external links and will open in a new windowShadow chancellor John McDonnell has revealed he is ""worried and saddened"" about the prospect of the Labour Party splitting over the anti-Semitism row.Mr McDonnell told the New Statesman he wanted to avoid a split ""at all costs"" and was happy to talk to unhappy MPs.The party has been at war with itself over the issue throughout the summer. Earlier, former Home Secretary Lord Blunkett called for ""seismic change"" after veteran MP Frank Field resigned the whip in protest at the leadership.Mr Field's resignation followed a summer of stories about anti-Semitism and the Labour Party. Labour leader Jeremy Corbyn was criticised for his presence at a wreath-laying ceremony in Tunisia in 2014, which was said to have honoured the perpetrators of the 1972 Munich terror attack.Later, footage emerged from 2013 of Mr Corbyn saying a group of British Zionists had ""no sense of English irony"".Former chief rabbi Lord Sacks branded his comments as ""the most offensive statement"" by a politician since Enoch Powell's Rivers of Blood speech.He accused Mr Corbyn of being an ""anti-Semite"" - with the Labour leader saying he was ""more careful"" with language now.In the New Statesman interview, Mr McDonnell said: ""I think there are people who are willing to leave the party"".""I don't understand why there is this sort of pre-emptive move to split off,"" he went on.""So I'm worried and I'm saddened by that and I think that open door is always there to prevent that happening, because any split is automatically damaging.""He continued: ""I lost a debate for 30 years, and I stayed within the party.""If you're having people like the SDP [who split from Labour in the 1980s] standing in particular constituencies, it takes votes away from Labour.""So the issue for me is I'd want to avoid at all costs a split if we can.""Writing in the Daily Telegraph on Saturday, Lord Blunkett urged a rethink of the ""so-called Corbyn project"" and called on the party to abandon ""the recent return to bullying and thuggery experienced in the 1980s"".He told the party to ""belatedly get its act together"" and ""demonstrate the leadership qualities which have been lacking"".Mr Field quit the Labour group at Westminster over what he called the party's ""tolerance"" of anti-Semitism and a ""culture of nastiness"". But Mr McDonnell said: ""My view is this. I want it resolved quickly. ""I think we can come out of it as the anti-racist party that we are tackling the real issues. ""I don't want to live in a society where synagogues are attacked, or where Jews graveyards daubed with swastikas or worse, Jewish children having to have security at their schools.""But he stopped short of calling for Labour to adopt the International Holocaust Remembrance Alliance guidelines on anti-Semitism, the magazine said."
2018-09-01,Labour needs seismic change - Blunkett,https://web.archive.org//web/20180902001527/https://www.bbc.com/news/uk-politics-45381117,"Share this withEmailFacebookMessengerMessengerTwitterPinterestWhatsAppLinkedInCopy this linkThese are external links and will open in a new windowFormer Labour home secretary Lord Blunkett has said the resignation of veteran MP Frank Field must be seen as a ""catalyst for seismic change"". Writing in the Daily Telegraph, Lord Blunkett called for a rethink of the ""so-called Corbyn project"".Mr Field quit the Labour group at Westminster over the party's handling of anti-Semitism allegations and what he called a ""culture of nastiness"". His critics say he quit because he was facing deselection by local members.Lord Blunkett said Mr Field's decision indicated a ""deeper malaise"" within the party.He wrote: ""The commitment to Labour as a 'broad church', which motivated some of those who nominated Jeremy [Corbyn], has been thrown back in their faces and demonstrated that the so-called 'new style of politics' is anything but.""He added that Labour must put its ""own house in order as decisively and speedily as possible"". ""Either Jeremy Corbyn can lead a party into gradual decline and irrelevance, or demonstrate that he can lead a party fit for government. The choice is his."" Mr Field, MP for Birkenhead for almost 40 years, resigned the Labour whip on Thursday, blaming a ""culture of intolerance, nastiness and intimidation"" in local Labour parties.He told the BBC it was ""sad"" how the party had been taken over by the hard left since Mr Corbyn's election.""The campaign that Jewish people feel against them by factions of the Labour Party is all part of the intolerance which we also see at a local level,"" he added.Mr Field, a former minister for welfare reform, said he wanted to remain a party member and sit as an ""independent Labour"" MP.But Labour said resigning the whip meant quitting the party.Mr Field later told the Press Association he would legally challenge any move to remove him from the party, adding that the saga was ""one of the saddest"" in his long career.Mr Field, who won his Merseyside seat in 2017 with a majority of 25,514, said he was considering whether to stand down as an MP to trigger a by-election, in which he would stand against an official Labour candidate. His critics say Mr Field quit because he was facing deselection by local members.He recently lost a vote of confidence organised by members angry at his support for the government in Brexit votes.A Labour source said: ""Frank has been looking for an excuse to resign for some time.""The party's deputy leader Tom Watson described Mr Field's resignation as a ""serious loss to the party"" and a ""major wake up call"".Earlier this month, Mr Corbyn apologised again for hurt caused to Jewish people by anti-Semitism in his party and admitted Labour had been too slow in dealing with disciplinary cases."
2018-09-01,Brexit progress but no Irish breakthrough,https://web.archive.org//web/20180902001527/https://www.bbc.com/news/uk-politics-45363827,"Share this withEmailFacebookMessengerMessengerTwitterPinterestWhatsAppLinkedInCopy this linkThese are external links and will open in a new windowBoth sides in Brexit talks say progress is being made but without any breakthrough on the crucial issue of the Irish border.Brexit Secretary Dominic Raab said he was ""stubbornly optimistic"" about getting a deal after talks in Brussels.Unresolved issues include intellectual property, data protection and the role of the European Court of Justice. EU negotiator Michel Barnier said he needed detail from the UK on its plan to avoid a hard border in Ireland.He told journalists that remaining ""bones of contention"" between the two sides were being steadily eliminated with particular progress on issues of security, judicial and defence co-operation after ""long"" talks on Friday.The UK is due to leave the EU on 29 March 2019.Both sides are hoping to agree a divorce deal and a statement on future trading relations at a summit of EU leaders on 17 October, although Mr Raab said that deadline could be missed slightly.  He told reporters: ""We're committed to resolving the deal by (the October council) and ultimately on my side I am stubbornly optimistic that a deal is within our reach.""Mr Barnier said there was a ""measure of flexibility"" and if the process slipped by a ""few days or weeks"" it would still be possible for the UK to leave the EU with a deal, if approved by the UK and EU Parliaments, on schedule.The EU negotiator said the ""building blocks"" of an agreement were falling into place. He repeated his offer of an ""unprecedented"" future partnership with the UK but insisted this depended on an ""orderly"" withdrawal and settling key outstanding issues. He said the question of the Irish border had come down to ""minutiae"" and he needed to see the detail of how the UK proposed to manage cross-border trade between Northern Ireland and the Republic of Ireland in the event of there being no other solution - the so-called backstop - would work in practice.""This backstop is critical,"" he said. ""It is essential to concluding the negotiations. Without a backstop, there will be no agreement."" Mr Raab said he had used Friday's talks to explain in more detail the UK's proposal for its future relationship with the EU, the so-called Chequers plan agreed by Theresa May at her country residence in July. The PM's blueprint, which would see the UK follow EU rules on trade in goods, is unpopular with many Tory MPs, with leading Brexiteers like Jacob Rees-Mogg and Boris Johnson calling for it to be ditched. Mr Johnson, who quit the cabinet in July in protest over the PM's proposals, said he agreed with Mrs May's former aide Nick Timothy, who urged her to ditch the plan.Mr Timothy wrote on Thursday that she would have to make further concessions to get EU backing for it and this would be unacceptable.  And Stuart Jackson, the former Tory MP who until recently was an aide to Dominic Raab's predecessor David Davis, said the Chequers plan ""has not really got any friends"" on either side.""For the EU, it's outside their core principles and undermines the integrity of the single market,"" he told BBC Radio 4's Today. ""In the UK, people believe it is Brexit in name only.""The two sides say they have agreed 80% of the withdrawal agreement. The remaining 20% includes:Mr Raab vowed to increase the frequency of talks with Mr Barnier when he took over the job.But Labour MP Ben Bradshaw, a supporter of the People's Vote campaign for a referendum on the outcome of the negotiations, said ""nothing had changed"" since then.""Dominic Raab may say he is more confident about reaching agreement but he can offer nothing concrete,"" he said. ""He knows the EU27 are not buying the Chequers car crash - a proposal designed around the need to hold a fractured government together and not on the economic interest and well-being of either the UK or the EU."""
2018-09-01,Abusive tweets to MPs 'more than double',https://web.archive.org//web/20180902001527/https://www.bbc.com/news/uk-politics-45363720,"Share this withEmailFacebookMessengerMessengerTwitterPinterestWhatsAppLinkedInCopy this linkThese are external links and will open in a new windowThe number of abusive tweets about politicians more than doubled between 2015 and 2017, according to analysis of more than one million tweets.Twitter insults targeting politicians rose from about 10,000 during the 2015 general election to just under 25,000 in the snap election two years later.The best-known politicians got a lot of tweets and abuse - but less well-known MPs got proportionally more abuse.Sheffield University's computer science department carried out the research.Project leader Kalina Bontcheva said the increase in abuse towards public figures was ""shocking"". The study suggests both the volume and proportion of Twitter abuse increased between the two elections. The research showed abusive tweets made up:Abusive tweets to Ed Miliband dropped from 5.6% when he was Labour leader in 2015 to 3.3% when he returned to the back benches.Nearly 600 of the UK's 650 MPs have a Twitter account, which they use to promote their work in their constituencies, show their support for local causes and engage in debate.But MPs have been warning for several years that the level of abuse they receive has got out of control, with female MPs in particular being targeted, and threats of violence becoming common.In July, the Conservative MP Nadine Dorries said colleagues were being advised to ""close down"" their accounts by Parliament's Health and Wellbeing Service. Shadow Home Secretary Diane Abbott has spoken about the offensive sexist and racist messages and ""mindless abuse"" she and her staff had to endure every day on social media, not just at election time. Labour's Paula Sheriff has said the 2017 election had been the ""most brutal"" to date.On Thursday, Labour MP Stephen Doughty tweeted an example of an abusive tweet he had reported - and Twitter's response that it did not violate its policies.He said: ""If you wonder why Facebook, Twitter etc are increasingly becoming difficult places, here's another example of abuse we get and the response of the social media companies - who think we deserve a different threshold of abuse 'to allow discourse'.""Responding to the research, Cabinet Office minister Chloe Smith said: ""It is vital that we prevent the rising intimidation of people in public office and those who want to stand for election.""That is why this government is consulting on new measures that will protect candidates and campaigners standing for public service. We can't let intimidation of people in public life continue unchecked.""Last year a report by the Committee on Standards in Public Life said an ""intensely hostile online environment"" had been created and warned people would be put off from entering politics because of the abuse."
2018-09-01,Man jailed for plot to kill Theresa May,https://web.archive.org//web/20180902001527/https://www.bbc.com/news/uk-45373487,"Share this withEmailFacebookMessengerMessengerTwitterPinterestWhatsAppLinkedInCopy this linkThese are external links and will open in a new windowA man who plotted to kill the prime minister in a suicide attack has been sentenced to life in prison with a minimum term of 30 years.Naa'imur Zakariyah Rahman, 21, from north London, was convicted last month of preparing acts of terrorism.Rahman had planned to detonate a bomb at the gates of Downing Street and then kill Theresa May with a knife or gun.Sentencing him, Mr Justice Haddon-Cave said Rahman ""would have carried out his attack"" had he not been arrested.Rahman was captured by an undercover operation involving the Metropolitan Police, MI5 and FBI.He was arrested moments after collecting a bag and jacket from an undercover operative that he believed had been fitted with explosives.The judge said: ""I am sure that at all material times Rahman believed the devices to be real and capable of causing serious harm.""He added that the undercover officers involved in the case were ""scrupulous"" at all times and Rahman was the ""instigator and author"" of his own actions. By BBC home affairs correspondent Dominic CascianiRahman made contact with IS recruiters via social media - but unbeknown to him the contact was actually an FBI agent. That agent referred Rahman to an MI5 team of online role players who convinced him that they were genuine IS figures.""I want to do a suicide bomb on Parliament,"" Rahman told the MI5 role players. ""I want to attempt to kill Theresa May. All I need now is a sleeper cell to lay low for now.""Read more from Dominic CascianiRahman, Mr Justice Haddon-Cave said, had been ""told and believed"" that the rucksack bomb given to him was ""capable of causing casualties on a scale comparable to those caused at the Manchester Arena"", where 22 people were killed.Rahman's lawyer argued he had been brainwashed by his uncle - who was later killed in a drone strike while fighting for the Islamic State group in Syria - and said his client had not intended to go through with the plot. But a probation report read to the court by the judge revealed that Rahman had admitted in prison he would have carried out the attack had he been able to.A pre-sentence report described him as a ""clever and cunning"" young man who had the potential to ""operate below the radar to dreadful effect"".Mr Justice Haddon-Cave told Rahman he would have ""plenty of time"" to study the Koran in prison, adding that Islam was ""a religion of peace"".The judge added that Rahman - originally from Birmingham - was a ""very dangerous individual"" and it was hard to predict if he will ever be de-radicalised. During his Old Bailey trial, Rahman pleaded guilty to a separate charge of engaging in conduct which assisted the preparation of terrorist acts, which related to a ""sponsorship"" video he filmed for an associate who allegedly wanted to join IS in Libya.In addition to the life sentence, Rahman was handed six years in prison for the IS sponsorship video. The sentences will run concurrently, rather than consecutively."
2018-09-01,"Lord Peter Melchett dies, aged 71",https://web.archive.org//web/20180902001527/https://www.bbc.com/news/uk-england-norfolk-45366188,"Share this withEmailFacebookMessengerMessengerTwitterPinterestWhatsAppLinkedInCopy this linkThese are external links and will open in a new windowThe long-term environmental campaigner and organic farmer Lord Peter Melchett has died, aged 71.Lord Melchett, who lived in Ringstead, Norfolk, had been executive director of Greenpeace UK and most recently policy director of the Soil Association.In 1999, he was cleared of criminal damage after being accused of ripping up a GM maize crop in Lyng.Friend Elizabeth Buchannan said he was ""an establishment figure who became a radical campaigner"". Peter Mond, fourth Baron Melchett, went from Eton to Cambridge University, where he read law.Illness prevented him taking his finals but he later took an MA in criminology at the University of Keele, followed by 18 months at the London School of Economics.Lord Melchett inherited his title aged 25, following the early death of his father.He became a Labour Party Whip, a junior minister at the Department of the Environment and a minister of state for Northern Ireland under Jim Callaghan.He became executive director of Greenpeace UK in 1989 and in 1999, he and 27 fellow activists faced criminal damage charges after ripping up genetically modified crops but were acquitted when the jury accepted their defence that they believed the crop would have polluted the environment.In 1985, he tried to cut through the perimeter wire of an American air base at Sculthorpe in East Anglia as part of an anti-nuclear protest. Speaking to Sue Lawley on Desert Island Discs in 2000 he said you had to have the public with you to bring about change.""You only win a campaign if people support you and people will only support you if you're right - if what you're saying is correct or if what you predict turns out to be the case,"" he said.Executive director of Greenpeace UK, John Sauven, said he would be ""sorely missed by everyone who loved wildlife and wanted to protect the global environment"".""In Peter's 12 years campaigning at Greenpeace he was both fearless in taking on big corporations like BP and Monsanto but also pioneering in supporting solutions like Greenfreeze refrigeration to save the ozone layer.""We all live a little bit more peacefully with the earth and its animals as a result of his efforts. A true radical and campaigner to the end.""Helen Browning, chief executive officer of the Soil Association, where Lord Melchett had been for 18 years, said the organisation was ""so saddened"" by his death.""[He] was such an important, charismatic figure in the environment and organic movement throughout his lifetime,"" she said.Ms Buchannan, a non-executive board member at the Department for Environment, Food and Rural Affairs, said: ""He was an extraordinary person but he had such credibility because he was actually farming himself in Norfolk so he wasn't' just pontificating, he was doing and he was proving how you can farm in a different way.""He held these views and did these things while at all times being a true gentleman... gentle and kind while also being brave and passionate."
2018-09-01,Party suspension over dad's rape conviction,https://web.archive.org//web/20180902001527/https://www.bbc.com/news/uk-england-coventry-warwickshire-45373833,"Share this withEmailFacebookMessengerMessengerTwitterPinterestWhatsAppLinkedInCopy this linkThese are external links and will open in a new windowThe Green Party has suspended a member who was running to be deputy leader after her father acted as her election agent while facing a child rape charge. David Challenor, 50, who was jailed for 22 years for child sex offences, had been the agent for Aimee Challenor at the 2017 general election.She has been suspended from the party on a no-fault basis while an investigation takes place.The party said it would release its findings once that was complete.Earlier this week Ms Challenor, 20, who was the Greens' equalities spokeswoman, pulled out of the race to be the party's deputy leader, following her father's conviction. Challenor, of Charterhouse Road, Coventry, was found guilty at Warwick Crown Court of 20 offences including sexual assault, taking indecent photographs of a child, rape of a girl aged 10 and false imprisonment, and jailed last week.The court heard he held a 10-year-old girl captive in his attic and photographed the abuse as it was carried out. His crimes came to light after the girl confided in someone and it was reported to the police, who interviewed her towards the end of 2015.Challenor was charged in November 2016, West Midlands Police said.Ms Challenor said she would be working with the inquiry and thanked those who have offered her support.She added: ""I am saddened to see circumstances have forced me away from the Greens at a crucial point for our party, though I remain fully committed to our shared Green values of environmental and social justice. ""I hope that the investigation is able to run efficiently, so that we can all move forward together.""In a statement, the Green Party said: ""An investigation will be conducted by an external agency into the circumstances and disclosures surrounding Aimee's father being able to act as her election agent while facing charges for serious sexual assault against a minor.""It said the suspension had been made following a number of complaints and would remain in place until a review at the next meeting of the Green Party Regional Council.Following Challenor's conviction, the party apologised and terminated his membership as soon as the information came to light. Following the suspension, Clare Lorraine Phipps, acting chair and secretary of Green Party Women, said: ""We will be standing by Aimee throughout her no-fault suspension and closely following the investigation to ensure that difficult lessons are indeed learnt by the party."""
2018-09-01,"Back a woman, Labour candidate tells AMs",https://web.archive.org//web/20180902001527/https://www.bbc.com/news/uk-wales-politics-45367460,"Share this withEmailFacebookMessengerMessengerTwitterPinterestWhatsAppLinkedInCopy this linkThese are external links and will open in a new windowA candidate in the Welsh Labour leadership race has asked colleagues to refrain from giving him any further support, and back a woman instead.Vaughan Gething said it cannot be right if the election is only contested by two men - himself and Mark Drakeford.While Eluned Morgan has announced her intention to stand, she is yet to get the support she needs from other AMs.""There is still the time - and still the numbers - to give Welsh Labour the campaign it needs,"" he said.AMs need to be nominated by five of their colleagues to stand in the Welsh Labour leadership race.Mark Drakeford has 12 AMs backing him, while Vaughan Gething has five. Alun Davies and Huw Irranca-Davies have also announced their intention to stand - neither have gained any nominations.""I am humbled by the support I have received thus far, and am proud to have secured the number of nominations necessary to stand,"" Mr Gething said. ""But today, perhaps a little unusually, I am publicly asking any colleagues considering giving me their nomination to not do so.""He said it ""cannot be right that this election will be contested by two men, especially when Welsh Labour in the Assembly has within it a group of extraordinarily talented women AMs"".Really principled position by @vaughangething.                          BBC News - Back a woman, Welsh Labour leadership candidate Gething tells AMs https://t.co/7xUSgZmGwJEnd of Twitter post  by @Eluned_Morgan""There have been exciting, credible and valuable contributions from all those potential candidates - each and every one has a role to play in the debate that lies ahead,"" he said. ""But I sincerely believe that the campaign will be all the poorer if the candidates represent only half of those living in the country we seek to lead.""There is still the time - and still the numbers - to give Welsh Labour the campaign it needs, and the debate Wales deserves. We will be rightly judged as having failed if we pass this opportunity up.""Mr Gething, who is Welsh Government health secretary, made no reference to Ms Morgan's campaign.Ms Morgan praised Mr Gething's stance on Friday, calling it a ""really principled position""."
2018-09-01,Salmond inquiry 'must be fair to all',https://web.archive.org//web/20180902001527/https://www.bbc.com/news/uk-scotland-45350594,"Share this withEmailFacebookMessengerMessengerTwitterPinterestWhatsAppLinkedInCopy this linkThese are external links and will open in a new windowSexual misconduct claims against Alex Salmond must be treated in a manner that is fair to ""all parties concerned"", Nicola Sturgeon has said.The first minister said complaints could not simply be ""swept aside because of the identity of the person involved"".And she said the priority should be ensuring ""truth and justice prevail"". Mr Salmond, who strongly denies the allegations against him, quit the SNP on Wednesday evening.The former first minister is taking court action against the Scottish government over its handling of the complaints.Mr Salmond also launched a crowdfunding appeal to pay his legal costs, which surpassed its £50,000 target in a few hours but has been heavily criticised by opposition parties.He has said he intends to apply to rejoin the SNP once he has had an opportunity to clear his name. Ms Sturgeon told BBC Scotland on Thursday that the situation as a whole was ""incredibly difficult"" for her and the party she has led since Mr Salmond stood down in the wake of the 2014 independence referendum.But she said women had to be confident that their complaints would be ""treated seriously and fairly - and by fairly I mean fairly to all parties concerned"". Ms Sturgeon also said she wanted a culture where people are able to come forward with complaints regardless of ""how senior, how powerful, how well known or what the political allegiance is"" of the person involved. She added: ""Whatever any of us do and say in the context of this very high profile case, we must absolutely make sure we don't make it harder for or discourage women from coming forward in the future. I think that is an obligation on all of us right now.""Ms Sturgeon, who has described Mr Salmond as being her ""friend and mentor"" for the past 30 years, also urged people to wait for the legal process to conclude rather than creating ""some kind of media circus"".End of Youtube post  by Alex SalmondMr Salmond, who was Scottish first minister from 2007 to 2014, released a video on social media on Wednesday evening announcing his resignation from the SNP but has not been available for interview.He said he was quitting because he wanted to avoid potential divisions within the party, which has faced calls to suspend him.It follows allegations, which emerged last week, from two Scottish government staff members about Mr Salmond's behaviour when he was first minister. He has described the allegations, which are now being examined by Police Scotland, as ""patently ridiculous"".In his statement, Mr Salmond said: ""I did not come into politics to facilitate opposition attacks on the SNP and, with parliament returning next week, I have tendered my resignation to remove this line of opposition attack.""Most of all, I am conscious that if the party felt forced into suspending me it would cause substantial internal division.""The Scottish Conservatives said Mr Salmond's crowdfunding appeal was ""astonishing"" as it meant Scotland ""now faces the incredible and unprecedented situation of its most famous former first minister appealing to SNP supporters for cash to take legal action against the government he used to run.""Scottish Labour MSP Rhoda Grant claimed Mr Salmond was ""sending a signal to those who have made the allegations that he has the upper hand"" and accused him of ""dragging Scotland into the gutter"". Labour's former first minister, Jack McConnell, is among those who have urged people to instead donate to charities which help victims of sexual assault and harassment.Ms Sturgeon, who retweeted funding appeals for Rape Crisis and Women's Aid on Thursday morning, said the crowdfunding appeal was a matter for Mr Salmond, who she said was ""perfectly entitled to take his own decisions at this stage"". The Daily Record newspaper broke the news of the sexual misconduct allegations last Thursday. The paper says it has seen wording of one complaint which describes an incident alleged to have taken place at the first minister's official residence in Edinburgh, Bute House, in the first week of December 2013. The two women lodged complaints in January this year, just weeks after the Scottish government adopted a new complaints procedure in the light of wider concern about sexual harassment at Holyrood and Westminster.Does this resolve all the issues for the party? Of course it doesn't. There is an atmosphere of despair, a demeanour of despondency, around Team Sturgeon as they view the impact upon the party - it's a political problem for the SNP - and the cause of independence, which Mr Salmond believes he is partly ameliorating by stepping down while his court case is heard.But there are problems within government as well. It was Nicola Sturgeon who instigated the review of internal sexual conduct procedures within the Scottish government, the consequence of which would appear to be that a couple of complaints were raised in January following that review.It is personal for Nicola Sturgeon as well, as she acknowledges in the statement she issued last night - Alex Salmond has been her friend and mentor for 30 years. Mr Salmond claims that the subsequent investigation into the allegations against him by senior Scottish government civil servants was ""unfair and unjust"" - something Ms Sturgeon strongly denies. He said he had been given no opportunity to ""see and therefore to properly challenge the case against me"" and that he had ""not been allowed to see the evidence"".Mr Salmond has also claimed that someone within the Scottish government has ""flagrantly and repeatedly"" breached the confidential complaints process by leaking details to the Daily Record.In an article in the Times newspaper, the head of the FDA civil service trade union criticised Mr Salmond for singling out the Scottish government's most senior civil servant, Leslie Evans, for criticism.In his original statement about the allegations last week, Mr Salmond said the permanent secretary had, ""for whatever reason"" decided to ""mount a process against me using an unlawful procedure which she herself introduced"". Ms Evans has since become the target of online abuse and conspiracy theories. She was last year tasked by Ms Sturgeon with reviewing new procedures for dealing with harassment allegations against current and former government ministers.A new procedure was introduced with the blessing of Ms Sturgeon in December - but Mr Salmond has previously described it as the ""Leslie Evans procedure"".FDA general secretary Dave Penman said: ""If you want to give it a name, it is the Nicola Sturgeon procedure. It is owned by the Scottish government and, as Ms Sturgeon herself made clear, she agreed it in 2017. ""Mr Salmond's decision to attack the integrity of Scotland's most senior civil servant is no accident. He would be aware that his supporters would jump on this bandwagon.""Mr Penman also said that, as a former first minister, Mr Salmond ""knows that Ms Evans is duty-bound to investigate complaints""."
